timeMillis,timeNanos,x,y,z
1539940408504,1429538549684628,-0.21143207,0.13080029,0.10574139
1539940408526,1429538569683628,-0.19188438,0.12591338,0.105130516
1539940408545,1429538589683128,-0.18027794,0.10147877,0.08863716
1539940408565,1429538609683128,-0.18333226,0.106365696,0.090469755
1539940408587,1429538629682878,-0.18760832,0.16500875,0.10574139
1539940408607,1429538649682878,-0.18516485,0.21448883,0.105130516
1539940408626,1429538669682711,-0.17905621,0.19371942,0.08863716
1539940408647,1429538689682568,-0.18516485,0.106365696,0.058093894
1539940408667,1429538709685068,-0.1949387,0.05505301,0.021441981
1539940408687,1429538729684956,-0.20471255,0.08254195,6.169739E-5
1539940408710,1429538749684856,-0.21021034,0.13568723,-0.0011600332
1539940408752,1429538769684128,-0.21631898,0.14179587,0.011668136
1539940408776,1429538789682544,-0.20837775,0.1167504,0.029994095
1539940408802,1429538809682544,-0.20837775,0.1167504,0.029994095
1539940408803,1429538829682472,-0.20837775,0.1167504,0.029994095
1539940408808,1429538849682405,-0.05016364,-0.027413798,0.098411
1539940408828,1429538869744842,-0.07765258,-0.070174366,0.08008505
1539940408850,1429538889862430,-0.06482441,-0.121487044,0.05931563
1539940408869,1429538909973485,-0.029394224,-0.14775425,0.029994095
1539940408890,1429538930078695,-0.008624806,-0.16546935,-0.010933877
1539940408910,1429538950228645,-0.023896437,-0.18074098,-0.062246557
1539940408929,1429538970371502,-0.056272298,-0.17402145,-0.105617985
1539940408952,1429538990507820,-0.061770085,-0.16302589,-0.13616125
1539940408969,1429539010638254,-0.05199624,-0.21678203,-0.1441025
1539940408990,1429539030763212,-0.034281146,-0.2980271,-0.14349164
1539940409011,1429539050883172,0.051239986,-0.23327538,-0.12944174
1539940409031,1429539071037018,0.21922794,-0.14592166,-0.098287605
1539940409055,1429539091222166,0.40676355,-0.0836134,-0.07873992
1539940409074,1429539111436451,0.46540663,-0.19356915,-0.039644543
1539940409093,1429539131643313,0.31940982,-0.2925293,-0.028038103
1539940409113,1429539151843279,0.09155709,-0.24915788,-0.0598031
1539940409135,1429539172076645,-0.13324131,-0.14042388,-0.12394395
1539940409155,1429539192343311,-0.12591094,-0.20884077,-0.13371779
1539940409175,1429539212609944,0.042687874,-0.3035249,-0.12577654
1539940409196,1429539232876644,0.3267402,-0.21128424,-0.1263874
1539940409216,1429539253176610,0.4794565,-0.020083416,-0.1263874
1539940409237,1429539273509976,0.49839333,0.0727681,-0.13921557
1539940409259,1429539293843309,0.35239655,0.044668302,-0.26322123
1539940409277,1429539314175975,0.1440915,-0.07200696,-0.42265704
1539940409370,1429539334542641,-0.107584976,-0.23571885,-0.54177576
1539940409370,1429539354909307,-0.28412503,-0.24793616,-0.5258933
