timeMillis,timeNanos,x,y,z
1539940408405,1429538449684628,5.52,34.14,-20.699999
1539940408424,1429538469683628,5.7599998,34.14,-20.4
1539940408445,1429538489683128,5.52,34.02,-20.34
1539940408465,1429538509682794,5.7599998,34.26,-19.8
1539940408484,1429538529682544,6.3599997,34.38,-19.619999
1539940408504,1429538549682544,6.96,34.98,-18.66
1539940408526,1429538569682377,7.08,35.28,-18.48
1539940408545,1429538589682234,6.8999996,35.04,-18.779999
1539940408565,1429538609682234,6.7799997,35.34,-19.26
1539940408587,1429538629682122,5.94,35.1,-20.279999
1539940408606,1429538649682122,6.3599997,35.16,-20.16
1539940408626,1429538669682031,6.54,35.579998,-20.16
1539940408647,1429538689681947,6.8999996,35.76,-19.619999
1539940408667,1429538709683485,7.02,36.059998,-19.439999
1539940408687,1429538729683413,6.8999996,35.94,-19.02
1539940408710,1429538749683346,6.8399997,35.7,-19.26
1539940408752,1429538769682846,6.6,35.76,-19.26
1539940408802,1429538789681728,6.54,35.52,-19.38
1539940408803,1429538809681728,6.8999996,35.52,-19.74
1539940408803,1429538829681675,7.02,36.36,-19.439999
1539940408808,1429538849681625,8.28,37.079998,-19.02
1539940408828,1429538869729196,8.4,36.719997,-18.9
1539940408850,1429538889820059,7.44,37.02,-19.02
1539940408869,1429538909906972,7.44,37.2,-19.02
1539940408890,1429538929990263,7.3199997,37.14,-18.779999
1539940408910,1429538950110223,7.74,36.54,-18.24
1539940408929,1429538970225607,8.16,36.239998,-18.18
1539940408951,1429538990336681,7.44,36.54,-18.18
1539940408969,1429539010443823,6.96,36.719997,-18.18
1539940408990,1429539030547236,6.54,36.66,-18.779999
1539940409011,1429539050647202,6.06,36.42,-18.539999
1539940409031,1429539070780568,6.2999997,36.0,-18.539999
1539940409055,1429539090947234,5.8799996,36.12,-19.02
1539940409074,1429539111147267,5.7599998,36.18,-19.38
1539940409093,1429539131347267,6.24,35.88,-19.68
1539940409113,1429539151547233,5.8799996,35.219997,-19.5
1539940409135,1429539171780599,5.46,35.399998,-18.96
1539940409155,1429539192047265,5.46,35.7,-18.9
1539940409175,1429539212313898,5.7,35.219997,-19.14
1539940409196,1429539232580598,4.98,34.68,-18.84
1539940409216,1429539252880564,4.14,34.739998,-18.72
1539940409237,1429539273213930,4.74,34.92,-18.18
1539940409259,1429539293547263,4.62,34.26,-18.24
1539940409277,1429539313879929,4.7999997,33.84,-17.58
1539940409370,1429539334246595,4.74,33.54,-17.46
1539940409370,1429539354613261,3.48,33.18,-18.119999
1539940409370,1429539374980161,2.7,33.18,-18.42
1539940409370,1429539395347427,2.7,33.36,-18.779999
1539940409379,1429539415747393,2.34,33.36,-18.72
1539940409398,1429539436147426,1.74,33.719997,-18.84
1539940409418,1429539456547426,1.74,33.42,-19.02
1539940409441,1429539476947459,2.22,33.18,-18.9
1539940409461,1429539497347459,2.6399999,33.6,-19.199999
1539940409486,1429539517747459,1.62,33.42,-19.26
1539940409502,1429539538147492,0.53999996,33.0,-19.02
1539940409521,1429539558514158,0.24,33.059998,-19.02
1539940409566,1429539578880791,0.17999999,33.54,-18.84
1539940409566,1429539599247457,0.71999997,33.78,-19.199999
1539940409581,1429539619614090,0.9,32.88,-19.08
1539940409603,1429539639980790,0.42,33.059998,-19.02
1539940409621,1429539660347456,0.59999996,33.239998,-18.84
1539940409640,1429539680680756,1.62,33.0,-18.06
1539940409661,1429539700980789,1.68,32.64,-18.0
1539940409682,1429539721246822,1.74,31.98,-18.06
1539940409701,1429539741513522,3.12,32.16,-18.72
1539940409720,1429539761780188,4.3199997,32.76,-18.84
1539940409742,1429539782013488,4.08,33.239998,-18.359999
1539940409761,1429539802213488,3.24,32.46,-18.06
1539940409781,1429539822413488,3.36,32.34,-17.4
1539940409803,1429539842613454,3.4199998,32.7,-16.74
1539940409821,1429539862780154,4.3199997,32.579998,-16.859999
1539940409841,1429539882913454,5.2799997,32.28,-17.82
1539940409863,1429539903046820,5.46,32.219997,-18.72
1539940409880,1429539923180120,5.7,32.1,-18.18
1539940409900,1429539943280153,5.8799996,31.74,-17.4
1539940409923,1429539963413486,5.46,31.98,-18.42
1539940409943,1429539983546819,5.64,32.82,-18.48
1539940409963,1429540003680152,5.52,32.64,-18.48
1539940409983,1429540023780152,6.18,32.46,-18.0
1539940410003,1429540043880118,6.3599997,33.0,-17.46
1539940410022,1429540063980151,6.2999997,32.64,-17.76
1539940410045,1429540084080117,6.96,32.46,-17.46
1539940410064,1429540104146817,6.2999997,33.0,-17.58
1539940410085,1429540125198802,6.3599997,32.52,-18.18
1539940410104,1429540145265435,6.6,31.92,-18.72
1539940410123,1429540165332135,7.02,32.64,-18.42
1539940410143,1429540185398801,6.96,32.94,-17.58
1539940410167,1429540205498801,6.8999996,32.579998,-17.58
1539940410184,1429540225598801,6.48,32.04,-18.359999
1539940410204,1429540245698767,6.06,32.04,-18.0
1539940410225,1429540265798800,5.7,31.859999,-17.94
1539940410244,1429540285898800,5.4,31.56,-18.0
1539940410265,1429540305998766,5.7,31.199999,-17.4
1539940410285,1429540326099399,6.6,31.14,-16.26
1539940410377,1429540346199365,6.24,31.08,-16.56
1539940410377,1429540366299398,5.46,31.38,-16.92
1539940410377,1429540386399398,4.7999997,31.859999,-17.16
1539940410377,1429540406499398,4.74,31.32,-17.46
1539940410383,1429540426599431,5.16,31.439999,-16.74
1539940410405,1429540446699431,4.74,31.859999,-17.34
1539940410424,1429540466799397,4.2,31.14,-17.52
1539940410443,1429540486899430,4.08,30.179998,-16.859999
1539940410465,1429540506999396,3.84,29.46,-16.92
1539940410483,1429540527099429,3.48,29.939999,-17.16
1539940410504,1429540547199395,3.4199998,30.96,-16.74
1539940410525,1429540567266061,2.82,30.42,-16.74
1539940410544,1429540587332727,3.0,30.48,-16.56
1539940410564,1429540607399393,3.12,30.599998,-16.56
1539940410585,1429540627466059,2.8799999,30.96,-17.1
1539940410604,1429540647532725,2.76,31.38,-17.58
1539940410624,1429540667599358,2.52,30.66,-17.82
1539940410646,1429540687632724,2.34,30.179998,-17.46
1539940410664,1429540707666024,2.52,30.179998,-16.56
1539940410684,1429540727699390,2.82,30.84,-16.02
1539940410709,1429540747732723,2.7,31.26,-16.5
1539940410722,1429540767765423,2.46,31.5,-16.5
1539940410743,1429540787798489,3.6599998,31.619999,-16.199999
1539940410765,1429540807798489,3.9599998,30.96,-16.68
1539940410783,1429540827798222,3.3,31.199999,-16.98
1539940410803,1429540847798255,3.48,31.56,-16.26
1539940410825,1429540867798221,3.36,30.779999,-16.32
1539940410844,1429540887798254,3.1799998,30.3,-16.74
1539940410864,1429540907798254,3.36,30.42,-16.44
1539940410886,1429540927798220,3.9599998,31.14,-16.44
1539940410904,1429540947798253,4.44,31.5,-16.02
1539940410924,1429540967798219,4.68,31.56,-15.42
1539940410946,1429540987798219,4.98,31.5,-15.24
1539940411022,1429541007798219,4.74,30.9,-15.48
1539940411022,1429541027798185,4.38,30.84,-15.599999
1539940411022,1429541047831551,4.38,31.019999,-15.299999
1539940411025,1429541067897951,4.56,31.26,-15.719999
1539940411046,1429541087964584,5.16,31.5,-16.14
1539940411068,1429541108031284,5.2799997,31.56,-16.199999
1539940411085,1429541128097917,5.2799997,31.56,-15.839999
1539940411105,1429541148164617,5.52,31.26,-14.88
1539940411127,1429541168231283,5.94,31.439999,-14.88
1539940411147,1429541188297949,6.54,31.859999,-14.58
1539940411166,1429541208364382,6.24,31.32,-14.4
1539940411187,1429541228431048,5.94,31.439999,-14.639999
1539940411206,1429541248497714,6.0,31.619999,-14.639999
1539940411225,1429541268564414,6.12,30.72,-14.7
1539940411248,1429541288631047,5.7,31.08,-15.54
1539940411268,1429541308731080,5.04,32.04,-15.48
