timeMillis,timeNanos,value
1539940408445,1429538481683628,1024.1345
1539940408545,1429538581683628,1024.1365
1539940408647,1429538681683628,1024.1228
1539940408802,1429538781677628,1024.124
1539940408850,1429538882177628,1024.1284
1539940408952,1429538982777628,1024.1387
1539940409055,1429539083610961,1024.1387
1539940409155,1429539184753818,1024.1448
1539940409259,1429539286003818,1024.1438
1539940409370,1429539387226040,1024.1499
1539940409461,1429539488626040,1024.138
1539940409566,1429539589898767,1024.1345
1539940409661,1429539691065517,1024.1394
1539940409761,1429539792142440,1024.1309
1539940409863,1429539893142511,1024.1287
1539940409963,1429539994142511,1024.1321
1539940410064,1429540095142573,1024.1387
1539940410167,1429540198198802,1024.138
1539940410265,1429540299143246,1024.1311
1539940410377,1429540400037982,1024.1311
1539940410465,1429540500887982,1024.137
1539940410564,1429540601697505,1024.1448
1539940410664,1429540702470232,1024.1313
1539940410765,1429540803209362,1024.144
1539940410864,1429540903917695,1024.1414
1539940411022,1429541004597695,1024.1467
1539940411068,1429541105328502,1024.1418
1539940411166,1429541206031946,1024.1353
1539940411268,1429541306746267,1024.1365
1539940411368,1429541407470404,1024.1392
1539940411471,1429541508203770,1024.1428
1539940411570,1429541608937103,1024.1467
1539940411674,1429541709670436,1024.1494
1539940411770,1429541810404369,1024.1343
1539940411870,1429541911071035,1024.123
1539940411972,1429542011737701,1024.125
1539940412074,1429542112437701,1024.1292
1539940412174,1429542213037701,1024.1323
1539940412276,1429542313604367,1024.1289
1539940412383,1429542414137700,1024.1218
1539940412473,1429542514571066,1024.1338
1539940412576,1429542615004399,1024.1355
1539940412677,1429542715437465,1024.1387
1539940412777,1429542815937498,1024.1416
1539940412879,1429542916470831,1024.1365
1539940412978,1429543016970831,1024.1313
1539940413078,1429543117470797,1024.148
1539940413182,1429543218004130,1024.1584
1539940413282,1429543318570796,1024.1509
1539940413385,1429543419237462,1024.1545
1539940413489,1429543519970795,1024.1504
1539940413586,1429543620704128,1024.1411
1539940413688,1429543721437461,1024.1357
1539940413790,1429543822204127,1024.144
1539940413888,1429543922970793,1024.1372
1539940413990,1429544023804126,1024.1401
1539940414092,1429544124570759,1024.1355
1539940414190,1429544225337692,1024.144
1539940414289,1429544326071025,1024.1396
1539940414390,1429544426771058,1024.1372
1539940414491,1429544527437691,1024.1294
1539940414589,1429544628104391,1024.1267
1539940414693,1429544728771057,1024.125
1539940414791,1429544829471057,1024.1277
1539940414892,1429544930237723,1024.1301
1539940414994,1429545030971056,1024.1404
1539940415092,1429545131604389,1024.1248
1539940415254,1429545232237722,1024.1287
1539940415293,1429545332837722,1024.133
1539940415394,1429545433437722,1024.146
1539940415492,1429545534037722,1024.1548
1539940415595,1429545634637755,1024.1455
1539940415693,1429545735238021,1024.1443
1539940415795,1429545835771354,1024.123
1539940415893,1429545936304654,1024.134
1539940415994,1429546036904687,1024.1387
1539940416095,1429546137471353,1024.1274
1539940416205,1429546237971353,1024.1294
1539940416294,1429546338438019,1024.1394
1539940416395,1429546438804685,1024.1484
1539940416496,1429546539104685,1024.1467
1539940416595,1429546639404685,1024.1445
1539940416698,1429546739704718,1024.1411
1539940416797,1429546839971384,1024.1409
1539940416896,1429546940271417,1024.1538
1539940416997,1429547040504783,1024.1572
1539940417098,1429547140738149,1024.1499
1539940417195,1429547240971449,1024.1431
1539940417297,1429547341238082,1024.134
1539940417400,1429547441571382,1024.1389
1539940417499,1429547541904715,1024.154
1539940417600,1429547642238015,1024.1497
1539940417702,1429547742571348,1024.1436
1539940417804,1429547842904681,1024.1343
1539940417901,1429547943204681,1024.1362
1539940418005,1429548043604681,1024.1411
1539940418106,1429548144071347,1024.1458
1539940418208,1429548244604680,1024.1497
1539940418314,1429548345238013,1024.1484
1539940418413,1429548445971379,1024.1284
1539940418513,1429548546704679,1024.1394
1539940418619,1429548647538012,1024.1411
1539940418716,1429548748371345,1024.1313
1539940418820,1429548849304678,1024.1399
1539940418924,1429548950271378,1024.1382
1539940419022,1429549051171344,1024.1274
1539940419123,1429549152104710,1024.1387
1539940419227,1429549253104710,1024.1357
1539940419336,1429549354138043,1024.1538
1539940419427,1429549455204709,1024.138
1539940419532,1429549556371375,1024.1423
1539940419631,1429549657538041,1024.1382
1539940419732,1429549758738007,1024.1392
1539940419833,1429549859971340,1024.137
1539940419932,1429549961171306,1024.1389
1539940420035,1429550062437939,1024.1318
1539940420136,1429550163704605,1024.138
1539940420235,1429550264971271,1024.145
1539940420392,1429550366204637,1024.146
1539940420438,1429550467371337,1024.1311
1539940420534,1429550568538037,1024.1199
1539940420634,1429550669704703,1024.1235
1539940420735,1429550770871369,1024.1504
1539940420835,1429550872004702,1024.1536
1539940420942,1429550973138035,1024.1367
1539940421037,1429551074171368,1024.123
1539940421136,1429551175138034,1024.1077
1539940421236,1429551276038034,1024.1077
1539940421372,1429551376838034,1024.1162
1539940421435,1429551477571334,1024.1208
1539940421540,1429551578404700,1024.1211
1539940421640,1429551679138000,1024.1255
1539940421739,1429551779871333,1024.1362
1539940421840,1429551880504666,1024.1389
1539940421941,1429551981071332,1024.1443
1539940422040,1429552081637998,1024.1499
1539940422142,1429552182271298,1024.136
1539940422245,1429552282871298,1024.1216
1539940422351,1429552383537964,1024.1213
1539940422448,1429552484271297,1024.134
