timeMillis,timeNanos,x,y,z
1539851660435,4706195245713599,-1.2207372,-0.26306242,0.19413054
1539851660455,4706195265713599,-1.4070512,-0.35530305,0.14465044
1539851660476,4706195285713599,-1.5622109,-0.31804028,0.007816631
1539851660495,4706195305713932,-1.6733885,-0.022992358,-0.19865583
1539851660515,4706195325713932,-1.6080258,0.31664872,-0.22980995
1539851660535,4706195345714132,-1.3111453,0.2751099,-0.03677653
1539851660556,4706195365714132,-0.95439994,0.09490463,0.15870035
1539851660576,4706195385714132,-0.63430655,-0.09690705,0.1452613
1539851660597,4706195405714132,-0.36552587,-0.27589056,-0.011120191
1539851660616,4706195425714132,-0.16577294,-0.37301812,-0.16994517
1539851660635,4706195445714132,-0.0417673,-0.25512114,-0.27257052
1539851660657,4706195465714132,0.011988841,-0.01993803,-0.28051174
1539851660675,4706195485714132,0.118890256,0.16820846,-0.32815924
1539851660695,4706195505714132,0.3216975,0.20058432,-0.45094317
1539851660725,4706195525714203,0.5636002,0.1077328,-0.60610294
1539851660735,4706195545713669,0.6698907,-0.1188982,-0.68123937
1539851660755,4706195565713731,0.48602027,-0.4640371,-0.5981617
1539851660776,4706195585713789,0.26305443,-0.7352612,-0.46010613
1539851660796,4706195605713844,0.3449104,-0.51412797,-0.44788885
1539851660817,4706195625713896,0.53427863,-0.19892156,-0.5236361
1539851660836,4706195645713996,0.6106368,0.105900206,-0.58960956
1539851660855,4706195665713615,0.7022665,0.62941176,-0.5957182
1539851660875,4706195685713660,0.6259084,0.6489594,-0.5230253
1539851660896,4706195705713660,0.2990955,0.1956974,-0.4717126
1539851660915,4706195725713660,0.1146142,0.12972395,-0.48637336
1539851660936,4706195745713700,0.16042909,0.26105997,-0.55295765
1539851660957,4706195765713700,0.17020294,-1.2703792,-0.25790974
1539851660976,4706195785713700,0.18242024,-1.6185724,-0.052659027
1539851660999,4706195805713700,-0.038712975,-0.7694697,-0.031278744
1539851661017,4706195825713700,-0.090025656,0.034428976,-0.2799009
1539851661035,4706195845713733,0.048029892,-0.034598798,-0.28112262
1539851661057,4706195865713733,0.20685486,-0.33025756,-0.08747835
1539851661077,4706195885713733,0.068188444,-0.4139461,0.17397198
1539851661096,4706195905713466,-0.4125625,-0.21663664,0.3004211
1539851661116,4706195925713466,-0.62331104,0.022211673,0.24177802
1539851661137,4706195945713199,-0.2262486,0.16332155,0.20146091
1539851661156,4706195965712932,0.42615548,0.24945353,0.23933457
1539851661176,4706195985712665,0.82382876,0.29465756,0.3639511
1539851661196,4706196005712431,0.79023117,0.1394978,0.48490238
1539851661224,4706196025712431,0.45853135,-0.12439599,0.53621507
1539851661274,4706196045712164,-0.06314758,-0.2948274,0.5252195
1539851661274,4706196065712197,-0.60498506,-0.31498593,0.52949554
1539851661278,4706196085711930,-0.9372958,-0.23251913,0.572867
1539851661296,4706196105711730,-0.7882446,0.016103018,0.5032283
1539851661316,4706196125711430,-0.2830591,0.2506753,0.34501424
1539851661334,4706196145711430,0.10911642,0.3875091,0.23933457
1539851661355,4706196165711396,0.20013534,0.38078958,0.15992208
1539851661375,4706196185711096,0.14699006,0.40644592,-0.0013463469
1539851661395,4706196205710796,-0.04421076,0.40400243,-0.09603046
1539851661416,4706196225710796,-0.33253914,0.23967971,-0.12474113
1539851661437,4706196245710729,-0.46082085,0.11506318,-0.10641517
1539851661455,4706196265711029,-0.41439512,0.11323059,-0.179719
1539851661479,4706196285710662,-0.28000477,0.22318634,-0.27501398
1539851661496,4706196305710095,-0.10590815,0.34230506,-0.41673473
1539851661515,4706196325709495,0.09689911,0.31664872,-0.58655524
1539851661611,4706196345708861,0.2691631,0.123004444,-0.61098987
1539851661611,4706196365708861,0.30825847,-0.10790262,-0.44239104
1539851661611,4706196385708861,0.34979734,-0.26550585,-0.25241196
1539851661611,4706196405708861,0.44936836,-0.35652477,-0.14612141
1539851661636,4706196425708894,0.47746816,-0.3259815,-0.18766025
1539851661658,4706196445708860,0.4768573,0.011826962,-0.089310944
1539851661658,4706196465708293,0.66317123,0.18286923,0.0927269
1539851661675,4706196485707693,0.9514996,0.25311872,0.2210086
1539851661693,4706196505707326,1.1481982,0.1798149,0.30164284
1539851661714,4706196525706759,0.8641459,-0.4982455,-0.04838297
1539851661735,4706196545706392,0.39500135,-0.5251236,-0.12657373
1539851661786,4706196565706025,0.032147396,-0.10118311,-0.044106916
1539851661811,4706196585705725,0.032147396,-0.10118311,-0.044106916
1539851661811,4706196605705358,0.032147396,-0.10118311,-0.044106916
1539851661815,4706196625704791,0.55626976,-0.41822216,-0.05204816
1539851661834,4706196645704457,0.6124694,-0.90324914,-0.23164254
1539851661855,4706196665703590,0.7040992,-0.781687,-0.27257052
1539851661874,4706196685703290,0.85192853,-0.06880725,-0.14367795
1539851661894,4706196705702890,0.78656596,0.5292298,-0.1339041
1539851661915,4706196725702556,0.43531844,0.40950024,-0.19254717
1539851661938,4706196745702822,9.932669E-4,-0.0022229385,-0.24324898
1539851661955,4706196765702822,-0.30443937,-0.29055133,-0.20537533
1539851661977,4706196785703122,-0.38751704,-0.3143751,-0.115578145
1539851661999,4706196805383176,-0.30077416,-0.42188737,-0.16383651
1539851662016,4706196825383142,0.013210572,-0.5122954,-0.06854153
1539851662038,4706196845416508,0.24045244,-0.3186511,-0.0050115385
1539851662058,4706196865483141,0.098731704,-0.0889658,-0.07892623
1539851662078,4706196885550174,-0.096134305,-0.14821972,-0.16261478
1539851662098,4706196905617407,-0.22013995,-0.33636624,-0.19010371
1539851662119,4706196925684407,-0.35147598,-0.2575646,-0.24813591
1539851662138,4706196945751673,-0.2683983,0.08268733,-0.39779788
1539851662160,4706196965818339,-0.14805785,0.4278262,-0.22736649
1539851662178,4706196985884739,-0.025884803,0.1517151,-0.06670893
1539851662198,4706197005951439,0.03886691,-0.21113886,-0.1076369
1539851662276,4706197026018072,-0.08819306,-0.36263344,-0.24202725
1539851662276,4706197046084772,-0.36063895,-0.24046038,-0.40573913
1539851662276,4706197066152005,-0.46631864,0.14377385,-0.24141638
1539851662281,4706197086219305,-0.045432493,0.13827606,-0.157117
1539851662298,4706197106286571,0.22945686,0.06497224,0.03897076
1539851662318,4706197126353804,0.28138041,-0.10362657,0.068903156
1539851662338,4706197146421070,0.20746571,-0.114622146,-0.024559228
1539851662358,4706197166488370,0.14027053,-0.17937386,-0.15039746
1539851662379,4706197186555336,0.09812084,-0.19708896,-0.24569245
1539851662400,4706197206655969,0.11522507,0.019157344,-0.18704937
1539851662420,4706197226756535,0.084070936,0.2537296,0.08173133
1539851662440,4706197246856901,-0.053984605,0.30382055,0.34684682
1539851662460,4706197266957734,-0.21952908,0.2378471,0.38349876
1539851662479,4706197287058300,-0.19753793,-0.0022229385,0.24971926
1539851662500,4706197307158933,0.0016041321,-0.20930625,0.12876794
1539851662521,4706197327259533,0.24595022,0.17859317,0.13121141
1539851662541,4706197347359533,0.49640498,0.5066278,0.21978687
1539851662559,4706197367459533,0.7670183,0.44431955,0.23322591
1539851662580,4706197387559499,0.8812501,0.18225837,0.09578123
1539851662599,4706197407659532,0.6509538,-0.046205234,0.20023918
1539851662619,4706197427759532,0.09323392,0.2867163,0.38594222
1539851662640,4706197447825898,-0.42722327,0.62513566,0.32546654
1539851662659,4706197467859264,-0.76319915,0.8670383,0.08112046
1539851662679,4706197487892564,-0.83711386,0.8059518,0.0151470145
1539851662698,4706197507925330,-0.6795106,0.4278262,0.05546412
1539851662719,4706197527958930,-0.38507357,0.3398616,0.20268264
1539851662739,4706197547992263,-0.11262767,0.4754737,0.30652973
1539851662760,4706197568025629,0.007101919,0.4192741,0.37983355
1539851662780,4706197588059229,-0.062536724,0.2537296,0.35600984
1539851662800,4706197608092529,-0.19875968,-0.13416983,0.26438004
1539851662820,4706197628125895,-0.34658906,-0.5104628,0.2808734
1539851662840,4706197648159195,-0.43638626,-0.5849884,0.2210086
1539851662860,4706197668192561,-0.39545828,-0.31009904,0.21856514
1539851662881,4706197688225861,-0.13217536,0.03626157,0.29186895
1539851662900,4706197708258927,0.24778283,0.032596383,0.17519371
1539851662920,4706197728292260,0.314978,-0.10912436,0.12204843
1539851662940,4706197748325593,0.23678724,-0.3265924,-0.018450573
1539851662960,4706197768358926,0.08773613,-0.4951912,-0.14428882
1539851662980,4706197788392559,-0.03260432,-0.51534975,-0.211484
1539851663000,4706197808392525,0.09140132,-0.12378512,-0.13207151
1539851663020,4706197828392558,0.20380053,-0.06330946,0.079287864
