timeMillis,timeNanos,x,y,z
1539851854935,4706389743928883,-0.57223165,5.978504,7.9418097
1539851854955,4706389776595549,-0.57223165,5.978504,7.9418097
1539851854974,4706389809262215,-0.57223165,5.978504,7.9418097
1539851854995,4706389841928881,-0.50998056,5.8587904,8.243488
1539851855015,4706389874595547,-0.45970076,5.7893567,8.226728
1539851855034,4706389907262213,-0.41181526,5.7534423,8.126168
1539851855054,4706389939928846,-0.29210153,5.7534423,7.745479
1539851855075,4706389972595546,-0.14365649,5.748654,7.781393
1539851855094,4706390005262246,0.043096945,5.767808,7.9346266
1539851855113,4706390037928312,0.23224466,5.774991,7.886741
1539851855135,4706390070594978,0.36871833,5.7031627,7.8795586
1539851855154,4706390103261711,1.0750294,5.3248672,8.183631
1539851855175,4706390135928377,0.84278476,5.3033185,8.825297
1539851855195,4706390168595010,0.5147691,5.2937417,8.676852
1539851855215,4706390201261676,0.7110996,5.3488097,8.274613
1539851855234,4706390233928342,1.0582695,5.375147,8.2027855
1539851855255,4706390266595042,0.90982443,5.3895125,8.322499
1539851855275,4706390299261708,0.6488485,5.2458563,8.432636
1539851855294,4706390331928374,0.50040346,5.2506447,8.413482
1539851855315,4706390364595074,0.41181526,5.3368387,8.152506
1539851855336,4706390397261740,0.17957062,5.377541,8.174054
1539851855355,4706390429928406,-0.062251143,5.3512044,8.147717
1539851855377,4706390462595072,0.035914123,5.420638,7.9992723
1539851855395,4706390495261738,0.15083931,5.4685235,7.8723755
1539851855415,4706390527928404,0.2561874,5.5092263,7.9777236
1539851855436,4706390560595070,0.17957062,5.3895125,7.965752
1539851855455,4706390593261736,0.30167863,5.4757066,7.9920893
1539851855473,4706390625929002,0.31365,5.669643,8.075889
1539851855495,4706390658595402,0.22745611,5.648094,7.953781
1539851855515,4706390691261502,0.18675344,5.6409116,7.7909703
1539851855534,4706390711262968,0.31125572,5.6169686,7.666468
1539851855556,4706390731262701,0.50998056,5.8611846,7.685622
1539851855575,4706390751262434,0.3974496,5.8947043,7.4270406
1539851855594,4706390771262434,0.39266106,6.0311785,7.3647895
1539851855682,4706390791261834,0.3974496,6.0838523,7.5587254
1539851855682,4706390811261600,0.4932206,6.1293435,7.676045
1539851855682,4706390831261600,0.58420306,6.141315,7.7143536
1539851855682,4706390851261333,0.69194543,6.0000525,7.431829
1539851855695,4706390871261799,0.80687064,6.095824,7.228316
1539851855714,4706390891262165,0.8356019,6.2346916,7.3815494
1539851855735,4706390911261898,0.5985687,6.062304,7.6185822
1539851855752,4706390931261231,0.9194015,5.95935,7.6712565
1539851855775,4706390951261231,1.6041641,6.1101894,7.884347
1539851855795,4706390971261231,1.9417568,6.265817,8.133351
1539851855815,4706390991261231,1.4150164,6.079064,8.197997
1539851855875,4706391011261231,1.0415095,6.119766,8.178843
1539851855875,4706391031260597,0.9122187,6.237086,8.181237
1539851855875,4706391051260030,0.7972935,6.124555,8.353624
1539851855893,4706391071259430,1.1947432,6.1700463,8.174054
1539851855913,4706391091258796,1.4605076,6.062304,7.965752
1539851855935,4706391111258829,1.5730386,5.995264,8.130958
1539851855957,4706391131258829,1.376708,5.643306,8.760652
1539851855975,4706391151258829,1.376708,5.262616,9.373586
1539851855994,4706391171258729,1.498816,4.9800916,9.4142885
1539851856013,4706391191258062,1.7382435,5.0136113,9.088667
1539851856033,4706391211257495,1.8531687,5.1189594,8.648121
1539851856053,4706391231256895,1.9585168,5.111777,8.466156
1539851856073,4706391251255695,2.0327394,4.98488,8.784595
1539851856094,4706391271255395,1.8459859,4.790944,9.541185
1539851856115,4706391291255295,1.3623424,4.6041903,9.787795
1539851856134,4706391311253228,0.7972935,4.599402,9.261055
1539851856162,4706391331252894,0.56744313,4.723904,8.712766
