timeMillis,timeNanos,x,y,z
1539851854714,4706389524152432,-5.04,-0.84,-35.52
1539851854734,4706389544152432,-4.62,-0.84,-34.68
1539851854753,4706389564152432,-4.2599998,-0.71999997,-34.8
1539851854774,4706389584152432,-4.56,-0.84,-33.899998
1539851854793,4706389604152432,-4.2599998,-0.96,-33.899998
1539851854813,4706389624152432,-4.62,-0.71999997,-34.5
1539851854833,4706389644152432,-4.44,-0.53999996,-34.26
1539851854853,4706389664152432,-4.38,-0.24,-34.62
1539851854875,4706389683928883,-4.38,0.0,-34.8
1539851854895,4706389703928883,-4.74,0.24,-34.68
1539851854919,4706389723928883,-4.74,0.29999998,-34.62
1539851854935,4706389743928883,-5.04,0.35999998,-34.86
1539851854955,4706389763928883,-4.56,0.48,-34.92
1539851854974,4706389783928883,-4.2,0.24,-34.86
1539851854995,4706389803928883,-4.44,0.24,-34.739998
1539851855015,4706389823928883,-4.3199997,-0.24,-34.02
1539851855034,4706389843928883,-4.02,-0.42,-33.239998
1539851855054,4706389863928883,-3.8999999,0.06,-33.059998
1539851855075,4706389883928938,-3.3,0.29999998,-33.0
1539851855094,4706389903928990,-3.4199998,0.84,-33.239998
1539851855113,4706389923928090,-4.08,0.78,-33.3
1539851855135,4706389943928090,-4.38,0.0,-33.54
1539851855154,4706389963928180,-5.1,-0.24,-33.54
1539851855175,4706389983928180,-4.8599997,-0.42,-33.78
1539851855195,4706390003928180,-4.68,0.17999999,-34.5
1539851855216,4706390023928180,-4.5,0.53999996,-34.559998
1539851855234,4706390043928180,-4.2599998,0.59999996,-35.34
1539851855255,4706390063928217,-4.5,0.48,-35.16
1539851855275,4706390083928217,-4.38,0.59999996,-35.04
1539851855294,4706390103928217,-4.02,1.02,-34.86
1539851855315,4706390123928250,-4.2599998,1.02,-34.079998
1539851855336,4706390143928250,-4.14,1.5,-34.26
1539851855355,4706390163928250,-4.38,1.1999999,-34.38
1539851855377,4706390183928250,-4.98,1.14,-34.26
1539851855395,4706390203928250,-4.92,1.1999999,-34.62
1539851855415,4706390223928283,-4.92,1.0799999,-34.8
1539851855436,4706390243928283,-4.98,1.3199999,-34.559998
1539851855455,4706390263928283,-4.98,1.3199999,-34.86
1539851855473,4706390283928883,-5.1,1.14,-34.98
1539851855495,4706390303928616,-5.46,1.14,-34.8
1539851855515,4706390323928382,-5.58,0.9,-34.8
1539851855534,4706390343929848,-5.8199997,1.0799999,-34.68
1539851855556,4706390363929581,-5.8199997,1.14,-34.98
1539851855575,4706390383929314,-6.0,0.84,-35.04
1539851855595,4706390403929314,-5.64,1.02,-35.1
1539851855682,4706390423928714,-5.94,1.02,-35.28
1539851855682,4706390443928480,-6.3599997,1.0799999,-34.98
1539851855682,4706390463928480,-6.8399997,1.4399999,-34.92
1539851855682,4706390483928213,-7.8599997,1.4399999,-34.92
1539851855695,4706390503928679,-8.4,0.78,-34.739998
1539851855714,4706390523929045,-8.58,0.78,-34.739998
1539851855735,4706390543928778,-8.22,0.59999996,-35.219997
1539851855752,4706390563928111,-8.04,0.42,-35.04
1539851855775,4706390583928111,-7.8599997,0.65999997,-35.04
1539851855795,4706390603928111,-7.9199996,0.65999997,-34.739998
1539851855815,4706390623928111,-8.82,0.9,-34.559998
1539851855875,4706390643928111,-9.66,0.96,-35.04
1539851855875,4706390663927477,-10.139999,0.9,-34.98
1539851855875,4706390683926910,-10.2,1.0799999,-35.28
1539851855893,4706390703926310,-10.38,0.84,-35.219997
1539851855913,4706390723925676,-10.38,0.71999997,-35.28
1539851855935,4706390743925709,-10.08,0.9,-35.52
1539851855957,4706390763925709,-9.54,1.3199999,-35.52
1539851855975,4706390783925709,-8.88,1.4399999,-35.64
1539851855994,4706390803925609,-8.28,1.74,-34.8
1539851856013,4706390823924942,-7.9199996,1.9799999,-34.5
1539851856033,4706390843924375,-8.22,1.56,-34.26
1539851856053,4706390863923775,-8.46,1.56,-34.079998
1539851856073,4706390883922575,-8.82,1.56,-34.32
1539851856094,4706390903922275,-9.179999,1.62,-34.26
1539851856115,4706390923922175,-9.36,1.8,-34.5
1539851856134,4706390943920108,-9.48,1.8,-34.14
1539851856210,4706390963919774,-9.84,1.92,-34.26
1539851856210,4706390983919440,-9.36,1.92,-34.44
1539851856210,4706391003918873,-9.36,1.8,-34.26
1539851856213,4706391023918873,-9.42,1.02,-34.26
1539851856234,4706391043918773,-9.9,0.65999997,-34.26
1539851856253,4706391063918206,-9.66,0.48,-34.5
1539851856274,4706391083917839,-9.719999,0.0,-34.68
1539851856295,4706391103917105,-10.26,0.65999997,-34.02
