timeMillis,timeNanos,value
1539851854573,4706389376153432,1022.2954
1539851854673,4706389476152432,1022.2998
1539851854774,4706389576151932,1022.29395
1539851854875,4706389675928883,1022.29517
1539851854974,4706389775928633,1022.2893
1539851855075,4706389875928633,1022.2761
1539851855175,4706389975928466,1022.28174
1539851855275,4706390075928323,1022.2842
1539851855377,4706390175928198,1022.27515
1539851855473,4706390275930086,1022.27637
1539851855575,4706390375929186,1022.28125
1539851855682,4706390475928458,1022.27954
1539851855775,4706390575928374,1022.2825
1539851855875,4706390675926989,1022.28345
1539851855975,4706390775926917,1022.28125
1539851856073,4706390875925650,1022.28125
1539851856210,4706390975924462,1022.2705
1539851856274,4706391075923344,1022.2844
1539851856375,4706391175923288,1022.2844
1539851856475,4706391275922814,1022.2859
1539851856575,4706391375922364,1022.28516
1539851856710,4706391475996305,1022.28516
1539851856775,4706391576041759,1022.28125
1539851856878,4706391676085237,1022.2908
1539851856978,4706391776168570,1022.2908
1539851857075,4706391876247850,1022.29346
1539851857179,4706391976324734,1022.2903
1539851857327,4706392076398771,1022.2903
1539851857378,4706392176470163,1022.2981
1539851857479,4706392276539094,1022.2981
1539851857578,4706392376605727,1022.2981
1539851857678,4706392476705727,1022.2971
1539851857779,4706392576839060,1022.30615
1539851857879,4706392676972393,1022.30566
1539851857980,4706392777105759,1022.2964
1539851858080,4706392877239059,1022.2927
1539851858178,4706392977371825,1022.301
1539851858281,4706393077505191,1022.3013
1539851858383,4706393181815227,1022.29126
1539851858482,4706393282014660,1022.2915
1539851858582,4706393382214926,1022.30347
1539851858681,4706393482415159,1022.3093
1539851858781,4706393582615159,1022.3093
1539851858882,4706393682815725,1022.3013
1539851858982,4706393783015725,1022.2998
1539851859082,4706393883216325,1022.2908
1539851859183,4706393983416925,1022.2893
1539851859282,4706394083617525,1022.2964
1539851859382,4706394183817558,1022.3003
1539851859483,4706394284051158,1022.3086
1539851859587,4706394384351458,1022.301
1539851859689,4706394484684824,1022.3032
1539851859788,4706394585084824,1022.29785
1539851859893,4706394685584824,1022.3008
1539851859993,4706394786117857,1022.2969
1539851860092,4706394886651790,1022.3059
1539851860193,4706394987185123,1022.3054
1539851860294,4706395087718456,1022.2971
1539851860394,4706395188251789,1022.29736
1539851860497,4706395288851789,1022.292
1539851860598,4706395389551789,1022.292
1539851860700,4706395490285122,1022.29297
1539851860803,4706395591018455,1022.2993
1539851860906,4706395691851788,1022.2993
1539851861004,4706395792751154,1022.291
1539851861107,4706395893651154,1022.28125
1539851861207,4706395994551454,1022.28125
1539851861310,4706396095551420,1022.2766
1539851861413,4706396196551420,1022.2798
1539851861513,4706396297551420,1022.29443
1539851861612,4706396398551453,1022.29224
1539851861711,4706396499551453,1022.2866
1539851861811,4706396600551486,1022.2881
1539851861912,4706396701551486,1022.2947
1539851862011,4706396802551019,1022.2881
1539851862117,4706396903550752,1022.2915
1539851862212,4706397004550752,1022.2927
1539851862312,4706397105550752,1022.3015
1539851862412,4706397206550718,1022.30566
1539851862511,4706397307517418,1022.3113
1539851862613,4706397408417384,1022.30664
1539851862711,4706397509284050,1022.3042
