timeMillis,timeNanos,value
1540781534373,83377500880455,1016.1367
1540781534473,83377600914455,1016.1299
1540781534578,83377700923455,1016.12476
1540781534674,83377800923455,1016.12085
1540781534774,83377900921705,1016.1111
1540781534876,83378000920305,1016.10815
1540781534979,83378099644486,1016.1118
1540781535077,83378199647057,1016.10693
1540781535180,83378299648432,1016.1123
1540781535275,83378399650432,1016.11035
1540781535398,83378499652232,1016.10474
1540781535477,83378599653959,1016.105
1540781535578,83378699655459,1016.103
1540781535677,83378799656920,1016.1011
1540781535780,83378899658205,1016.1035
1540781535876,83378999658538,1016.09814
1540781535976,83379099659663,1016.09375
1540781536078,83379199660251,1016.0945
1540781536176,83379299660251,1016.0991
1540781536290,83379399661198,1016.09937
1540781536375,83379499661248,1016.1028
1540781536502,83379599661248,1016.09985
1540781536575,83379699661338,1016.1006
1540781536680,83379800128101,1016.10913
1540781536791,83379900128892,1016.1052
1540781536877,83380000129612,1016.1001
1540781536979,83380100130304,1016.0952
1540781537080,83380200168007,1016.0947
1540781537179,83380300204364,1016.0989
1540781537293,83380400239467,1016.10767
1540781537378,83380500273400,1016.104
1540781537478,83380600306200,1016.1057
1540781537578,83380700339533,1016.11084
1540781537678,83380800373466,1016.1101
1540781537778,83380900407666,1016.10376
1540781537880,83381000441832,1016.10864
1540781537978,83381100475198,1016.1067
1540781538078,83381200508531,1016.1101
1540781538181,83381300608797,1016.11035
1540781538292,83381400708797,1016.0979
1540781538379,83381500808797,1016.0969
1540781538482,83381600908763,1016.0967
1540781538582,83381701042096,1016.0913
1540781538681,83381801175396,1016.093
1540781538783,83381901308729,1016.0925
1540781538881,83382001442495,1016.08813
1540781538982,83382101575828,1016.09985
1540781539086,83382201742761,1016.1028
1540781539185,83382301976727,1016.10254
1540781539283,83382402210060,1016.09375
1540781539384,83382502443993,1016.0896
1540781539484,83382602677926,1016.0952
1540781539586,83382702945159,1016.09717
1540781539727,83382803311792,1016.095
1540781539791,83382903745092,1016.0969
1540781539893,83383004278458,1016.0989
1540781539996,83383104845124,1016.1018
1540781540094,83383205378457,1016.10376
1540781540196,83383305945123,1016.09595
1540781540297,83383406578456,1016.0996
1540781540396,83383507211789,1016.1062
1540781540497,83383607845122,1016.1128
1540781540603,83383708578455,1016.10156
1540781540702,83383809345121,1016.10547
1540781540804,83383910178421,1016.0945
1540781540906,83384011011787,1016.09424
1540781541004,83384111845087,1016.10205
1540781541103,83384212678453,1016.1001
1540781541204,83384313445086,1016.09863
1540781541303,83384414211519,1016.1006
1540781541403,83384514978185,1016.1013
1540781541505,83384615777918,1016.0952
1540781541605,83384716544584,1016.0989
1540781541708,83384817377917,1016.105
1540781541808,83384918211250,1016.1023
1540781541909,83385019111250,1016.09644
1540781542011,83385120077916,1016.0984
1540781542117,83385221111249,1016.08374
1540781542214,83385322077882,1016.09644
1540781542313,83385423043982,1016.0884
1540781542414,83385524043948,1016.08203
1540781542517,83385625110648,1016.0835
1540781542663,83385726143981,1016.0847
1540781542717,83385827077347,1016.1006
1540781542818,83385927944047,1016.10376
1540781542917,83386028710680,1016.1101
1540781543019,83386129444013,1016.1074
1540781543117,83386230177346,1016.1057
1540781543217,83386330877346,1016.0962
1540781543317,83386431543412,1016.0962
1540781543414,83386532209478,1016.09863
1540781543518,83386632876144,1016.1006
1540781543619,83386733442810,1016.1052
1540781543719,83386833976176,1016.1013
1540781543818,83386934442842,1016.0935
1540781543920,83387034909508,1016.09155
1540781544065,83387135376174,1016.0974
1540781544117,83387235842840,1016.1001
1540781544217,83387336309506,1016.09985
1540781544315,83387436809139,1016.0991
1540781544418,83387537309139,1016.0928
1540781544520,83387637776072,1016.0957
1540781544617,83387738242738,1016.09204
1540781544719,83387838642738,1016.10254
1540781544821,83387939042738,1016.11597
1540781544919,83388039376071,1016.10425
1540781545020,83388139642737,1016.1067
1540781545120,83388239809437,1016.09717
1540781545218,83388339976137,1016.0984
1540781545315,83388440142803,1016.09814
1540781545450,83388540276136,1016.1033
1540781545518,83388640409469,1016.1101
1540781545619,83388740576102,1016.10376
1540781545723,83388840742735,1016.1018
1540781545824,83388940942701,1016.10376
1540781545926,83389041242701,1016.1006
1540781546029,83389141609367,1016.10645
1540781546131,83389242076033,1016.094
1540781546233,83389342576033,1016.1133
1540781546329,83389443042699,1016.1062
1540781546430,83389543509965,1016.103
1540781546534,83389644009998,1016.104
1540781546635,83389744509998,1016.10913
1540781546732,83389845009998,1016.1006
1540781546833,83389945510031,1016.09985
1540781546934,83390046010031,1016.1101
1540781547032,83390146510031,1016.1067
1540781547132,83390247009997,1016.1057
1540781547234,83390347509997,1016.10474
1540781547330,83390447976663,1016.11035
1540781547431,83390548443329,1016.1094
1540781547534,83390648909995,1016.10596
1540781547632,83390749409995,1016.1067
1540781547732,83390849909995,1016.103
1540781547835,83390950409995,1016.09766
1540781547935,83391051010028,1016.0947
1540781548036,83391151610028,1016.0952
1540781548141,83391252276694,1016.1006
1540781548238,83391352943360,1016.10474
1540781548396,83391453610026,1016.09717
1540781548439,83391554276692,1016.0974
1540781548536,83391654876658,1016.0989
1540781548637,83391755443324,1016.09863
1540781548742,83391856076657,1016.10815
1540781548842,83391956709990,1016.09985
1540781548942,83392057243323,1016.1033
1540781549044,83392157709989,1016.1106
1540781549143,83392258076655,1016.10815
1540781549256,83392358409988,1016.10205
1540781549342,83392458743354,1016.1052
1540781549441,83392559076687,1016.1135
1540781549541,83392659376687,1016.11035
1540781549642,83392759676687,1016.1094
1540781549744,83392860076687,1016.09985
1540781549868,83392960509987,1016.105
1540781549948,83393060976620,1016.11035
1540781550049,83393161509953,1016.1116
1540781550150,83393262076619,1016.1052
1540781550325,83393362643285,1016.0952
1540781550354,83393463209951,1016.0979
1540781550448,83393563776617,1016.09546
1540781550551,83393664343283,1016.1033
1540781550650,83393764943283,1016.1074
1540781550752,83393865609949,1016.10474
1540781550856,83393966309949,1016.1079
1540781550957,83394067009915,1016.1162
1540781551058,83394167709948,1016.1289
1540781551160,83394268343281,1016.11646
1540781551310,83394368976614,1016.1145
1540781551401,83394469610514,1016.10596
1540781551458,83394570243880,1016.11304
1540781551558,83394670877213,1016.11694
1540781551656,83394771510546,1016.11816
1540781551764,83394872143879,1016.11206
1540781551861,83394972843879,1016.1028
1540781551967,83395073610545,1016.0969
1540781552069,83395174443878,1016.1045
1540781552166,83395275277211,1016.104
1540781552328,83395376143877,1016.09937
1540781552370,83395477011110,1016.0969
1540781552466,83395577877810,1016.08765
1540781552569,83395678811110,1016.0923
1540781552670,83395779777810,1016.09863
1540781552772,83395880710876,1016.0935
1540781552870,83395981610909,1016.09375
1540781552974,83396082477609,1016.0879
1540781553075,83396183344275,1016.08325
1540781553178,83396284277641,1016.0945
1540781553336,83396385210974,1016.09814
1540781553375,83396486144907,1016.09814
1540781553476,83396587078240,1016.1008
1540781553578,83396688011573,1016.0991
1540781553675,83396788878239,1016.09766
1540781553778,83396889678239,1016.11035
1540781553880,83396990444939,1016.104
1540781553978,83397091111605,1016.0947
1540781554078,83397191778271,1016.09033
1540781554178,83397292444937,1016.10425
1540781554276,83397393111603,1016.0991
1540781554377,83397493778269,1016.10547
1540781554479,83397594444902,1016.104
1540781554576,83397695111568,1016.0991
1540781554678,83397795778234,1016.0869
1540781554780,83397896378234,1016.0884
1540781554879,83397996878234,1016.095
1540781554978,83398097311567,1016.09106
1540781555079,83398197678233,1016.0901
1540781555178,83398298044899,1016.08276
1540781555299,83398398378265,1016.0847
1540781555377,83398498711631,1016.0886
1540781555478,83398599044964,1016.09546
1540781555595,83398699311630,1016.09106
1540781555678,83398799544963,1016.09595
1540781555778,83398899711863,1016.0913
1540781555878,83398999878496,1016.08887
1540781555978,83399100045129,1016.09106
1540781556078,83399200145129,1016.09985
1540781556178,83399300145095,1016.1008
1540781556281,83399400145095,1016.09204
1540781556378,83399500145128,1016.08105
1540781556477,83399600145128,1016.0913
1540781556581,83399700211828,1016.08984
1540781556681,83399800378528,1016.093
1540781556783,83399900545228,1016.094
1540781556884,83400000711894,1016.09375
1540781556988,83400100911894,1016.08154
1540781557084,83400201178560,1016.08203
1540781557191,83400301545193,1016.08203
1540781557293,83400401911826,1016.08813
1540781557388,83400502278492,1016.0774
1540781557488,83400602645158,1016.0747
1540781557588,83400703011824,1016.07715
1540781557688,83400803378490,1016.0923
1540781557790,83400903745156,1016.0884
1540781557888,83401004111822,1016.0969
1540781557989,83401104478488,1016.0867
1540781558091,83401204945188,1016.09033
1540781558193,83401305511854,1016.08716
1540781558292,83401406078520,1016.094
1540781558427,83401506645186,1016.0989
1540781558492,83401607211852,1016.10034
1540781558592,83401707778518,1016.0952
1540781558694,83401808378484,1016.0901
1540781558795,83401909011817,1016.09937
1540781558894,83402009645150,1016.10547
1540781558997,83402110311816,1016.09546
1540781559097,83402211045149,1016.08203
1540781559198,83402321679172,1016.0808
1540781559301,83402422445572,1016.0813
1540781559399,83402523245272,1016.08984
1540781559500,83402624045305,1016.1011
1540781559603,83402724878605,1016.1028
1540781559705,83402825711905,1016.08325
1540781559806,83402926611905,1016.0874
1540781559908,83403027511871,1016.08887
1540781560008,83403128378571,1016.0906
1540781560117,83403229278571,1016.0879
1540781560215,83403330145271,1016.0879
1540781560321,83403431078037,1016.08936
1540781560415,83403532010770,1016.0906
1540781560515,83403632944103,1016.0925
1540781560617,83403733910769,1016.09814
1540781560719,83403834977435,1016.1052
1540781560828,83403936044101,1016.0952
1540781560923,83404043387930,1016.0842
1540781561022,83404144521263,1016.09155
1540781561126,83404245587896,1016.09814
1540781561223,83404346554562,1016.09644
1540781561321,83404447553928,1016.0969
1540781561426,83404548553928,1016.09717
1540781561524,83404649587261,1016.10156
1540781561623,83404750620627,1016.0928
1540781561725,83404851653993,1016.1018
1540781561829,83404952720659,1016.1096
1540781561931,83405053820692,1016.09985
1540781562033,83405154887358,1016.1023
1540781562133,83405255987358,1016.0969
1540781562235,83405357154024,1016.1045
1540781562335,83405458320357,1016.1035
1540781562433,83405559453957,1016.1057
1540781562535,83405660587257,1016.10596
1540781562645,83405759297275,1016.10376
1540781562737,83405860297275,1016.1111
1540781562839,83405961230575,1016.115
1540781562941,83406062197275,1016.1167
1540781563039,83406163197241,1016.1128
1540781563142,83406264163907,1016.1013
1540781563244,83406365097240,1016.11035
1540781563342,83406465997240,1016.1062
1540781563443,83406566897873,1016.10693
1540781563544,83406667797873,1016.10205
1540781563642,83406768664573,1016.09863
1540781563746,83406869464573,1016.09375
1540781563847,83406970331239,1016.0974
1540781563952,83407071265239,1016.1062
1540781564069,83407172165239,1016.10474
1540781564154,83407273131905,1016.0923
1540781564254,83407374098571,1016.09644
1540781564351,83407475065237,1016.08716
1540781564454,83407575269542,1016.0864
1540781564554,83407676236175,1016.0901
1540781564657,83407777269508,1016.08887
1540781564761,83407878369474,1016.0825
1540781564861,83407979436174,1016.0725
1540781564961,83408080536174,1016.0774
1540781565066,83408181736174,1016.0852
1540781565163,83408282836207,1016.0852
1540781565284,83408383869540,1016.0796
1540781565369,83408484869906,1016.0857
1540781565463,83408585869906,1016.08765
1540781565565,83408686903239,1016.083
1540781565667,83408787869905,1016.08105
1540781565769,83408888903238,1016.07104
1540781565870,83408990003238,1016.07275
1540781565974,83409091103204,1016.0752
1540781566070,83409192169870,1016.07715
1540781566173,83409295288541,1016.08496
1540781566285,83409396355174,1016.0803
1540781566373,83409497389107,1016.074
1540781566472,83409598422407,1016.07495
1540781566575,83409699455773,1016.0886
1540781566676,83409800522439,1016.095
1540781566777,83409901622472,1016.09326
1540781566945,83410002755838,1016.0835
1540781566983,83410103888504,1016.0791
1540781567087,83410205088537,1016.083
1540781567187,83410306188537,1016.0857
1540781567313,83410407321870,1016.08984
1540781567386,83410508422470,1016.0967
1540781567489,83410609522470,1016.08716
1540781567588,83410710622470,1016.0852
1540781567696,83410811689103,1016.0857
1540781567795,83410911252771,1016.09155
1540781567890,83411012219404,1016.0962
1540781567991,83411113152704,1016.09717
1540781568094,83411214052737,1016.09155
1540781568196,83411315052703,1016.0869
1540781568301,83411416152736,1016.09155
1540781568412,83411517252736,1016.09106
1540781568498,83411618386102,1016.0884
1540781568600,83411719486135,1016.0918
1540781568701,83411820586135,1016.07666
1540781568800,83411921652835,1016.084
1540781568903,83412022719501,1016.0935
1540781569004,83412123752834,1016.09204
1540781569103,83412224819500,1016.095
1540781569205,83412325852833,1016.0901
1540781569343,83412426885899,1016.094
1540781569403,83412527918599,1016.0967
1540781569505,83412628951932,1016.0923
1540781569609,83412728155116,1016.0913
1540781569706,83412829188416,1016.09375
1540781569811,83412930221749,1016.0935
1540781569912,83413031155082,1016.094
1540781570009,83413132021782,1016.1006
1540781570111,83413232855082,1016.1023
1540781570214,83413333721782,1016.0967
1540781570333,83413434587848,1016.09375
1540781570411,83413535454514,1016.08984
1540781570512,83413636321180,1016.0923
1540781570613,83413737154513,1016.0906
1540781570715,83413837987846,1016.0913
1540781570815,83413938787846,1016.09595
1540781570916,83414039654512,1016.095
1540781571017,83414140554512,1016.0867
1540781571120,83414241387812,1016.0857
1540781571218,83414342121178,1016.09106
1540781571337,83414440031692,1016.1074
1540781571441,83414540698625,1016.1101
1540781571518,83414641331958,1016.10913
1540781571618,83414741998624,1016.10034
