timeMillis,timeNanos,x,y,z
1541665842098,423089635144961,-0.026337024,0.11013664,9.785401
1541665842098,423089655145961,-0.026337024,0.11013664,9.785401
1541665842117,423089675145961,-0.026337024,0.11013664,9.785401
1541665842136,423089695145961,-0.026337024,0.11013664,9.785401
1541665842158,423089715146211,-0.04070267,0.10055954,9.802161
1541665842179,423089735146211,-0.038308397,0.10774237,9.775824
1541665842196,423089755146211,-0.021548472,0.11253092,9.775824
1541665842215,423089775146211,-0.038308397,0.12210801,9.780613
1541665842237,423089795146211,-0.016759925,0.11253092,9.768641
1541665842255,423089815146322,-0.023942748,0.10055954,9.783007
1541665842275,423089835146322,-0.043096945,0.105348095,9.794978
1541665842297,423089855146322,-0.028731298,0.117319465,9.742304
1541665842315,423089875146405,-0.021548472,0.11253092,9.771035
1541665842336,423089895146405,-0.023942748,0.13168511,9.768641
1541665842357,423089915146405,-0.023942748,0.105348095,9.771035
1541665842377,423089935146405,-0.021548472,0.11492519,9.778218
1541665842397,423089955146405,-0.023942748,0.11971374,9.766247
1541665842417,423089975146463,-0.038308397,0.10774237,9.766247
1541665842436,423089995146463,-0.026337024,0.11253092,9.761458
1541665842456,423090015146463,-0.028731298,0.13168511,9.763853
1541665842478,423090035146513,-0.011971374,0.12689656,9.778218
1541665842497,423090055146513,-0.021548472,0.11971374,9.75667
1541665842516,423090075147240,-0.0047885496,0.12450229,9.77343
1541665842551,423090095146892,0.021548472,0.16520496,9.179649
1541665842602,423090115464343,-0.0023942748,0.15323359,9.076695
1541665842602,423090135464343,-0.06464542,0.102953814,9.452597
1541665842602,423090155464343,-0.08140534,0.062251143,10.182851
1541665842617,423090175464343,-0.05027977,0.076616794,10.10384
1541665842636,423090195464378,-0.062251143,0.07901107,9.993703
1541665842657,423090215464378,-0.023942748,0.12210801,9.488511
1541665842677,423090235464411,-0.011971374,0.12689656,9.471751
1541665842698,423090255464377,-0.102953814,0.05027977,10.144543
1541665842718,423090275464410,-0.090982445,0.04070267,10.637763
1541665842737,423090295464410,-0.026337024,0.117319465,10.08708
1541665842757,423090315464110,-0.028731298,0.12210801,9.811738
1541665842779,423090335464110,-0.021548472,0.12210801,9.783007
1541665842797,423090355464110,-0.021548472,0.11971374,9.780613
1541665842817,423090375464110,-0.028731298,0.11971374,9.761458
1541665842839,423090395464143,-0.035914123,0.12210801,9.768641
1541665842857,423090415464109,-0.031125572,0.11013664,9.780613
1541665842878,423090435464142,-0.028731298,0.12210801,9.77343
1541665842901,423090455464142,-0.021548472,0.105348095,9.751882
1541665842918,423090475464108,-0.031125572,0.12929083,9.785401
1541665842939,423090495464141,-0.019154198,0.102953814,9.778218
1541665842960,423090515464141,-0.03351985,0.105348095,9.787795
1541665842977,423090535464141,-0.028731298,0.11971374,9.766247
1541665842999,423090555464174,-0.031125572,0.11253092,9.754275
1541665843019,423090575464140,-0.023942748,0.11971374,9.768641
1541665843038,423090595464173,-0.026337024,0.11013664,9.763853
1541665843060,423090615464173,-0.026337024,0.11013664,9.775824
1541665843079,423090635464139,-0.023942748,0.11492519,9.780613
1541665843098,423090655464172,-0.028731298,0.12929083,9.759064
1541665843119,423090675463638,-0.014365649,0.11013664,9.763853
1541665843141,423090695463904,-0.021548472,0.10774237,9.766247
1541665843158,423090715464170,-0.014365649,0.11253092,9.792584
1541665843180,423090735464170,-0.023942748,0.11013664,9.77343
1541665843273,423090755464203,-0.021548472,0.11013664,9.775824
1541665843273,423090775464203,-0.023942748,0.098165266,9.763853
1541665843273,423090795464169,-0.031125572,0.09577099,9.79019
1541665843273,423090815464202,-0.014365649,0.098165266,9.761458
1541665843278,423090835464168,0.0,0.098165266,9.780613
1541665843297,423090855464201,-0.031125572,0.105348095,9.766247
1541665843318,423090875464167,-0.038308397,0.10774237,9.792584
1541665843337,423090895464167,-0.026337024,0.105348095,9.799767
1541665843357,423090915464467,-0.011971374,0.11013664,9.780613
1541665843378,423090935464467,-0.016759925,0.11971374,9.763853
1541665843398,423090955464467,-0.019154198,0.11492519,9.780613
1541665843419,423090975464500,-0.014365649,0.11971374,9.77343
1541665843439,423090995464466,-0.021548472,0.1340794,9.79019
1541665843460,423091015464499,-0.028731298,0.09577099,9.783007
1541665843478,423091035464465,-0.021548472,0.10774237,9.794978
1541665843499,423091055464465,-0.026337024,0.11492519,9.797373
1541665843521,423091075464465,-0.023942748,0.11013664,9.783007
1541665843538,423091095464431,-0.04070267,0.12450229,9.783007
1541665843558,423091115464431,-0.019154198,0.105348095,9.771035
1541665843577,423091135464431,-0.016759925,0.11013664,9.787795
1541665843600,423091155464397,-0.019154198,0.11253092,9.792584
1541665843619,423091175464430,-0.026337024,0.12450229,9.766247
1541665843639,423091195464396,-0.016759925,0.098165266,9.77343
1541665843658,423091215464429,-0.035914123,0.11253092,9.828498
1541665843680,423091235464429,-0.021548472,0.12450229,9.794978
1541665843699,423091255464395,-0.009577099,0.105348095,9.79019
1541665843718,423091275464428,-0.023942748,0.117319465,9.79019
1541665843738,423091295464428,-0.021548472,0.13168511,9.785401
1541665843757,423091315464428,-0.031125572,0.10774237,9.792584
1541665843778,423091335464461,-0.011971374,0.105348095,9.802161
1541665843799,423091355464427,-0.014365649,0.105348095,9.785401
1541665843819,423091375497793,-0.023942748,0.117319465,9.802161
1541665843840,423091395564459,0.0,0.12450229,9.771035
1541665843862,423091415664425,-0.045491222,0.10774237,9.816526
1541665843882,423091435764458,-0.021548472,0.102953814,9.821315
1541665843901,423091455863824,-0.021548472,0.11013664,9.778218
1541665843923,423091475963857,-0.031125572,0.12689656,9.811738
1541665843942,423091496063857,-0.04070267,0.102953814,9.783007
1541665843963,423091516163823,-0.026337024,0.105348095,9.775824
1541665843983,423091536263823,-0.021548472,0.117319465,9.818921
1541665844002,423091556363823,-0.031125572,0.12450229,9.809344
1541665844022,423091576463789,-0.023942748,0.11013664,9.778218
1541665844043,423091596563822,-0.014365649,0.10774237,9.794978
1541665844062,423091616663788,-0.014365649,0.11253092,9.778218
1541665844084,423091636763821,-0.026337024,0.117319465,9.785401
1541665844103,423091656863821,-0.03351985,0.11253092,9.804555
1541665844121,423091676963821,-0.026337024,0.12450229,9.794978
1541665844143,423091697097154,-0.016759925,0.11492519,9.77343
1541665844164,423091717263820,-0.04070267,0.11253092,9.775824
1541665844183,423091737430486,-0.023942748,0.11492519,9.799767
1541665844294,423091757597152,-0.023942748,0.117319465,9.809344
1541665844294,423091777797118,-0.038308397,0.117319465,9.821315
1541665844294,423091798030484,-0.023942748,0.102953814,9.771035
1541665844294,423091818263784,-0.019154198,0.10774237,9.783007
1541665844294,423091842020726,-0.016759925,0.12210801,9.833286
1541665844317,423091862254059,-0.031125572,0.105348095,9.75667
1541665844325,423091882487359,-0.021548472,0.117319465,9.787795
1541665844347,423091902720725,-0.014365649,0.10774237,9.8237095
1541665844364,423091922954058,-0.019154198,0.11253092,9.775824
1541665844384,423091943187358,-0.04070267,0.098165266,9.814133
1541665844408,423091963420691,-0.016759925,0.102953814,9.768641
1541665844425,423091983620657,-0.023942748,0.117319465,9.864412
1541665844445,423092003787357,-0.023942748,0.11013664,9.79019
1541665844467,423092023920690,-0.031125572,0.10055954,9.794978
1541665844486,423092044053723,-0.016759925,0.11492519,9.8237095
1541665844510,423092064187356,-0.0023942748,0.10774237,9.783007
1541665844528,423092084320656,-0.026337024,0.11253092,9.821315
1541665844544,423092104453989,-0.031125572,0.11492519,9.794978
1541665844563,423092124586722,-0.035914123,0.12450229,9.778218
1541665844591,423092144720055,-0.028731298,0.102953814,9.787795
1541665844605,423092164853421,-0.021548472,0.10055954,9.766247
1541665844624,423092184986754,-0.04070267,0.11492519,9.778218
1541665844645,423092205120054,-0.03351985,0.11253092,9.77343
1541665844667,423092225286754,-0.028731298,0.11013664,9.766247
1541665844686,423092245453387,-0.26337022,-0.10774237,9.787795
1541665844709,423092265653420,-0.16520496,0.0047885496,9.830893
1541665844727,423092285886753,0.08858817,0.36632404,9.75667
1541665844750,423092306120119,0.17478207,0.28013015,9.780613
1541665844771,423092326320119,0.17957062,0.21548474,9.847652
1541665844789,423092346520119,0.07422252,0.05506832,9.826104
1541665844811,423092366753452,0.23463893,0.4764607,9.895537
1541665844833,423092386986785,-0.36392978,-0.35435268,9.864412
1541665844852,423092407186751,-0.2466103,-0.102953814,9.62259
1541665844872,423092427386784,-0.06464542,-0.08140534,9.8237095
1541665844894,423092447620084,-0.09337672,0.10774237,9.869201
1541665844916,423092467886784,-0.818842,-0.55786604,9.821315
1541665844935,423092488153450,0.13168511,-0.22027329,9.318518
1541665844955,423092508420083,1.1300977,0.07422252,9.897932
1541665844974,423092528720116,0.2777359,-0.68715686,9.677659
1541665844996,423092549053449,-0.4956149,-0.4860378,10.063137
1541665845018,423092569386815,-0.26337022,-0.5363176,9.699207
1541665845035,423092589720148,0.2681588,-0.117319465,9.720756
1541665845057,423092610086781,0.409421,-0.31365,9.864412
1541665845079,423092630486781,1.4533248,-0.6105401,9.60583
1541665845102,423092650920381,1.4293821,-0.9720756,9.61062
1541665845118,423092671354014,0.88588166,-1.185166,9.534002
1541665845140,423092691787380,1.4533248,-1.2402344,9.845258
1541665845159,423092712254046,1.9130256,-0.8332076,9.799767
1541665845180,423092732754679,1.7310607,-0.4189981,9.313729
1541665845204,423092753254679,1.7023294,-0.23463893,10.029617
1541665845277,423092773754679,1.8507744,-0.44054657,9.517242
1541665845277,423092794288012,1.8435916,-0.67279124,10.034406
1541665845277,423092814854678,3.0048149,-0.8140534,9.536397
1541665845287,423092835388011,1.9704882,-1.1899546,9.763853
1541665845305,423092855921344,0.009577099,-0.6560313,9.227535
1541665845324,423092876454644,1.4245936,-0.6608198,9.316123
1541665845343,423092896987977,3.8547823,-0.038308397,9.797373
1541665845365,423092917487943,5.1189594,0.20111908,10.7048025
1541665845384,423092937987976,4.333637,-0.22027329,10.439038
1541665845406,423092958521309,5.664854,-1.0534809,10.144543
1541665845429,423092979054642,6.4621477,-0.14844504,5.2506447
1541665845448,423092999554675,4.6065845,-1.1708003,10.951413
1541665845467,423093020054675,3.6632404,0.71588814,11.157321
1541665845486,423093040554408,3.632115,0.723071,11.178869
1541665845508,423093061020808,4.122941,0.24421602,10.5803
1541665845528,423093081454108,3.8715425,0.7685622,10.2642565
1541665845545,423093101886841,3.344802,1.403045,10.331296
1541665845569,423093122320174,5.4757066,1.1660118,9.397529
1541665845586,423093142720140,7.1828246,1.6185298,7.9322324
1541665845606,423093163120173,7.6880164,2.6983478,7.450983
1541665845630,423093183520139,7.1756415,2.8084843,7.4629545
1541665845648,423093203953505,6.8236833,2.2697725,7.3671837
1541665845668,423093224353505,6.8524146,3.059883,6.9314256
1541665845719,423093244719938,6.404685,3.3855045,6.8691745
1541665845719,423093265053271,5.849213,3.3232534,5.420638
1541665845729,423093285386604,5.521198,3.8859081,5.454158
1541665845749,423093305719904,6.960157,5.2841644,5.420638
1541665845767,423093326019904,4.5347567,4.0894213,7.4198575
1541665845789,423093346286537,2.6624336,3.727886,7.371972
1541665845810,423093366553237,1.0415095,4.189981,6.7829804
1541665845829,423093386819870,2.7773588,4.905869,9.534002
1541665845850,423093407053236,4.106181,4.886715,9.953
1541665845870,423093427253236,3.7757714,4.9968514,9.136553
1541665845890,423093447453202,3.5411325,5.111777,7.953781
1541665845909,423093467653235,3.6177492,5.3440213,7.084659
1541665845930,423093487819901,3.2442424,6.064698,6.019207
1541665845949,423093507986567,3.7709827,6.466936,6.3711653
1541665845971,423093528186567,2.925804,6.2251143,7.388732
1541665845993,423093548419867,2.8731298,5.525986,6.3975024
1541665846012,423093568653233,1.6664152,5.454158,5.94259
1541665846032,423093588853233,1.1947432,6.143709,6.691998
1541665846055,423093609053199,-0.888276,4.5491223,6.9505796
1541665846075,423093629286565,1.541913,4.740664,6.8859344
