timeMillis,timeNanos,x,y,z
1541665842357,423089915144961,1.0995574E-4,1.2217305E-5,-5.241224E-4
1541665842377,423089935144961,7.20821E-4,1.2217305E-5,-5.241224E-4
1541665842397,423089955144961,1.0995574E-4,-5.98648E-4,-5.241224E-4
1541665842417,423089975145294,1.0995574E-4,-5.98648E-4,-0.0011349876
1541665842436,423089995145294,1.0995574E-4,-5.98648E-4,-5.241224E-4
1541665842456,423090015145294,1.0995574E-4,-5.98648E-4,-0.0011349876
1541665842478,423090035145460,7.20821E-4,-5.98648E-4,-0.0011349876
1541665842497,423090055145460,1.0995574E-4,-5.98648E-4,-5.241224E-4
1541665842516,423090075147460,1.0995574E-4,1.2217305E-5,-0.0011349876
1541665842576,423090095146571,-5.009095E-4,6.2308257E-4,-0.0011349876
1541665842602,423090115464343,-5.009095E-4,6.2308257E-4,-0.0011349876
1541665842602,423090135464343,-5.009095E-4,6.2308257E-4,-0.0011349876
1541665842602,423090155464343,-0.007831292,0.008564331,-5.241224E-4
1541665842617,423090175464343,-0.0090530235,0.008564331,-0.002356718
1541665842636,423090195464414,0.0013316863,0.008564331,8.674286E-5
1541665842658,423090215464414,1.0995574E-4,0.008564331,-0.0011349876
1541665842677,423090235464476,1.0995574E-4,0.008564331,-5.241224E-4
1541665842698,423090255464476,1.0995574E-4,0.009786061,-0.0011349876
1541665842718,423090275464531,0.0019425515,0.007953466,-5.241224E-4
1541665842737,423090295464531,-5.009095E-4,1.2217305E-5,-0.0011349876
1541665842757,423090315464131,1.0995574E-4,-5.98648E-4,-5.241224E-4
1541665842779,423090335464131,1.0995574E-4,-0.0012095132,6.976081E-4
1541665842797,423090355464131,1.0995574E-4,-0.0012095132,-0.0017458529
1541665842817,423090375464131,-5.009095E-4,-5.98648E-4,-0.0017458529
1541665842839,423090395464172,7.20821E-4,-0.0012095132,-0.0011349876
1541665842857,423090415464172,7.20821E-4,1.2217305E-5,8.674286E-5
1541665842878,423090435464210,0.0013316863,-5.98648E-4,-0.0017458529
1541665842901,423090455464210,7.20821E-4,6.2308257E-4,-0.0011349876
1541665842918,423090475464210,7.20821E-4,1.2217305E-5,-5.241224E-4
1541665842939,423090495464244,7.20821E-4,-5.98648E-4,-0.0017458529
1541665842960,423090515464244,1.0995574E-4,1.2217305E-5,-5.241224E-4
1541665842977,423090535464244,7.20821E-4,-5.98648E-4,-5.241224E-4
1541665842999,423090555464277,7.20821E-4,1.2217305E-5,-5.241224E-4
1541665843019,423090575464243,-0.0011117748,-0.0012095132,-0.0011349876
1541665843038,423090595464276,1.0995574E-4,1.2217305E-5,-0.0011349876
1541665843060,423090615464276,1.0995574E-4,6.2308257E-4,-5.241224E-4
1541665843079,423090635464242,1.0995574E-4,-5.98648E-4,-0.0011349876
1541665843098,423090655464275,1.0995574E-4,6.2308257E-4,-0.0011349876
1541665843119,423090675463741,-5.009095E-4,6.2308257E-4,-5.241224E-4
1541665843141,423090695464007,-5.009095E-4,6.2308257E-4,-5.241224E-4
1541665843158,423090715464273,-5.009095E-4,-5.98648E-4,-5.241224E-4
1541665843180,423090735464273,-5.009095E-4,1.2217305E-5,-0.0011349876
1541665843273,423090755464306,1.0995574E-4,1.2217305E-5,-0.0011349876
1541665843273,423090775464306,7.20821E-4,-5.98648E-4,-0.0017458529
1541665843273,423090795464272,7.20821E-4,6.2308257E-4,-0.0017458529
1541665843273,423090815464305,-5.009095E-4,1.2217305E-5,-5.241224E-4
