timestamp,ssid,bssid,frequency,rss,wifiNo,legit
423087125194,ISILAB_2,2c:56:dc:84:dd:88,2437,-38,0,false
423087125167,JKR-R7000,10:da:43:95:44:e1,2437,-44,0,false
423087125098,ISILAB_5,2c:56:dc:84:dd:8c,5745,-53,0,false
423087125172,JKR_AC87U,1c:b7:2c:c1:c0:88,2432,-53,0,false
423087125199,DIRECT-90-HP M477 LaserJet,96:53:30:29:0e:90,2437,-54,0,false
423087125245,KECI,18:31:bf:46:ff:d8,2462,-56,0,false
423087125213,JKR-R7000-5G,10:da:43:95:44:de,5260,-57,0,false
423087125153,,62:45:b4:ee:da:63,5785,-57,0,false
423087125176,HCIL,6c:70:9f:e0:92:7e,2432,-60,0,false
423087125255,irnlp,c4:e9:84:f8:c7:73,2467,-61,0,false
423087125229,CaisLab,90:9f:33:bb:c4:e4,2452,-61,0,false
423087125005,BUFFALO-764062_G,b0:c7:45:76:40:62,2412,-63,0,false
423087125234,DioOpenWrt,10:6f:3f:e7:f2:84,2462,-64,0,false
423087125224,ASUS,38:d5:47:e3:57:58,2452,-64,0,false
423087125127,KECI_5G,18:31:bf:46:ff:dc,5785,-65,0,false
423087125239,,aa:40:a0:56:08:f5,2452,-65,0,false
423087125069,,9c:d6:43:c8:11:80,2412,-66,0,false
423087125104,KIXLAB_WIFI,48:f8:b3:dc:ef:4c,2427,-66,0,false
423087125148,bsk2,00:08:9f:d9:e3:54,2432,-68,0,false
423087125204,shheo24g,90:9f:33:a9:29:5a,2437,-69,0,false
423087125189,eduroam,00:24:6c:7d:f6:91,5805,-71,0,false
423087125180,Welcome_KAIST,00:24:6c:7d:f6:90,5805,-71,0,false
423087125090,MLILAB3425,90:9f:33:f5:98:04,2422,-72,0,false
423087125059,irnlp,c4:e9:84:f8:c7:72,5200,-72,0,false
423087125163,HCIL guest,6e:7e:92:e0:9f:70,2432,-74,0,false
423087125266,,a0:40:a0:56:08:f8,5540,-75,0,false
423087125064,BUFFALO-764062_A,b0:c7:45:76:40:63,5200,-76,0,false
423087125108,NMSL_N1_721,a0:40:a0:56:08:f7,5240,-76,0,false
423087125136,HCIL guest,6e:7f:92:e0:9f:70,5785,-78,0,false
423087125142,HCIL,6c:70:9f:e0:92:7f,5785,-78,0,false
423087125209,Janggwan-RESL,54:a0:50:d4:c6:38,2447,-79,0,false
423087125218,Welcome_KAIST,00:24:6c:7d:f2:e0,2452,-81,0,false
423087125084,eduroam,00:24:6c:7d:f6:f1,5200,-82,0,false
423087125113,iptime_wl,88:36:6c:78:fc:e8,2417,-82,0,false
423087125158,JoyK,9c:d6:43:c8:11:82,5765,-82,0,false
423087125260,eduroam,00:24:6c:7e:08:01,2472,-82,0,false
423087125051,DIRECT-ZGDESKTOP-H0RNGH1msdL,b6:ae:2b:c1:77:aa,5180,-83,0,false
423087125034,KIXLAB_WIFI_5GHz,48:f8:b3:dc:ef:4d,5180,-83,0,false
423087125075,Welcome_KAIST,00:24:6c:7d:f6:f0,5200,-84,0,false
423087125121,WCSL 5GHz,64:e5:99:da:03:6c,5240,-87,0,false
423087125249,Portthru,22:77:1b:bf:bb:f9,2462,-90,0,false
423093162365,ISILAB_2,2c:56:dc:84:dd:88,2437,-37,1,true
423093162420,JKR-R7000,10:da:43:95:44:e1,2437,-41,1,true
423093162403,JKR_AC87U,1c:b7:2c:c1:c0:88,2432,-46,1,true
423093162495,KECI,18:31:bf:46:ff:d8,2462,-50,1,true
423093162356,ISILAB_5,2c:56:dc:84:dd:8c,5745,-53,1,true
423093162463,JKR-R7000-5G,10:da:43:95:44:de,5260,-54,1,true
423093162454,DIRECT-90-HP M477 LaserJet,96:53:30:29:0e:90,2437,-55,1,true
423093162439,HCIL,6c:70:9f:e0:92:7e,2432,-56,1,true
423093162427,HCIL guest,6e:7e:92:e0:9f:70,2432,-56,1,true
423093162511,irnlp,c4:e9:84:f8:c7:73,2467,-57,1,true
423093162203,BUFFALO-764062_G,b0:c7:45:76:40:62,2412,-60,1,true
423093162291,KIXLAB_WIFI,48:f8:b3:dc:ef:4c,2427,-60,1,true
423093162447,bsk2,00:08:9f:d9:e3:54,2432,-62,1,true
423093162479,WASHERE1,b0:c7:45:76:44:2a,2462,-62,1,true
423093162543,Welcome_KAIST,00:24:6c:7d:f6:80,2472,-63,1,true
423093162347,,62:45:b4:ee:da:63,5785,-65,1,true
423093162470,DioOpenWrt,10:6f:3f:e7:f2:84,2462,-66,1,true
423093162395,eduroam,00:24:6c:7d:f6:91,5805,-68,1,true
423093162251,,9c:d6:43:c8:11:80,2412,-68,1,true
423093162385,Welcome_KAIST,00:24:6c:7d:f6:90,5805,-70,1,true
423093162503,CaisLab,90:9f:33:bb:c4:e4,2452,-70,1,true
423093162275,irnlp,c4:e9:84:f8:c7:72,5200,-71,1,true
423093162372,KECI_5G,18:31:bf:46:ff:dc,5785,-72,1,true
423093162301,NMSL_N1_721,a0:40:a0:56:08:f7,5240,-73,1,true
