timestamp,ssid,bssid,frequency,rss,wifiNo,legit
422513566470,ISILAB_2,2c:56:dc:84:dd:88,2437,-35,0,false
422513566389,JKR-R7000,10:da:43:95:44:e1,2437,-41,0,false
422513566350,ISILAB_5,2c:56:dc:84:dd:8c,5745,-48,0,false
422513566403,JKR_AC87U,1c:b7:2c:c1:c0:88,2437,-50,0,false
422513566322,mliguest,92:9f:33:f0:98:04,2422,-53,0,false
422513566532,irnlp,c4:e9:84:f8:c7:73,2467,-56,0,false
422513566495,CaisLab,90:9f:33:bb:c4:e4,2452,-57,0,false
422513566489,JKR-R7000-5G,10:da:43:95:44:de,5260,-58,0,false
422513566464,DIRECT-90-HP M477 LaserJet,96:53:30:29:0e:90,2437,-58,0,false
422513566506,WASHERE1,b0:c7:45:76:44:2a,2462,-58,0,false
422513566512,KECI,18:31:bf:46:ff:d8,2462,-60,0,false
422513566526,DioOpenWrt,10:6f:3f:e7:f2:84,2462,-60,0,false
422513566415,,62:45:b4:ee:da:63,5785,-61,0,false
422513566539,Welcome_KAIST,00:24:6c:7d:f6:80,2472,-62,0,false
422513566483,,aa:40:a0:56:08:f5,2452,-62,0,false
422513566545,eduroam,00:24:6c:7d:f6:81,2472,-62,0,false
422513566421,bsk2,00:08:9f:d9:e3:54,2432,-64,0,false
422513566439,HCIL,6c:70:9f:e0:92:7e,2432,-65,0,false
422513566427,HCIL guest,6e:7e:92:e0:9f:70,2432,-65,0,false
422513566501,ASUS,38:d5:47:e3:57:58,2452,-66,0,false
422513566358,KECI_5G,18:31:bf:46:ff:dc,5785,-67,0,false
422513566458,eduroam,00:24:6c:7d:f6:91,5805,-69,0,false
422513566451,Welcome_KAIST,00:24:6c:7d:f6:90,5805,-69,0,false
422513566344,MLILAB3425,90:9f:33:f5:98:04,2422,-71,0,false
422513566551,MLILAB824_2,8a:36:6c:c9:4e:70,2472,-71,0,false
422513566395,HCIL guest,6e:7f:92:e0:9f:70,5785,-73,0,false
422513566409,HCIL,6c:70:9f:e0:92:7f,5785,-74,0,false
422513566444,eduroam,00:24:6c:7d:f6:e1,2432,-75,0,false
422513566476,DIRECT-9c-HP M377 LaserJet,46:1c:a8:29:e1:9c,2437,-75,0,false
422513566296,Welcome_KAIST,00:24:6c:7a:88:e0,2412,-76,0,false
422513566433,Welcome_KAIST,00:24:6c:7d:f6:e0,2432,-76,0,false
422513566330,NMSL_N1_721,a0:40:a0:56:08:f7,5240,-77,0,false
422513566310,irnlp,c4:e9:84:f8:c7:72,5200,-77,0,false
422513566520,SmartIoT,10:6f:3f:e7:e1:a0,2462,-77,0,false
422513566558,,a0:40:a0:56:08:f8,5540,-81,0,false
422513566368,Askai-ASUS_80_5G,b0:6e:bf:a3:90:84,5765,-81,0,false
422513566316,BUFFALO-764062_A,b0:c7:45:76:40:63,5200,-82,0,false
422513566287,DIRECT-ZGDESKTOP-H0RNGH1msdL,b6:ae:2b:c1:77:aa,5180,-83,0,false
422513566303,WASHERE2,b0:c7:45:76:44:2b,5180,-84,0,false
422513566383,eduroam,00:24:6c:7d:f6:11,5765,-88,0,false
422513566375,Welcome_KAIST,00:24:6c:7d:f6:10,5765,-88,0,false
422513566337,WCSL 5GHz,64:e5:99:da:03:6c,5240,-89,0,false
422666965519,JKR-R7000,10:da:43:95:44:e1,2437,-36,1,true
422666965534,ISILAB_2,2c:56:dc:84:dd:88,2437,-36,1,true
422666965541,JKR_AC87U,1c:b7:2c:c1:c0:88,2437,-42,1,true
422666965624,KECI,18:31:bf:46:ff:d8,2462,-51,1,true
422666965393,ISILAB_5,2c:56:dc:84:dd:8c,5745,-53,1,true
422666965665,irnlp,c4:e9:84:f8:c7:73,2467,-55,1,true
422666965594,JKR-R7000-5G,10:da:43:95:44:de,5260,-56,1,true
422666965480,HCIL,6c:70:9f:e0:92:7e,2432,-56,1,true
422666965526,HCIL guest,6e:7e:92:e0:9f:70,2432,-58,1,true
422666965404,bsk2,00:08:9f:d9:e3:54,2432,-58,1,true
422666965487,,62:45:b4:ee:da:63,5785,-58,1,true
422666965293,BUFFALO-764062_G,b0:c7:45:76:40:62,2412,-59,1,true
422666965577,DIRECT-90-HP M477 LaserJet,96:53:30:29:0e:90,2437,-60,1,true
422666965647,WASHERE1,b0:c7:45:76:44:2a,2462,-60,1,true
422666965601,CaisLab,90:9f:33:bb:c4:e4,2452,-62,1,true
422666965383,MLILAB3425,90:9f:33:f5:98:04,2422,-64,1,true
422666965616,ASUS,38:d5:47:e3:57:58,2452,-64,1,true
422666965630,DioOpenWrt,10:6f:3f:e7:f2:84,2462,-66,1,true
