timeMillis,timeNanos,x,y,z
1541750622488,507874246873978,-41.82,-31.5,-71.34
1541750622508,507874266873978,-41.28,-31.92,-71.82
1541750622530,507874286874478,-41.04,-32.16,-71.88
1541750622555,507874306874478,-40.44,-32.1,-71.939995
1541750622568,507874326874478,-40.079998,-32.28,-72.299995
1541750622592,507874346874478,-40.379997,-31.98,-71.1
1541750622613,507874366875644,-40.379997,-31.74,-70.799995
1541750622629,507874386875644,-40.2,-31.619999,-70.799995
1541750622650,507874406875644,-40.68,-31.38,-70.979996
1541750622668,507874426875644,-40.02,-31.019999,-71.939995
1541750622689,507874446875744,-40.2,-31.019999,-72.36
1541750622712,507874466875744,-40.379997,-31.38,-71.939995
1541750622730,507874486875744,-40.44,-31.199999,-72.299995
1541750622749,507874506875744,-40.26,-30.96,-71.939995
1541750622771,507874526875744,-39.899998,-31.019999,-72.0
1541750622789,507874546875744,-39.18,-30.42,-72.24
1541750622811,507874566875744,-38.879997,-30.539999,-71.64
1541750622831,507874586875744,-38.76,-30.9,-71.46
1541750622849,507874606875744,-38.879997,-30.72,-71.04
1541750622869,507874626875744,-39.18,-31.199999,-70.68
1541750622892,507874646875794,-38.82,-31.019999,-70.68
1541750622909,507874666875413,-38.219997,-30.96,-70.979996
1541750622930,507874686874640,-38.04,-31.14,-72.0
1541750622953,507874706874640,-38.16,-31.14,-72.36
1541750622971,507874726874640,-38.579998,-30.96,-72.6
1541750622991,507874746874680,-38.94,-30.779999,-72.72
1541750623012,507874766874680,-38.94,-30.9,-72.24
1541750623032,507874786874717,-38.76,-30.9,-72.299995
1541750623052,507874806874717,-38.7,-31.5,-72.42
1541750623071,507874826874717,-38.82,-31.74,-72.54
1541750623090,507874846874750,-38.82,-31.619999,-72.96
1541750623111,507874866874750,-39.3,-31.56,-72.84
1541750623133,507874886874716,-39.6,-31.56,-72.78
1541750623151,507874906874749,-39.54,-31.679998,-72.96
1541750623172,507874926874749,-39.78,-31.679998,-72.6
1541750623193,507874946874782,-40.02,-31.5,-72.54
1541750623211,507874966874548,-39.6,-30.9,-72.479996
1541750623232,507874986874548,-40.32,-30.779999,-72.299995
1541750623252,507875006874281,-40.02,-30.779999,-71.82
