timeMillis,timeNanos,x,y,z
1542101247610,858513338702405,-1.0606637,4.0894213,9.749487
1542101247627,858513358702438,-1.0606637,4.0894213,9.749487
1542101247645,858513378702171,-1.0606637,4.0894213,9.749487
1542101247665,858513398702171,-0.87151605,3.675212,8.942616
1542101247684,858513418702171,-0.9217958,3.8547823,9.584282
1542101247703,858513438702171,-1.8148603,3.3591676,9.534002
1542101247725,858513458702137,-0.7733508,2.918621,9.900327
1542101247742,858513478702137,-0.39266106,2.4637089,9.490906
1542101247762,858513498702137,-0.8284191,2.1093562,7.963358
1542101247786,858513518702137,-1.2234744,1.9585168,7.2211328
1542101247802,858513538702137,-1.4198049,1.2569942,8.492493
1542101247824,858513558702137,-1.0415095,0.7446195,13.240339
1542101247844,858513578702137,-0.19393626,0.47885495,10.99451
1542101247863,858513598702137,-0.5865973,1.1564348,8.767835
1542101247883,858513618702137,-0.749408,1.1995317,7.599428
1542101247904,858513638702137,-2.5307484,1.3455825,9.294575
1542101247924,858513658702137,-1.1995317,0.9122187,10.905922
1542101247942,858513678702137,0.95531565,0.16759923,11.073521
1542101247964,858513698702137,1.1253091,1.063058,10.970567
1542101247982,858513718702170,-0.12689656,1.3862851,10.35045
1542101248003,858513738702170,-0.9385557,0.24900457,9.926663
1542101248025,858513758702170,-0.94095,0.18914771,9.9889145
1542101248043,858513778702170,-0.80208206,0.32562137,9.818921
1542101248063,858513798702170,-0.8140534,0.61293435,9.577099
1542101248084,858513818702136,-0.96489275,0.77574503,9.306546
1542101248103,858513838702136,-1.0415095,1.0175668,9.229929
1542101248124,858513858702169,-1.0391153,1.228263,9.332883
1542101248144,858513878702169,-1.3120626,1.0941836,9.447808
1542101248163,858513898701902,-1.5826156,0.9529214,9.749487
1542101248182,858513918701335,-1.6759924,1.0295382,9.914692
1542101248205,858513938701235,-1.8459859,1.2091088,10.178062
1542101248225,858513958701201,-1.924997,1.9896424,10.331296
1542101248244,858513978701467,0.18675344,2.3056867,10.508472
1542101248265,858513998701467,2.1835787,2.4780743,11.957008
1542101248284,858514018734800,1.5850099,1.1348863,11.4446335
1542101248305,858514038768166,0.4189981,0.016759925,10.501289
1542101248330,858514058801499,0.339987,0.63208854,9.378374
1542101248344,858514078834832,0.50998056,1.977671,9.354432
1542101248365,858514098868198,0.4836435,1.8483802,10.228342
1542101248385,858514118901531,0.7733508,1.7238779,10.604243
1542101248404,858514138934897,1.5802214,1.7909175,10.403124
1542101248425,858514158968230,2.7462332,2.308081,10.041589
1542101248446,858514179001563,2.1644244,2.0159793,9.531608
1542101248465,858514199034929,1.1444633,1.498816,6.919454
1542101248484,858514219068262,-0.102953814,1.3814965,6.960157
1542101248506,858514239101595,-0.43336374,1.647261,9.2490835
1542101248525,858514259134961,-0.22027329,2.2003386,9.483723
1542101248544,858514279168027,-0.24900457,2.1452703,8.279403
1542101248565,858514299201127,-1.1372806,2.8491871,7.649708
1542101248582,858514319234927,-1.1205206,3.493247,7.065505
1542101248602,858514339267660,-0.011971374,3.78056,6.2921543
1542101248625,858514359300726,0.42618093,4.312089,8.260248
1542101248643,858514379333459,-0.1987248,3.9313993,7.6640735
1542101248664,858514399366192,-1.1899546,3.4309957,8.174054
1542101248685,858514419399058,-1.934574,2.4014575,7.3815494
1542101248745,858514439432124,-2.3152637,2.2697725,8.408693
1542101248745,858514459464857,-1.8196489,1.6975409,12.857256
1542101248749,858514479498190,-2.4876516,1.4652961,11.071127
1542101248765,858514499564890,-1.6520497,1.9872481,9.677659
1542101248786,858514519631856,-2.047105,1.9321798,10.628186
1542101248806,858514539698456,-0.69673395,3.1963568,10.975356
1542101248826,858514559765122,-0.70870537,3.3232534,10.513261
1542101248845,858514579831788,-1.6041641,3.0383348,10.79818
1542101248866,858514599897821,-1.228263,4.3599744,9.675264
1542101248884,858514619930554,-0.6656084,4.743058,9.182044
1542101248904,858514639963254,-0.6273,3.4142358,11.193234
1542101248926,858514659996020,-1.0223553,1.472479,13.903554
1542101248946,858514680029353,-1.3120626,0.84278476,14.626625
1542101248966,858514700062653,-0.85954463,1.594587,12.416709
1542101248988,858514720096019,-0.9433443,2.176396,9.993703
1542101249006,858514740129052,-1.2162915,2.2745612,8.300951
1542101249024,858514760161785,-0.9984126,2.3248408,7.738296
1542101249045,858514780194518,-0.5913859,2.2985039,8.317711
1542101249065,858514800227218,0.105348095,2.126116,9.373586
1542101249084,858514820259984,0.5602603,2.0949905,9.715967
1542101249104,858514840292717,0.55307746,1.9441512,9.692024
1542101249127,858514860326017,0.12450229,1.7119064,9.378374
1542101249147,858514880359050,-0.009577099,1.8435916,8.497281
1542101249172,858514900392016,-0.25139886,2.2027328,7.3001437
1542101249223,858514920424282,-0.4668836,2.4373717,6.612987
