timeMillis,timeNanos,value
1542101889759,277402904581054,1012.22144
1542101889861,277403004581054,1012.229
1542101889961,277403104581554,1012.2329
1542101890061,277403204581554,1012.22363
1542101890162,277403304581804,1012.21924
1542101890261,277403404581804,1012.21704
1542101890360,277403504581804,1012.2256
1542101890461,277403604581804,1012.24
1542101890560,277403704580804,1012.2532
1542101890721,277403804578804,1012.2554
1542101890758,277403904577004,1012.26855
1542101890859,277404004576094,1012.2644
1542101890959,277404104576094,1012.25903
1542101891059,277404204574786,1012.25757
1542101891165,277404304574286,1012.249
1542101891256,277404404573152,1012.2539
1542101891365,277404505169792,1012.2551
1542101891461,277404605228674,1012.2578
1542101891562,277404705284229,1012.2637
1542101891731,277404805494755,1012.2698
1542101891763,277404905744755,1012.2571
1542101891866,277405006030469,1012.2561
1542101891968,277405106303196,1012.2573
1542101892065,277405206563717,1012.25
1542101892167,277405306813717,1012.25073
1542101892272,277405407093717,1012.25073
1542101892440,277405507362947,1012.24756
1542101892487,277405607622243,1012.24414
1542101892566,277405707872278,1012.25146
1542101892668,277405808182657,1012.24756
1542101892769,277405908482657,1012.2461
1542101892871,277406008816023,1012.2446
1542101892972,277406109182656,1012.25586
1542101893070,277406209582656,1012.25073
1542101893173,277406309982622,1012.26514
1542101893272,277406410382622,1012.2634
1542101893372,277406510815955,1012.272
1542101893472,277406611249288,1012.2776
1542101893571,277406711682888,1012.2698
1542101893689,277406812116821,1012.25635
1542101893773,277406912617421,1012.2556
1542101893875,277407013151121,1012.2644
1542101893979,277407113784454,1012.2561
1542101894080,277407214451720,1012.25635
1542101894179,277407315118653,1012.2566
1542101894281,277407415819253,1012.2512
1542101894382,277407516519286,1012.24146
1542101894484,277407617319252,1012.24414
1542101894680,277407718185952,1012.2505
1542101894690,277407819052618,1012.2395
1542101894790,277407919919284,1012.2422
1542101894890,277408020752617,1012.2473
1542101894990,277408121585950,1012.2456
1542101895090,277408222452883,1012.24414
1542101895190,277408323319549,1012.23804
1542101895292,277408424152882,1012.249
1542101895394,277408525019548,1012.2468
1542101895494,277408625952848,1012.25
1542101895649,277408726919514,1012.25195
1542101895697,277408827919480,1012.2529
1542101895801,277408929019513,1012.2539
1542101895903,277409030119513,1012.2561
1542101896003,277409131252613,1012.2583
1542101896104,277409232352646,1012.2561
1542101896205,277409333452646,1012.2446
1542101896306,277409434619346,1012.2312
1542101896408,277409535852679,1012.2388
1542101896511,277409637119345,1012.23413
1542101896660,277409738452411,1012.23047
1542101896713,277409839852411,1012.23413
1542101896817,277409941252411,1012.2356
1542101896918,277410042685711,1012.2451
1542101897022,277410144085711,1012.249
1542101897120,277410245452344,1012.2473
1542101897221,277410346818977,1012.23706
1542101897320,277410448152277,1012.2407
1542101897421,277410549452243,1012.24365
1542101897522,277410650752243,1012.24023
1542101897683,277410751985576,1012.2488
1542101897722,277410853118942,1012.2532
1542101897823,277410954218975,1012.2405
1542101897921,277411055318975,1012.24536
1542101898027,277411156452008,1012.2471
1542101898123,277411257552008,1012.25024
1542101898225,277411358718674,1012.2556
1542101898339,277411459885340,1012.25635
1542101898429,277411561085340,1012.2551
1542101898531,277411662285340,1012.25195
1542101898656,277411763518373,1012.2539
1542101898730,277411864651706,1012.2566
1542101898830,277411965685506,1012.2566
1542101898934,277412066685472,1012.2517
1542101899034,277412167652405,1012.2461
1542101899135,277412268685705,1012.2434
1542101899238,277412369752405,1012.2473
1542101899339,277412470819071,1012.2466
1542101899442,277412571885771,1012.24023
1542101899546,277412672985804,1012.24146
1542101899704,277412774086070,1012.2495
1542101899744,277412875119436,1012.251
