timeMillis,timeNanos,x,y,z
1542101956993,277470150585084,0.22989853,-0.24008593,-0.77188814
1542101957015,277470170585084,0.13643613,-0.2370316,-0.6515477
1542101957038,277470190585584,0.0545802,-0.23275554,-0.55319834
1542101957057,277470210585584,-0.008949787,-0.23397726,-0.4682881
1542101957077,277470230585584,-0.035827857,-0.2510815,-0.3937625
1542101957098,277470250585584,-0.03521699,-0.22175996,-0.31435004
1542101957117,277470270585584,0.0044892486,-0.19732536,-0.2288289
1542101957138,277470290585584,0.089399524,-0.15945171,-0.17018583
1542101957157,277470310585584,0.17797497,-0.14784528,-0.12009489
1542101957176,277470330585584,0.23845063,-0.17166902,-0.0706148
1542101957197,277470350585584,0.26960477,-0.18327545,-0.008917411
1542101957216,277470370585584,0.28915247,-0.16617124,0.00513249
1542101957236,277470390585584,0.2812112,-0.13013017,-0.021134716
1542101957259,277470410585660,0.18591623,-0.04521991,0.032621425
1542101957275,277470430585088,-0.044990838,0.04335555,0.1877812
1542101957295,277470450583888,-0.3357627,0.10138775,0.37592772
1542101957317,277470470584013,-0.56483716,0.1270441,0.53292006
1542101957336,277470490584071,-0.77680737,0.12032457,0.75344247
1542101957357,277470510584126,-0.7731422,0.10199861,0.88966537
1542101957377,277470530584178,-0.77192044,0.069622755,1.0118384
1542101957396,277470550584228,-0.7706987,0.07084448,1.0759792
1542101957416,277470570584275,-0.7028927,0.15575476,1.0741467
1542101957437,277470590584275,-0.54406774,0.3011407,0.99229074
1542101957456,277470610584275,-0.3498126,0.38360748,0.8090311
1542101957476,277470630584275,-0.21236792,0.29930806,0.47977477
1542101957497,277470650584275,-0.2019832,0.041522954,0.094318815
1542101957516,277470670584275,-0.3766907,-0.2700183,-0.18606833
1542101957536,277470690584275,-0.6772364,-0.5100883,-0.27891988
1542101957558,277470710584275,-0.9405193,-0.50214714,-0.20439428
1542101957576,277470730584309,-1.1359962,-0.33232656,-0.06756047
1542101957596,277470750584309,-1.2618344,-0.11608028,-0.022356445
1542101957617,277470770584075,-1.1873088,0.089781314,-0.19462046
1542101957636,277470790584041,-0.85377645,0.3500099,-0.54159194
1542101957656,277470810583774,-0.46160093,0.56869966,-0.8354181
1542101957677,277470830583774,-0.20809186,0.6475013,-1.0095147
1542101957696,277470850583507,-0.07003631,0.5906908,-1.0907598
1542101957715,277470870583240,-0.0010085385,0.48134592,-1.0486101
1542101957736,277470890583773,-0.0034519995,0.3500099,-0.8867308
1542101957755,277470910583173,-0.089584,0.21561955,-0.6338326
1542101957774,277470930582606,-0.24046771,0.10199861,-0.34550416
1542101957797,277470950582339,-0.38463193,0.034803435,-0.07794518
1542101957884,277470970582072,-0.44510758,0.024418728,0.102870926
1542101957885,277470990581838,-0.4108991,0.0916139,0.2494786
1542101957885,277471010581538,-0.17938119,0.1374288,0.4754987
1542101957886,277471030581638,-0.02788661,0.11421592,0.5207028
1542101957893,277471050581971,0.09550817,0.08367265,0.54758084
1542101957913,277471070581304,0.15048604,0.063514106,0.60316956
1542101957934,277471090581037,0.16209248,0.045188144,0.6868581
1542101957955,277471110580737,0.15598382,-0.0024593435,0.7522207
1542101957976,277471130580437,0.111390665,-0.08675875,0.7650488
1542101957996,277471150580437,0.005710979,-0.18205373,0.76565975
1542101958016,277471170580403,-0.10729909,-0.24314025,0.7748227
1542101958037,277471190580169,-0.11462947,-0.16739295,0.8255245
1542101958054,277471210579535,0.0667975,0.011590557,0.8792806
1542101958075,277471230578935,0.3881126,0.20523483,0.8139181
1542101958095,277471250578368,0.73325145,0.27914953,0.5042094
1542101958116,277471270577768,1.0307429,0.19057408,-0.0846647
1542101958136,277471290577768,1.2188894,-0.0030702087,-0.6961408
1542101958158,277471310577801,1.2366045,-0.21320786,-1.0339494
1542101958175,277471330577767,1.1064901,-0.43495193,-1.0473883
1542101958196,277471350577533,0.8572571,-0.6334832,-0.83602893
