timeMillis,timeNanos,x,y,z
1543825426283,49472958098051,0.80184686,4.627657,8.303302
1543825426285,49472978096488,0.5426219,4.6447034,8.995227
1543825426306,49472998096488,0.82643056,4.564842,9.026284
1543825426325,49473018096488,0.76231384,4.3357363,8.255524
1543825426345,49473038096488,0.61763704,4.3416834,9.598968
1543825426365,49473058096488,0.61369133,4.3300667,8.839115
1543825426385,49473078096488,0.584281,4.229022,7.2215443
1543825426405,49473098096488,0.47590026,4.2496023,8.94877
1543825426425,49473118096488,0.38278496,4.2494397,8.352384
1543825426445,49473138098051,0.39980295,4.2451396,8.717949
1543825426465,49473158098051,0.5536352,4.2827673,8.909198
1543825426486,49473178096488,0.4152791,4.351509,8.662576
1543825426506,49473198096488,0.35425565,4.461097,8.662566
1543825426525,49473218096488,0.02552219,4.390592,8.91073
1543825426546,49473238096488,-0.32092836,4.120048,9.1942425
1543825426566,49473258096488,-0.5674737,4.1109686,9.11259
1543825426585,49473278096488,-0.19115306,4.4633665,9.772346
1543825426605,49473298096488,0.35419822,4.4681168,10.242586
1543825426625,49473318096488,0.85860866,4.539282,10.347692
1543825426646,49473338096488,0.49087837,4.500333,10.299588
1543825426665,49473358096488,-0.042693406,4.364668,9.629546
1543825426686,49473378096488,-0.46381432,3.881365,9.286189
1543825426705,49473398096488,-1.1132176,3.2597823,8.672239
1543825426726,49473418096488,-1.4532613,3.0787616,9.115722
1543825426746,49473438096488,-0.5795405,2.919997,10.057802
1543825426765,49473458096488,-0.29333758,2.6665277,11.504666
1543825426785,49473478096488,-0.6970766,2.4174256,10.297682
1543825426805,49473498098051,-0.5349891,2.4551294,9.451725
1543825426825,49473518096488,-0.12797487,2.8074315,11.182904
1543825426846,49473538096488,-0.85336053,2.884333,9.067283
1543825426866,49473558096488,-1.9867756,2.7888427,6.751965
1543825426885,49473578096488,-2.0591378,2.5325866,8.552653
1543825426906,49473598096488,-1.206036,2.5411193,8.977385
1543825426926,49473618096488,-0.31306583,2.6541355,9.959151
1543825426946,49473638098051,-0.42558372,2.551405,9.59011
1543825426966,49473658096488,-0.6573999,2.4879298,9.169333
1543825426986,49473678096488,-0.123550385,2.634436,9.054114
1543825427005,49473698096488,0.48320737,2.861138,8.624825
1543825427026,49473718096488,0.28517815,3.168477,8.690177
1543825427046,49473738096488,-0.5009532,3.365357,8.483682
1543825427066,49473758096488,-0.5673683,3.629332,7.947227
1543825427085,49473778096488,0.009002198,3.9791346,7.5307603
1543825427105,49473798096488,0.50497544,4.329435,6.7343917
1543825427125,49473818096488,-0.32016224,4.119205,6.784698
1543825427146,49473838096488,0.24110568,4.2348924,7.4274936
1543825427166,49473858096488,0.24753173,4.1020145,8.0164385
1543825427185,49473878096488,0.22208615,3.818589,8.323184
1543825427205,49473898096488,0.13599066,4.063315,8.35517
1543825427226,49473918096488,0.4546685,3.8341992,8.316998
1543825427245,49473938096488,0.53484553,3.804396,8.807914
1543825427266,49473958098051,0.3119262,3.9256384,9.62268
1543825427286,49473978096488,-0.39719805,3.604193,10.833944
1543825427306,49473998096488,-0.4044477,3.358366,11.090421
1543825427326,49474018096488,1.2829186,3.4452372,10.939385
1543825427346,49474038098051,1.49063,4.584063,10.563946
1543825427366,49474058098051,1.1634,5.0590153,8.39298
1543825427386,49474078096488,0.51571107,4.845481,7.8622136
1543825427406,49474098096488,0.80085087,4.308701,10.458333
1543825427441,49474118096488,1.21726,4.10935,11.271241
1543825427445,49474138098051,1.2134006,3.73959,11.85418
1543825427466,49474158098051,1.0632554,3.2183914,12.279468
1543825427485,49474178098051,0.8304528,3.0137732,12.049356
1543825427505,49474198096488,0.78794134,3.1503289,10.839298
1543825427525,49474218096488,1.0142126,3.366602,9.559598
1543825427545,49474238096488,1.5788132,3.5248682,9.441486
1543825427565,49474258096488,2.0449548,3.4494605,9.654829
1543825427585,49474278096488,1.7821958,3.1157374,9.280022
1543825427605,49474298096488,1.2387887,2.8332984,8.391745
1543825427692,49474318096488,0.58469284,2.6933143,7.506617
1543825427692,49474338096488,0.30955112,2.7935355,7.3049197
1543825427692,49474358098051,0.24129723,3.0062554,7.4247165
1543825427692,49474378098051,0.42003876,3.497172,7.091798
1543825427705,49474398113676,0.52360237,4.0727,6.132949
1543825427725,49474418096488,0.5299518,4.5673037,5.7987185
1543825427745,49474438096488,0.31160057,4.7558136,6.02815
1543825427766,49474458096488,0.1670674,4.7307987,6.836164
1543825427786,49474478096488,0.2637548,4.747616,7.9825177
1543825427805,49474498096488,-0.17198987,4.729113,8.077529
1543825427827,49474518096488,-0.53604263,4.8754086,7.560391
1543825427845,49474538096488,-0.670884,5.0508842,7.75685
1543825427866,49474558113676,-0.8610507,5.043405,8.433461
1543825427885,49474578096488,-0.5827583,4.9609776,9.253752
1543825427905,49474598096488,-0.41207084,4.911906,9.3332205
1543825427925,49474618096488,-0.7236044,4.7662807,9.445633
1543825427945,49474638096488,-0.98216856,4.656435,9.61521
1543825427965,49474658096488,-0.82568353,4.3507338,10.062016
1543825427985,49474678096488,-0.4678749,4.1771827,11.055954
1543825428005,49474698096488,-0.3495726,3.8976262,12.029877
1543825428025,49474718096488,-1.0704093,4.004063,10.8913
1543825428045,49474738096488,-1.937455,4.3035965,8.627458
1543825428065,49474758096488,-2.0206583,3.6276274,7.9265027
1543825428085,49474778096488,-1.102185,2.788747,9.47286
1543825428105,49474798096488,-0.14102806,2.3163135,12.712378
1543825428125,49474818096488,-0.09343133,1.611949,13.739701
1543825428146,49474838096488,-0.6087497,1.248356,11.559617
1543825428167,49474858096488,-0.29583713,1.599614,8.590989
1543825428186,49474878096488,0.10031705,2.073963,6.442241
1543825428205,49474898096488,0.047194503,2.361995,7.318979
1543825428226,49474918096488,0.11976755,2.4164677,8.635387
1543825428245,49474938096488,0.44473734,2.9437475,8.003165
1543825428266,49474958096488,0.9069715,3.6456125,6.8295465
1543825428286,49474978096488,1.0382887,4.06953,6.5693545
1543825428306,49474998096488,0.8425962,4.0682755,7.3960147
1543825428326,49475018096488,0.7776271,3.8457677,8.076226
1543825428345,49475038096488,0.98788595,4.018888,8.037871
1543825428366,49475058098051,1.0366318,4.353626,7.818553
1543825428386,49475078098051,0.93845046,4.458368,7.9614005
1543825428406,49475098096488,0.8678024,4.3345585,8.319899
1543825428428,49475118098051,1.0799094,4.0738873,9.127808
1543825428445,49475138096488,1.3509618,4.074079,10.303304
1543825428465,49475158096488,1.1351103,4.140063,10.620487
1543825428486,49475178096488,0.80804306,4.2644277,9.661916
1543825428506,49475198096488,1.0044634,4.099898,10.111193
1543825428526,49475218096488,1.3675967,3.4764767,12.349532
1543825428545,49475238096488,1.1039376,2.9436996,13.845937
1543825428565,49475258096488,0.40318355,3.0314903,12.027493
1543825428585,49475278096488,0.9778494,3.584455,9.555087
1543825428606,49475298098051,2.2719634,3.8631115,10.223241
1543825428625,49475318096488,2.4230182,3.1824877,11.881658
1543825428645,49475338096488,1.8383734,2.52142,11.641097
1543825428666,49475358096488,1.2137837,2.6083295,9.539438
1543825428685,49475378096488,1.0779079,2.6652348,7.2954197
1543825428705,49475398096488,0.95408934,2.8650167,6.4834313
1543825428726,49475418096488,0.5332653,2.926337,6.5648627
1543825428746,49475438096488,0.33726642,3.063228,6.2253075
1543825428766,49475458096488,0.34902674,3.4385238,5.73033
1543825428786,49475478096488,0.28208485,3.5771,5.377511
1543825428805,49475498096488,-0.14132494,3.5099669,5.691075
1543825428828,49475518096488,-0.5449682,3.2887616,6.6443977
1543825428846,49475538096488,-0.6806716,3.3926892,7.287806
1543825428866,49475558096488,-0.793448,3.7399728,7.5954804
1543825428886,49475578096488,-0.8963891,3.9249585,8.063614
1543825428905,49475598096488,-1.1610059,4.117797,8.887277
1543825428926,49475618096488,-1.3805637,4.4141994,9.3818035
1543825428946,49475638098051,-1.4191487,4.4700127,9.871179
1543825428966,49475658096488,-1.2012955,4.2818575,10.630782
1543825428986,49475678096488,-0.9323213,4.130266,11.698836
1543825429005,49475698096488,-0.45954305,4.1709104,11.759027
1543825429026,49475718096488,-0.4850844,3.8515716,12.699784
1543825429046,49475738096488,-0.6971341,3.3378046,13.836791
1543825429065,49475758096488,-1.2630371,3.1087656,12.949873
1543825429163,49475778096488,-1.6864469,3.453368,10.026927
1543825429163,49475798096488,-1.4987894,3.8926082,8.08861
1543825429163,49475818098051,-0.8610603,3.2614965,8.711734
1543825429163,49475838098051,-0.50229394,2.1132948,12.154069
1543825429171,49475858098051,-0.4193684,1.1420916,14.557292
1543825429185,49475878098051,-0.5580118,0.97937214,13.181526
1543825429205,49475898096488,-0.49132848,1.4322498,10.071458
1543825429226,49475918096488,0.10336247,1.8209628,7.9524174
1543825429245,49475938096488,0.19548178,2.0192218,6.4013867
1543825429265,49475958096488,-0.14188997,1.9722189,6.3838706
1543825429285,49475978096488,0.03688986,2.1954255,6.908191
1543825429305,49475998098051,0.3080859,2.7142873,6.2308526
1543825429325,49476018096488,0.5657307,3.1008933,5.5951343
1543825429345,49476038096488,0.48131114,3.1288288,5.9214835
1543825429366,49476058096488,0.3125774,2.9641175,7.1848364
1543825429385,49476078096488,0.5921052,2.912393,8.174504
1543825429405,49476098096488,0.8103032,2.9210699,8.854447
1543825429441,49476118098051,0.960841,2.9799767,9.259834
1543825429445,49476138098051,0.81382746,2.974288,9.104881
1543825429465,49476158098051,0.47482768,2.874651,9.221871
1543825429485,49476178096488,0.083279915,2.6452863,9.540224
1543825429505,49476198096488,-0.20411049,2.874105,9.325339
1543825429525,49476218096488,-0.2053842,3.3302484,9.363866
1543825429546,49476238096488,-0.0303489,2.969586,11.19838
1543825429565,49476258096488,-0.1258967,2.6400192,13.2268915
1543825429586,49476278098051,0.11677958,2.3788214,12.953914
1543825429606,49476298096488,1.4713998,2.5852113,11.877396
1543825429626,49476318096488,2.4620247,2.7636368,13.419816
1543825429646,49476338096488,2.6920118,2.3557796,14.449611
1543825429666,49476358096488,2.3046489,2.409812,12.620469
1543825429686,49476378096488,2.0364027,2.9400797,9.499465
1543825429705,49476398096488,1.9059857,3.2357826,7.4902697
1543825429725,49476418096488,1.5131067,3.3299325,6.8949947
1543825429745,49476438096488,1.1008157,3.2827857,6.4695063
1543825429766,49476458096488,0.84331447,3.363796,5.6720266
1543825429785,49476478096488,0.6712767,3.6188838,4.663043
1543825429805,49476498096488,0.19901563,3.8136377,4.2239943
1543825429825,49476518096488,-0.58614844,3.6383915,4.651561
1543825429846,49476538096488,-1.2077694,3.1252472,5.4546523
1543825429865,49476558096488,-1.3520631,3.0881658,6.8143
1543825429886,49476578096488,-1.3345473,3.099007,8.454481
1543825429906,49476598096488,-1.6036075,3.0078835,9.283325
1543825429926,49476618096488,-2.1796334,3.0910387,9.036302
1543825429945,49476638098051,-2.3954275,3.0389028,9.189406
1543825429966,49476658113676,-2.1556337,2.9528265,10.251521
1543825429985,49476678096488,-1.3991715,3.0174124,11.554351
1543825430005,49476698096488,-0.9600174,3.1812813,13.505845
1543825430025,49476718096488,-0.9236351,3.2766376,15.056732
1543825430045,49476738096488,-0.83453256,3.1500895,14.962937
1543825430066,49476758096488,-1.451231,3.0470526,13.605051
1543825430085,49476778096488,-2.1331189,3.1702294,11.337963
1543825430106,49476798096488,-2.6491077,3.2196171,9.120932
1543825430125,49476818096488,-2.2430894,2.7332113,8.796239
1543825430145,49476838096488,-1.4543626,1.9074317,10.456849
1543825430166,49476858096488,-1.2182752,1.1100094,13.5578375
1543825430185,49476878096488,-0.88919693,0.45724463,15.205211
1543825430205,49476898096488,-0.50996494,0.51565355,13.574368
1543825430226,49476918096488,0.12736195,1.1007869,10.606208
1543825430245,49476938096488,0.28022692,1.3900448,8.242222
1543825430266,49476958096488,0.068033636,1.502036,6.5609937
1543825430285,49476978096488,0.3227288,1.7899052,5.6250906
1543825430305,49476998096488,0.7836222,2.4581842,5.077374
1543825430325,49477018096488,0.9957964,2.9560921,4.6011
1543825430345,49477038096488,1.1046847,3.3150117,4.181741
1543825430366,49477058096488,0.98805827,3.4444518,4.6321197
1543825430385,49477078098051,0.9730514,3.4644003,5.6850605
1543825430405,49477098098051,0.8428356,3.4152424,6.7387967
1543825430433,49477118098051,0.98993534,3.2016606,7.525761
1543825430445,49477138096488,0.8499224,3.2887807,7.7540913
1543825430465,49477158096488,0.7015777,3.112989,7.939202
1543825430485,49477178096488,0.46434107,2.72622,8.979693
1543825430505,49477198096488,-0.15619773,2.4287739,9.652665
1543825430525,49477218096488,-0.4303051,2.6118155,9.684431
1543825430546,49477238096488,-0.18087715,2.8437562,10.130979
1543825430653,49477258096488,-0.54862654,2.2078178,12.440052
1543825430653,49477278096488,-1.1128536,1.60604,14.930864
1543825430653,49477298098051,-1.0800627,2.01293,14.067956
1543825430653,49477318098051,0.5500631,2.9259923,10.431814
1543825430653,49477338098051,2.6952486,3.4377384,11.160715
1543825430665,49477358096488,2.862316,2.6344168,14.097346
1543825430685,49477378096488,1.6173311,1.6779428,13.870012
1543825430705,49477398096488,0.8937459,1.8264407,11.196399
1543825430725,49477418096488,0.6657796,1.9102856,9.178105
1543825430746,49477438096488,0.16122554,1.7916194,8.148848
1543825430766,49477458096488,0.075580165,1.9488227,7.2576203
1543825430786,49477478096488,0.7281821,2.8812973,6.0391345
