adress,advertisingSid,bond,name,primaryPhy,rssi,secondaryPhy,time,txPower,type
D2:7E:5A:01:9C:D1,255,10,Forerunner 235,1,-83,0,1543825426328,127,2
00:F7:93:1C:4F:93,255,10,NA,1,-93,0,1543825426345,127,0
D2:7E:5A:01:9C:D1,255,10,Forerunner 235,1,-71,0,1543825428366,127,2
24:B2:ED:F2:63:E6,255,10,NA,1,-94,0,1543825437515,127,0
29:F4:0D:B2:4B:24,255,10,NA,1,-88,0,1543825437516,127,0
13:08:D6:AE:F8:30,255,10,NA,1,-83,0,1543825439456,127,0
24:B2:ED:F2:63:E6,255,10,NA,1,-85,0,1543825439458,127,0
5D:C0:CD:BB:CD:81,255,10,NA,1,-100,0,1543825439466,127,0
29:F4:0D:B2:4B:24,255,10,NA,1,-71,0,1543825439468,127,0
01:61:8C:1F:05:5A,255,10,NA,1,-82,0,1543825439582,127,0
2C:D4:AD:F6:4B:18,255,10,NA,1,-90,0,1543825439778,127,0
17:B5:33:64:4A:51,255,10,NA,1,-93,0,1543825439778,127,0
29:F4:0D:B2:4B:24,255,10,NA,1,-77,0,1543825439783,127,0
01:61:8C:1F:05:5A,255,10,NA,1,-80,0,1543825439785,127,0
29:F4:0D:B2:4B:24,255,10,NA,1,-86,0,1543825439792,127,0
01:61:8C:1F:05:5A,255,10,NA,1,-84,0,1543825439794,127,0
17:B5:33:64:4A:51,255,10,NA,1,-85,0,1543825439975,127,0
29:60:06:21:D3:68,255,10,NA,1,-84,0,1543825439976,127,0
00:F7:93:1C:4F:93,255,10,NA,1,-91,0,1543825439977,127,0
01:61:8C:1F:05:5A,255,10,NA,1,-86,0,1543825439993,127,0
00:F7:93:1C:4F:93,255,10,NA,1,-93,0,1543825440002,127,0
29:F4:0D:B2:4B:24,255,10,NA,1,-76,0,1543825440151,127,0
01:61:8C:1F:05:5A,255,10,NA,1,-84,0,1543825440152,127,0
17:B5:33:64:4A:51,255,10,NA,1,-81,0,1543825440153,127,0
29:60:06:21:D3:68,255,10,NA,1,-86,0,1543825440154,127,0
29:F4:0D:B2:4B:24,255,10,NA,1,-80,0,1543825440192,127,0
01:61:8C:1F:05:5A,255,10,NA,1,-80,0,1543825440193,127,0
65:51:70:47:3F:9B,255,10,NA,1,-89,0,1543825440200,127,0
17:B5:33:64:4A:51,255,10,NA,1,-80,0,1543825440271,127,0
29:F4:0D:B2:4B:24,255,10,NA,1,-83,0,1543825440297,127,0
