timeMillis,timeNanos,x,y,z
1543825659609,49706278096488,-0.2448598,5.2328725,9.500432
1543825659609,49706298096488,-0.27811047,5.1374397,9.465552
1543825659626,49706318096488,-0.5265998,5.16436,8.765383
1543825659646,49706338096488,-0.5562784,5.1650305,6.8971205
1543825659665,49706358096488,-0.64322627,5.0920744,8.198953
1543825659685,49706378096488,-0.41342118,5.1713896,8.938819
1543825659705,49706398096488,0.32086134,5.438477,7.580215
1543825659725,49706418098051,0.15607323,5.3123026,9.772327
1543825659745,49706438096488,-0.26134148,5.151144,7.634123
1543825659765,49706458096488,-0.23532128,5.115949,7.9151545
1543825659786,49706478096488,-0.22011332,4.9827456,8.383029
1543825659805,49706498098051,-0.21217415,4.8373795,8.3819
1543825659825,49706518096488,-0.30730057,4.749885,8.229092
1543825659845,49706538096488,-0.07496725,4.918073,8.329294
1543825659866,49706558096488,0.12763968,4.8056126,8.908901
1543825659886,49706578096488,-0.027178979,4.6508904,9.286801
1543825659906,49706598096488,-0.22020909,4.607344,9.395902
1543825659926,49706618096488,-0.37337098,4.666452,8.44277
1543825659946,49706638096488,-0.79602414,4.827027,7.602663
1543825659966,49706658096488,-0.9511397,4.9704485,7.1494884
1543825659985,49706678096488,-0.9774185,4.941412,6.9717336
1543825660006,49706698096488,-0.67763567,4.863639,7.731241
1543825660026,49706718096488,-0.4103853,4.638009,8.206893
1543825660046,49706738096488,-0.12690227,4.5145354,8.666609
1543825660066,49706758096488,0.10217495,4.8979907,8.638261
1543825660086,49706778096488,0.11968136,4.777936,9.385711
1543825660106,49706798096488,-0.10952036,4.6343412,11.888993
1543825660125,49706818096488,-0.04297113,3.9562173,8.704953
1543825660145,49706838096488,-0.30560547,4.260434,9.858863
1543825660165,49706858096488,-0.38628048,4.4304414,10.236457
1543825660186,49706878096488,-0.25888026,4.655439,7.2126384
1543825660206,49706898096488,-0.32583168,4.796103,8.315933
1543825660225,49706918096488,-0.63508594,4.6012244,8.613216
1543825660246,49706938096488,-0.8644792,4.5384583,8.212227
1543825660265,49706958096488,-0.7355946,4.6558027,8.470637
1543825660286,49706978096488,-0.6492501,4.7770357,8.81682
1543825660306,49706998096488,0.045576025,4.942226,8.845244
1543825660325,49707018096488,0.008303091,4.5399427,8.737495
1543825660346,49707038096488,-0.14545254,4.20418,8.9176445
1543825660365,49707058096488,0.37738365,4.423431,9.1846075
1543825660387,49707078096488,-0.0056790467,3.7139242,10.723399
1543825660406,49707098096488,0.2527128,4.0569463,9.690944
1543825660426,49707118096488,0.38550478,3.7507372,9.471673
1543825660446,49707138096488,0.33245885,3.7040982,9.608085
1543825660466,49707158096488,-0.12214259,3.555131,8.57988
1543825660486,49707178096488,0.089686796,3.8271601,8.723293
1543825660506,49707198098051,0.58676136,3.7534282,9.827977
1543825660525,49707218096488,0.8450191,4.165365,10.057102
1543825660546,49707238096488,1.0877337,4.193502,9.005511
1543825660566,49707258096488,1.6598809,3.9281094,9.215062
1543825660585,49707278096488,2.3724241,4.141873,9.620707
1543825660606,49707298096488,1.5652908,4.084901,8.93203
1543825660626,49707318098051,2.6959765,4.4677334,9.196196
1543825660646,49707338096488,3.7451825,4.508636,9.661255
1543825660666,49707358096488,2.744282,4.1341157,9.998129
1543825660686,49707378096488,2.8307989,3.2455416,10.179992
1543825660706,49707398096488,3.1418343,3.174702,10.28866
1543825660726,49707418096488,3.2117257,3.666739,9.162754
1543825660769,49707438098051,3.1095986,4.195168,8.752406
1543825660769,49707458098051,2.2100782,3.606769,8.488489
1543825660785,49707478096488,1.362952,2.8935075,8.173
1543825660805,49707498096488,1.1736377,3.3095052,7.7385097
1543825660826,49707518096488,2.010277,3.934248,6.641535
1543825660845,49707538096488,1.9188856,4.2534237,6.56085
1543825660865,49707558096488,1.2584116,4.3192835,7.7263093
1543825660885,49707578096488,1.3865683,4.465263,8.320894
1543825660905,49707598096488,1.3032981,4.4857664,7.619537
1543825660925,49707618096488,0.8525561,4.575511,6.91976
1543825660945,49707638098051,0.7410054,4.44314,7.524507
1543825660965,49707658096488,0.87125,4.3210073,7.8578367
1543825660985,49707678096488,0.44999498,4.100415,7.473213
1543825661005,49707698096488,-0.009720459,3.9453094,8.194424
1543825661025,49707718096488,-0.08874827,3.9992266,8.807061
1543825661046,49707738096488,0.060161497,4.432692,8.415169
1543825661065,49707758096488,0.19348022,5.09715,7.8775935
1543825661085,49707778096488,-0.059155937,5.0885305,8.063432
1543825661106,49707798096488,-0.46472412,4.931931,9.293372
1543825661125,49707818096488,-0.4236109,4.951171,9.98792
1543825661146,49707838096488,-0.13072342,4.8266435,10.079541
1543825661165,49707858096488,0.6377579,5.6724286,9.482773
1543825661185,49707878096488,-0.4171657,4.755038,10.164248
1543825661205,49707898096488,-1.421811,5.0602984,9.843645
1543825661226,49707918096488,-2.2792227,4.8942847,8.5231
1543825661245,49707938096488,-1.8995309,4.8993125,8.894143
1543825661266,49707958096488,-1.2435197,4.353875,9.601093
1543825661286,49707978096488,-1.2636021,3.636639,10.668409
1543825661306,49707998096488,-1.7318984,2.9394286,10.459099
1543825661325,49708018096488,-2.0864031,3.3548608,8.985592
1543825661345,49708038096488,-1.7458231,3.7702549,8.219783
1543825661365,49708058096488,0.013206416,4.477761,8.131475
1543825661385,49708078096488,1.0456053,4.6734724,8.203282
1543825661406,49708098096488,0.7394061,3.769977,9.599399
1543825661425,49708118098051,-0.001091756,2.894456,10.419145
1543825661445,49708138096488,-0.25040478,2.588927,9.52964
1543825661465,49708158098051,-0.19567332,2.7336133,8.016247
1543825661486,49708178096488,0.103506126,2.957136,8.461493
1543825661505,49708198096488,0.19028157,2.9798903,8.753671
1543825661525,49708218096488,-0.118120335,3.2660358,7.6025195
1543825661545,49708238096488,-0.25005043,3.7292278,6.098472
1543825661566,49708258096488,0.10393708,4.1804676,5.759482
1543825661586,49708278096488,0.60282165,4.2393074,6.7396874
1543825661606,49708298096488,0.6009925,4.1897097,7.6199684
1543825661626,49708318098051,0.5711512,4.292047,7.756869
1543825661645,49708338098051,0.91639507,4.442154,7.9780164
1543825661665,49708358113676,1.0276966,4.6710973,8.103348
1543825661685,49708378096488,0.453864,4.5379696,7.79848
1543825661705,49708398096488,-0.15728948,4.29786,7.915317
1543825661725,49708418096488,-0.08776186,4.2237453,8.730016
1543825661761,49708438096488,0.23999478,4.4721007,9.800454
1543825661766,49708458098051,-0.018703505,4.6036286,10.405335
1543825661785,49708478098051,-0.4077996,4.5150814,10.824195
1543825661805,49708498096488,0.4536629,4.0631614,11.685543
1543825661825,49708518096488,2.094802,3.4843967,14.264098
1543825661845,49708538096488,2.984018,3.1703446,16.67236
1543825661866,49708558098051,2.5999117,3.4617572,15.065878
1543825661886,49708578096488,1.854223,4.1984625,10.702427
1543825661905,49708598096488,2.2901976,4.616442,8.15331
1543825661926,49708618096488,3.442728,4.369418,8.838771
1543825661945,49708638096488,4.005375,3.7007654,10.627047
1543825661967,49708658096488,3.2646472,3.1129315,10.6498785
1543825661986,49708678096488,2.1607287,2.8685794,8.667911
1543825662006,49708698096488,1.5777119,2.8084083,6.479007
1543825662025,49708718096488,1.0273424,2.9401658,5.371315
1543825662045,49708738096488,0.32338962,2.9662817,4.729123
1543825662066,49708758096488,-0.25085488,3.1863282,4.227605
1543825662085,49708778096488,-0.45429498,3.663952,4.082315
1543825662105,49708798096488,-0.55229443,4.212387,4.254688
1543825662125,49708818096488,-1.1516014,4.050894,5.1491523
1543825662145,49708838096488,-1.4716775,3.5843594,7.0761495
1543825662169,49708858096488,-1.6735183,3.3403616,8.819655
1543825662185,49708878096488,-1.8692874,3.1909442,9.54755
1543825662205,49708898096488,-2.3852856,3.404306,9.295488
1543825662226,49708918096488,-2.6185482,3.7146325,9.048636
