adress,advertisingSid,bond,name,primaryPhy,rssi,secondaryPhy,time,txPower,type
D2:7E:5A:01:9C:D1,255,10,Forerunner 235,1,-80,0,1543825660096,127,2
75:E0:E0:21:C2:6A,255,10,NA,1,-90,0,1543825662103,127,0
D2:7E:5A:01:9C:D1,255,10,Forerunner 235,1,-94,0,1543825662135,127,2
00:F7:93:1C:4F:93,255,10,NA,1,-95,0,1543825662164,127,0
A0:E6:F8:F9:6D:74,255,10,KONFTEL 300IPx,1,-92,0,1543825662169,127,2
52:66:4E:A6:1A:C1,255,10,NA,1,-95,0,1543825662172,127,2
D2:7E:5A:01:9C:D1,255,10,Forerunner 235,1,-88,0,1543825662176,127,2
2C:60:46:FD:5E:43,255,10,NA,1,-99,0,1543825662179,127,0
59:81:17:AB:3D:E7,255,10,NA,1,-84,0,1543825664203,127,0
63:8D:EA:5D:CB:80,255,10,NA,1,-93,0,1543825664217,127,0
00:F7:93:1C:4F:93,255,10,NA,1,-89,0,1543825664236,127,0
29:F4:0D:B2:4B:24,255,10,NA,1,-99,0,1543825670784,127,0
C4:64:E3:7D:8E:BB,255,10,KONFTEL 300IPx,1,-93,0,1543825670821,127,2
D2:7E:5A:01:9C:D1,255,10,Forerunner 235,1,-85,0,1543825670830,127,2
55:F3:36:32:86:70,255,10,NA,1,-88,0,1543825670836,127,0
00:F7:93:1C:4F:93,255,10,NA,1,-78,0,1543825670847,127,0
49:97:6B:6F:26:E5,255,10,NA,1,-78,0,1543825671397,127,0
00:81:F9:18:7A:A5,255,10,KONFTEL 300IPx,1,-89,0,1543825671406,127,2
00:81:F9:17:EF:48,255,10,KONFTEL 300IPx,1,-79,0,1543825671418,127,2
A0:E6:F8:F9:6D:4A,255,10,KONFTEL 300IPx,1,-84,0,1543825671421,127,2
2C:60:46:FD:5E:43,255,10,NA,1,-85,0,1543825671976,127,0
29:F4:0D:B2:4B:24,255,10,NA,1,-93,0,1543825671977,127,0
A0:E6:F8:F9:6D:74,255,10,KONFTEL 300IPx,1,-86,0,1543825671980,127,2
C4:64:E3:7D:8E:BB,255,10,KONFTEL 300IPx,1,-95,0,1543825671982,127,2
48:1C:31:28:73:76,255,10,NA,1,-91,0,1543825671984,127,2
75:4D:F1:C0:33:9F,255,10,NA,1,-93,0,1543825672089,127,2
56:C8:F9:6E:19:D5,255,10,NA,1,-94,0,1543825672091,127,2
00:F7:93:1C:4F:93,255,10,NA,1,-74,0,1543825672092,127,0
29:F4:0D:B2:4B:24,255,10,NA,1,-100,0,1543825672092,127,0
48:D7:B6:86:1E:93,255,10,NA,1,-95,0,1543825672598,127,2
2C:60:46:FD:5E:43,255,10,NA,1,-92,0,1543825672752,127,0
2C:60:46:FD:5E:43,255,10,NA,1,-85,0,1543825672754,127,0
29:F4:0D:B2:4B:24,255,10,NA,1,-94,0,1543825672906,127,0
00:F7:93:1C:4F:93,255,10,NA,1,-73,0,1543825673468,127,0
00:81:F9:16:64:2C,255,10,KONFTEL 300IPx,1,-85,0,1543825673567,127,2
00:F7:93:1C:4F:93,255,10,NA,1,-81,0,1543825673574,127,0
00:81:79:18:74:34,255,10,KONFTEL 300IPx,1,-89,0,1543825673587,127,2
00:F7:93:1C:4F:93,255,10,NA,1,-76,0,1543825673681,127,0
00:F7:93:1C:4F:93,255,10,NA,1,-84,0,1543825673788,127,0
2C:60:46:FD:5E:43,255,10,NA,1,-83,0,1543825673930,127,0
A0:E6:F8:F9:6D:4A,255,10,KONFTEL 300IPx,1,-84,0,1543825673947,127,2
00:F7:93:1C:4F:93,255,10,NA,1,-79,0,1543825674133,127,0
5A:49:B4:90:F6:29,255,10,NA,1,-93,0,1543825674134,127,0
2C:60:46:FD:5E:43,255,10,NA,1,-93,0,1543825674135,127,0
2C:60:46:FD:5E:43,255,10,NA,1,-80,0,1543825674364,127,0
12:63:A8:60:4F:E6,255,10,NA,1,-89,0,1543825674367,127,0
2C:60:46:FD:5E:43,255,10,NA,1,-86,0,1543825674467,127,0
65:27:15:66:59:55,255,10,NA,1,-91,0,1543825674553,127,0
00:F7:93:1C:4F:93,255,10,NA,1,-87,0,1543825674554,127,0
00:81:F9:16:84:10,255,10,KONFTEL 300IPx,1,-89,0,1543825674557,127,2
5A:49:B4:90:F6:29,255,10,NA,1,-90,0,1543825674650,127,0
12:63:A8:60:4F:E6,255,10,NA,1,-85,0,1543825674652,127,0
61:85:D7:C2:82:EC,255,10,NA,1,-100,0,1543825674660,127,0
61:85:D7:C2:82:EC,255,10,NA,1,-87,0,1543825710050,127,0
6C:72:DA:60:5D:D0,255,10,NA,1,-94,0,1543825710080,127,2
D4:90:9C:C2:EA:33,255,10,NA,1,-100,0,1543825710084,127,0
5F:DE:A9:AF:B3:D6,255,10,NA,1,-90,0,1543825710142,127,0
D4:90:9C:C2:EA:33,255,10,NA,1,-93,0,1543825710153,127,0
75:E2:CA:99:86:CD,255,10,NA,1,-90,0,1543825710155,127,0
D4:90:9C:C2:EA:33,255,10,NA,1,-93,0,1543825710168,127,0
10:94:BB:6C:3E:7C,255,10,AirPods,1,-92,0,1543825710181,127,3
D4:90:9C:C2:EA:33,255,10,NA,1,-94,0,1543825710219,127,0
12:63:A8:60:4F:E6,255,10,NA,1,-82,0,1543825710265,127,0
5F:23:4E:AF:E8:56,255,10,NA,1,-80,0,1543825710273,127,0
2C:60:46:FD:5E:43,255,10,NA,1,-96,0,1543825710315,127,0
6E:16:04:8D:22:E8,255,10,NA,1,-86,0,1543825710341,127,2
5A:49:B4:90:F6:29,255,10,NA,1,-88,0,1543825710347,127,0
00:F7:93:1C:4F:93,255,10,NA,1,-88,0,1543825710350,127,0
12:63:A8:60:4F:E6,255,10,NA,1,-85,0,1543825710371,127,0
00:F7:93:1C:4F:93,255,10,NA,1,-89,0,1543825710440,127,0
10:94:BB:6C:3E:7C,255,10,AirPods,1,-95,0,1543825710445,127,3
A0:E6:F8:FC:68:B7,255,10,KONFTEL 300IPx,1,-84,0,1543825710473,127,2
12:63:A8:60:4F:E6,255,10,NA,1,-89,0,1543825710476,127,0
10:94:BB:6C:3E:7C,255,10,AirPods,1,-91,0,1543825710510,127,3
2C:60:46:FD:5E:43,255,10,NA,1,-91,0,1543825710519,127,0
D4:90:9C:C2:EA:33,255,10,NA,1,-97,0,1543825710524,127,0
A0:E6:F8:FC:68:B7,255,10,KONFTEL 300IPx,1,-84,0,1543825710571,127,2
12:63:A8:60:4F:E6,255,10,NA,1,-79,0,1543825710588,127,0
2C:60:46:FD:5E:43,255,10,NA,1,-94,0,1543825710621,127,0
47:67:C1:89:DB:5A,255,10,NA,1,-83,0,1543825710639,127,2
D4:90:9C:C2:EA:33,255,10,NA,1,-96,0,1543825710652,127,0
00:F7:93:1C:4F:93,255,10,NA,1,-82,0,1543825710655,127,0
5F:23:4E:AF:E8:56,255,10,NA,1,-86,0,1543825710659,127,0
10:94:BB:6C:3E:7C,255,10,AirPods,1,-93,0,1543825710662,127,3
D4:90:9C:C2:EA:33,255,10,NA,1,-98,0,1543825710690,127,0
75:E2:CA:99:86:CD,255,10,NA,1,-88,0,1543825710708,127,0
46:34:54:75:CE:52,255,10,NA,1,-92,0,1543825710784,127,2
48:0E:1D:55:61:E3,255,10,NA,1,-95,0,1543825710789,127,0
10:94:BB:6C:3E:7C,255,10,AirPods,1,-87,0,1543825710793,127,3
5F:23:4E:AF:E8:56,255,10,NA,1,-93,0,1543825710849,127,0
61:3A:90:E3:FF:61,255,10,NA,1,-94,0,1543825711027,127,2
00:F7:93:1C:4F:93,255,10,NA,1,-89,0,1543825711027,127,0
6E:16:04:8D:22:E8,255,10,NA,1,-82,0,1543825711213,127,2
12:63:A8:60:4F:E6,255,10,NA,1,-74,0,1543825711216,127,0
73:8A:EC:08:42:BD,255,10,NA,1,-81,0,1543825711242,127,2
10:94:BB:6C:3E:7C,255,10,AirPods,1,-94,0,1543825711246,127,3
A0:E6:F8:FC:68:B7,255,10,KONFTEL 300IPx,1,-87,0,1543825711296,127,2
12:63:A8:60:4F:E6,255,10,NA,1,-73,0,1543825711309,127,0
61:85:D7:C2:82:EC,255,10,NA,1,-85,0,1543825711356,127,0
12:63:A8:60:4F:E6,255,10,NA,1,-76,0,1543825711413,127,0
5F:DE:A9:AF:B3:D6,255,10,NA,1,-95,0,1543825711443,127,0
D4:90:9C:C2:EA:33,255,10,NA,1,-95,0,1543825711461,127,0
48:0E:1D:55:61:E3,255,10,NA,1,-91,0,1543825711520,127,0
73:8A:EC:08:42:BD,255,10,NA,1,-74,0,1543825711583,127,2
10:94:BB:6C:3E:7C,255,10,AirPods,1,-88,0,1543825711613,127,3
5A:49:B4:90:F6:29,255,10,NA,1,-87,0,1543825711616,127,0
75:E2:CA:99:86:CD,255,10,NA,1,-86,0,1543825711650,127,0
C4:64:E3:84:9D:89,255,10,KONFTEL 300IPx,1,-86,0,1543825711690,127,2
5F:23:4E:AF:E8:56,255,10,NA,1,-86,0,1543825711757,127,0
2C:60:46:FD:5E:43,255,10,NA,1,-91,0,1543825711761,127,0
73:8A:EC:08:42:BD,255,10,NA,1,-68,0,1543825711783,127,2
10:94:BB:6C:3E:7C,255,10,AirPods,1,-93,0,1543825711819,127,3
12:63:A8:60:4F:E6,255,10,NA,1,-73,0,1543825711828,127,0
10:94:BB:6C:3E:7C,255,10,AirPods,1,-90,0,1543825711846,127,3
D4:90:9C:C2:EA:33,255,10,NA,1,-96,0,1543825711848,127,0
73:8A:EC:08:42:BD,255,10,NA,1,-69,0,1543825711919,127,2
61:85:D7:C2:82:EC,255,10,NA,1,-85,0,1543825711920,127,0
10:94:BB:6C:3E:7C,255,10,AirPods,1,-92,0,1543825711922,127,3
12:63:A8:60:4F:E6,255,10,NA,1,-75,0,1543825711937,127,0
12:63:A8:60:4F:E6,255,10,NA,1,-84,0,1543825719908,127,0
2C:60:46:FD:5E:43,255,10,NA,1,-101,0,1543825719933,127,0
00:F7:93:1C:4F:93,255,10,NA,1,-95,0,1543825719996,127,0
5A:49:B4:90:F6:29,255,10,NA,1,-89,0,1543825720023,127,0
61:85:D7:C2:82:EC,255,10,NA,1,-84,0,1543825720071,127,0
10:94:BB:6C:3E:7C,255,10,AirPods,1,-95,0,1543825720096,127,3
2C:60:46:FD:5E:43,255,10,NA,1,-99,0,1543825720142,127,0
