timeMillis,timeNanos,x,y,z
1543825659609,49706279576488,-0.39046505,0.20666444,0.15812683
1543825659609,49706299576488,-0.14142403,0.14268066,0.114388876
1543825659626,49706319576488,-0.03122394,0.04022984,0.1248085
1543825659646,49706339576488,-0.057700586,-0.06569419,0.14292501
1543825659665,49706359576488,-0.15484561,-0.08742354,0.17261307
1543825659685,49706379576488,-0.24602161,-0.06314601,0.21889919
1543825659705,49706399576488,-0.19298105,-0.056618482,0.12651892
1543825659725,49706419578051,-0.10501646,-0.04447099,0.0075572757
1543825659745,49706439576488,-0.13465215,-0.06010914,-0.004363323
1543825659765,49706459576488,-0.2347817,-0.052499503,0.0118333325
1543825659786,49706479576488,-0.29906216,-0.030333823,0.037978366
1543825659805,49706499578051,-0.31815606,0.034103733,0.07583456
1543825659826,49706519576488,-0.37521088,0.10752974,0.13672909
1543825659845,49706539576488,-0.38597956,0.08892453,0.16027358
1543825659867,49706559576488,-0.27583185,0.00413643,0.10000736
1543825659887,49706579576488,-0.11440633,-0.062308256,0.054349553
1543825659906,49706599576488,0.07531096,-0.13772394,0.056862827
1543825659926,49706619576488,0.21378538,-0.19586085,0.050806534
1543825659947,49706639576488,0.15083136,-0.2751686,0.07880162
1543825659966,49706659576488,-0.046949357,-0.33941418,0.12669346
1543825659986,49706679576488,-0.2778215,-0.5385388,0.16790067
1543825660007,49706699576488,-0.45144686,-0.5647885,0.19821705
1543825660027,49706719576488,-0.7090051,-0.04415683,0.20498893
1543825660047,49706739576488,-1.0215063,0.27471483,0.31349605
1543825660067,49706759576488,-0.9705776,0.3480361,0.3058166
1543825660086,49706779576488,-0.84802055,0.05099852,0.1349314
1543825660106,49706799576488,-0.5787861,0.14505431,0.027017696
1543825660126,49706819576488,-0.37220892,-0.10060078,-0.028710665
1543825660145,49706839576488,-0.13210396,-0.252043,-0.014014994
1543825660165,49706859576488,-0.16639969,-0.21434389,0.062482785
1543825660187,49706879576488,-0.218969,-0.26172957,0.10218903
1543825660206,49706899576488,-0.39311796,-0.06738716,0.10192723
1543825660226,49706919576488,-0.37201694,0.051347587,0.16585864
1543825660247,49706939576488,-0.3473729,0.0056199604,0.24767968
1543825660266,49706959576488,-0.3324154,-0.06627015,0.29241246
1543825660287,49706979576488,-0.1879545,-0.36887532,0.33487633
1543825660307,49706999576488,-0.048066366,-0.50577897,0.3016627
1543825660326,49707019576488,-0.14201744,-0.40423572,0.22284363
1543825660346,49707039576488,-0.2529331,-0.31775466,0.21755528
1543825660366,49707059576488,-0.26464427,-0.3470587,0.20292944
1543825660387,49707079576488,-0.24986133,0.05333726,0.16580628
1543825660406,49707099576488,-0.11960741,-0.011571533,0.18146189
1543825660426,49707119576488,0.041975167,0.03843215,0.16554448
1543825660447,49707139576488,0.121143304,0.23399629,0.07995354
1543825660467,49707159576488,0.21439624,0.18373081,0.11025245
1543825660486,49707179576488,0.2952399,-0.46390852,0.1311615
1543825660506,49707199578051,0.35952038,-0.64929736,0.10817551
1543825660526,49707219576488,0.47924995,-0.3093247,0.078906335
1543825660546,49707239576488,0.5872335,-0.43458697,0.07360053
1543825660567,49707259576488,0.5803045,-0.99427915,0.04605924
1543825660585,49707279576488,0.52073646,-1.2638627,-0.05461135
1543825660607,49707299576488,0.36095154,-1.1533135,0.0070685833
1543825660626,49707319578051,0.085817836,-0.8524537,0.18390535
1543825660647,49707339576488,-0.13266248,-0.19891517,-0.19907226
1543825660666,49707359576488,-0.23886576,0.20463985,-0.32991958
1543825660686,49707379576488,-0.2378011,0.31613147,-0.28991663
1543825660706,49707399576488,-0.041067597,0.48867473,-0.37866664
1543825660727,49707419576488,0.3499036,0.2718874,-0.53078955
1543825660769,49707439578051,0.70862114,4.712389E-4,-0.6485818
1543825660769,49707459578051,0.8681617,-0.07808603,-0.72101295
1543825660785,49707479576488,0.8436747,0.032201324,-0.5479287
1543825660806,49707499576488,0.70115113,0.093654364,-0.28344148
1543825660826,49707519576488,0.3937463,0.03996804,-0.26989773
1543825660846,49707539576488,-0.09801769,-0.1484577,-0.4641005
1543825660865,49707559576488,-0.40526545,0.0066671576,-0.42608723
1543825660885,49707579576488,-0.449527,0.38423422,-0.3147003
1543825660905,49707599576488,-0.44205698,0.7598989,-0.31431633
1543825660925,49707619576488,-0.52024776,0.64329344,-0.42261404
1543825660946,49707639578051,-0.4635769,0.32447416,-0.44917792
1543825660965,49707659576488,-0.27609363,0.26150268,-0.47902307
