timeMillis,timeNanos,value
1543825659628,49706323976488,1014.8286
1543825659705,49706403976488,1014.8589
1543825659786,49706483976488,1014.8579
1543825659868,49706563976488,1014.8281
1543825659947,49706643976488,1014.8203
1543825660027,49706723976488,1014.8257
1543825660107,49706803976488,1014.85547
1543825660188,49706883976488,1014.88574
1543825660266,49706963976488,1014.9004
1543825660346,49707043976488,1014.9004
1543825660427,49707123976488,1014.9004
1543825660507,49707203978051,1014.8706
1543825660586,49707283976488,1014.84033
1543825660666,49707363976488,1014.81055
1543825660769,49707443978051,1014.7803
1543825660827,49707523976488,1014.7803
1543825660906,49707603976488,1014.7803
1543825660986,49707683976488,1014.7803
1543825661066,49707763976488,1014.81055
1543825661146,49707843976488,1014.84033
1543825661226,49707923976488,1014.85547
1543825661307,49708003976488,1014.85547
1543825661386,49708083976488,1014.84033
1543825661466,49708163978051,1014.81055
1543825661546,49708243976488,1014.7803
1543825661628,49708323978051,1014.7505
1543825661707,49708403976488,1014.7417
1543825661785,49708483978051,1014.7715
1543825661868,49708563978051,1014.80176
1543825661946,49708643976488,1014.8164
1543825662026,49708723976488,1014.80176
1543825662106,49708803976488,1014.7715
1543825662186,49708883976488,1014.75635
1543825662267,49708963976488,1014.78516
1543825662346,49709043976488,1014.81494
1543825662426,49709123976488,1014.8301
1543825662506,49709203976488,1014.8364
1543825662586,49709283976488,1014.8364
1543825662666,49709363976488,1014.80664
1543825662758,49709443976488,1014.7915
1543825662826,49709523976488,1014.8218
1543825662907,49709603976488,1014.85156
1543825662987,49709683976488,1014.8667
1543825663067,49709763976488,1014.8364
1543825663146,49709843976488,1014.80664
1543825663226,49709923976488,1014.7915
1543825663307,49710003976488,1014.792
1543825663388,49710083976488,1014.82227
1543825663466,49710163976488,1014.82227
1543825663548,49710243976488,1014.83154
1543825663626,49710323976488,1014.80176
1543825663706,49710403976488,1014.7715
1543825663785,49710483978051,1014.7715
1543825663869,49710563976488,1014.80176
1543825663947,49710643976488,1014.83154
1543825664027,49710723976488,1014.8164
1543825664151,49710803976488,1014.7866
1543825664186,49710883976488,1014.75635
1543825664266,49710963976488,1014.7715
1543825664348,49711043976488,1014.80176
1543825664427,49711123976488,1014.8164
1543825664506,49711203976488,1014.83154
1543825664587,49711283976488,1014.83154
1543825664666,49711363976488,1014.80176
1543825664775,49711443976488,1014.7715
1543825664825,49711523976488,1014.76855
1543825664907,49711603976488,1014.7988
1543825664988,49711683976488,1014.8286
1543825665067,49711763976488,1014.8159
1543825665146,49711843976488,1014.78564
1543825665226,49711923976488,1014.75586
1543825665306,49712003976488,1014.7705
1543825665388,49712083976488,1014.8008
1543825665467,49712163976488,1014.8159
1543825665547,49712243976488,1014.83057
1543825665627,49712323976488,1014.8159
1543825665706,49712403976488,1014.78564
1543825665786,49712483976488,1014.7705
1543825665866,49712563976488,1014.78564
1543825665987,49712643978051,1014.8159
1543825666026,49712723976488,1014.83057
1543825666106,49712803976488,1014.8286
1543825666187,49712883976488,1014.79834
1543825666266,49712963976488,1014.7837
1543825666346,49713043976488,1014.79395
1543825666426,49713123976488,1014.8242
1543825666506,49713203976488,1014.83936
1543825666585,49713283976488,1014.85596
1543825666666,49713363976488,1014.8262
1543825666772,49713443976488,1014.7959
1543825666827,49713523976488,1014.7959
1543825666906,49713603976488,1014.81055
1543825666988,49713683976488,1014.8408
1543825667066,49713763976488,1014.8257
1543825667146,49713843976488,1014.7959
1543825667226,49713923976488,1014.78076
1543825667307,49714003976488,1014.7959
1543825667388,49714083976488,1014.8257
1543825667466,49714163976488,1014.8408
1543825667547,49714243976488,1014.83936
1543825667626,49714323976488,1014.8091
1543825667707,49714403976488,1014.7793
1543825667785,49714483976488,1014.7793
1543825667868,49714563976488,1014.771
1543825667946,49714643976488,1014.8008
1543825668026,49714723976488,1014.8213
1543825668107,49714803976488,1014.7915
1543825668187,49714883976488,1014.7612
1543825668265,49714963976488,1014.7612
1543825668348,49715043976488,1014.7915
1543825668426,49715123976488,1014.8213
1543825668507,49715203976488,1014.8213
1543825668588,49715283976488,1014.8213
1543825668674,49715363976488,1014.7915
1543825668771,49715443976488,1014.77637
1543825668826,49715523976488,1014.7783
1543825668906,49715603976488,1014.8086
1543825668987,49715683976488,1014.8237
1543825669066,49715763976488,1014.79346
1543825669146,49715843976488,1014.7637
1543825669226,49715923976488,1014.74854
1543825669307,49716003976488,1014.772
1543825669387,49716083976488,1014.80225
1543825669466,49716163976488,1014.8174
1543825669661,49716243976488,1014.8174
1543825669661,49716323978051,1014.7871
1543825669708,49716403976488,1014.7573
1543825669791,49716483976488,1014.7456
1543825669865,49716563976488,1014.7754
1543825669946,49716643976488,1014.80566
1543825670026,49716723978051,1014.8203
1543825670108,49716803976488,1014.7905
1543825670187,49716883976488,1014.76025
1543825670266,49716963976488,1014.7578
1543825670346,49717043976488,1014.7876
1543825670426,49717123976488,1014.8179
1543825670507,49717203976488,1014.82666
1543825670588,49717283976488,1014.83545
1543825670673,49717363976488,1014.8052
1543825670746,49717443976488,1014.7754
1543825670826,49717523976488,1014.7754
1543825670906,49717603976488,1014.7749
1543825670987,49717683976488,1014.8052
1543825671066,49717763976488,1014.81836
1543825671146,49717843976488,1014.7881
1543825671227,49717923976488,1014.77295
1543825671307,49718003976488,1014.8032
1543825671386,49718083976488,1014.77686
1543825671467,49718163976488,1014.78467
1543825671547,49718243976488,1014.81445
1543825671626,49718323978051,1014.83984
1543825671793,49718403978051,1014.8096
1543825671793,49718483978051,1014.7886
1543825671882,49718563978051,1014.7583
1543825671975,49718643978051,1014.7334
1543825672087,49718723978051,1014.7637
1543825672210,49718803976488,1014.79346
1543825672210,49718883978051,1014.8237
1543825672321,49718963978051,1014.83887
1543825672453,49719043978051,1014.8086
1543825672453,49719123978051,1014.7788
1543825672596,49719203978051,1014.7637
1543825672596,49719283978051,1014.7832
1543825672750,49719363978051,1014.8135
1543825672750,49719443978051,1014.84326
1543825672904,49719523978051,1014.84326
1543825672906,49719603978051,1014.8135
1543825673037,49719683978051,1014.7832
1543825673066,49719763976488,1014.76855
1543825673147,49719843976488,1014.78564
1543825673226,49719923976488,1014.8154
1543825673419,49720003976488,1014.83057
1543825673419,49720083978051,1014.8154
1543825673468,49720163976488,1014.78564
1543825673546,49720243978051,1014.7705
1543825673626,49720323976488,1014.8008
1543825673706,49720403976488,1014.83057
1543825673789,49720483976488,1014.83057
1543825673929,49720563978051,1014.85156
1543825673946,49720643976488,1014.8213
1543825674033,49720723978051,1014.7915
1543825674128,49720803978051,1014.7915
1543825674248,49720883978051,1014.80615
1543825674352,49720963978051,1014.8364
1543825674353,49721043978051,1014.8213
1543825674466,49721123978051,1014.7915
1543825674552,49721203978051,1014.7612
1543825674648,49721283978051,1014.76807
1543825674789,49721363976488,1014.79834
1543825674790,49721443978051,1014.813
1543825674925,49721523976488,1014.8281
1543825674925,49721603978051,1014.8052
1543825675019,49721683978051,1014.7749
1543825675158,49721763978051,1014.76025
1543825675158,49721843978051,1014.7749
1543825675280,49721923978051,1014.8052
1543825675418,49722003976488,1014.8203
1543825675418,49722083978051,1014.7954
1543825675551,49722163978051,1014.76514
1543825675551,49722243978051,1014.77637
1543825675626,49722323976488,1014.80615
1543825675706,49722403976488,1014.8213
1543825675793,49722483976488,1014.8364
1543825675882,49722563978051,1014.80615
1543825675959,49722643978051,1014.77637
1543825676039,49722723978051,1014.7461
1543825676124,49722803978051,1014.7612
1543825676209,49722883978051,1014.791
1543825676325,49722963978051,1014.80615
1543825676430,49723043978051,1014.7964
1543825676430,49723123978051,1014.7666
1543825676579,49723203978051,1014.75146
1543825676677,49723283978051,1014.78174
1543825676677,49723363978051,1014.8115
1543825676794,49723443978051,1014.8115
1543825676898,49723523978051,1014.8115
1543825676986,49723603978051,1014.7993
1543825676987,49723683978051,1014.76904
1543825677109,49723763978051,1014.7754
1543825677204,49723843978051,1014.8052
1543825677278,49723923978051,1014.8203
1543825677312,49724003978051,1014.8203
1543825677386,49724083976488,1014.7905
1543825677466,49724163976488,1014.76025
1543825677548,49724243978051,1014.7754
1543825677626,49724323976488,1014.8052
1543825677706,49724403976488,1014.8296
1543825677793,49724483978051,1014.81445
1543825677866,49724563976488,1014.7842
1543825677947,49724643976488,1014.7544
1543825678026,49724723976488,1014.74854
1543825678107,49724803976488,1014.7788
1543825678186,49724883976488,1014.8086
1543825678267,49724963976488,1014.8086
1543825678347,49725043976488,1014.7788
1543825678426,49725123976488,1014.74854
1543825678506,49725203976488,1014.74854
1543825678586,49725283976488,1014.7788
1543825678667,49725363976488,1014.8086
1543825678746,49725443976488,1014.8379
1543825678837,49725523978051,1014.83594
1543825678907,49725603976488,1014.80566
1543825678986,49725683976488,1014.7759
1543825679066,49725763976488,1014.791
1543825679146,49725843976488,1014.8208
1543825679226,49725923976488,1014.8174
1543825679306,49726003976488,1014.7876
1543825679386,49726083976488,1014.7573
1543825679466,49726163976488,1014.7427
1543825679547,49726243976488,1014.76904
1543825679628,49726323976488,1014.7988
1543825679706,49726403976488,1014.80225
1543825679787,49726483976488,1014.7822
1543825679867,49726563976488,1014.75244
1543825679946,49726643976488,1014.72217
1543825680026,49726723976488,1014.75244
1543825680106,49726803976488,1014.7822
1543825680187,49726883978051,1014.8125
1543825680266,49726963976488,1014.8125
1543825680397,49727043978051,1014.7822
1543825680426,49727123976488,1014.7593
1543825680506,49727203976488,1014.78906
1543825680586,49727283976488,1014.81934
1543825680666,49727363976488,1014.81934
1543825680746,49727443976488,1014.834
1543825680826,49727523976488,1014.8042
1543825680908,49727603976488,1014.7739
1543825680986,49727683976488,1014.7578
1543825681066,49727763976488,1014.7881
1543825681146,49727843976488,1014.8179
1543825681226,49727923976488,1014.80566
1543825681306,49728003976488,1014.7759
1543825681386,49728083976488,1014.7456
1543825681466,49728163976488,1014.7593
1543825681546,49728243976488,1014.78906
1543825681628,49728323976488,1014.8042
1543825681706,49728403976488,1014.7739
1543825681787,49728483978051,1014.7617
1543825681875,49728563978051,1014.73193
1543825681946,49728643976488,1014.7168
1543825682026,49728723976488,1014.7466
1543825682106,49728803978051,1014.77686
1543825682186,49728883976488,1014.792
1543825682266,49728963976488,1014.7749
1543825682346,49729043978051,1014.7451
1543825682426,49729123976488,1014.76025
1543825682509,49729203976488,1014.79004
1543825682586,49729283976488,1014.8203
1543825682666,49729363976488,1014.8203
1543825682746,49729443976488,1014.8203
1543825682826,49729523976488,1014.79004
1543825682906,49729603976488,1014.76025
1543825682987,49729683976488,1014.76025
1543825683066,49729763976488,1014.79004
1543825683147,49729843976488,1014.8203
1543825683226,49729923976488,1014.8203
1543825683306,49730003976488,1014.79004
1543825683387,49730083978051,1014.76025
1543825683468,49730163976488,1014.77
1543825683553,49730243976488,1014.7998
1543825683749,49730323976488,1014.8301
1543825683749,49730403978051,1014.8452
