timeMillis,timeNanos,x,y,z
1544583237728,85646009786333,-1.3192455,3.0119977,8.810931
1544583237744,85646042452999,-1.3192455,3.0119977,8.810931
1544583237766,85646075119665,-1.3192455,3.0119977,8.810931
1544583237784,85646107786331,-1.1061549,2.9641123,8.909097
1544583237804,85646140452997,-1.3144568,2.9042554,8.494887
1544583237825,85646173119630,-1.3743137,3.0096035,8.176449
1544583237844,85646205786330,-1.403045,3.2179053,8.147717
1544583237864,85646238452996,-1.3671309,3.459727,8.042369
1544583237886,85646271119662,-1.3958622,3.6536634,7.59464
1544583237904,85646303786295,-1.3647367,3.7614057,7.3815494
1544583237925,85646336452995,-1.2426286,3.7925313,7.415069
1544583237946,85646369119661,-0.99362403,3.9242165,7.8101244
1544583237964,85646401786094,0.39505535,5.5906315,9.775824
1544583237983,85646434452160,0.27055305,5.463735,9.287392
1544583238005,85646467118860,0.026337024,4.5515165,8.133351
1544583238024,85646499785526,0.4285752,4.9561486,7.893924
1544583238044,85646532452159,0.66321415,5.5020437,8.870789
1544583238066,85646565118825,0.53871185,4.869955,9.009656
1544583238084,85646597785491,0.22985038,4.04393,9.182044
1544583238104,85646630452191,-0.3304099,3.7398572,9.332883
1544583238128,85646663118857,-0.61293435,3.1700199,9.361614
1544583238144,85646695785523,-0.5363176,3.162837,8.956982
1544583238164,85646728452223,-0.39266106,3.605778,9.850046
1544583238187,85646761118889,-0.5650489,3.7781656,9.905115
1544583238204,85646793785589,-0.9984126,3.553104,9.012051
1544583238224,85646826452255,-1.2665714,3.5962007,8.28898
1544583238245,85646859118921,-1.0917894,3.8715425,8.514041
1544583238264,85646891785621,-0.7398309,3.9481592,8.983319
1544583238284,85646924452287,-0.7206767,4.1325183,8.48531
1544583238306,85646957118953,-0.87630457,4.1157584,7.9585695
1544583238323,85646977118986,-0.6895511,3.9313993,8.746285
1544583238344,85646997118986,-0.28970724,4.000833,8.923462
1544583238366,85647017118752,0.22985038,4.168432,8.971348
1544583238385,85647037118485,-0.37590113,4.479688,9.466963
1544583238403,85647057117885,-0.7781393,4.103787,9.273026
1544583238424,85647077118385,-0.46927786,3.929005,9.435837
1544583238453,85647097117751,-0.55786604,4.084633,9.153313
1544583238463,85647117117151,-0.30646718,4.288146,9.050359
1544583238484,85647137116584,-0.25139886,4.5084195,9.09585
1544583238502,85647157117084,-0.41420954,4.249838,8.889942
1544583238525,85647177116817,-0.43336374,4.14449,8.717555
1544583238544,85647197116550,-0.3519584,4.0343533,8.904308
1544583238564,85647217116216,-0.3304099,3.9697077,8.686429
