timestamp,ssid,bssid,frequency,rss,wifiNo,legit
85619393659,ISILAB_2,2c:56:dc:84:dd:88,2417,-40,0,false
85619393697,ISILAB_5,2c:56:dc:84:dd:8c,5785,-41,0,false
85619393683,JKR-R7000,10:da:43:95:44:e1,2437,-42,0,false
85619393681,HCIL guest,6e:7e:92:e0:9f:70,2432,-46,0,false
85619393719,KECI,18:31:bf:46:ff:d8,2457,-47,0,false
85619393691,Lapras,60:38:e0:bb:ee:01,2437,-48,0,false
85619393704,DIRECT-90-HP M477 LaserJet,96:53:30:29:0e:90,2437,-48,0,false
85619393684,HCIL,6c:70:9f:e0:92:7e,2432,-50,0,false
85619393716,eduroam,00:24:6c:7d:f6:81,2452,-53,0,false
85619393737,irnlp,c4:e9:84:f8:c7:73,2467,-54,0,false
85619393724,JKR-R7000-5G,10:da:43:95:44:de,5260,-54,0,false
85619393721,Welcome_KAIST,00:24:6c:7d:f6:80,2452,-54,0,false
85619393672,eduroam,00:24:6c:7d:f6:91,5240,-57,0,false
85619393689,bsk2,00:08:9f:d9:e3:54,2432,-57,0,false
85619393722,SPIRAL,88:36:6c:b3:ef:2c,2452,-57,0,false
85619393693,KECI_5G,18:31:bf:46:ff:dc,5805,-58,0,false
85619393670,Welcome_KAIST,00:24:6c:7d:f6:90,5240,-59,0,false
85619393662,cdsn_win,48:ee:0c:ef:92:79,2422,-59,0,false
85619393733,BUFFALO-764062_G,b0:c7:45:76:40:62,2462,-60,0,false
85619393644,,9c:d6:43:c8:11:80,2412,-61,0,false
85619393664,iptime_dblab,90:9f:33:10:83:be,2427,-61,0,false
85619393731,WASHERE1,b0:c7:45:76:44:2a,2462,-62,0,false
85619393700,Lapras_5GHz,60:38:e0:bb:ee:02,5805,-63,0,false
85619393729,CaisLab,90:9f:33:bb:c4:e4,2452,-63,0,false
85619393668,mliguest,92:9f:33:f0:98:04,2422,-64,0,false
85619393667,MLILAB3425,90:9f:33:f5:98:04,2422,-64,0,false
85619393735,ASUS,38:d5:47:e3:57:58,2462,-64,0,false
85619393728,DioOpenWrt,10:6f:3f:e7:f2:84,2462,-65,0,false
85619393635,eduroam,00:24:6c:7d:f6:e1,2412,-66,0,false
85619393632,Welcome_KAIST,00:24:6c:7d:f6:e0,2412,-66,0,false
85619393738,Welcome_KAIST,00:24:6c:7d:f6:00,2472,-66,0,false
85619393746,MLILAB824_2,8a:36:6c:c9:4e:70,2472,-67,0,false
85619393740,eduroam,00:24:6c:7d:f6:01,2472,-67,0,false
85619393655,irnlp,c4:e9:84:f8:c7:72,5200,-69,0,false
85619393686,Askai-ASUS_80_2G,b0:6e:bf:a3:90:80,2432,-69,0,false
85619393657,HCIL-IPTIME,64:e5:99:e3:3a:54,2412,-70,0,false
85619393742,,aa:40:a0:56:08:f5,2472,-71,0,false
85619393637,ASUS5G,38:d5:47:e3:57:5c,5180,-72,0,false
85619393712,shheo24g,90:9f:33:a9:29:5a,2437,-72,0,false
85619393708,eduroam,00:24:6c:7d:f6:f1,5805,-73,0,false
85619393687,KIXLAB_WIFI,48:f8:b3:dc:ef:4c,2427,-73,0,false
85619393650,eduroam,00:24:6c:7d:f2:e1,2412,-74,0,false
85619393674,WCSL 5GHz,64:e5:99:da:03:6c,5240,-75,0,false
85619393648,Welcome_KAIST,00:24:6c:7d:f2:e0,2412,-75,0,false
85619393706,Welcome_KAIST,00:24:6c:7d:f6:f0,5805,-75,0,false
85619393660,iptime_dblab_5G,90:9f:33:10:83:bc,5220,-75,0,false
85619393726,eduroam,00:24:6c:7d:f6:c1,2452,-76,0,false
85619393641,bot,08:10:76:3a:92:fa,2412,-76,0,false
85619393679,Askai-ASUS_80_5G,b0:6e:bf:a3:90:84,5765,-77,0,false
85619393639,WASHERE2,b0:c7:45:76:44:2b,5180,-78,0,false
85619393676,NMSL_N1_721,a0:40:a0:56:08:f7,5240,-78,0,false
85619393642,eduroam,00:24:6c:7e:08:01,2412,-78,0,false
85619393714,,88:36:6c:c1:9b:22,2442,-79,0,false
85619393653,Welcome_KAIST,00:24:6c:7e:08:00,2412,-79,0,false
85619393677,,fa:8f:ca:35:de:69,5240,-79,0,false
85619393699,MLILAB824_25G,88:36:6c:e9:4e:70,5785,-82,0,false
85619393695,eduroam,00:24:6c:7d:f6:11,5785,-83,0,false
85619393646,eduroam,00:24:6c:7d:f2:f1,5200,-85,0,false
85619393702,Welcome_KAIST,00:24:6c:7d:f6:10,5785,-85,0,false
85619393744,Welcome_KAIST,00:24:6c:7e:04:20,2472,-85,0,false
85619393710,MLILAB34255G,90:9f:33:f5:98:06,5805,-89,0,false
85649195431,eduroam,00:24:6c:7d:f5:81,2472,-53,1,true
85649195439,Welcome_KAIST,00:24:6c:7d:f5:80,2472,-53,1,true
85649195242,ISILAB_2,2c:56:dc:84:dd:88,2417,-57,1,true
85649195246,Welcome_KAIST,00:24:6c:7d:f5:90,5220,-62,1,true
85649195250,eduroam,00:24:6c:7d:f5:91,5220,-63,1,true
85649195371,DIRECT-90-HP M477 LaserJet,96:53:30:29:0e:90,2437,-66,1,true
85649195423,KECI,18:31:bf:46:ff:d8,2457,-67,1,true
85649195358,DIRECT-42-HP visoft,56:13:79:77:bf:42,2437,-67,1,true
85649195390,iptime,88:36:6c:41:85:5c,2447,-67,1,true
85649195403,NMSL_N1_706,90:9f:33:ac:99:10,2447,-67,1,true
85649195313,HCIL,6c:70:9f:e0:92:7e,2432,-68,1,true
85649195305,HCIL guest,6e:7e:92:e0:9f:70,2432,-68,1,true
85649195234,eduroam,00:24:6c:7d:f4:81,2412,-68,1,true
85649195394,eduroam,00:24:6c:7d:f6:81,2452,-69,1,true
85649195412,Welcome_KAIST,00:24:6c:7d:f6:80,2452,-69,1,true
85649195230,Welcome_KAIST,00:24:6c:7d:f4:80,2412,-69,1,true
85649195331,ISILAB_5,2c:56:dc:84:dd:8c,5785,-70,1,true
85649195455,eduroam,00:24:6c:7d:f6:61,2472,-70,1,true
85649195460,Welcome_KAIST,00:24:6c:7d:f6:60,2472,-71,1,true
85649195382,JKR-R7000,10:da:43:95:44:e1,2437,-72,1,true
85649195323,bhshinRpiAdhoc2,06:52:12:bb:cb:e7,2437,-72,1,true
85649195378,eduroam,00:24:6c:7d:f5:01,2432,-72,1,true
85649195375,Welcome_KAIST,00:24:6c:7d:f5:00,2432,-73,1,true
