timeMillis,timeNanos,x,y,z
1545034155131,180789656633993,-0.37590113,4.7717896,9.577099
1545034155150,180789689333993,-0.37590113,4.7717896,9.577099
1545034155172,180789722033993,-0.37590113,4.7717896,9.577099
1545034155193,180789754734026,-2.6504622,3.6488748,7.5252056
1545034155211,180789787434059,-2.7031362,3.8212626,7.781393
1545034155234,180789820134059,-2.2075214,4.1013927,7.613794
1545034155251,180789852834025,-1.5083932,4.271386,7.6904106
1545034155271,180789885534025,-1.1181264,4.3168774,8.001666
1545034155293,180789918234025,-1.0917894,4.4318027,8.28898
1545034155312,180789950933758,-0.9481328,4.443774,8.444607
1545034155329,180789983633191,-0.5913859,4.3863115,8.734315
1545034155352,180790016333191,-0.55307746,4.3025117,8.904308
1545034155372,180790049033157,-0.5698374,4.312089,8.679246
1545034155391,180790081733090,-0.6464542,4.245049,8.38475
1545034155412,180790114432956,0.66800267,4.355186,9.620196
1545034155431,180790147132822,1.7502149,4.6496816,10.683254
1545034155452,180790179832588,0.7446195,4.5515165,8.842057
1545034155473,180790212532288,-0.89067024,3.9313993,7.987301
1545034155491,180790245231854,-0.7446195,4.0151987,9.04557
1545034155511,180790277931354,0.7709565,5.0926223,10.075109
1545034155532,180790310630754,1.786129,4.9441776,9.421472
1545034155552,180790343330054,0.505192,3.8787253,7.676045
1545034155571,180790376029287,0.098165266,3.337619,7.9944835
1545034155592,180790408728453,0.95531565,3.3591676,9.186832
1545034155613,180790441427519,2.0351336,3.294522,9.703996
1545034155631,180790474126485,1.5850099,4.084633,9.842864
1545034155653,180790506825385,0.47885495,3.9242165,9.227535
1545034155672,180790539524218,0.54828894,3.6608462,8.7534685
1545034155690,180790572222651,0.72785956,3.9457648,8.784595
1545034155712,180790604921284,-0.23942748,3.615355,8.107015
1545034155730,180790624919584,0.4070267,4.9417834,9.593859
1545034155752,180790644917817,1.446142,5.8587904,9.170073
1545034155771,180790664915583,1.0510867,4.470111,8.736709
1545034155790,180790684913249,-1.5083932,1.9944309,8.913885
1545034155810,180790704911182,-2.971295,0.8236305,8.545167
1545034155831,180790724909115,-0.67279124,1.6185298,8.983319
1545034155851,180790744906915,1.5778271,4.2977233,10.474953
1545034155873,180790764904648,0.4860378,4.2977233,9.390346
1545034155894,180790784902314,-0.4932206,3.047912,9.191621
1545034155953,180790804899780,-0.8571504,3.4908526,8.526012
1545034155953,180790824897813,-0.7733508,5.4086666,9.347249
1545034155959,180790844895479,0.57223165,5.03516,10.790997
1545034155971,180790864893112,1.3000913,4.309695,10.453403
1545034155990,180790884890378,0.66800267,3.9673133,8.760652
1545034156009,180790904887311,1.1875603,4.233078,7.26423
1545034156030,180790924884177,0.7589851,5.272193,8.609812
1545034156049,180790944881010,0.64166564,4.965726,9.3592205
1545034156071,180790964877843,-2.0590763,3.4286015,10.223554
1545034156090,180790984875343,-1.1205206,4.0367475,8.705584
1545034156110,180791004872843,-0.11971374,4.1516724,9.39274
1545034156133,180791024870276,0.0670397,4.3695517,9.019233
1545034156162,180791044867776,-0.59378016,4.309695,8.107015
1545034156170,180791064864676,-0.11971374,4.2235007,7.599428
1545034156190,180791084861509,-0.102953814,4.106181,8.870789
1545034156210,180791104858342,0.5889916,3.7949257,10.877191
1545034156240,180791124855275,0.34477556,4.1253357,9.991309
1545034156261,180791144852575,-0.34716985,4.4653225,9.483723
1545034156309,180791164849208,0.17478207,4.2570205,9.067119
1545034156309,180791184846174,-0.083799616,4.1085753,8.047157
1545034156312,180791204843107,-0.41181526,4.7693954,7.8723755
1545034156328,180791224840307,0.9720756,5.1261425,9.069513
1545034156350,180791244837440,1.8292259,4.948966,10.491713
1545034156374,180791264836073,0.95531565,3.7685885,8.217151
1545034156391,180791284834206,-1.0439038,3.869148,7.597034
1545034156412,180791304831939,-0.6273,4.252232,8.22194
1545034156431,180791324829672,-0.29210153,4.149278,8.370385
1545034156451,180791344827572,0.55307746,4.364763,8.882759
1545034156471,180791364825538,0.97446984,4.723904,8.8636055
1545034156492,180791384823504,0.44772938,4.7358756,8.877971
1545034156512,180791404821904,-0.21309046,4.4294086,8.590658
1545034156531,180791424820037,-0.818842,4.443774,8.700794
1545034156553,180791444817570,-0.47885495,4.522785,8.851634
1545034156573,180791464814770,0.2083019,4.7334814,8.813326
1545034156595,180791465814770,0.15323359,4.6903844,8.329682
1545034156614,180791485812970,-0.30167863,4.3432145,8.126168
1545034156630,180791505811370,-0.47167215,4.5012364,8.995291
1545034156650,180791525809836,-0.0023942748,4.4030714,9.498088
1545034156674,180791545808302,0.04070267,4.2402606,9.253872
1545034156693,180791565839435,0.10055954,4.4389853,8.894731
1545034156711,180791585870568,0.15562786,4.460534,8.674458
1545034156734,180791605901768,0.16041641,4.580248,8.559532
1545034156754,180791625932701,0.25139886,4.63771,8.693612
1545034156772,180791645964434,0.2681588,4.608979,9.270632
1545034156794,180791665996234,0.38787252,4.3839173,9.289786
1545034156814,180791686028034,0.22745611,4.4677167,8.803748
1545034156832,180791706059734,0.21787901,4.6065845,8.41827
1545034156854,180791726091067,0.23463893,4.5491223,8.526012
1545034156873,180791746122800,0.31125572,4.4413795,8.772623
1545034156891,180791766154833,0.4836435,4.5084195,8.8085375
1545034156952,180791786219899,0.48843205,4.7262983,8.789383
1545034156953,180791806284965,0.25379312,4.5251794,8.679246
1545034156957,180791826350098,0.057462595,4.312089,8.650515
1545034156976,180791846414064,0.21787901,4.35758,8.887548
1545034156996,180791866478530,0.3423813,4.6113734,8.945011
1545034157012,180791886543063,0.32562137,4.642499,8.652909
1545034157033,180791906607563,0.34716985,4.6999617,8.684034
1545034157054,180791926671896,0.16281068,4.5084195,8.935433
1545034157074,180791946736162,-0.026337024,4.40786,8.988108
1545034157094,180791966800428,-0.062251143,4.3887057,8.909097
1545034157113,180791986864594,0.2083019,4.4820824,9.155706
1545034157133,180792006928427,0.34956414,4.5539107,9.105427
1545034157154,180792026992260,0.28252444,4.532362,8.693612
