timeMillis,timeNanos,value
1545034154970,180789488633993,1010.59814
1545034155071,180789588633993,1010.593
1545034155172,180789688633993,1010.58545
1545034155271,180789788633993,1010.5752
1545034155372,180789888633743,1010.5659
1545034155473,180789988631943,1010.57227
1545034155571,180790088628109,1010.5737
1545034155672,180790188623109,1010.5774
1545034155771,180790288614734,1010.574
1545034155873,180790388607178,1010.57495
1545034155971,180790488599978,1010.5835
1545034156072,180790588590523,1010.594
1545034156170,180790688580856,1010.61523
1545034156309,180790788570394,1010.60547
1545034156374,180790888562679,1010.5791
1545034156471,180790988554079,1010.5842
1545034156573,180791088544329,1010.58813
1545034156674,180791189663722,1010.5869
1545034156772,180791289710166,1010.5786
1545034156873,180791389753113,1010.58105
1545034156976,180791489843663,1010.5725
1545034157074,180791589929329,1010.5762
1545034157174,180791690010192,1010.5737
1545034157274,180791790087278,1010.5781
1545034157374,180791890160694,1010.5686
1545034157474,180791990230614,1010.5657
1545034157575,180792090297652,1010.57153
1545034157678,180792190472948,1010.5625
1545034157778,180792290712983,1010.56714
1545034157880,180792390944327,1010.5676
1545034157981,180792491267527,1010.56836
1545034158084,180792591656927,1010.5652
1545034158188,180792692145927,1010.5625
1545034158294,180792792634460,1010.5635
1545034158387,180792893122660,1010.56616
1545034158495,180792993710660,1010.55884
1545034158590,180793094365126,1010.57153
1545034158693,180793195020126,1010.5593
1545034158793,180793295675792,1010.5598
1545034158893,180793396397758,1010.5681
1545034158996,180793497219391,1010.56714
1545034159097,180793598041457,1010.5657
1545034159197,180793698897057,1010.5593
1545034159297,180793799752923,1010.56885
1545034159399,180793900607389,1010.5735
1545034159498,180794001495522,1010.5698
1545034159598,180794102384088,1010.56934
1545034159701,180794203272054,1010.56055
1545034159803,180794304193554,1010.56323
1545034159904,180794405248587,1010.56836
1545034160005,180794506269987,1010.5725
1545034160112,180794607458087,1010.57495
1545034160211,180794708679720,1010.5713
1545034160312,180794809901153,1010.5696
1545034160412,180794911155819,1010.5757
1545034160512,180795012410585,1010.57275
1545034160612,180795113665118,1010.57153
1545034160715,180795214952851,1010.56934
1545034160818,180795316240784,1010.5637
1545034160987,180795417528784,1010.56006
1545034161020,180795518716817,1010.5532
1545034161122,180795620004850,1010.5525
1545034161225,180795721226183,1010.5596
1545034161323,180795822447583,1010.5657
1545034161429,180795923668949,1010.57007
1545034161524,180796024790315,1010.573
1545034161624,180796125845281,1010.57886
1545034161727,180796227066347,1010.58154
1545034161832,180796328354080,1010.5891
1545034161984,180796429641880,1010.5759
1545034162033,180796530863080,1010.58105
1545034162200,180796632084446,1010.5825
1545034162233,180796733272279,1010.594
1545034162334,180796834460079,1010.5842
1545034162438,180796935647945,1010.57007
1545034162532,180797036802445,1010.572
1545034162635,180797138023611,1010.5747
1545034162741,180797239344811,1010.5679
1545034162839,180797340599144,1010.5569
1545034162969,180797441720410,1010.56616
1545034163039,180797542841810,1010.57275
1545034163141,180797643863176,1010.57275
1545034163239,180797744851209,1010.57837
1545034163341,180797845839242,1010.5769
1545034163440,180797946794042,1010.5652
1545034163541,180798047748742,1010.57715
1545034163643,180798148736775,1010.58203
1545034163744,180798249691475,1010.58276
1545034163848,180798350679341,1010.57935
1545034163948,180798451667074,1010.5652
1545034164047,180798552688274,1010.5637
1545034164152,180798653675540,1010.5647
1545034164252,180798754630106,1010.56445
1545034164353,180798855584606,1010.5696
1545034164453,180798956539139,1010.5654
1545034164553,180799057493672,1010.5698
1545034164654,180799158448205,1010.5786
1545034164752,180799259236105,1010.5779
1545034164853,180799359957305,1010.57275
1545034164956,180799460611771,1010.5664
1545034165051,180799561232971,1010.5686
1545034165152,180799661854471,1010.5869
1545034165251,180799762475971,1010.58374
1545034165352,180799863130771,1010.5752
1545034165457,180799963885571,1010.5747
1545034165555,180800064640337,1010.58545
1545034165656,180800165328503,1010.5901
1545034165758,180800265916569,1010.584
1545034165855,180800366504702,1010.5835
1545034165955,180800467092668,1010.57764
1545034166059,180800567680501,1010.5762
1545034166157,180800668201801,1010.572
1545034166258,180800768723301,1010.5786
1545034166356,180800869244801,1010.5842
1545034166457,180800969832867,1010.5786
1545034166561,180801070421000,1010.58936
1545034166662,180801171009166,1010.5874
1545034166760,180801271497332,1010.5779
1545034166864,180801371885465,1010.5801
1545034166964,180801472273598,1010.58203
1545034167059,180801572628298,1010.58887
1545034167158,180801672850064,1010.5928
1545034167262,180801773071564,1010.5862
1545034167360,180801873359797,1010.5757
1545034167460,180801973647930,1010.58374
1545034167563,180802073936130,1010.57764
1545034167662,180802174290963,1010.58325
1545034167765,180802274712463,1010.5818
1545034167871,180802375300596,1010.5735
1545034167971,180802475955396,1010.5847
1545034168073,180802576676762,1010.5913
1545034168175,180802677397895,1010.5908
1545034168273,180802778118995,1010.5867
1545034168373,180802878807128,1010.5862
1545034168474,180802979395194,1010.58765
1545034168574,180803079983294,1010.5913
1545034168674,180803180571394,1010.58984
1545034168775,180803281159527,1010.5969
1545034168873,180803381747660,1010.593
1545034168976,180803482335693,1010.5918
1545034169074,180803582923793,1010.5842
1545034169174,180803683511793,1010.5786
1545034169273,180803784099593,1010.5808
1545034169376,180803884754093,1010.5864
1545034169475,180803985342026,1010.58057
1545034169602,180804085929959,1010.5762
1545034169677,180804186484525,1010.5813
1545034169776,180804287072425,1010.5696
1545034169875,180804387660358,1010.58325
1545034169977,180804488248291,1010.5852
1545034170076,180804588836191,1010.58203
1545034170176,180804689424024,1010.5845
1545034170277,180804790011824,1010.5842
1545034170377,180804890566290,1010.59375
1545034170477,180804991121023,1010.5952
1545034170578,180805091675856,1010.5884
1545034170678,180805192163989,1010.5867
