timeMillis,timeNanos,x,y,z
1545034214754,180849283109947,0.0823202,-0.43562147,-0.21318953
1545034214774,180849303107947,0.08598539,-0.5877269,-0.2278503
1545034214796,180849323105947,0.17150652,-0.4191281,-0.042758126
1545034214813,180849343103280,0.14890452,-0.17233853,0.14538836
1545034214833,180849363100780,-0.19745609,0.03902085,-0.0091605345
1545034214854,180849383098380,-0.25609916,-0.030617788,-0.07330138
1545034214875,180849403096046,-0.29275107,-0.030617788,-0.018323513
1545034214895,180849423093474,-0.41248065,0.046351235,-0.061694946
1545034214916,180849443090974,-0.53892976,0.22166955,-0.10384465
1545034214936,180849463088529,-0.5432058,0.44158104,-0.014658323
1545034214954,180849483086129,-0.4014851,0.42569855,0.10384953
1545034214976,180849503083583,-0.19501261,0.25526714,0.07758233
1545034214995,180849523081166,-0.03740939,0.09705304,-0.031151684
1545034215015,180849543078781,0.06155078,-0.084984794,-0.0922382
1545034215036,180849563076281,0.1544023,-0.31161582,-0.09834686
1545034215055,180849583073814,0.25030813,-0.30733976,-0.06230581
1545034215075,180849603071376,0.3425488,-0.26519004,-0.058029756
1545034215099,180849623068964,0.37003773,-0.24869668,-0.013436592
1545034215115,180849643066464,0.2545842,-0.18761015,0.042152144
1545034215134,180849663063990,0.06765943,-0.044056825,0.06719762
1545034215157,180849683061540,-0.09360899,0.08117055,0.13133848
1545034215219,180849703058587,-0.124763116,0.14225708,0.20830749
1545034215245,180849723056087,-0.124763116,0.14225708,0.20830749
1545034215245,180849743053608,-0.124763116,0.14225708,0.20830749
1545034215245,180849763092816,0.08537453,0.033523064,0.06292156
1545034215257,180849783170296,0.06949203,-0.018400483,0.094075695
1545034215279,180849803283180,-0.05390275,0.043907773,0.13561453
1545034215300,180849823428772,-0.12781744,0.012142779,0.15271875
1545034215322,180849843604807,0.001685988,-0.15645602,0.14538836
1545034215343,180849863809186,0.1843347,-0.18699929,0.16371432
1545034215361,180849884006686,0.18861075,-0.103921615,0.18142943
1545034215381,180849904204152,0.04505742,-0.143017,0.19670105
1545034215403,180849924401618,0.015735889,-0.19677313,0.16860126
1545034215421,180849944599151,0.05177694,-0.15401258,0.1166777
1545034215441,180849964796617,0.13913067,-0.06971317,0.14233404
1545034215463,180849984994083,0.1281351,5.363397E-4,0.23885076
1545034215484,180850005224883,-0.008087857,0.043296907,0.25290066
1545034215504,180850025489016,-0.0600114,-0.06360451,0.13011675
1545034215525,180850045753149,-0.012974778,-0.20715784,0.04398474
1545034215544,180850066017282,0.03467271,-0.15156911,0.07513887
1545034215563,180850086281415,0.05299867,-0.051387206,0.16127087
1545034215585,180850106545548,-0.011142182,-0.03000692,0.21136181
1545034215603,180850126809681,-0.111934945,-0.06849143,0.20830749
1545034215624,180850147073847,-0.34162027,0.018251432,0.19609019
1545034215770,180850167338080,-0.5664187,0.233276,0.17776424
1545034215770,180850187602313,-0.6433877,0.4880068,0.15088615
1545034215770,180850207866546,-0.40209594,0.4794547,0.089799635
1545034215770,180850228130779,-0.041074578,0.2821452,0.024437053
1545034215770,180850248395012,0.14157413,-0.10147816,2.443461E-6
1545034215770,180850268659245,0.049944345,-0.23770112,0.020160997
1545034215770,180850288923478,-0.15286292,-0.18455583,0.094075695
1545034215783,180850309188078,-0.2182255,-0.09598037,0.1783751
1545034215804,180850329452311,-0.147976,-0.10697594,0.14966443
1545034215824,180850349716544,-0.17118888,-0.29817677,-0.012214862
1545034215845,180850369947444,-0.2622078,-0.31772447,-0.12705752
1545034215864,180850390145010,-0.20295388,-0.14362785,-0.16554204
1545034215885,180850410309243,-0.088722065,-0.010459235,-0.1698181
1545034215904,180850430440209,-0.09116553,-0.041002497,-0.17714848
1545034215923,180850450537842,-0.179741,-0.054441534,-0.16920723
1545034215944,180850470602075,-0.19134742,-0.017789617,-0.111785896
1545034215963,180850490666308,-0.121708795,-0.011680965,-0.044590723
1545034215983,180850510730574,-0.049626693,-0.14973651,-0.0073279394
1545034216005,180850530794807,0.050555207,-0.30062023,0.06475416
1545034216025,180850550892373,0.10553308,-0.28412685,0.13317107
1545034216045,180850571023339,0.09270491,-0.18577756,0.18875982
1545034216068,180850591187572,0.04872261,-0.073378354,0.29199603
1545034216087,180850611351805,0.04627915,-0.04588942,0.36529988
1545034216109,180850631516105,0.06155078,-0.054441534,0.38606927
1545034216130,180850651680338,0.054831263,-0.108197674,0.37079763
1545034216148,180850671844304,0.043224823,-0.08254134,0.34330872
1545034216169,180850692008537,0.06704857,-6.8539084E-4,0.3384218
1545034216190,180850713399488,0.10308962,0.024970949,0.3207067
1545034216211,180850733563688,0.13485461,-0.05871759,0.26511794
1545034216228,180850753727854,0.13057855,-0.090482585,0.20830749
1545034216251,180850773925354,0.110419996,-0.027563462,0.16188173
1545034216270,180850794156120,0.12019385,0.018251432,0.15638395
1545034216291,180850814420220,0.20143892,-0.0025179866,0.14722097
1545034216314,180850834717653,0.28085142,-0.092315175,0.14233404
1545034216332,180850855015086,0.20327151,-0.14851479,0.13744713
1545034216351,180850875312519,0.13424374,-0.15828861,0.1521079
1545034216373,180850895609952,0.13790894,-0.09964556,0.15882741
1545034216392,180850915907385,0.16539787,-0.07276749,0.13683626
1545034216412,180850936204851,0.2900144,-0.165619,0.052536853
1545034216435,180850956502317,0.48915645,-0.37270233,-0.053142834
1545034216452,180850976799783,0.44700673,-0.58222914,-0.12644666
1545034216472,180850997097249,0.13729806,-0.6103289,-0.16004425
1545034216494,180851017394715,-0.21883637,-0.33727217,-0.1857006
1545034216515,180851037692181,-0.5089973,0.10438343,-0.13194445
1545034216534,180851058022981,-0.4112589,0.18868282,-0.10262292
1545034216554,180851078353514,-0.020916026,0.09155526,-0.16126597
1545034216573,180851098684314,0.34926832,-0.08559566,-0.33414084
1545034216594,180851119015114,0.35110092,-0.21387736,-0.46975294
1545034216615,180851139345880,0.21548884,-0.27435303,-0.5986455
1545034216633,180851159643313,0.041392226,-0.20227093,-0.68905354
1545034216688,180851179907446,-0.08322428,-0.066047974,-0.7214294
1545034216688,180851200138412,-0.08383515,-0.0019071213,-0.71287733
1545034216695,180851220336078,0.052387804,0.02619268,-0.6322431
1545034216716,180851240500444,0.1898325,0.04268604,-0.505794
1545034216735,180851260664944,0.23625824,0.038409986,-0.38362095
1545034216753,180851280829644,0.1898325,-0.04588942,-0.31337142
1545034216773,180851300994077,0.017568486,-0.22792727,-0.33414084
1545034216795,180851321159110,-0.1320935,-0.29451156,-0.41538593
1545034216813,180851341323610,-0.23899493,-0.15095824,-0.43004668
1545034216833,180851361488043,-0.30008146,0.080559686,-0.33414084
1545034216854,180851381619143,-0.2499905,0.25465629,-0.19669616
1545034216873,180851401716976,-0.09544159,0.16791342,-0.12644666
1545034216895,180851421781409,0.08965058,-0.015957022,-0.07879917
1545034216916,180851441812509,0.17639345,-0.106365085,-0.033595145
1545034216933,180851461843675,0.19044334,-0.0672697,0.018939266
1545034216952,180851481874841,0.100035295,-0.010459235,0.032989167
1545034216974,180851501905941,0.004129449,0.06650979,-0.0091605345
1545034216996,180851521937041,-0.069785245,0.19356976,-0.018323513
1545034217014,180851541968174,-0.12109792,0.3475078,0.033600032
1545034217036,180851561999307,-0.062454864,0.47884384,0.1643252
1545034217053,180851582030373,-0.0068661254,0.31696454,0.29871553
1545034217073,180851602061506,-0.2689273,0.06284459,0.26023105
1545034217096,180851622092639,-0.39659813,0.1190442,0.22357912
1545034217114,180851642123705,-0.11071322,0.2192261,0.32559362
1545034217214,180851662121471,0.30711862,0.19356976,0.387291
1545034217214,180851682119571,0.35110092,-0.0990347,0.35613686
1545034217214,180851702117404,0.011459832,-0.34948945,0.3298697
1545034217214,180851722114570,-0.33917683,-0.4386758,0.36224553
1545034217216,180851742112403,-0.5218255,-0.3311635,0.39767572
1545034217233,180851762110236,-0.45096514,-0.11430633,0.4386037
1545034217252,180851782107969,-0.29641625,-0.04650028,0.45815137
1545034217274,180851802105602,-0.22311243,-0.014735292,0.4453232
1545034217293,180851822103202,-0.17363234,0.017640566,0.45448616
1545034217313,180851842100768,0.0035185837,0.050627287,0.4978576
1545034217334,180851862098201,0.36148563,-0.017789617,0.4996902
1545034217353,180851882095701,0.5306953,-0.14668219,0.4245538
1545034217373,180851902093201,0.49465424,-0.22120775,0.33903265
1545034217394,180851922090634,0.30100995,-0.23953371,0.24495941
1545034217419,180851942088067,0.0823202,-0.16989507,0.14111231
1545034217432,180851962085567,0.024288002,-0.029396057,0.042152144
1545034217454,180851982083067,0.025509734,-0.003128852,-0.068414465
1545034217473,180852002113833,0.022455405,0.016418837,-0.19547445
1545034217495,180852022177999,0.024288002,0.015197106,-0.28771508
1545034217518,180852042275499,-0.0013683381,0.0011472049,-0.31825837
1545034217535,180852062372932,-0.09605245,0.08605747,-0.29687804
1545034217556,180852082470398,-0.13698043,0.28519955,-0.17837021
1545034217578,180852102567931,-0.097274184,0.24182811,-0.026875628
1545034217595,180852122665464,-0.2958054,-0.23037073,-0.013436592
1545034217615,180852142762930,-0.6666006,-0.6054419,-0.13438791
1545034217636,180852162860396,-0.69714385,-0.514423,-0.15943338
1545034217657,180852182957929,-0.003811799,0.0732293,-0.02137784
1545034217676,180852203088729,0.54718864,0.07139671,-0.03420601
1545034217700,180852223252862,0.5777319,-0.23159245,-0.21563299
1545034217719,180852243450395,0.14157413,-0.2939007,-0.39095134
1545034217739,180852263681195,-0.18157358,-0.06482624,-0.3823992
1545034217760,180852283912028,-0.32512692,0.15813957,-0.37445796
1545034217779,180852304142928,-0.29030758,0.20639794,-0.4337119
1545034217801,180852324407761,-0.14736512,0.22655648,-0.46975294
1545034217823,180852344705327,0.071324624,0.1996784,-0.39339477
1545034217843,180852365036227,0.17761518,0.1330941,-0.30420843
1545034217864,180852385400460,0.23442565,0.031690467,-0.2669457
1545034217885,180852405798026,0.26557976,0.02374922,-0.29565635
1545034217906,180852426195326,0.23076046,0.09338786,-0.28343904
1545034217924,180852446592826,0.12019385,0.12332025,-0.25472838
1545034217946,180852466990392,0.023677137,0.0891118,-0.24251106
1545034217964,180852487387958,-0.10155024,0.115379006,-0.21929817
1545034217984,180852507785524,-0.1021611,0.24121724,-0.08612955
1545034218006,180852528183090,-0.008087857,0.26992792,0.11423425
1545034218026,180852548580656,-1.4660765E-4,0.17218947,0.21197268
1545034218046,180852569011556,-0.053291887,0.06650979,0.22418998
1545034218067,180852589475722,-0.07039611,0.06223373,0.24312681
1545034218087,180852609939955,-0.32146174,-0.15279083,0.066586755
1545034218108,180852630404188,-0.48639536,-0.15462343,-0.12705752
1545034218129,180852650835021,-0.19073656,0.16180477,-0.09834686
1545034218148,180852671265654,0.21609968,0.3548382,0.045817338
1545034218166,180852691695920,0.14157413,0.019473162,0.09896261
1545034218189,180852712126820,-0.15041946,-0.347046,0.15760568
1545034218208,180852732557653,-0.33367905,-0.47899288,0.27550265
1545034218228,180852752988553,-0.2817555,-0.4136303,0.37873888
1545034218249,180852773419453,-0.1919583,-0.37209147,0.45021015
1545034218268,180852793850286,-0.21944724,-0.38858482,0.5210705
1545034218288,180852814247852,-0.22677761,-0.32994178,0.5803244
1545034218309,180852834612085,-0.1039937,-0.2150991,0.6175872
1545034218329,180852854976318,0.23625824,-0.119804114,0.600483
1545034218350,180852875307184,0.4989303,-0.1619538,0.53450954
1545034218370,180852895638017,0.6229359,-0.29145724,0.42027774
1545034218390,180852915968783,0.59117097,-0.36537194,0.27489182
1545034218410,180852936299549,0.38042244,-0.31772447,0.12400809
1545034218433,180852956630315,0.1983846,-0.2096013,0.033600032
1545034218452,180852976961081,0.08903972,-0.10025642,-0.04581245
1545034218474,180852997291847,0.06888116,-0.033061247,-0.21318953
1545034218494,180853017589280,0.06155078,-0.028785193,-0.3542994
1545034218512,180853037886980,-0.0178617,0.0170297,-0.4141642
1545034218535,180853058184413,-0.1656911,0.1489766,-0.39522734
1545034218554,180853078481846,-0.2182255,0.3383448,-0.30054325
1545034218573,180853098779279,0.001685988,0.44463536,-0.16859636
1545034218592,180853119076745,0.20754758,0.15813957,-0.08796215
1545034218614,180853139374211,0.09942443,-0.17600372,-0.16615291
1545034218634,180853159671677,-0.038020253,-0.028785193,-0.14416176
1545034218660,180853179935810,-0.07467216,0.096442185,-0.065971
