timeMillis,timeNanos,x,y,z
1545034214653,180849183123947,45.719997,17.94,-27.72
1545034214675,180849203109947,45.96,17.82,-27.48
1545034214693,180849223106947,46.14,18.3,-27.3
1545034214713,180849243104280,46.32,19.02,-27.3
1545034214735,180849263101780,46.379997,19.14,-27.24
1545034214754,180849283098980,46.26,19.619999,-27.539999
1545034214774,180849303096313,45.6,19.56,-27.539999
1545034214796,180849323093741,45.539997,19.26,-27.72
1545034214813,180849343090991,45.78,19.439999,-27.9
1545034214833,180849363088324,45.78,19.38,-27.66
1545034214854,180849383085724,46.739998,19.199999,-27.66
1545034214875,180849403083178,46.739998,19.14,-27.48
1545034214895,180849423080511,46.14,19.32,-27.539999
1545034214916,180849443077895,46.02,19.68,-27.539999
1545034214936,180849463075323,45.48,20.22,-27.359999
1545034214954,180849483072789,45.66,21.18,-27.359999
1545034214976,180849503070164,46.32,21.359999,-27.119999
1545034214995,180849523067634,46.68,21.779999,-26.76
1545034215015,180849543065134,47.7,22.02,-26.64
1545034215036,180849563062555,47.879997,21.779999,-26.4
1545034215055,180849583060005,48.12,21.66,-25.92
1545034215075,180849603057481,48.239998,21.48,-26.099998
1545034215099,180849623054981,47.1,21.18,-26.58
1545034215115,180849643052415,46.86,21.359999,-26.82
1545034215134,180849663049873,46.26,21.18,-27.24
1545034215157,180849683047353,45.719997,20.88,-27.539999
1545034215245,180849703044429,45.899998,20.64,-27.539999
1545034215245,180849723041873,46.26,20.46,-27.72
1545034215245,180849743039337,46.5,19.68,-27.48
1545034215245,180849763071302,46.68,19.26,-27.359999
1545034215257,180849783135402,46.86,19.38,-27.48
1545034215279,180849803233235,46.379997,19.02,-26.88
1545034215300,180849823364001,46.44,19.5,-27.0
1545034215322,180849843528101,46.68,19.32,-27.119999
1545034215343,180849863725534,46.14,19.08,-27.42
1545034215361,180849883923034,45.42,18.42,-28.5
1545034215381,180849904120500,44.64,17.46,-28.14
1545034215403,180849924317966,43.62,18.119999,-27.599998
1545034215421,180849944515499,43.62,18.48,-27.66
1545034215441,180849964712965,44.28,18.48,-27.48
1545034215463,180849984910431,44.64,18.72,-27.84
1545034215484,180850005141231,45.3,18.42,-28.14
1545034215504,180850025405364,44.879997,18.0,-28.32
1545034215525,180850045669497,43.559998,17.34,-28.439999
1545034215544,180850065933630,42.66,17.4,-27.9
1545034215563,180850086197763,42.18,17.34,-28.26
1545034215585,180850106461896,42.66,17.34,-29.16
1545034215603,180850126726029,43.32,17.699999,-28.08
1545034215624,180850146990195,43.14,17.64,-27.779999
1545034215770,180850167254428,43.98,17.76,-27.96
1545034215770,180850187518661,44.52,17.76,-27.599998
1545034215770,180850207782894,44.7,18.3,-27.96
1545034215770,180850228047127,44.64,18.72,-27.779999
1545034215770,180850248311360,44.16,18.6,-27.06
1545034215770,180850268575593,44.1,18.6,-27.72
1545034215770,180850288839826,43.68,18.42,-28.439999
1545034215783,180850309104426,43.92,18.48,-27.599998
1545034215804,180850329368659,44.219997,18.42,-27.06
1545034215824,180850349632892,44.34,18.779999,-27.779999
1545034215844,180850369863792,44.399998,19.14,-28.199999
1545034215864,180850390061358,44.04,19.02,-27.9
1545034215885,180850410225591,44.28,19.32,-27.9
1545034215904,180850430356557,44.1,19.5,-27.66
1545034215923,180850450454190,43.62,19.619999,-27.539999
1545034215944,180850470518423,43.5,20.039999,-27.119999
1545034215963,180850490582656,42.78,20.279999,-27.18
1545034215983,180850510646922,42.78,20.52,-27.66
1545034216005,180850530711155,43.079998,20.699999,-27.779999
1545034216025,180850550808721,42.78,20.52,-28.38
1545034216045,180850570939687,42.84,20.52,-28.8
1545034216068,180850591103920,42.78,20.58,-28.68
1545034216087,180850611268153,42.42,20.46,-28.38
1545034216109,180850631432453,42.059998,19.32,-27.9
1545034216130,180850651596686,41.46,18.66,-27.84
1545034216148,180850671760652,41.46,19.199999,-28.98
1545034216169,180850691924885,41.94,19.56,-29.16
1545034216190,180850713399488,42.3,19.439999,-28.5
1545034216211,180850733563688,42.3,19.02,-28.5
1545034216228,180850753727854,41.64,18.24,-28.199999
1545034216251,180850773925354,40.86,17.82,-28.019999
1545034216270,180850794156120,41.34,17.94,-28.439999
1545034216291,180850814420220,42.12,17.039999,-28.14
1545034216314,180850834717653,42.12,16.199999,-28.019999
1545034216332,180850855015086,41.64,16.38,-28.56
1545034216351,180850875312519,41.28,16.74,-29.099998
1545034216373,180850895609952,41.16,16.859999,-29.64
1545034216392,180850915907385,41.1,15.9,-29.279999
1545034216412,180850936204851,41.28,15.0,-28.74
1545034216434,180850956502317,40.68,15.36,-28.439999
1545034216452,180850976799783,40.26,15.12,-28.32
1545034216472,180850997097249,40.02,14.34,-29.039999
1545034216494,180851017394715,39.719997,13.86,-29.58
1545034216515,180851037692181,39.6,14.58,-29.46
1545034216534,180851058022981,39.48,15.179999,-29.039999
1545034216554,180851078353514,38.94,15.24,-29.039999
1545034216573,180851098684314,39.3,15.299999,-29.34
1545034216594,180851119015114,39.66,15.299999,-29.039999
1545034216615,180851139345880,39.059998,15.78,-29.279999
1545034216633,180851159643313,38.94,15.839999,-29.64
1545034216688,180851179907446,38.7,16.02,-29.46
1545034216688,180851200138412,38.64,16.199999,-29.34
1545034216695,180851220336078,39.18,16.26,-29.22
1545034216716,180851240500444,39.239998,16.8,-28.32
1545034216735,180851260664944,39.239998,17.52,-27.66
1545034216753,180851280829644,39.12,17.76,-27.48
1545034216773,180851300994077,39.0,16.98,-27.48
1545034216795,180851321159110,39.239998,16.26,-28.08
1545034216813,180851341323610,38.52,16.44,-28.199999
1545034216833,180851361488043,38.34,17.1,-27.96
1545034216854,180851381619143,39.12,17.4,-27.66
1545034216873,180851401716976,38.94,16.859999,-27.779999
1545034216895,180851421781409,38.52,17.4,-27.66
1545034216916,180851441812509,39.12,18.66,-27.3
