x, y, magnet_x, magnet_y, magnet_z
8.4, 21.9, -35.5526653061, -15.706622449, -60.7583714286
8.9, 21.9, -32.954312, -19.562286, -58.212648
9.4, 21.9, -35.1616632653, -24.318344898, -50.6304959184
9.9, 21.9, -41.0879857143, -24.7366734694, -40.0925265306
10.4, 21.9, -60.6056306122, -19.6880489796, -27.6376816327
10.9, 21.9, -82.388056, -39.618418, -11.87716
11.4, 21.9, -47.8442163265, -51.4363795918, -4.09380877551
11.9, 21.9, -36.742282, -28.61435, -7.237152
12.4, 21.9, -33.0578897959, -14.147577551, -13.7901469388
12.9, 21.9, -29.5354625, -8.97245333333, -19.0518375
13.4, 21.9, -26.0971673469, -7.47363, -21.2907142857
13.9, 21.9, -21.6735428571, -7.3481344898, -20.6440836735
14.4, 21.9, -17.8389591837, -4.36700285714, -17.2576306122
14.9, 21.9, -17.087096, 1.34936498, -16.034942
15.4, 21.9, -18.5877571429, 8.68536571429, -19.2153653061
15.9, 21.9, -20.7774229167, 13.04816875, -25.3006979167
16.4, 21.9, -26.545932, 12.697544, -30.987578
16.9, 21.9, -30.05498125, 9.43892083333, -38.9875729167
17.4, 21.9, -32.519738, 8.0118406, -44.614622
17.9, 21.9, -33.3630145833, 0.290838625, -46.67829375
18.4, 21.9, -33.589558, -7.1803284, -44.847022
18.9, 21.9, -34.615142, -14.453218, -46.653838
19.4, 21.9, -31.36735, -22.762758, -44.3552
19.9, 21.9, -28.664402, -30.897546, -42.266814
20.4, 21.9, -25.1644, -33.31402, -35.17184
20.9, 21.9, -8.55074530612, -19.1462673469, -20.8437469388
21.4, 21.9, -23.3103795918, -6.24075142857, -22.0316061224
21.9, 21.9, -30.0809020408, 0.809089877551, -21.5100061224
22.4, 21.9, -32.3867204082, 3.54573734694, -22.5996020408
22.9, 21.9, -34.2946530612, 10.4370710204, -24.3991734694
23.4, 21.9, -37.2177163265, 12.8726632653, -28.0809020408
23.9, 21.9, -38.5819163265, 10.4349636735, -33.2322102041
24.4, 21.9, -35.795558, 8.2701424, -34.439064
24.9, 21.9, -32.577456, 5.9784236, -32.343688
25.4, 21.9, -29.80957, 6.8695984, -28.317106
25.9, 21.9, -28.7065510204, 3.42388571429, -26.4813530612
26.4, 21.9, -30.1047122449, -0.174417142857, -23.4561204082
26.9, 21.9, -28.7040489796, -2.06448291837, -24.4962367347
27.4, 21.9, -26.9293040816, -7.32160244898, -25.1475163265
27.9, 21.9, -24.66144, -11.645174, -24.023074
28.4, 21.9, -22.9031734694, -11.7336040816, -22.3626204082
28.9, 21.9, -21.5606673469, -12.063222449, -24.8096938776
29.4, 21.9, -21.3000938776, -13.5426102041, -30.2645938776
29.9, 21.9, -20.446022, -21.921992, -37.998746
30.4, 21.9, -13.5555367347, -33.2606408163, -43.702977551
30.9, 21.9, -2.53271545455, -48.2196477273, -49.4570045455
31.4, 21.9, 26.63721, -22.789462, -27.859438
31.9, 21.9, 8.69928387755, 2.76258816327, -16.8780632653
32.4, 21.9, -4.98059367347, 7.47932897959, -21.1847387755
32.9, 21.9, -9.6920482, 13.369254, -27.84256
33.4, 21.9, -15.205444898, 17.293, -35.5497163265
33.9, 21.9, -20.3701081633, 18.4689877551, -42.502922449
34.4, 21.9, -23.5908979592, 13.8010795918, -44.9092306122
34.9, 21.9, -24.3956306122, 6.84216571429, -38.2134571429
35.4, 21.9, -25.315066, 4.6507872, -28.535524
35.9, 21.9, -27.7120387755, 6.27924142857, -22.8964632653
36.4, 21.9, -30.8510326531, 3.55616959184, -21.196077551
36.9, 21.9, -33.6639122449, 4.18863122449, -24.0290428571
37.4, 21.9, -34.639642, 0.037475816, -27.425108
37.9, 21.9, -32.9379217391, -4.91873652174, -32.4561391304
38.4, 21.9, -31.6232553191, -8.23413042553, -36.4600340426
38.9, 21.9, -30.6596829787, -11.6957361702, -39.3166021277
39.4, 21.9, -31.5015142857, -11.6150204082, -40.9348734694
39.9, 21.9, -32.7529847826, -8.28097782609, -43.9834326087
40.4, 21.9, -31.148044898, -7.24562040816, -50.094077551
8.4, 21.1, -37.7271744966, -22.9711533557, -58.0131936242
8.9, 21.1, -39.7792411074, -30.6963993289, -55.5554399329
9.4, 21.1, -41.8706323826, -41.1377276846, -49.5961342282
9.9, 21.1, -48.8221847315, -43.7962424497, -39.7235842282
10.4, 21.1, -49.6057800336, -48.9593177852, -25.9196699664
10.9, 21.1, -54.0480612416, -39.5548708054, -16.1648743289
11.4, 21.1, -50.9236816807, -30.152892437, -12.7026568067
11.9, 21.1, -44.5439416107, -24.114552349, -12.4444691275
12.4, 21.1, -41.0135942953, -10.3367318456, -16.4737090604
12.9, 21.1, -36.8457624161, -5.9276889094, -21.3599808725
13.4, 21.1, -33.2757234899, -3.35247852349, -25.3301154362
13.9, 21.1, -29.3218724832, -4.52012971477, -27.9054575503
14.4, 21.1, -26.974639094, -4.21973395973, -28.9667342282
14.9, 21.1, -25.9271630872, -1.33723331862, -29.5411833893
15.4, 21.1, -26.9195013423, 0.386887321124, -31.4959924497
15.9, 21.1, -29.2187605705, 1.03450257393, -35.2863506711
16.4, 21.1, -31.7549308725, 0.962745183725, -38.7602714765
16.9, 21.1, -33.6876781879, 0.00620850288591, -41.5003082215
17.4, 21.1, -34.2762266779, -1.13976537711, -44.6567355705
17.9, 21.1, -33.1184003356, -6.57145848993, -47.5767783557
18.4, 21.1, -30.9384236975, -11.2177717647, -49.2380615126
18.9, 21.1, -28.8347436975, -19.1165026891, -47.9443961345
19.4, 21.1, -28.8853724832, -24.6319983221, -44.0442692953
19.9, 21.1, -27.430847651, -31.4525661074, -36.3270577181
20.4, 21.1, -29.3684673367, -29.9430319933, -28.5221343384
20.9, 21.1, -28.3091781879, -26.4688001678, -21.2062776846
21.4, 21.1, -29.6624038655, -18.2904557983, -17.5013702521
21.9, 21.1, -32.616759396, -11.1602681711, -16.7083258389
22.4, 21.1, -35.7138872483, -3.11141025503, -17.91995
22.9, 21.1, -38.1912342857, -0.222196216403, -20.7985959664
23.4, 21.1, -38.5494179832, 7.3568057479, -24.5594267227
23.9, 21.1, -37.415581072, 10.3483627806, -28.2299159129
24.4, 21.1, -35.1492151007, 9.78149738255, -31.2624469799
24.9, 21.1, -33.3134862416, 7.7725072651, -32.2722214765
25.4, 21.1, -33.1002885906, 0.994461012752, -32.6204152685
25.9, 21.1, -32.9429203361, -0.213179498975, -33.283089916
26.4, 21.1, -32.8800590604, -3.45027848993, -33.4975981544
26.9, 21.1, -32.4869021812, -3.48254466443, -33.4785552013
27.4, 21.1, -30.517597651, -9.25310756711, -33.463435906
27.9, 21.1, -28.1778122278, -11.1021148911, -33.4555165829
28.4, 21.1, -25.5982484899, -11.9216416107, -34.5870604027
28.9, 21.1, -23.2952761745, -13.4012600671, -36.9241466443
29.4, 21.1, -20.7242010067, -18.9348860738, -37.9642924497
29.9, 21.1, -21.4111768456, -21.0357399329, -38.8227874161
30.4, 21.1, -18.2777218121, -23.8584239933, -39.9812731544
30.9, 21.1, -14.8121157718, -24.4489531879, -39.1360208054
31.4, 21.1, -12.2001382215, -20.3532926174, -36.4143213087
31.9, 21.1, -11.8553563591, -12.7531602349, -34.3531862416
32.4, 21.1, -13.9516968121, -5.18917377517, -36.0978607383
32.9, 21.1, -15.936260906, 1.50068661577, -39.0966734899
33.4, 21.1, -19.5743894295, 4.57105432886, -42.0188280201
33.9, 21.1, -24.2652876047, 6.0220559464, -43.9863274707
