timeMillis,timeNanos,x,y,z
1544583313174,85721091341032,-1.0175668,3.5938065,9.407105
1544583313195,85721124007698,-1.0175668,3.5938065,9.407105
1544583313214,85721156674364,-1.0175668,3.5938065,9.407105
1544583313235,85721189341064,-0.9122187,3.3591676,9.471751
1544583313253,85721222007730,-0.8236305,3.059883,9.577099
1544583313273,85721254674363,-0.61293435,2.918621,9.534002
1544583313294,85721287341063,-0.48124924,2.9234095,9.747093
1544583313313,85721320007729,-0.6392714,2.7725701,9.93624
1544583313333,85721352674395,-0.80687064,2.5211713,10.015251
1544583313356,85721385340795,-0.44533512,2.7079248,9.565128
1544583313371,85721418006828,-0.2657645,3.1029801,9.06233
1544583313395,85721450673494,-0.31365,3.2274826,8.834874
1544583313416,85721483340160,-0.26097596,3.0527003,9.091062
1544583313432,85721516006826,-0.8930645,1.9992194,9.553157
1544583313453,85721548673492,-0.3040729,2.2099156,9.732727
1544583313474,85721581340158,0.31365,2.8276386,9.962578
1544583313493,85721614006824,-0.14126222,2.9066496,9.464568
1544583313513,85721646673490,-0.20351335,2.9952378,9.325701
1544583313535,85721679340156,-0.10774237,3.1819913,9.498088
1544583313553,85721712006822,-0.16520496,3.337619,9.862018
1544583313573,85721744673455,-0.0047885496,2.9760835,9.809344
1544583313596,85721777340155,0.7589851,3.328042,9.387952
1544583313614,85721810006821,0.49800915,3.8787253,8.351231
1544583313634,85721842673487,0.52674043,4.122941,8.542772
1544583313655,85721875340187,1.1085492,3.9313993,9.4142885
1544583313673,85721908006853,1.4676905,3.7709827,9.4095
1544583313693,85721940673253,1.4700848,3.2442424,8.719949
1544583313715,85721973339919,-0.4070267,3.2298768,9.165284
1544583313733,85722006005952,0.6344828,3.6369035,9.4142885
1544583313753,85722038672385,0.34956414,3.2921278,8.509253
1544583313775,85722058672085,0.08140534,3.3064935,8.22194
1544583313793,85722078671485,-0.057462595,3.2298768,8.504464
1544583313814,85722098671218,-0.600963,2.3128695,9.993703
1544583313833,85722118670584,-0.5818088,1.4581133,9.802161
1544583313852,85722138671117,-0.7733508,1.5706443,9.538791
1544583313873,85722158670850,-0.4285752,2.19555,9.694419
1544583313893,85722178670550,0.12210801,2.719896,10.055954
1544583313921,85722198669983,0.031125572,1.8076775,9.921875
1544583313933,85722218669683,-0.39266106,0.8475733,9.838076
1544583313954,85722238669983,-0.083799616,1.594587,10.577906
1544583313973,85722258670583,0.33759275,2.657645,10.2091875
1544583313993,85722278670583,0.05027977,2.918621,9.869201
1544583314014,85722298670616,-0.21548474,2.7055306,8.705584
1544583314034,85722318670782,-0.15323359,2.7582045,8.865999
1544583314052,85722338670182,-0.019154198,2.7222905,9.100638
1544583314072,85722358669615,0.038308397,2.762993,9.61062
1544583314092,85722378668981,0.07422252,2.892284,10.0200405
1544583314116,85722398669014,0.16759923,2.7893302,9.914692
1544583314134,85722418668980,-0.12450229,2.4062462,10.139753
1544583314154,85722438668980,-0.21548474,2.2889266,10.240314
1544583314174,85722458668713,-0.12450229,2.3727264,9.715967
1544583314194,85722478668346,0.031125572,2.5714512,8.8324795
1544583314212,85722498667746,0.31365,2.9066496,8.664881
1544583314232,85722518667179,0.37111259,2.997632,8.851634
1544583314257,85722537700927,0.23224466,2.8156672,9.318518
1544583314283,85722557700360,0.66800267,2.885101,9.718362
1544583314334,85722577699960,0.9864412,3.110163,9.613013
1544583314334,85722597699160,0.9984126,3.1580484,8.767835
1544583314334,85722617699760,0.35914123,3.007209,8.976136
1544583314352,85722637699393,0.44294083,3.0814316,9.229929
1544583314374,85722657699059,1.1300977,3.45015,9.888355
1544583314392,85722677699059,1.297697,3.5554981,9.897932
1544583314413,85722697698725,1.0223553,3.7350688,8.935433
1544583314435,85722717699358,0.6703969,3.5985951,8.887548
1544583314454,85722737698824,0.67279124,3.4333901,9.289786
1544583314473,85722757699124,0.91461295,3.5267668,9.380769
1544583314495,85722777699390,1.1396748,3.9074564,9.4142885
1544583314515,85722797699956,0.5602603,3.833234,9.347249
1544583314535,85722817733589,0.30886146,3.6129606,9.591465
1544583314557,85722837800222,-0.028731298,3.6440864,9.431048
1544583314577,85722857866622,0.12689656,4.008016,8.813326
1544583314594,85722877932688,-0.011971374,4.680807,8.628966
1544583314618,85722897999321,-0.21787901,4.333637,9.06233
1544583314637,85722918065854,0.2849187,3.241848,10.292988
1544583314656,85722938133120,0.31365,2.2434354,11.066339
1544583314678,85722958200353,-0.14605077,1.6496553,10.937047
1544583314697,85722978267653,-0.3304099,1.7382435,10.403124
1544583314716,85722998334286,0.090982445,2.5762396,9.581888
1544583314738,85723018434319,0.083799616,2.9760835,8.8324795
1544583314757,85723038534319,-0.09577099,3.1269228,8.547561
1544583314777,85723058635385,-0.16281068,2.8970726,8.772623
1544583314798,85723078735718,-0.1987248,2.7917244,8.93304
1544583314817,85723098836318,0.071828246,2.8084843,9.189227
1544583314836,85723118936884,-0.10055954,2.7486274,9.136553
1544583314858,85723139037517,-0.19154198,2.667222,8.894731
1544583314877,85723159138083,-0.18435916,2.6217308,9.004868
1544583314897,85723179238749,-0.3328042,2.6289136,9.371192
1544583314970,85723199372882,-0.57223165,2.7582045,9.158101
1544583314970,85723219506248,-0.49800915,3.3136764,9.177256
1544583314970,85723239640181,-1.0486923,3.605778,8.645726
1544583314980,85723259807447,-0.8643332,3.4286015,8.514041
1544583314999,85723280008080,-0.52674043,3.0886145,9.636956
1544583315020,85723300208680,-1.0798179,3.213117,10.690437
1544583315041,85723320408646,-0.8834874,3.6105664,10.786208
1544583315061,85723340642012,-0.9984126,3.510007,9.826104
1544583315081,85723360908645,-1.3647367,3.5483153,8.775017
1544583315102,85723381175345,-1.3719195,3.8212626,8.849239
1544583315123,85723401442011,-1.1277034,3.7853484,8.73192
1544583315143,85723421708644,-1.2210802,3.8906965,8.6984005
1544583315166,85723441975344,-1.0247496,3.6800003,8.655303
1544583315185,85723462242010,-1.0678465,3.6440864,8.377567
1544583315202,85723482508710,-0.8044763,3.5746522,8.652909
1544583315226,85723502775376,-0.89545876,3.4836698,8.6984005
1544583315243,85723523042009,-1.0798179,3.476487,8.578687
1544583315263,85723543308709,-0.96489275,3.3519847,8.358414
1544583315286,85723563608709,-1.2162915,3.5387383,8.145323
1544583315305,85723583942009,-1.211503,3.2921278,8.262642
1544583315326,85723604275375,-1.297697,3.222694,8.166871
1544583315347,85723624575341,-0.6344828,3.4309957,8.329682
1544583315368,85723644908707,0.12929083,3.842811,9.371192
1544583315387,85723665241240,0.18914771,3.7254915,10.403124
1544583315409,85723685574606,0.1987248,3.5962007,10.934653
1544583315427,85723705907939,0.57223165,3.8954852,11.142955
1544583315447,85723726241272,0.7853221,4.295329,11.459
1544583315468,85723746574572,1.4054393,4.4246197,11.150138
1544583315486,85723766907905,1.8771114,4.278569,11.135772
1544583315507,85723787241205,1.9537282,4.5467277,11.569136
1544583315529,85723807541238,1.8962656,4.575459,10.6497345
1544583315548,85723827841204,1.8531687,4.40786,9.675264
1544583315569,85723848141237,1.5059988,3.6584518,9.617802
1544583315590,85723868407903,1.2617828,2.578634,10.115811
1544583315607,85723888641203,1.3383996,2.2865324,9.802161
1544583315627,85723908874569,1.7143008,2.3679378,8.6433325
1544583315648,85723929107902,2.1476645,2.4014575,7.9418097
1544583315667,85723949307868,1.9968252,2.1021733,8.439818
1544583315686,85723969474568,1.4485363,1.9585168,9.306546
1544583315708,85723989641201,1.1875603,2.4804688,8.913885
1544583315728,85724009807901,1.1109436,3.0263634,7.7742105
1544583315746,85724029941234,1.2569942,3.5674694,7.075082
1544583315769,85724050041200,1.3048798,3.9050622,7.1325445
1544583315788,85724070141500,0.99362403,3.7446458,7.211556
1544583315807,85724090242066,0.6344828,3.572258,7.1229677
1544583315829,85724110342066,0.45970076,3.5483153,7.0367737
1544583315847,85724130442066,0.2561874,3.5483153,7.3145094
1544583315866,85724150542032,0.117319465,3.4094474,7.850827
1544583315889,85724170642065,0.08619389,3.318465,8.736709
1544583315908,85724190708731,-0.10774237,3.215511,9.1628895
1544583315937,85724210775364,-0.08858817,3.4860642,9.308941
1544583315951,85724230875397,0.42139238,4.2019525,9.203592
1544583315969,85724250975363,0.50758624,4.513208,8.992896
1544583315993,85724273510195,0.2944958,4.3599744,9.105427
1544583316012,85724293610161,0.18675344,4.1420956,9.596253
1544583316032,85724313743527,0.22027329,4.1325183,10.010463
1544583316052,85724333910193,0.22745611,4.434197,10.532414
1544583316074,85724354076859,0.1987248,5.262616,10.668888
1544583316092,85724374243525,0.44294083,6.002447,10.221159
1544583316113,85724394443525,0.65124273,6.119766,10.321719
1544583316136,85724414676825,0.44533512,4.932206,10.925076
1544583316153,85724434910191,0.31125572,3.469304,11.765467
1544583316174,85724455143224,-0.117319465,1.9465454,12.586702
1544583316208,85724475375990,-0.54828894,1.5203645,11.379988
1544583316215,85724495608990,-0.600963,2.221887,9.318518
1544583316237,85724515842290,-0.2753416,2.6360965,8.356019
1544583316255,85724536075656,0.5602603,2.5379312,8.91628
1544583316273,85724556308989,1.0606637,2.030345,10.221159
1544583316296,85724576542289,1.1396748,1.5802214,11.004087
1544583316316,85724596775622,0.9217958,1.6496553,10.084685
1544583316335,85724617008922,0.6392714,1.8651401,9.198804
1544583316389,85724637242288,0.34956414,2.0494993,9.138947
1544583316389,85724657508688,0.15323359,2.5331428,7.843644
1544583316396,85724677775321,0.18914771,3.047912,6.732701
1544583316414,85724698042021,0.4860378,3.4860642,6.3376455
1544583316437,85724718308687,0.54828894,3.440573,7.1732473
1544583316455,85724738575387,0.52913475,3.2394538,7.764633
1544583316474,85724758842053,0.7805336,3.1963568,8.248277
1544583316498,85724779075353,1.0462981,3.2562137,8.413482
1544583316514,85724799308719,1.1971374,3.3759274,8.061523
1544583316535,85724819542052,1.2665714,3.581835,7.7694216
1544583316556,85724839742018,1.0774237,3.562681,7.415069
1544583316574,85724859908718,0.87151605,3.615355,7.225921
1544583316596,85724880108684,0.9505271,3.8380225,7.944204
1544583316618,85724900342050,0.9984126,4.02717,9.471751
1544583316635,85724920541416,1.1731946,4.3240604,10.28341
1544583316656,85724940708116,1.2713599,5.150085,10.759871
1544583316678,85724960874782,1.5921928,4.817281,10.774237
1544583316696,85724981041448,1.8483802,3.8906965,12.241927
1544583316716,85725001174781,2.2338583,2.6863763,13.972988
1544583316741,85725021308114,2.5666625,1.3264283,14.358466
1544583316759,85725041474747,2.2242813,1.0654523,12.49572
1544583316780,85725061641713,2.004008,1.4796618,9.385557
1544583316801,85725081808946,2.2242813,1.7286664,7.683228
1544583316819,85725101975979,2.8300328,1.8651401,8.212362
1544583316840,85725122142379,2.8467927,1.673598,9.119793
1544583316861,85725142309012,2.3535721,1.8340145,9.222747
1544583316879,85725162509045,1.8603516,2.056682,8.657698
1544583316900,85725182742378,1.3934679,2.2147043,8.142929
1544583316950,85725202975711,1.0917894,2.413429,8.253065
1544583316950,85725223209044,1.0343267,2.7366562,7.9968777
1544583316962,85725243475677,0.9912298,2.9928436,7.620977
1544583316983,85725263742643,0.86912173,3.0431232,7.407886
1544583317002,85725284009309,0.43815228,2.6720107,7.501263
1544583317021,85725304275942,0.0,2.2266755,8.013638
1544583317048,85725324575975,-0.17478207,2.0902019,8.612206
1544583317063,85725344875941,-0.3232271,2.0686533,9.11261
1544583317083,85725365175974,-0.4668836,2.2530127,9.0288105
1544583317105,85725385475707,-0.34716985,2.8443985,8.537984
1544583317124,85725405809040,-0.24900457,3.3136764,8.942616
1544583317145,85725426142373,-0.18196489,3.6129606,9.3592205
1544583317167,85725446475706,-0.0023942748,3.806897,9.768641
1544583317185,85725466808739,0.083799616,3.8092911,10.096657
1544583317205,85725487108739,-0.09337672,3.5770466,11.09507
1544583317227,85725507375372,-0.12929083,4.017593,11.710398
1544583317247,85725527676005,0.11253092,5.0040345,10.427067
1544583317266,85725547975971,0.59378016,5.5571117,9.953
1544583317288,85725568276004,0.4740664,4.9106574,11.013664
1544583317309,85725588609337,-0.045491222,3.5052183,11.626598
1544583317329,85725608976003,-0.6392714,1.9273912,11.983345
1544583317352,85725629309369,-0.91461295,1.1157321,11.377594
1544583317369,85725649609369,-0.6105401,1.1827718,10.652128
1544583317387,85725669909335,-0.102953814,0.9864412,10.802968
1544583317411,85725690209335,0.26337022,0.7110996,11.913912
1544583317428,85725710509301,0.45491222,0.74222517,12.47896
1544583317449,85725730842934,0.6273,1.3671309,11.298583
1544583317475,85725751209600,0.6368771,2.2530127,9.165284
1544583317490,85725771542900,0.5411061,2.925804,7.4246464
1544583317509,85725791842933,0.4956149,3.2825508,6.122161
1544583317532,85725812176266,0.28013015,3.3998702,5.6385174
1544583317552,85725832542966,0.03351985,3.3064935,5.906676
1544583317572,85725852876299,-0.019154198,3.1125572,6.6249585
1544583317593,85725873176265,-0.076616794,2.7558103,7.520417
1544583317612,85725893509598,-0.031125572,2.6624336,8.291373
1544583317633,85725913876264,0.038308397,2.648068,8.662486
1544583317656,85725934209564,0.17238778,2.727079,8.444607
1544583317674,85725954542897,0.03351985,2.8276386,8.413482
1544583317694,85725974909530,-0.2370332,2.9162266,7.929838
1544583317718,85725995309830,-0.2657645,3.3855045,7.405492
1544583317737,85726015709796,-0.19633053,3.7542229,7.7694216
1544583317758,85726036109829,-0.3423813,3.641692,9.378374
1544583317779,85726056509562,-0.34477556,3.7590115,10.735929
1544583317797,85726076909828,-0.17957062,4.4246197,11.004087
1544583317817,85726097309861,1.089395,4.453351,10.853248
1544583317839,85726117709861,1.6568382,2.971295,13.3959675
1544583317857,85726138076494,2.135693,1.3312168,15.981785
1544583317877,85726158443160,2.5714512,0.8044763,16.475004
1544583317898,85726178809793,2.52596,1.5275474,12.754302
1544583317923,85726199143159,2.8827069,2.0614705,9.715967
1544583317937,85726219443159,3.6536634,2.3368123,9.201198
1544583317959,85726239743125,3.3519847,1.9130256,9.766247
1544583317976,85726260043158,2.7462332,1.7885233,9.4142885
1544583317997,85726280343158,2.5020173,2.1309047,7.9585695
1544583318019,85726300676524,2.0806248,2.760599,7.285778
1544583318038,85726321043190,1.4676905,3.1460772,7.020014
1544583318059,85726341376490,1.0439038,3.2346652,6.593833
1544583318080,85726361676490,0.7110996,3.2035396,5.7223167
1544583318100,85726382009823,0.35674694,2.8563697,5.830059
1544583318124,85726402376189,0.11253092,2.5570855,7.2450757
1544583318143,85726422709522,-0.1699935,2.2362528,7.9609637
1544583318161,85726443009488,-0.55307746,2.142876,8.025609
1544583318180,85726463309521,-0.90024734,2.4182177,7.9418097
1544583318202,85726483609521,-0.9217958,3.0287576,8.339259
1544583318219,85726503875621,-0.94573855,3.2801564,8.9186735
1544583318241,85726524108954,-1.158829,3.3040993,9.783007
1544583318263,85726544342287,-1.1923488,3.397476,11.391959
1544583318281,85726564608987,-1.4389591,3.45015,12.524451
1544583318303,85726584842320,-1.9202085,3.6297207,12.632194
1544583318324,85726605042286,-1.664021,4.6233444,12.093482
1544583318341,85726625208986,-0.91461295,5.209942,11.909122
1544583318361,85726645375619,-1.0917894,4.846012,11.698426
1544583318383,85726665542585,-1.8172545,3.1269228,10.996904
