timeMillis,timeNanos,x,y,z
1544583312952,85721238683824,40.44,8.04,-38.94
1544583312972,85721258684824,41.1,9.059999,-38.1
1544583312993,85721278684824,40.62,9.179999,-37.86
1544583313013,85721298684824,40.14,9.54,-37.98
1544583313032,85721318684824,39.719997,9.9,-37.8
1544583313054,85721338684824,38.94,9.96,-38.7
1544583313072,85721358684990,39.36,10.5,-39.239998
1544583313092,85721378684990,39.6,10.74,-38.82
1544583313114,85721398684990,40.379997,11.28,-38.64
1544583313132,85721418685101,41.16,11.759999,-38.46
1544583313152,85721438685101,40.68,11.94,-38.1
1544583313174,85721458685191,40.32,12.12,-38.46
1544583313195,85721478685191,39.48,11.639999,-38.82
1544583313214,85721498685191,38.28,11.28,-39.719997
1544583313235,85721518685262,38.1,11.46,-40.079998
1544583313253,85721538685262,37.92,11.82,-40.559998
1544583313273,85721558685262,37.8,12.24,-40.68
1544583313294,85721578685320,37.44,12.12,-40.32
1544583313313,85721598685320,37.5,12.059999,-40.379997
1544583313333,85721618685372,37.2,11.4,-40.2
1544583313356,85721638684972,36.84,10.98,-40.26
1544583313371,85721658684114,36.96,10.92,-41.1
1544583313395,85721678684114,36.78,10.74,-41.1
1544583313416,85721698684114,36.84,10.74,-41.28
1544583313432,85721718684114,36.6,10.679999,-41.52
1544583313453,85721738684114,36.719997,10.74,-41.28
1544583313474,85721758684114,36.42,10.559999,-41.1
1544583313493,85721778684151,36.42,10.62,-40.98
1544583313513,85721798684151,36.36,10.74,-40.92
1544583313535,85721818684185,36.36,10.5,-40.379997
1544583313553,85721838684185,36.48,9.96,-40.68
1544583313573,85721858684151,36.54,9.96,-40.86
1544583313596,85721878684184,36.48,9.84,-41.219997
1544583313614,85721898684184,36.66,9.599999,-41.64
1544583313634,85721918684184,36.66,9.48,-42.18
1544583313655,85721938684217,36.84,8.88,-41.879997
1544583313673,85721958684183,36.899998,8.76,-41.82
1544583313693,85721978683949,36.42,8.7,-41.64
1544583313715,85721998683949,36.12,8.82,-41.46
1544583313733,85722018683315,35.94,9.36,-41.579998
1544583313753,85722038683081,36.059998,9.059999,-41.46
1544583313775,85722058682781,36.12,9.54,-41.52
1544583313793,85722078682181,36.36,10.38,-41.1
1544583313814,85722098681914,36.48,10.86,-41.52
1544583313833,85722118681280,37.02,12.179999,-41.16
1544583313852,85722138681813,37.38,13.139999,-40.86
1544583313873,85722158681546,37.44,13.98,-40.079998
1544583313893,85722178681246,37.5,15.36,-39.239998
1544583313921,85722198680679,37.079998,16.44,-39.3
1544583313933,85722218680379,36.899998,16.98,-39.18
1544583313954,85722238680679,36.899998,17.52,-39.96
1544583313973,85722258681279,36.719997,17.279999,-40.079998
1544583313993,85722278681279,36.719997,17.16,-39.78
1544583314014,85722298681312,36.78,17.22,-39.48
1544583314034,85722318681478,37.14,17.22,-39.059998
1544583314052,85722338680878,37.02,17.279999,-38.76
1544583314072,85722358680311,37.14,17.039999,-38.76
1544583314092,85722378679677,37.32,16.8,-38.94
1544583314116,85722398679710,37.5,16.8,-38.82
1544583314134,85722418679676,37.559998,16.68,-39.0
1544583314154,85722438679676,37.32,16.74,-39.18
1544583314174,85722458679409,36.54,16.56,-39.6
1544583314194,85722478679042,35.579998,16.38,-40.079998
1544583314212,85722498678442,35.219997,16.199999,-40.559998
1544583314232,85722518677875,34.739998,15.66,-40.98
1544583314257,85722537700927,34.739998,15.36,-40.98
1544583314334,85722557700360,34.68,14.639999,-41.399998
1544583314334,85722577699960,34.62,14.639999,-41.879997
1544583314334,85722597699160,34.68,14.4,-42.18
1544583314334,85722617699760,34.559998,14.099999,-42.18
1544583314352,85722637699393,34.5,13.799999,-42.96
1544583314374,85722657699059,34.86,14.04,-42.48
1544583314392,85722677699059,34.62,14.219999,-42.18
1544583314413,85722697698725,34.26,13.679999,-42.18
1544583314435,85722717699358,34.079998,13.86,-42.239998
1544583314454,85722737698824,34.02,13.74,-42.78
1544583314473,85722757699124,34.38,13.559999,-41.94
1544583314495,85722777699390,34.38,13.799999,-41.82
1544583314515,85722797699956,33.719997,13.32,-42.239998
1544583314535,85722817733589,34.26,13.32,-41.94
1544583314557,85722837800222,34.8,13.32,-42.12
1544583314577,85722857866622,34.62,12.599999,-41.7
1544583314594,85722877932688,35.16,12.059999,-41.219997
1544583314618,85722897999321,35.64,11.7,-40.92
1544583314637,85722918065854,35.64,11.46,-41.04
1544583314656,85722938133120,35.399998,11.219999,-41.16
1544583314678,85722958200353,35.64,11.46,-41.1
1544583314697,85722978267653,36.239998,11.7,-41.399998
1544583314716,85722998334286,36.54,11.759999,-40.86
1544583314738,85723018434319,37.079998,11.7,-40.92
1544583314757,85723038534319,36.96,10.8,-41.16
1544583314777,85723058635385,36.059998,10.2,-40.739998
1544583314798,85723078735718,36.239998,9.48,-40.5
1544583314817,85723098836318,36.719997,8.82,-40.739998
1544583314836,85723118936884,36.54,8.76,-40.68
1544583314858,85723139037517,36.42,8.5199995,-41.16
1544583314877,85723159138083,35.76,8.4,-41.94
1544583314897,85723179238749,35.7,7.8599997,-42.0
1544583314970,85723199372882,35.579998,7.3799996,-42.0
1544583314970,85723219506248,34.98,7.3799996,-42.18
1544583314970,85723239640181,35.52,7.5,-41.82
1544583314980,85723259807447,36.239998,7.44,-41.52
1544583314999,85723280008080,36.12,7.2599998,-41.399998
1544583315020,85723300208680,35.76,7.62,-41.52
1544583315041,85723320408646,36.18,8.099999,-41.52
1544583315061,85723340642012,36.899998,8.58,-40.98
1544583315081,85723360908645,37.02,8.76,-40.68
1544583315102,85723381175345,37.38,8.099999,-40.32
1544583315123,85723401442011,37.86,7.7999997,-40.26
1544583315143,85723421708644,38.219997,7.74,-40.14
1544583315166,85723441975344,38.1,7.5,-40.2
1544583315185,85723462242010,38.04,7.3799996,-40.379997
1544583315202,85723482508710,37.8,7.3199997,-40.02
1544583315225,85723502775376,37.739998,7.68,-40.02
1544583315243,85723523042009,38.34,7.9199996,-40.079998
1544583315263,85723543308709,37.98,7.02,-39.96
1544583315286,85723563608709,38.1,6.8999996,-39.78
1544583315305,85723583942009,38.7,7.02,-39.6
1544583315326,85723604275375,38.64,6.8399997,-39.78
1544583315347,85723624575341,38.52,6.8399997,-40.32
1544583315368,85723644908707,37.86,6.42,-40.559998
1544583315387,85723665241240,36.84,6.6,-41.1
1544583315409,85723685574606,36.0,6.96,-41.94
1544583315427,85723705907939,35.16,6.12,-42.96
1544583315447,85723726241272,34.32,5.1,-43.44
1544583315468,85723746574572,34.44,5.22,-43.079998
1544583315486,85723766907905,34.32,5.1,-43.86
1544583315507,85723787241205,33.48,4.44,-44.16
1544583315529,85723807541238,33.48,4.2,-43.62
1544583315548,85723827841204,33.54,3.78,-43.86
1544583315569,85723848141237,33.719997,3.4199998,-43.86
1544583315590,85723868407903,33.54,3.4199998,-43.5
1544583315607,85723888641203,32.94,3.54,-43.5
1544583315627,85723908874569,33.059998,3.72,-43.559998
1544583315648,85723929107902,33.6,3.1799998,-43.62
1544583315667,85723949307868,33.84,3.06,-43.8
1544583315686,85723969474568,33.96,3.54,-43.559998
1544583315708,85723989641201,33.899998,3.54,-43.379997
1544583315728,85724009807901,33.66,3.4199998,-44.04
1544583315746,85724029941234,33.12,3.3,-44.1
1544583315769,85724050041200,32.7,3.36,-43.739998
1544583315788,85724070141500,32.94,3.72,-44.28
1544583315807,85724090242066,33.239998,3.78,-45.0
1544583315829,85724110342066,33.3,4.44,-44.579998
1544583315847,85724130442066,33.239998,5.16,-43.86
