timeMillis,timeNanos,value
1544583394145,85802424032840,1022.55615
1544583394246,85802524032840,1022.55273
1544583394348,85802624032840,1022.5542
1544583394446,85802724032840,1022.54663
1544583394549,85802824032840,1022.5427
1544583394648,85802924032840,1022.5513
1544583394746,85803024033006,1022.5552
1544583394847,85803124033148,1022.54565
1544583394947,85803224032273,1022.5447
1544583395047,85803324030384,1022.5481
1544583395147,85803424030384,1022.5569
1544583395248,85803524028747,1022.55835
1544583395346,85803624027247,1022.5586
1544583395471,85803724025323,1022.5615
1544583395546,85803824024037,1022.5564
1544583395647,85803924024037,1022.5498
1544583395750,85804023483754,1022.55444
1544583395851,85804123601401,1022.57446
1544583395951,85804223768123,1022.5779
1544583396052,85804324031280,1022.57227
1544583396154,85804424281330,1022.5886
1544583396253,85804524519472,1022.57056
1544583396353,85804624745972,1022.572
1544583396453,85804724963406,1022.5615
1544583396556,85804825213406,1022.57324
1544583396653,85804925453406,1022.5725
1544583396758,85805025722636,1022.5698
1544583396859,85805126093006,1022.5659
1544583396960,85805226521577,1022.56885
1544583397081,85805326935370,1022.57666
1544583397159,85805427335370,1022.57275
1544583397259,85805527735370,1022.5737
1544583397360,85805628135370,1022.583
1544583397460,85805728602036,1022.5818
1544583397561,85805829102036,1022.5825
1544583397662,85805929602069,1022.57495
1544583397761,85806030102069,1022.57495
1544583397863,85806130668735,1022.5879
1544583397968,85806231302301,1022.59937
1544583398107,85806331936234,1022.60767
1544583398165,85806432569567,1022.603
1544583398267,85806533203500,1022.60815
1544583398368,85806633837433,1022.6245
1544583398467,85806734471599,1022.6116
1544583398569,85806835105532,1022.59863
1544583398665,85806935738865,1022.58325
1544583398766,85807036372798,1022.58936
1544583398872,85807137072798,1022.5869
1544583398972,85807237772764,1022.5845
1544583399077,85807338406130,1022.5908
1544583399172,85807439039430,1022.5864
1544583399271,85807539672763,1022.5879
1544583399371,85807640306663,1022.5974
1544583399474,85807740973329,1022.60205
1544583399574,85807841639995,1022.6001
1544583399676,85807942406661,1022.60205
1544583399780,85808043206661,1022.5923
1544583399879,85808143939994,1022.59204
1544583399979,85808244606660,1022.6011
1544583400088,85808345306660,1022.60156
1544583400182,85808446039993,1022.6045
1544583400285,85808546873326,1022.59033
1544583400386,85808647739992,1022.5835
1544583400485,85808748539992,1022.5886
1544583400586,85808849339992,1022.59204
1544583400690,85808950239958,1022.5957
1544583400789,85809051139958,1022.5935
1544583400892,85809152073258,1022.583
1544583400997,85809253039958,1022.57007
1544583401095,85809354006624,1022.57227
1544583401195,85809454973324,1022.5762
1544583401296,85809555939990,1022.5835
1544583401395,85809656906656,1022.58154
1544583401495,85809757873322,1022.5659
1544583401598,85809858839988,1022.58154
1544583401697,85809959906654,1022.58594
1544583401799,85810060973320,1022.5908
1544583401902,85810162006653,1022.5906
1544583402004,85810263073319,1022.57935
1544583402102,85810364139952,1022.5864
1544583402207,85810465306618,1022.58887
1544583402309,85810566539918,1022.5803
1544583402408,85810667773251,1022.5928
1544583402509,85810768973251,1022.5891
1544583402611,85810870139951,1022.59375
1544583402709,85810971206651,1022.6101
1544583402810,85811072206651,1022.6135
1544583402909,85811173173351,1022.61475
1544583403008,85811274140017,1022.5962
1544583403110,85811375073350,1022.5947
1544583403208,85811475973350,1022.5935
1544583403312,85811576773350,1022.5974
1544583403410,85811677540016,1022.5823
1544583403511,85811778340016,1022.5786
1544583403610,85811879106682,1022.5759
1544583403712,85811979840015,1022.5813
1544583403815,85812080673315,1022.5891
1544583403918,85812181506681,1022.5835
1544583404020,85812282306647,1022.56494
1544583404120,85812383173313,1022.55615
1544583404223,85812484106646,1022.5603
1544583404327,85812585039746,1022.57227
1544583404423,85812685973112,1022.5891
1544583404524,85812786939778,1022.573
1544583404626,85812887906478,1022.5718
1544583404726,85812988839811,1022.57495
1544583404827,85813089773144,1022.59106
1544583404930,85813190706477,1022.57886
1544583405031,85813291573143,1022.56445
1544583405131,85813392506476,1022.5596
1544583405235,85813493406476,1022.56006
1544583405335,85813594306209,1022.56274
1544583405436,85813695206209,1022.56396
1544583405536,85813796106175,1022.55493
1544583405635,85813897006175,1022.5508
1544583405734,85813997906141,1022.5586
1544583405837,85814098806174,1022.5652
1544583405937,85814199706140,1022.5708
1544583406034,85814300606173,1022.5796
1544583406136,85814401506173,1022.572
1544583406235,85814502406173,1022.572
1544583406335,85814603305906,1022.56274
1544583406438,85814704272572,1022.57227
1544583406539,85814805272572,1022.5679
1544583406639,85814906272572,1022.562
1544583406742,85815007272572,1022.553
1544583406842,85815108205905,1022.5615
1544583406945,85815209105871,1022.57153
1544583407048,85815310039204,1022.56323
1544583407149,85815411005837,1022.56104
1544583407253,85815511972470,1022.55664
1544583407356,85815613005803,1022.5515
1544583407456,85815714105769,1022.5586
1544583407557,85815815205802,1022.5635
1544583407661,85815916372468,1022.5591
