timestamp,ssid,bssid,frequency,rss,wifiNo,legit
85766088227,Welcome_KAIST,00:24:6c:7d:f3:e0,2472,-51,0,false
85766088230,eduroam,00:24:6c:7d:f3:e1,2472,-52,0,false
85766087975,eduroam,00:24:6c:7d:f3:f1,5180,-54,0,false
85766087970,Welcome_KAIST,00:24:6c:7d:f3:f0,5180,-54,0,false
85766088110,Welcome_KAIST,00:24:6c:7a:8b:20,2432,-56,0,false
85766088155,eduroam,00:24:6c:7a:8b:21,2432,-56,0,false
85766088107,eduroam,00:24:6c:7d:f5:c1,2432,-56,0,false
85766088103,Welcome_KAIST,00:24:6c:7d:f5:c0,2432,-57,0,false
85766088070,Welcome_KAIST,00:24:6c:7e:03:c0,2412,-58,0,false
85766088073,eduroam,00:24:6c:7e:03:c1,2412,-58,0,false
85766087950,Air WiFi,6c:70:9f:e3:3a:a6,2412,-58,0,false
85766088127,Welcome_KAIST,00:24:6c:7a:8b:30,5785,-59,0,false
85766088132,eduroam,00:24:6c:7a:8b:31,5785,-59,0,false
85766088039,WCSL 5GHz,64:e5:99:da:03:6c,5240,-60,0,false
85766088176,WCSL 2.4GHz,64:e5:99:da:03:68,2442,-62,0,false
85766088205,artlab,90:9f:33:41:a7:88,2452,-62,0,false
85766088264,eduroam,00:24:6c:7d:f4:21,2472,-63,0,false
85766087977,Welcome_KAIST,00:24:6c:7d:f7:40,2412,-63,0,false
85766088261,Welcome_KAIST,00:24:6c:7d:f4:20,2472,-64,0,false
85766088236,LANADA_AP,88:36:6c:45:40:fc,2462,-64,0,false
85766087982,eduroam,00:24:6c:7d:f7:41,2412,-64,0,false
85766088042,Welcome_KAIST,00:24:6c:7e:03:d0,5220,-65,0,false
85766088044,eduroam,00:24:6c:7e:03:d1,5220,-65,0,false
85766088240,ASUS,38:d5:47:e3:57:58,2462,-67,0,false
85766088121,eduroam,00:24:6c:7d:f5:01,2432,-67,0,false
85766087958,YY,90:8d:78:63:a5:50,2412,-67,0,false
85766088181,DIRECT-a6-HP M281 LaserJet,b2:52:16:68:6f:a6,2437,-68,0,false
85766088113,Welcome_KAIST,00:24:6c:7d:f5:00,2432,-69,0,false
85766088223,via_rhu,4c:32:75:c7:7c:80,2462,-70,0,false
85766088147,eduroam,00:24:6c:7d:f7:51,5785,-70,0,false
85766088254,eduroam,00:24:6c:7d:fe:e1,2472,-70,0,false
85766088284,NMSL_N1_721,a6:40:a0:56:08:f5,2472,-72,0,false
85766088281,eduroam,00:24:6c:7d:f7:21,2472,-72,0,false
85766088257,Welcome_KAIST,00:24:6c:7d:f7:20,2472,-72,0,false
85766087967,DIRECT-5f-HP M377 LaserJet,fa:da:0c:49:f0:5f,2412,-72,0,false
85766088143,Welcome_KAIST,00:24:6c:7d:f7:50,5785,-73,0,false
85766088219,WL24G,00:08:9f:0b:e7:9c,2452,-73,0,false
85766087963,ASUS5G,38:d5:47:e3:57:5c,5180,-74,0,false
85766088067,LIT_2.4G,70:8b:cd:2f:82:60,2417,-74,0,false
85766088169,HP-Print-e4-LaserJet 200,14:2d:27:29:41:e4,2437,-75,0,false
85766088115,Welcome_KAIST,00:24:6c:7e:07:e0,2432,-75,0,false
85766088268,Welcome_KAIST,00:24:6c:7d:f3:00,2472,-75,0,false
85766088244,Drone-AP,f8:1e:df:fa:73:d3,2462,-75,0,false
85766088135,Welcome_KAIST,00:24:6c:7d:f5:10,5785,-76,0,false
85766088138,eduroam,00:24:6c:7d:f5:11,5785,-76,0,false
85766088094,LIT_5G,70:8b:cd:2f:82:64,5745,-76,0,false
85766088078,eduroam,00:24:6c:7d:f3:11,5745,-76,0,false
85766088150,Air WiFi,6c:70:9f:e3:3a:a7,5785,-76,0,false
85766088272,eduroam,00:24:6c:7d:f3:01,2472,-76,0,false
85766087985,DIRECT-f1-HP M402 LaserJet,1a:4f:32:93:be:f1,2412,-76,0,false
85766088250,,aa:40:a0:56:08:f5,2472,-76,0,false
85766088190,NMSL_N1_706,90:9f:33:ac:99:10,2447,-77,0,false
85766088247,Welcome_KAIST,00:24:6c:7d:f8:60,2472,-77,0,false
85766088082,Welcome_KAIST,00:24:6c:7d:f4:30,5745,-78,0,false
85766088085,eduroam,00:24:6c:7d:f4:31,5745,-78,0,false
85766088172,NDSL,90:9f:33:5a:19:46,2437,-78,0,false
85766088009,eduroam,00:24:6c:7d:f8:71,5200,-79,0,false
85766088118,eduroam,00:24:6c:7e:07:e1,2432,-79,0,false
85766088201,Welcome_KAIST,00:24:6c:7a:26:20,2452,-79,0,false
85766088005,Welcome_KAIST,00:24:6c:7d:f8:70,5200,-80,0,false
85766088275,eduroam,00:24:6c:7d:f5:81,2472,-80,0,false
85766088053,Welcome_KAIST,00:24:6c:7d:f7:30,5240,-81,0,false
85766088051,eduroam,00:24:6c:7d:f7:31,5240,-81,0,false
85766088166,WINSLAB,30:b5:c2:bd:d1:c9,2437,-81,0,false
85766088183,DIRECT-e0-HP M477 LaserJet,aa:6b:ad:a5:49:e0,2437,-81,0,false
85766088212,eduroam,00:24:6c:7d:f6:c1,2452,-82,0,false
85766088209,Welcome_KAIST,00:24:6c:7d:f6:c0,2452,-82,0,false
85766088197,PM_AJIKA_1B0103,00:08:dc:1b:01:03,2447,-83,0,false
85766088012,eduroam,00:24:6c:7d:f7:e1,2412,-83,0,false
85766088099,SmartIoT2-5Ghz,b0:c7:45:75:c9:1f,5765,-84,0,false
85766088033,Welcome_KAIST,00:24:6c:7d:fe:f0,5220,-84,0,false
85766088089,iptime5G,90:9f:33:59:01:ae,5745,-84,0,false
85766088163,eduroam,00:24:6c:7d:f8:b1,5805,-84,0,false
85766087939,Welcome_KAIST,00:24:6c:7d:f5:90,5220,-85,0,false
85766088056,NMSL_N1_721,a0:40:a0:56:08:f7,5240,-85,0,false
