timeMillis,timeNanos,x,y,z
1544780551526,248703987218867,0.43546697,4.976846,8.272206
1544780551544,248704007218867,0.49788862,4.8474154,7.983954
1544780551566,248704027218867,1.156227,5.051909,8.326985
1544780551585,248704047218867,1.6174077,5.303252,9.403477
1544780551604,248704067218867,0.93762684,4.955758,7.9675875
1544780551624,248704087218867,0.6563656,4.706656,7.5358744
1544780551644,248704107218867,0.70535094,4.761454,9.203531
1544780551664,248704127218867,0.7820995,4.8515625,7.8682375
1544780551684,248704147218867,0.6899419,4.906131,7.4336133
1544780551704,248704167218867,0.6336207,5.0001755,8.171085
1544780551725,248704187218867,0.6163729,5.0430317,8.25061
1544780551745,248704207218867,0.65279347,4.9519563,8.603669
1544780551764,248704227218867,0.80110943,4.9203143,8.6786175
1544780551785,248704247218867,0.85458636,4.8985944,8.603986
1544780551804,248704267218867,0.92787766,4.8612447,8.821742
1544780551824,248704287218867,1.1118768,4.9190793,8.944163
1544780551846,248704307218867,1.1565717,4.968457,8.991204
1544780551865,248704327218867,1.1804755,5.0724516,9.1771755
1544780551885,248704347218867,1.157405,5.1452546,9.0050335
1544780551906,248704367218867,0.9650452,5.05462,8.80369
1544780551925,248704387218867,0.78286564,4.9733605,8.740705
1544780551944,248704407218867,0.7534074,4.968141,8.750261
1544780551965,248704427218867,0.76531136,5.031683,8.633156
1544780551984,248704447218867,0.68838084,4.9983845,8.371384
1544780552004,248704467218867,0.61171854,5.0068507,8.321556
1544780552024,248704487218867,0.40285793,5.060854,8.317448
1544780552044,248704507218867,0.3439606,5.1538258,7.3018746
1544780552064,248704527218867,0.41661027,5.1567755,6.4411016
1544780552085,248704547218867,0.4901793,5.0443816,7.8757935
1544780552104,248704567218867,0.32121566,4.821587,7.5576906
1544780552124,248704587218867,0.2602689,4.8418612,7.1276245
1544780552145,248704607218867,0.35496435,5.338476,9.276641
1544780552165,248704627218867,0.71787745,5.998442,8.301913
1544780552184,248704647218867,0.47789225,6.409259,7.1961374
1544780552204,248704667218867,0.23738989,6.5975676,7.0433583
1544780552224,248704687218867,0.11664551,6.311508,7.5073643
1544780552244,248704707218867,0.0037828386,6.0975814,8.072779
1544780552264,248704727218867,-0.18306068,5.859665,8.268653
1544780552286,248704747218867,-0.37571728,5.871502,8.148282
1544780552306,248704767218867,-0.41315302,5.747846,8.176304
1544780552326,248704787218867,-0.33606932,5.4939747,8.504118
1544780552345,248704807234492,-0.17495868,5.4749646,8.42149
1544780552365,248704827218867,0.08541554,5.6643844,8.054708
1544780552384,248704847218867,0.13496594,5.7470036,7.793423
1544780552405,248704867218867,0.32502726,5.920995,7.5044146
1544780552424,248704887218867,0.61340404,6.0426397,7.399616
1544780552447,248704907218867,0.73021233,5.9279957,7.652606
1544780552466,248704927218867,0.81321454,5.9027605,7.7586308
1544780552486,248704947218867,0.8239693,5.910623,7.6293535
1544780552505,248704967218867,0.7868304,5.9204493,7.6495795
1544780552526,248704987218867,0.60535955,5.970363,7.742695
1544780552546,248705007218867,0.4121187,5.9570518,7.6002593
1544780552566,248705027218867,0.38624218,5.880073,7.603506
1544780552585,248705047218867,0.53987336,5.899591,8.066017
1544780552605,248705067218867,0.58784354,5.8377914,8.436745
1544780552627,248705087218867,0.5331408,5.8252273,8.225261
1544780552646,248705107218867,0.48341805,5.9323244,8.184933
1544780552666,248705127218867,0.41062474,5.919788,8.150322
1544780552685,248705147218867,0.5380633,5.879939,8.257727
1544780552729,248705167218867,0.44113645,5.8779664,8.371326
1544780552729,248705187218867,0.44971728,5.876003,8.141454
1544780552745,248705207218867,0.62778836,5.997638,7.9035664
1544780552765,248705227218867,0.81004465,6.010596,8.027404
1544780552785,248705247218867,0.74722075,5.8675947,8.621138
1544780552805,248705267218867,0.61911184,5.841172,8.646028
1544780552826,248705287234492,0.74665576,5.7834144,8.179838
1544780552847,248705307218867,0.8604569,5.66064,8.413292
1544780552866,248705327218867,0.9545778,5.307294,9.302661
1544780552886,248705347218867,1.1933469,4.9489875,10.187798
1544780552905,248705367218867,1.2113894,4.6698904,10.6184
1544780552925,248705387218867,1.164693,4.480576,10.425935
1544780552945,248705407218867,1.2655079,4.4457645,9.942201
1544780552964,248705427218867,1.4532325,4.4684324,9.380252
1544780552985,248705447218867,2.3427072,4.722103,9.042038
1544780553006,248705467218867,3.026606,4.8442264,8.932048
1544780553025,248705487218867,2.894906,4.519161,8.474766
1544780553045,248705507218867,2.2945166,4.0867586,8.259153
1544780553065,248705527218867,1.9942935,3.978579,8.328298
1544780553084,248705547218867,1.7587135,3.9630167,8.30427
1544780553104,248705567218867,1.638515,3.9871695,8.10082
1544780553125,248705587218867,1.4735066,4.0295086,7.919244
1544780553145,248705607218867,1.2149615,4.215615,7.504577
1544780553165,248705627218867,0.9441774,4.4831715,7.258645
1544780553185,248705647218867,0.70941156,4.657613,7.0409737
1544780553205,248705667218867,0.45109636,4.6894274,6.9220586
1544780553225,248705687218867,0.3600592,4.7876086,6.839104
1544780553245,248705707218867,0.49902827,4.9896603,6.760076
1544780553267,248705727218867,0.33965102,4.9704776,6.903317
1544780553284,248705747218867,0.22638614,5.060097,6.8578267
1544780553369,248705767218867,0.14919707,5.24356,6.681269
1544780553369,248705787218867,0.3836277,5.53685,6.8932037
1544780553369,248705807218867,0.51089394,5.5676203,7.2354403
1544780553369,248705827218867,0.69820666,5.649914,7.5196037
1544780553384,248705847218867,0.71465003,5.812308,7.759148
1544780553405,248705867218867,0.51805735,6.0190325,8.0345
1544780553426,248705887218867,0.5870678,6.265444,8.481909
1544780553446,248705907218867,0.9137519,6.756954,8.256127
1544780553465,248705927218867,1.036584,7.1420283,7.816264
1544780553486,248705947218867,1.151927,7.2539043,7.585128
1544780553506,248705967218867,1.3173184,7.1317616,7.782793
1544780553527,248705987218867,1.4177027,6.8855996,8.145342
1544780553547,248706007218867,1.4750198,6.5316315,9.138007
1544780553566,248706027218867,1.1849958,6.172281,10.504225
1544780553585,248706047218867,0.872179,6.2158647,10.700453
1544780553606,248706067218867,0.86007386,6.3941565,10.05242
1544780553625,248706087218867,0.98128754,6.3075914,10.71477
1544780553646,248706107218867,0.94135225,6.102246,10.825133
1544780553667,248706127218867,1.1775643,5.531717,10.534248
1544780553686,248706147218867,1.5019497,5.039555,9.866064
1544780553723,248706167218867,1.3820099,4.240725,9.793358
1544780553725,248706187218867,0.658415,3.5579464,9.218663
1544780553745,248706207218867,0.12557109,3.4580605,7.73421
1544780553764,248706227218867,0.04774996,3.875226,6.360034
1544780553786,248706247218867,0.043133937,4.346271,5.4627347
1544780553806,248706267218867,0.15825672,4.4277983,6.142784
1544780553826,248706287218867,0.4076655,4.0234656,7.616875
1544780553846,248706307218867,0.58269125,3.6365626,8.374574
1544780553866,248706327218867,0.8173804,3.5660582,8.729806
1544780553886,248706347218867,0.8307593,3.7356825,8.606112
1544780553905,248706367218867,0.6618914,3.8953373,8.105273
1544780553926,248706387218867,0.4698956,4.193607,7.4086657
1544780553946,248706407218867,0.1437383,4.4378347,6.9050026
1544780553965,248706427218867,0.110104546,4.671681,6.835312
1544780553986,248706447218867,0.40058824,4.944247,7.0924015
1544780554004,248706467218867,0.57837206,5.1738696,7.4598923
1544780554025,248706487218867,0.6255474,5.4785943,7.4893503
1544780554045,248706507218867,0.6584438,5.7590895,7.1449394
1544780554065,248706527218867,0.30273244,5.8219132,7.008221
1544780554085,248706547218867,-0.08574115,5.8013997,7.4755216
1544780554105,248706567218867,-0.27407864,5.823666,7.8338084
1544780554125,248706587218867,-0.32850364,5.8217793,8.016199
1544780554144,248706607218867,-0.3624438,5.778454,8.26804
1544780554165,248706627218867,-0.31316158,5.8083525,8.301186
1544780554184,248706647218867,0.0665205,5.9968624,8.419363
1544780554204,248706667218867,0.35303938,6.1196275,9.332617
1544780554224,248706687218867,0.57790285,6.1055017,10.648423
1544780554245,248706707218867,1.1358858,6.319917,11.814524
1544780554265,248706727218867,1.4916451,6.053327,11.324114
1544780554285,248706747218867,1.3935211,5.8769894,10.691643
1544780554305,248706767218867,1.6243701,5.7431345,9.943005
1544780554326,248706787218867,1.8154657,5.439741,9.673561
1544780554346,248706807218867,1.7037044,5.164657,8.607021
1544780554366,248706827218867,1.4753933,4.7799087,8.277876
1544780554386,248706847218867,1.9128044,4.4503517,9.35769
1544780554407,248706867218867,2.4914255,4.053987,10.127837
1544780554426,248706887218867,2.1684093,3.4570644,10.115243
1544780554446,248706907218867,1.722178,3.3556175,9.177789
1544780554466,248706927218867,1.536503,3.8078628,8.040323
1544780554486,248706947218867,1.572368,3.9007003,7.3213153
1544780554506,248706967218867,1.3553575,3.837187,7.463809
1544780554526,248706987218867,1.1247002,3.8866992,7.402527
1544780554545,248707007218867,1.0062159,4.159351,7.1946144
1544780554565,248707027218867,0.9447041,4.5154834,6.9478297
1544780554585,248707047218867,0.84290266,4.756225,6.473299
1544780554606,248707067218867,0.615645,4.8880787,6.2890124
1544780554626,248707087218867,0.20386147,4.7879343,6.447202
1544780554646,248707107218867,0.035491645,4.77671,6.954773
1544780554666,248707127218867,-0.13427642,4.6745253,7.411979
1544780554686,248707147218867,-0.12356954,4.5552845,7.533863
1544780554721,248707167218867,-0.21212627,4.6083307,7.6694803
1544780554725,248707187218867,-0.42979753,4.7746224,7.5778112
1544780554746,248707207218867,-0.521754,4.8597126,8.2732115
1544780554764,248707227218867,-0.46876553,5.094536,8.788799
1544780554784,248707247218867,-0.2173169,5.429245,8.88153
1544780554804,248707267218867,0.23117454,5.847675,8.733444
1544780554825,248707287218867,0.6672831,6.055731,8.934251
1544780554844,248707307218867,0.46431231,5.87199,9.230663
1544780554865,248707327218867,0.0941879,5.494971,9.610431
1544780554884,248707347218867,-0.13385503,5.3412914,9.651688
1544780554904,248707367218867,-0.19917843,5.2910037,9.615268
1544780554926,248707387234492,-0.38793728,5.5562334,9.313234
1544780554945,248707407218867,-0.38244978,5.724632,8.423856
1544780554966,248707427218867,-0.6257485,5.9770765,8.858364
1544780554986,248707447218867,-0.91356987,6.4740458,8.94647
1544780555006,248707467218867,-0.39472723,6.4352694,8.309364
1544780555026,248707487218867,0.5627619,5.8889604,9.452404
1544780555045,248707507218867,0.34129825,4.5003905,11.638493
1544780555169,248707527218867,-0.3414706,3.1452053,13.100507
1544780555169,248707547218867,-0.976298,2.989563,11.107593
1544780555170,248707567218867,-0.9260294,3.7585137,8.669481
1544780555170,248707587218867,-1.0917273,4.399834,6.985831
1544780555170,248707607218867,-1.0024905,4.329435,7.919885
1544780555170,248707627218867,-0.70628947,3.6987734,9.678828
1544780555245,248707647218867,-0.5851908,3.1206217,10.206137
1544780555245,248707667218867,-0.2763675,2.8644996,9.992526
1544780555245,248707687218867,-0.250558,2.9572988,8.707625
1544780555245,248707707218867,-0.48857996,3.1216083,7.830706
1544780555361,248707727218867,-0.7257208,3.4175315,7.1601286
1544780555361,248707747218867,-0.77500314,3.7633498,6.4284987
1544780555361,248707767218867,-0.938393,4.00911,5.9371796
1544780555361,248707787218867,-0.87273437,4.307705,6.326008
1544780555361,248707807218867,-0.4760822,4.6352987,6.902694
1544780555364,248707827218867,-0.12575305,4.667707,7.358866
1544780555384,248707847218867,-0.16245137,4.564651,7.9067073
1544780555404,248707867218867,-0.42603382,4.651302,8.347585
1544780555424,248707887218867,-0.6509451,4.7752542,8.752445
1544780555445,248707907218867,-0.5703084,4.9741364,8.639419
1544780555464,248707927218867,-0.49986142,5.321726,8.4007845
1544780555484,248707947218867,-0.38808092,5.611913,7.9301224
1544780555504,248707967218867,0.067593105,5.9448695,7.8773546
1544780555525,248707987218867,0.14937903,6.238629,8.180423
1544780555544,248708007218867,0.003715801,6.246932,8.689976
