timeMillis,timeNanos,x,y,z
1544780551566,248704033098867,29.5625,-13.125,-35.75
1544780551584,248704053098867,29.625,-13.4375,-35.5625
1544780551604,248704073098867,29.625,-13.25,-36.0
1544780551623,248704093098867,29.5625,-13.5,-36.0625
1544780551644,248704113098867,29.5,-13.25,-35.875
1544780551664,248704133098867,29.5,-13.375,-35.875
1544780551684,248704153098867,29.4375,-13.25,-35.875
1544780551704,248704173098867,29.5,-13.0,-35.75
1544780551725,248704193098867,29.5625,-13.0,-35.875
1544780551744,248704213098867,29.4375,-13.1875,-35.625
1544780551764,248704233098867,29.3125,-13.0,-35.5625
1544780551784,248704253098867,29.375,-13.0,-35.3125
1544780551804,248704273098867,29.5,-12.625,-35.0
1544780551824,248704293098867,29.5,-12.6875,-35.0
1544780551845,248704313098867,29.5,-12.4375,-34.8125
1544780551864,248704333098867,29.5625,-12.4375,-34.8125
1544780551884,248704353098867,29.75,-12.5625,-34.75
1544780551905,248704373098867,29.75,-12.5625,-34.75
1544780551925,248704393098867,29.875,-12.3125,-34.75
1544780551944,248704413098867,29.6875,-12.25,-34.625
1544780551964,248704433098867,29.625,-12.25,-34.5625
1544780551984,248704453098867,29.5,-12.375,-34.75
1544780552004,248704473098867,29.625,-12.5,-34.875
1544780552024,248704493098867,29.625,-12.5625,-35.0
1544780552044,248704513098867,29.5625,-12.6875,-35.3125
1544780552064,248704533098867,29.3125,-12.9375,-35.375
1544780552084,248704553098867,29.0625,-12.9375,-35.3125
1544780552104,248704573098867,28.875,-13.0,-35.75
1544780552124,248704593098867,28.9375,-13.1875,-36.125
1544780552144,248704613098867,28.8125,-13.3125,-36.375
1544780552164,248704633098867,28.8125,-13.5625,-36.25
1544780552184,248704653098867,28.75,-13.5625,-36.125
1544780552204,248704673098867,28.8125,-13.625,-36.1875
1544780552224,248704693098867,28.8125,-13.4375,-35.875
1544780552244,248704713098867,29.25,-13.0625,-35.9375
1544780552264,248704733098867,29.5,-12.625,-36.0625
1544780552285,248704753098867,29.4375,-12.3125,-36.125
1544780552305,248704773098867,29.5,-11.9375,-36.0625
1544780552325,248704793098867,29.5625,-11.9375,-35.8125
1544780552344,248704813114492,29.5625,-12.0625,-36.25
1544780552364,248704833098867,29.1875,-12.5,-36.25
1544780552384,248704853098867,29.125,-12.875,-36.1875
1544780552404,248704873098867,29.3125,-13.0625,-36.5
1544780552424,248704893098867,29.125,-13.3125,-36.375
1544780552445,248704913098867,29.125,-13.625,-36.375
1544780552465,248704933098867,29.1875,-13.6875,-36.375
1544780552485,248704953098867,29.25,-13.875,-36.3125
1544780552504,248704973098867,29.3125,-13.9375,-36.5
1544780552525,248704993098867,29.5,-13.9375,-36.3125
1544780552545,248705013098867,29.625,-13.8125,-36.125
1544780552565,248705033098867,29.75,-13.5,-36.1875
1544780552584,248705053098867,29.4375,-13.375,-36.0625
1544780552604,248705073098867,29.4375,-13.25,-36.125
1544780552625,248705093098867,29.375,-13.125,-36.1875
1544780552645,248705113098867,29.625,-13.0,-35.875
1544780552665,248705133098867,29.625,-12.8125,-36.1875
1544780552684,248705153098867,29.5625,-12.625,-36.125
1544780552729,248705173098867,29.3125,-12.625,-35.875
1544780552729,248705193098867,29.4375,-12.5625,-36.0625
1544780552744,248705213098867,29.4375,-12.5625,-35.875
1544780552764,248705233098867,29.375,-12.3125,-36.0
1544780552784,248705253098867,29.3125,-12.3125,-36.1875
1544780552804,248705273098867,29.25,-12.0625,-36.375
1544780552824,248705293114492,29.1875,-12.25,-36.5
1544780552845,248705313098867,29.0625,-12.0625,-36.4375
1544780552865,248705333098867,28.9375,-11.8125,-36.75
1544780552885,248705353098867,28.875,-11.4375,-36.875
1544780552905,248705373098867,28.9375,-11.375,-37.0
1544780552924,248705393098867,28.75,-11.3125,-37.0
1544780552944,248705413098867,28.6875,-11.5625,-36.875
1544780552964,248705433098867,28.5,-11.6875,-36.8125
1544780552984,248705453098867,28.3125,-12.0,-36.5625
1544780553005,248705473098867,28.1875,-11.9375,-36.625
1544780553025,248705493098867,28.3125,-11.8125,-36.5
1544780553045,248705513098867,28.3125,-11.9375,-36.375
1544780553065,248705533098867,28.3125,-11.875,-36.375
1544780553084,248705553098867,28.3125,-11.75,-36.125
1544780553104,248705573098867,28.5625,-11.875,-36.1875
1544780553124,248705593098867,28.625,-11.875,-36.25
1544780553144,248705613098867,28.6875,-11.8125,-36.3125
1544780553164,248705633098867,28.875,-11.625,-36.4375
1544780553184,248705653098867,28.875,-11.375,-36.6875
1544780553204,248705673098867,28.8125,-11.1875,-36.75
1544780553224,248705693098867,28.875,-10.75,-36.875
1544780553244,248705713098867,29.125,-10.4375,-37.125
1544780553264,248705733098867,29.1875,-10.25,-37.25
