bssid,frequency,legit,rss,ssid,timestamp,wifiNo
60:38:e0:bb:ee:02,5805,true,-78,Lapras_5GHz,248705724804,1
18:31:bf:46:ff:dc,5805,true,-81,KECI_5G,248705724798,1
62:45:b4:ee:da:63,5785,true,-81,,248705724791,1
00:24:6c:7d:f5:11,5785,true,-79,eduroam,248705724786,1
00:24:6c:7d:f5:10,5785,true,-80,Welcome_KAIST,248705724782,1
2c:56:dc:84:dd:8c,5785,true,-63,ISILAB_5,248705724776,1
6c:70:9f:e0:92:7f,5745,true,-77,HCIL,248705724773,1
6e:7f:92:e0:9f:70,5745,true,-76,HCIL guest,248705724768,1
00:24:6c:7d:f5:91,5240,true,-59,eduroam,248705724763,1
00:24:6c:7d:f5:90,5240,true,-61,Welcome_KAIST,248705724759,1
00:24:6c:7d:f3:f1,5200,true,-85,eduroam,248705724754,1
00:24:6c:7d:f3:f0,5200,true,-80,Welcome_KAIST,248705724750,1
00:24:6c:7d:f4:91,5200,true,-73,eduroam,248705724746,1
00:24:6c:7d:f4:90,5200,true,-73,Welcome_KAIST,248705724742,1
f8:32:e4:50:8c:38,2417,true,-79,ASUS_00_2G,248705724737,1
90:9f:33:10:83:bc,5805,true,-84,iptime_dblab_5G,248705724731,1
00:24:6c:7d:f6:f1,5805,true,-82,eduroam,248705724725,1
00:24:6c:7d:f6:f0,5805,true,-81,Welcome_KAIST,248705724719,1
88:36:6c:41:85:5e,5745,true,-87,iptime5G,248705724711,1
00:24:6c:7d:f3:e1,2472,true,-85,eduroam,248705724705,1
00:24:6c:7d:f3:e0,2472,true,-85,Welcome_KAIST,248705724699,1
00:24:6c:7d:f6:81,2472,true,-73,eduroam,248705724693,1
00:24:6c:7d:f5:00,2472,true,-78,Welcome_KAIST,248705724671,1
10:da:43:95:44:de,5260,true,-88,JKR-R7000-5G,248701765499,1
00:24:6c:7d:f6:70,5220,true,-78,Welcome_KAIST,248701765489,1
78:54:2e:4c:f1:52,5180,true,-91,iDBLab-5GHz,248701765467,1
00:24:6c:7d:f6:60,2412,true,-67,Welcome_KAIST,248701765461,1
26:6b:6f:79:74:a0,5745,true,-87,Lee의 방문자 네트워크,248701765455,1
90:9f:33:f5:00:52,5745,true,-93,mli5G,248701765448,1
24:a0:74:79:6f:6b,5745,true,-84,dleehub,248701765443,1
00:24:6c:7d:f6:80,2472,true,-69,Welcome_KAIST,248701765437,1
00:24:6c:7a:88:e1,2472,true,-88,eduroam,248701765432,1
00:24:6c:78:f5:a0,2472,true,-88,Welcome_KAIST,248701765427,1
00:24:6c:7a:88:e0,2472,true,-88,Welcome_KAIST,248701765420,1
64:e5:99:da:03:6c,5240,true,-87,WCSL 5GHz,248701765413,1
