adress,advertisingSid,bond,name,primaryPhy,rssi,secondaryPhy,time,txPower,type
CF:96:80:00:46:A7,255,10,NA,1,-95,0,1544780774636,127,0
2A:A0:DA:AA:F3:B4,255,10,NA,1,-95,0,1544780774638,127,0
01:66:F5:C1:5E:A4,255,10,NA,1,-91,0,1544780778693,127,0
3A:56:A1:69:50:6F,255,10,NA,1,-93,0,1544780784634,127,0
CE:4D:A4:3A:1C:E5,255,10,NA,1,-94,0,1544780784637,127,0
CC:E9:82:5A:D4:C0,255,10,NA,1,-91,0,1544780784649,127,0
C6:E6:58:A5:89:CC,255,10,NA,1,-88,0,1544780784651,127,0
F8:EC:C7:AA:08:12,255,10,NA,1,-95,0,1544780784654,127,0
09:38:0D:4B:A2:7C,255,10,NA,1,-93,0,1544780786661,127,0
70:35:50:AC:26:0B,255,10,NA,1,-78,0,1544780786665,127,0
08:40:C9:2C:98:02,255,10,NA,1,-63,0,1544780786669,127,0
30:30:40:44:93:A9,255,10,NA,1,-73,0,1544780786674,127,0
0C:1A:52:63:79:25,255,10,NA,1,-85,0,1544780786913,127,0
EC:D4:89:72:A2:B7,255,10,NA,1,-95,0,1544780786941,127,2
2C:40:D6:84:D5:E8,255,10,NA,1,-78,0,1544780786944,127,0
F5:C4:B3:25:DB:78,255,10,NA,1,-78,0,1544780786948,127,0
C0:CC:34:EC:D6:CE,255,10,NA,1,-87,0,1544780786951,127,0
F8:EC:C7:AA:08:12,255,10,NA,1,-85,0,1544780786954,127,0
CD:1A:82:54:98:9A,255,10,NA,1,-91,0,1544780786957,127,0
3F:C1:C8:8B:5F:0D,255,10,NA,1,-79,0,1544780786959,127,0
C5:E5:57:A4:88:CB,255,10,NA,1,-92,0,1544780786961,127,0
EC:BE:FA:2C:A3:EC,255,10,NA,1,-82,0,1544780786964,127,0
6E:C1:A2:02:BE:C9,255,10,NA,1,-91,0,1544780786967,127,0
C6:E6:58:A5:89:CC,255,10,NA,1,-87,0,1544780786969,127,0
FE:60:9B:B2:DF:DD,255,10,NA,1,-95,0,1544780786972,127,0
1E:54:D7:6A:16:C9,255,10,NA,1,-71,0,1544780786975,127,0
E0:7E:D7:0C:57:E5,255,10,NA,1,-82,0,1544780786979,127,0
E9:61:36:C9:0F:41,255,10,NA,1,-82,0,1544780786982,127,0
70:35:50:AC:26:0B,255,10,NA,1,-83,0,1544780786986,127,0
CF:96:80:00:46:A7,255,10,NA,1,-86,0,1544780786988,127,0
EA:E5:66:DA:61:80,255,10,NA,1,-89,0,1544780786992,127,0
CE:47:4A:85:09:51,255,10,NA,1,-84,0,1544780786999,127,0
CE:4D:A4:3A:1C:E5,255,10,NA,1,-82,0,1544780787002,127,0
ED:BF:FB:2D:A4:ED,255,10,NA,1,-87,0,1544780787005,127,0
30:30:40:44:93:A9,255,10,NA,1,-77,0,1544780787008,127,0
C6:30:91:68:5E:34,255,10,NA,1,-88,0,1544780787011,127,0
0C:1A:52:63:79:25,255,10,NA,1,-88,0,1544780787015,127,0
CD:4C:A3:39:1B:E4,255,10,NA,1,-89,0,1544780787022,127,0
2C:40:D6:84:D5:E8,255,10,NA,1,-71,0,1544780787033,127,0
F5:C4:B3:25:DB:78,255,10,NA,1,-88,0,1544780787037,127,0
17:71:8B:E8:FF:66,255,10,NA,1,-83,0,1544780787041,127,0
FF:CB:33:EB:D5:CD,255,10,NA,1,-89,0,1544780787047,127,0
3F:C1:C8:8B:5F:0D,255,10,NA,1,-78,0,1544780787051,127,0
C7:97:DE:46:41:55,255,10,NA,1,-87,0,1544780787066,127,0
C6:E6:58:A5:89:CC,255,10,NA,1,-85,0,1544780787069,127,0
D7:CC:F4:C7:A0:7F,255,10,NA,1,-84,0,1544780787073,127,0
CD:46:49:84:08:50,255,10,NA,1,-86,0,1544780787077,127,0
70:35:50:AC:26:0B,255,10,NA,1,-89,0,1544780787081,127,0
E1:7F:D8:0D:58:E6,255,10,NA,1,-88,0,1544780787085,127,0
4F:B3:BE:0C:F5:08,255,10,NA,1,-91,0,1544780787089,127,0
30:30:40:44:93:A9,255,10,NA,1,-83,0,1544780787092,127,0
C2:2F:B1:67:E8:B8,255,10,NA,1,-97,0,1544780787099,127,0
