adress,bond,name,rssi,time,type
D0:03:4B:27:B7:33,10,NA,-90,1544780779882,3
01:65:E5:16:F8:E3,10,NA,-90,1544780779888,2
6E:84:18:8B:65:5D,10,NA,-75,1544780780160,2
22:22:8E:C5:74:E7,10,NA,-90,1544780782688,1
00:1A:7D:DA:71:03,10,joyk-Sub,-85,1544780786467,1
EC:D4:89:72:A2:B7,10,NA,-95,1544780786927,2
C8:28:32:2E:06:2B,10,ISIMIBOX,-73,1544780787537,3
4E:0E:B5:C6:54:9C,10,NA,-92,1544780787810,2
5D:3C:5E:4A:36:8F,10,NA,-93,1544780788244,2
EC:D7:CB:94:8F:D1,10,NA,-95,1544780788914,2
42:DC:06:C4:E5:DB,10,NA,-75,1544780789209,2
4B:6C:DD:B0:03:3C,10,NA,-73,1544780789710,2
5E:2D:E6:B8:2D:5E,10,NA,-78,1544780789725,2
EC:08:9C:E1:18:36,10,NA,-95,1544780818100,2
78:4F:43:8C:BE:E3,10,NA,-84,1544780818287,2
