timeMillis,timeNanos,x,y,z
1544780774607,248927068698867,-0.55204767,-0.20973621,0.12315043
1544780774624,248927088700430,-0.31066862,-0.090512775,0.112399206
1544780774644,248927108698867,-0.08522443,-0.10751228,0.13480923
1544780774666,248927128698867,0.058887407,-0.1942726,0.13056809
1544780774692,248927148698867,0.13076007,-0.3106337,0.13229595
1544780774704,248927168698867,0.17868681,-0.32679546,0.1335875
1544780774724,248927188698867,0.16180947,-0.35850808,0.123272605
1544780774744,248927208698867,0.10093239,-0.32169908,0.07808603
1544780774764,248927228698867,0.033562683,-0.21312216,0.06888814
1544780774784,248927248698867,-0.0044505894,-0.12705997,0.07344346
1544780774804,248927268698867,-0.04569272,-0.08555604,0.061313417
1544780774825,248927288698867,-0.089919366,-0.05342453,0.044121925
1544780774844,248927308698867,-0.14557791,-0.029548423,0.022933627
1544780774864,248927328698867,-0.15694001,-0.022340214,-0.008639379
1544780774885,248927348698867,-0.11815879,-0.033196162,-0.0251851
1544780774908,248927368698867,-0.0728675,-0.044121925,-0.026825711
1544780774924,248927388698867,-0.08281587,-0.023631757,-0.024190264
1544780774945,248927408698867,-0.13582152,-0.0067020645,-0.019163715
1544780774965,248927428698867,-0.14802137,0.005986479,-0.014137167
1544780774985,248927448698867,-0.105732046,0.043685593,-0.0073129297
1544780775005,248927468698867,-0.05333726,0.049864057,0.014294246
1544780775025,248927488698867,-0.033161256,0.053511795,0.051434852
1544780775045,248927508698867,-0.04207989,0.059079394,0.056129787
1544780775066,248927528698867,-0.049497537,0.05235988,0.04811873
1544780775085,248927548698867,-0.040264744,0.050230574,0.068120204
1544780775108,248927568698867,0.0028448866,0.016074482,0.09557423
1544780775126,248927588698867,0.07302458,-0.010210176,0.105574965
1544780775145,248927608698867,0.13829988,-0.030438542,0.10341076
1544780775165,248927628698867,0.15610225,-0.05618215,0.057386424
1544780775184,248927648698867,0.12878785,-0.025673794,-0.0028797933
1544780775206,248927668698867,0.064507365,-0.0077143554,-0.012409291
1544780775225,248927688698867,0.014172073,0.019739674,0.029147
1544780775244,248927708698867,-0.009669124,0.011728613,0.055990163
1544780775265,248927728698867,-0.0041015237,-0.039566614,0.07258824
1544780775285,248927748698867,0.019355701,-0.06798057,0.09457939
1544780775307,248927768698867,0.05099852,-0.040858157,0.11320206
1544780775328,248927788698867,0.052656583,-0.021781709,0.11588986
1544780775348,248927808698867,0.03218387,-0.0050963615,0.103602745
1544780775367,248927828698867,0.005427974,-0.020333085,0.058398716
1544780775387,248927848698867,-0.035116024,-0.041573744,0.01282817
1544780775407,248927868698867,-0.09040806,-0.06682865,-0.0020071287
1544780775427,248927888714492,-0.12566371,-0.05873033,-0.0069987704
1544780775447,248927908698867,-0.13845697,-0.028274333,-0.0048171086
1544780775467,248927928698867,-0.16039576,-0.008342674,-0.010559242
1544780775484,248927948698867,-0.18411478,-0.025883233,-0.022095868
1544780775506,248927968698867,-0.17585938,-0.0021642083,-0.008639379
1544780775526,248927988698867,-0.16170475,0.007644542,0.02141519
1544780775545,248928008698867,-0.13297664,-0.04113741,0.0498117
1544780775565,248928028698867,-0.07927285,-0.07665486,0.05440191
1544780775584,248928048698867,-0.020717058,-0.09484119,0.024748769
1544780775605,248928068698867,0.013596115,-0.12185889,0.00837758
1544780775625,248928088698867,0.022549653,-0.13171999,0.021083577
1544780775645,248928108698867,0.02942625,-0.13973106,0.042219516
1544780775665,248928128698867,0.001256637,-0.21565288,-0.0109083075
1544780775685,248928148698867,-0.03536037,-0.31764993,-0.11859512
1544780775705,248928168698867,-0.068608895,-0.4208338,-0.17798868
1544780775726,248928188698867,-0.041538835,-0.50672144,-0.18346901
1544780775744,248928208698867,0.07030186,-0.5575978,-0.2803697
1544780775765,248928228698867,0.087126836,-0.7867421,-0.3670951
1544780775784,248928248698867,-0.071157075,-1.1131885,-0.39688787
1544780775804,248928268698867,-0.25384068,-1.3524207,-0.38374555
1544780775824,248928288698867,-0.35882223,-1.1971911,-0.3273365
1544780775845,248928308698867,-0.4411843,-0.73412037,-0.31745794
1544780775864,248928328698867,-0.5566379,-0.3217689,-0.21954496
1544780775884,248928348698867,-0.6568023,0.5305103,-0.049951322
1544780775905,248928368698867,-0.67313856,0.5737944,0.016249016
1544780775926,248928388698867,-0.79960513,0.06000442,-0.07492699
1544780775945,248928408698867,-0.9317266,-0.2168397,-0.02994985
1544780775967,248928428698867,-1.0110344,-0.21964969,0.013369222
1544780775988,248928448698867,-0.9377829,-0.33567917,-0.020350538
1544780776008,248928468698867,-0.73309064,-0.36468655,-0.0016580628
1544780776026,248928488698867,-0.52778757,-0.20104447,0.121789075
1544780776046,248928508698867,-0.3437426,-0.057281706,0.18491763
1544780776066,248928528698867,-0.17720328,0.089779735,0.1555612
1544780776087,248928548698867,-0.10190977,0.24815091,0.12981759
1544780776108,248928568698867,-0.15809192,0.6081251,0.108960904
1544780776128,248928588698867,-0.40123373,0.63618994,0.13323843
1544780776146,248928608698867,-0.54501396,0.5853834,0.17160077
1544780776167,248928628698867,-0.5272116,0.58081067,0.09344493
1544780776187,248928648698867,-0.43291146,0.5414186,-0.018116517
1544780776207,248928668698867,-0.32161182,0.446909,-0.07136651
1544780776225,248928688698867,-0.15730652,0.3713188,-0.062692225
1544780776245,248928708698867,0.0037873646,0.37746236,-0.058957223
1544780776265,248928728698867,0.15351915,-0.100478604,-0.077091195
1544780776287,248928748698867,0.21722367,-0.25146705,0.25307274
1544780776307,248928768698867,0.230366,-0.3359759,0.32686526
1544780776327,248928788698867,-0.14442599,-0.6254038,0.08304276
1544780776344,248928808698867,-0.29939377,-0.30731758,0.034225907
1544780776435,248928828698867,-0.15226252,0.01706932,0.2416932
1544780776435,248928848698867,0.21134192,0.253352,0.3736401
1544780776435,248928868698867,0.6035174,0.20694369,0.37140608
1544780776435,248928888698867,0.6517234,-0.30654964,0.36318555
1544780776445,248928908698867,0.2213252,-0.3267431,0.25357887
1544780776467,248928928698867,-0.2539454,-0.031031953,0.011100294
1544780776486,248928948698867,-0.32428217,0.13955653,0.0437205
1544780776507,248928968698867,-0.16900024,0.6788633,0.19751891
1544780776525,248928988698867,-0.03546509,1.5215605,0.48863983
1544780776546,248929008698867,0.0036477381,1.0475291,0.48134434
1544780776567,248929028698867,-0.048712138,0.9578192,0.12922418
1544780776588,248929048698867,0.2670703,0.8963662,-0.0150621915
1544780776608,248929068698867,0.5993635,0.89887947,0.025132742
1544780776627,248929088698867,0.7562861,0.72045445,0.09375909
1544780776647,248929108698867,0.68731064,0.41112974,0.14357078
1544780776668,248929128698867,0.48886672,0.062674776,0.19200367
1544780776685,248929148698867,0.2425833,-0.16224581,0.20451768
1544780776706,248929168698867,0.031730086,-0.1714786,0.24129176
1544780776726,248929188698867,-0.11550589,-0.070842914,0.29768336
1544780776745,248929208698867,-0.22947589,-6.6322513E-4,0.28874728
1544780776765,248929228698867,-0.32457888,-0.031730086,0.23938936
1544780776788,248929248698867,-0.3753156,-0.1775349,0.19329521
1544780776804,248929268698867,-0.37048104,-0.34759977,0.14536847
1544780776827,248929288714492,-0.27220154,-0.48200756,0.1115789
1544780776846,248929308698867,-0.10592403,-0.51707125,0.0821701
1544780776866,248929328698867,0.034278266,-0.4203102,0.031136673
1544780776887,248929348698867,0.039933134,-0.33452725,-0.043895032
1544780776907,248929368698867,-0.046949357,-0.29372147,-0.07517133
1544780776927,248929388698867,-0.14868459,-0.2926219,0.030194197
1544780776947,248929408698867,-0.19130553,-0.27679175,0.19373155
1544780776967,248929428698867,-0.23914501,-0.11021754,0.15573573
1544780776987,248929448698867,-0.31845278,0.091664694,-0.10225884
1544780777007,248929468698867,-0.28576276,0.13241813,-0.2645221
1544780777027,248929488698867,-0.17058848,0.12021828,-0.1873262
1544780777047,248929508698867,-0.09316567,-0.20024163,-0.09908234
1544780777066,248929528698867,-0.10266027,-0.505936,-0.2928139
1544780777087,248929548698867,-0.043825217,-0.67535514,-0.385072
1544780777106,248929568698867,0.20729275,-0.4006927,-0.07120943
1544780777127,248929588698867,0.48040187,-0.2677335,0.06328564
1544780777147,248929608698867,0.7304028,0.26651177,0.037332594
1544780777166,248929628698867,0.84348273,0.53209853,-0.17315412
1544780777187,248929648698867,0.7788357,0.23781857,-0.5167222
1544780777207,248929668698867,0.65387017,-0.18575539,-0.80744165
1544780777225,248929688698867,0.58171827,-0.36753142,-0.88172287
1544780777246,248929708698867,0.529498,-0.23766148,-0.80559164
1544780777266,248929728698867,0.35739106,-0.17355554,-0.7005054
1544780777286,248929748698867,0.058957223,-0.40934953,-0.6197839
1544780777305,248929768698867,-0.20003219,-0.56279886,-0.5613502
1544780777327,248929788698867,-0.28543115,-0.49099603,-0.58775705
1544780777347,248929808698867,-0.32700488,-0.27583185,-0.64634776
1544780777367,248929828698867,-0.37569958,0.04061381,-0.6391221
1544780777387,248929848698867,-0.36568138,0.1996133,-0.62987185
1544780777407,248929868698867,-0.28658307,0.3147003,-0.58669245
1544780777426,248929888698867,-0.18987437,0.44491932,-0.4576777
1544780777447,248929908698867,-0.1367989,0.24350834,-0.36093408
1544780777467,248929928698867,-0.1993515,-0.22218041,-0.32040754
1544780777486,248929948698867,-0.30822515,-0.37866664,-0.33539993
1544780777506,248929968698867,-0.39241982,-0.36901495,-0.3909712
1544780777527,248929988698867,-0.4464203,-0.3946364,-0.45828855
1544780777546,248930008698867,-0.42903683,-0.3636568,-0.52644366
1544780777567,248930028698867,-0.33381167,-0.42399284,-0.6365739
1544780777586,248930048698867,-0.1871691,-0.5392893,-0.75497705
1544780777607,248930068698867,0.08550368,-0.40945423,-0.83777547
1544780777625,248930088714492,0.54103464,0.4349535,-0.9341875
1544780777647,248930108698867,1.0322925,1.4164045,-1.0251715
1544780777667,248930128698867,1.323518,1.3987592,-1.122683
1544780777687,248930148698867,1.2396724,0.43961352,-1.0467263
1544780777706,248930168698867,0.922581,-0.14849262,-0.9005724
