adress,bond,name,rssi,time,type
78:4F:43:9A:52:DD,10,Jun의 MacBook Pro,-97,1544786100922,1
6F:B8:01:87:22:40,10,NA,-90,1544786103370,2
01:65:E5:16:F8:E3,10,NA,-80,1544786103748,2
57:47:04:AD:A5:FB,10,NA,-93,1544786103962,2
6F:B8:01:87:22:40,10,NA,-91,1544786104488,2
57:47:04:AD:A5:FB,10,NA,-85,1544786104694,2
D0:03:4B:27:B7:33,10,NA,-82,1544786104839,3
D0:03:4B:27:B7:33,10,NA,-79,1544786104991,3
5B:15:EA:F1:D5:A4,10,NA,-78,1544786105113,2
57:47:04:AD:A5:FB,10,NA,-82,1544786105236,2
62:D2:44:AC:6E:CA,10,NA,-85,1544786110607,2
57:47:04:AD:A5:FB,10,NA,-77,1544786110691,2
01:65:E5:16:F8:E3,10,NA,-74,1544786110706,2
64:C7:56:92:BE:10,10,NA,-78,1544786110756,2
D0:03:4B:27:B7:33,10,NA,-77,1544786110830,3
66:F7:83:15:6B:6E,10,NA,-84,1544786110913,2
62:D2:44:AC:6E:CA,10,NA,-95,1544786110946,2
EC:B3:56:F2:BB:14,10,NA,-99,1544786110981,2
57:47:04:AD:A5:FB,10,NA,-91,1544786111049,2
46:3E:48:28:45:4C,10,NA,-89,1544786111110,2
66:F7:83:15:6B:6E,10,NA,-85,1544786111200,2
57:47:04:AD:A5:FB,10,NA,-85,1544786111231,2
54:F0:97:D3:D8:1C,10,NA,-91,1544786111283,2
64:C7:56:92:BE:10,10,NA,-82,1544786111294,2
62:D2:44:AC:6E:CA,10,NA,-92,1544786111343,2
5A:EB:24:BB:09:64,10,NA,-90,1544786111354,2
D0:03:4B:27:B7:33,10,NA,-71,1544786111383,3
57:47:04:AD:A5:FB,10,NA,-79,1544786111423,2
66:F7:83:15:6B:6E,10,NA,-80,1544786111442,2
62:D2:44:AC:6E:CA,10,NA,-87,1544786111550,2
5D:3C:5E:4A:36:8F,10,NA,-96,1544786111658,2
D0:03:4B:27:B7:33,10,NA,-78,1544786111741,3
64:C7:56:92:BE:10,10,NA,-85,1544786111840,2
5A:EB:24:BB:09:64,10,NA,-104,1544786111896,2
64:C7:56:92:BE:10,10,NA,-85,1544786112100,2
EC:2A:B9:6B:46:0B,10,NA,-93,1544786112115,2
D0:03:4B:27:B7:33,10,NA,-71,1544786112124,3
66:F7:83:15:6B:6E,10,NA,-78,1544786112252,2
D0:03:4B:27:B7:33,10,NA,-71,1544786112296,3
5A:EB:24:BB:09:64,10,NA,-92,1544786112571,2
D0:03:4B:27:B7:33,10,NA,-74,1544786112575,3
66:F7:83:15:6B:6E,10,NA,-83,1544786112586,2
D0:03:4B:27:B7:33,10,NA,-77,1544786112670,3
4D:80:63:A1:8D:D1,10,NA,-89,1544786112784,2
64:C7:56:92:BE:10,10,NA,-86,1544786112922,2
62:D2:44:AC:6E:CA,10,NA,-96,1544786112959,2
D0:03:4B:27:B7:33,10,NA,-74,1544786113018,3
57:47:04:AD:A5:FB,10,NA,-87,1544786113064,2
66:F7:83:15:6B:6E,10,NA,-87,1544786113078,2
EC:96:D6:EC:F2:13,10,NA,-96,1544786113093,2
EC:63:E8:D7:3B:3E,10,NA,-93,1544786113181,2
D0:03:4B:27:B7:33,10,NA,-79,1544786113203,3
46:3E:48:28:45:4C,10,NA,-87,1544786113286,2
04:52:C7:CF:A4:0D,10,LE-Bose Revolve+ SoundLink,-85,1544786113330,3
51:FD:FF:DB:9D:CF,10,NA,-93,1544786150116,2
54:F0:97:D3:D8:1C,10,NA,-89,1544786150121,2
5D:3C:5E:4A:36:8F,10,NA,-95,1544786150125,2
EC:91:28:A9:C9:09,10,NA,-99,1544786150137,2
43:1E:DF:6D:1B:3A,10,NA,-91,1544786150148,2
EC:6C:09:40:DF:4C,10,NA,-100,1544786150160,2
54:C5:6D:0D:84:6B,10,NA,-91,1544786150196,2
5D:3C:5E:4A:36:8F,10,NA,-94,1544786150207,2
5D:3C:5E:4A:36:8F,10,NA,-95,1544786150233,2
EC:BB:E9:A7:38:CD,10,NA,-88,1544786150257,2
5D:3C:5E:4A:36:8F,10,NA,-89,1544786150330,2
54:F0:97:D3:D8:1C,10,NA,-70,1544786150363,2
EC:2A:B9:6B:46:0B,10,NA,-86,1544786150422,2
5D:3C:5E:4A:36:8F,10,NA,-89,1544786150431,2
5A:EB:24:BB:09:64,10,NA,-84,1544786150468,2
54:C5:6D:0D:84:6B,10,NA,-97,1544786150477,2
5D:3C:5E:4A:36:8F,10,NA,-90,1544786150492,2
4D:80:63:A1:8D:D1,10,NA,-96,1544786150501,2
6A:E5:CF:E3:2A:C8,10,NA,-94,1544786150518,2
5D:3C:5E:4A:36:8F,10,NA,-87,1544786150532,2
5D:3C:5E:4A:36:8F,10,NA,-87,1544786150553,2
5D:3C:5E:4A:36:8F,10,NA,-90,1544786150620,2
54:F0:97:D3:D8:1C,10,NA,-77,1544786150641,2
5D:3C:5E:4A:36:8F,10,NA,-98,1544786150653,2
5A:EB:24:BB:09:64,10,NA,-88,1544786150750,2
4C:70:4C:7D:74:A2,10,NA,-83,1544786150785,2
46:3E:48:28:45:4C,10,NA,-89,1544786150814,2
