timeMillis,timeNanos,x,y,z
1544786098249,63597116217339,0.06169739,-0.0694641,0.2136632
1544786098268,63597136217339,0.09567895,-0.09419542,0.26225317
1544786098285,63597156217339,0.17030923,-0.14528121,0.35033995
1544786098304,63597176217339,0.26974064,-0.043336526,0.3139673
1544786098324,63597196218902,0.34903094,0.09876818,0.31677726
1544786098344,63597216217339,0.36838666,0.096185096,0.3061482
1544786098365,63597236217339,0.335557,0.05120796,0.29972538
1544786098384,63597256217339,0.2844712,-0.031660274,0.2737898
1544786098409,63597276217339,0.24809855,-0.07510152,0.2624975
1544786098424,63597296217339,0.19837412,-0.01691224,0.25157174
1544786098445,63597316217339,0.1497667,0.0063704518,0.19710003
1544786098464,63597336217339,0.1291369,-0.038659044,0.1677436
1544786098485,63597356217339,0.14018485,-0.11938052,0.15486306
1544786098504,63597376217339,0.13969615,-0.118926734,0.14765486
1544786098525,63597396217339,0.11622147,-0.07497934,0.09374163
1544786098545,63597416217339,0.10477211,-0.06899287,0.04452335
1544786098565,63597436217339,0.09325294,-0.08965756,0.0078016217
1544786098585,63597456217339,0.043807764,-0.084177226,-0.037297685
1544786098605,63597476217339,-0.03457497,-0.1128879,-0.085573494
1544786098624,63597496217339,-0.1044056,-0.13180727,-0.1454732
1544786098645,63597516217339,-0.10608111,-0.102852255,-0.2070484
1544786098665,63597536217339,-0.044593163,-0.062063906,-0.22012092
1544786098685,63597556217339,0.022462387,-0.0712967,-0.23342033
1544786098705,63597576217339,0.023247786,-0.084997535,-0.2416932
1544786098725,63597596217339,-0.015481071,-0.086725414,-0.2793923
1544786098745,63597616217339,-0.059027035,-0.10082767,-0.33709288
1544786098765,63597636217339,-0.027925268,-0.0946492,-0.39636427
1544786098784,63597656217339,0.08199557,-0.078016214,-0.41718605
1544786098805,63597676217339,0.09475392,-0.0765676,-0.39927897
1544786098825,63597696217339,0.08546878,-0.12683308,-0.4021064
1544786098845,63597716217339,0.0127409035,-0.13686872,-0.3932227
1544786098864,63597736217339,-0.08110545,-0.14444345,-0.39770818
1544786098885,63597756217339,-0.14372787,-0.19900244,-0.3548778
1544786098904,63597776217339,-0.19088666,-0.22771311,-0.29145253
1544786098925,63597796217339,-0.21383774,-0.22141246,-0.26892033
1544786098944,63597816217339,-0.19690804,-0.1958434,-0.28105035
1544786098964,63597836217339,-0.15666075,-0.16798794,-0.28455848
1544786098984,63597856217339,-0.12482595,-0.12185889,-0.25612706
1544786099005,63597876217339,-0.10992084,-0.12842132,-0.23233823
1544786099025,63597896217339,-0.11929326,-0.13969615,-0.24792401
1544786099045,63597916217339,-0.12489576,-0.13763666,-0.23649211
1544786099064,63597936217339,-0.10725048,-0.11431906,-0.2335076
1544786099085,63597956217339,-0.02745403,-0.1081406,-0.22169173
1544786099104,63597976217339,0.061645027,-0.089273594,-0.16790067
1544786099125,63597996217339,0.10585422,-0.12226032,-0.123761296
1544786099145,63598016217339,0.11164871,-0.13622294,-0.0940907
1544786099165,63598036217339,0.14297737,-0.12466887,-0.09759881
1544786099185,63598056217339,0.18900171,-0.07534587,-0.0922232
1544786099204,63598076217339,0.2237512,-0.038309976,-0.06012659
1544786099225,63598096217339,0.20621064,-0.02555162,-0.034557518
1544786099244,63598116217339,0.117513016,-0.030962141,-0.028221974
1544786099265,63598136217339,0.0038571777,-0.08595747,-0.043772858
1544786099285,63598156217339,-0.09761626,-0.09552187,-0.06682865
1544786099305,63598176217339,-0.12445943,-0.1054877,-0.08906415
1544786099325,63598196217339,-0.09564404,-0.076096356,-0.10957177
1544786099345,63598216217339,-0.058276545,0.015044739,-0.10454522
1544786099365,63598236232964,-0.116937056,0.12299335,-0.097179934
1544786099384,63598256217339,-0.25422466,0.106395274,-0.12367403
1544786099438,63598276217339,-0.33695325,-0.10374237,-0.1940108
1544786099438,63598296217339,-0.19846138,-0.34992105,-0.3029019
1544786099445,63598316217339,0.09641199,-0.26431265,-0.38234928
1544786099464,63598336217339,0.42470843,-0.004886922,-0.36913714
1544786099486,63598356217339,0.5603205,0.21116738,-0.2904577
1544786099505,63598376217339,0.46986008,0.2014459,-0.22718951
1544786099525,63598396217339,0.21062633,0.06871361,-0.15915658
1544786099544,63598416217339,-0.0675966,-0.029914944,-0.09424778
