timeMillis,timeNanos,x,y,z
1544786189339,63688195386652,-0.94922435,2.0344012,8.621146
1544786189344,63688215366339,-1.2458947,1.7466564,9.411004
1544786189364,63688235366339,-1.1782825,1.8641063,8.207209
1544786189385,63688255366339,-0.77318347,1.9024806,12.211558
1544786189405,63688275366339,-0.06489244,1.8526716,10.925748
1544786189424,63688295366339,0.26722166,1.6875865,8.321173
1544786189445,63688315366339,0.2337507,1.6691799,11.916238
1544786189465,63688335366339,-0.13377841,1.654269,9.658123
1544786189484,63688355366339,-0.35208172,1.7532643,9.24973
1544786189504,63688375366339,-0.49791732,1.9120957,9.794708
1544786189525,63688395366339,-0.68076736,2.0834727,9.713908
1544786189544,63688415366339,-0.96199983,2.1505868,9.479516
1544786189565,63688435366339,-0.9641354,2.1792982,9.325962
1544786189584,63688455366339,-0.885529,2.1958659,9.288372
1544786189605,63688475366339,-0.83658195,2.1742513,9.292022
1544786189625,63688495366339,-0.57707924,2.1319792,9.309326
1544786189645,63688515366339,-0.39242882,2.1110826,9.375962
1544786189664,63688535366339,-0.35260847,2.0421584,9.60413
1544786189684,63688555366339,-0.43338883,2.0435853,9.751287
1544786189705,63688575366339,-0.6027068,1.9593285,9.624164
1544786189725,63688595366339,-0.4277098,1.9109944,9.565344
1544786189745,63688615366339,-0.17970878,1.7803762,9.624615
1544786189765,63688635366339,-0.1548857,1.5418563,9.742543
1544786189785,63688655366339,-0.29863358,1.315882,10.08862
1544786189805,63688675366339,-0.64836895,1.1731684,10.513045
1544786189824,63688695366339,-0.59277564,1.2227668,9.917875
1544786189845,63688715366339,-0.7690846,1.3460298,11.440473
1544786189865,63688735366339,-1.1027789,1.4191487,8.950407
1544786189885,63688755366339,-1.2336556,1.5699643,8.548248
1544786189904,63688775366339,-1.2445061,1.901341,11.709044
1544786189925,63688795366339,-1.1223922,2.0441215,7.432847
1544786189944,63688815366339,-1.0303495,2.194391,6.9412217
1544786189964,63688835366339,-1.2763585,2.2811668,9.727536
1544786189984,63688855366339,-1.2800936,2.4293869,7.981416
1544786190004,63688875366339,-0.74362946,2.6942143,8.386506
1544786190024,63688895366339,-0.42793003,2.9084666,8.785245
1544786190045,63688915366339,-0.9904142,2.8238938,8.931981
1544786190065,63688935366339,-1.6537614,2.6295805,9.490443
1544786190085,63688955366339,-1.6628498,2.2466135,10.007907
1544786190105,63688975366339,-1.0402328,1.8323497,10.68174
1544786190125,63688995366339,-0.0845632,1.780089,11.526109
1544786190145,63689015366339,0.7231734,1.9178321,11.614597
1544786190164,63689035366339,1.1447349,2.1885781,11.056826
1544786190185,63689055366339,1.408959,2.4574566,10.100275
1544786190204,63689075366339,1.3688416,2.6181552,9.574365
1544786190224,63689095366339,1.1549534,2.7212017,9.825995
1544786190247,63689115366339,0.6148884,2.6704066,10.308092
1544786190265,63689135366339,-0.15407167,2.5703478,10.301417
1544786190285,63689155366339,-0.99437904,2.4708352,9.920394
1544786190305,63689175366339,-1.8279442,1.9712613,9.472103
1544786190326,63689195366339,-2.0476458,1.0014083,10.114802
1544786190346,63689215366339,-0.92114514,0.7017788,11.508737
1544786190364,63689235366339,0.55298394,1.0139157,12.304894
1544786190386,63689255366339,1.1857237,1.4018817,11.658154
1544786190406,63689275366339,1.1618295,1.8246115,10.202268
1544786190426,63689295366339,0.92714983,2.0927143,8.59777
1544786190446,63689315366339,0.8001422,2.1132948,7.836184
1544786190466,63689335366339,0.77291536,1.922247,8.030823
1544786190485,63689355366339,0.81351143,1.542134,8.629651
1544786190512,63689375366339,0.9021256,1.266686,8.951193
1544786190524,63689395366339,1.266935,1.2561132,8.630254
1544786190544,63689415366339,1.6785173,1.4144177,8.119523
1544786190564,63689435366339,1.61351,1.5523717,7.764377
1544786190584,63689455366339,1.5347407,1.6936295,7.976302
1544786190604,63689475366339,1.6786324,1.896179,8.681442
