adress,advertisingSid,bond,name,primaryPhy,rssi,secondaryPhy,time,txPower,type
E9:61:36:C9:0F:41,255,10,NA,1,-95,0,1544786189353,127,0
E0:7E:D7:0C:57:E5,255,10,NA,1,-97,0,1544786189355,127,0
0A:85:A5:B0:C6:E2,255,10,NA,1,-91,0,1544786191384,127,0
37:65:C1:E9:E6:4E,255,10,NA,1,-81,0,1544786191390,127,0
40:16:3B:51:C8:CF,255,10,NA,1,-92,0,1544786191393,127,0
E9:61:36:C9:0F:41,255,10,NA,1,-95,0,1544786191397,127,0
05:23:C2:0E:30:F9,255,10,NA,1,-92,0,1544786193412,127,0
E0:7E:D7:0C:57:E5,255,10,NA,1,-98,0,1544786199371,127,0
57:A4:9E:6D:91:D6,255,10,NA,1,-84,0,1544786199378,127,0
CE:76:A2:01:AA:EC,255,10,NOTCH 28.,1,-88,0,1544786199383,127,2
D7:CC:F4:C7:A0:7F,255,10,NA,1,-84,0,1544786199386,127,0
74:28:FA:4C:01:5B,255,10,NA,1,-89,0,1544786199390,127,0
1A:0D:CE:BD:0B:74,255,10,NA,1,-76,0,1544786201635,127,0
06:B9:23:18:43:A6,255,10,NA,1,-74,0,1544786201639,127,0
37:65:C1:E9:E6:4E,255,10,NA,1,-66,0,1544786201646,127,0
05:23:C2:0E:30:F9,255,10,NA,1,-76,0,1544786201650,127,0
CC:E9:82:5A:D4:C0,255,10,NA,1,-88,0,1544786201654,127,0
00:AE:10:EE:7E:47,255,10,NA,1,-87,0,1544786201658,127,0
F4:7F:14:7E:51:25,255,10,NA,1,-97,0,1544786201662,127,0
ED:BF:FB:2D:A4:ED,255,10,NA,1,-93,0,1544786201665,127,0
EC:C5:2D:90:1E:EE,255,10,NA,1,-88,0,1544786201669,127,0
40:16:3B:52:CF:59,255,10,NA,1,-85,0,1544786201674,127,0
EE:67:62:DF:C7:8C,255,10,NA,1,-83,0,1544786201677,127,0
CE:76:A2:01:AA:EC,255,10,NOTCH 28.,1,-77,0,1544786201682,127,2
57:A4:9E:6D:91:D6,255,10,NA,1,-84,0,1544786201688,127,0
C8:28:32:2E:06:2B,255,10,ISIMIBOX,1,-69,0,1544786201693,127,3
EC:4F:7D:A8:4A:F7,255,10,NA,1,-96,0,1544786201703,127,2
54:D1:86:76:89:93,255,10,NA,1,-87,0,1544786201712,127,2
CD:EA:83:5B:D5:C1,255,10,NA,1,-85,0,1544786201715,127,0
C2:2F:B1:67:E8:B8,255,10,NA,1,-90,0,1544786201719,127,0
5C:E3:28:FE:0E:EE,255,10,NA,1,-91,0,1544786201727,127,2
17:B5:97:3E:1D:28,255,10,NA,1,-75,0,1544786201730,127,0
C7:97:DE:46:41:55,255,10,NA,1,-85,0,1544786201733,127,0
1C:5B:70:3E:35:BD,255,10,NA,1,-87,0,1544786201736,127,0
6B:4A:BA:3D:69:05,255,10,NA,1,-78,0,1544786201739,127,0
E1:7F:D8:0D:58:E6,255,10,NA,1,-80,0,1544786201742,127,0
CE:4D:A4:3A:1C:E5,255,10,NA,1,-81,0,1544786201745,127,0
F4:C3:B2:24:DA:77,255,10,NA,1,-82,0,1544786201747,127,0
1F:B0:09:08:F2:F9,255,10,NA,1,-72,0,1544786201750,127,0
0B:B1:03:5C:57:D1,255,10,NA,1,-77,0,1544786201753,127,0
35:AF:9E:37:AD:59,255,10,NA,1,-87,0,1544786201756,127,0
1A:0D:CE:BD:0B:74,255,10,NA,1,-74,0,1544786201758,127,0
F8:EC:C7:AA:08:12,255,10,NA,1,-91,0,1544786201760,127,0
06:B9:23:18:43:A6,255,10,NA,1,-76,0,1544786201763,127,0
16:33:2C:E0:45:21,255,10,NA,1,-88,0,1544786201766,127,0
37:65:C1:E9:E6:4E,255,10,NA,1,-59,0,1544786201772,127,0
EC:BE:FA:2C:A3:EC,255,10,NA,1,-91,0,1544786201774,127,0
05:23:C2:0E:30:F9,255,10,NA,1,-75,0,1544786201776,127,0
E9:61:36:C9:0F:41,255,10,NA,1,-86,0,1544786201779,127,0
C6:E6:58:A5:89:CC,255,10,NA,1,-84,0,1544786201781,127,0
F4:4F:1B:B1:72:0F,255,10,NA,1,-89,0,1544786201783,127,0
F4:0F:24:3A:4F:5A,255,10,NA,1,-84,0,1544786201790,127,2
D7:31:A2:AC:97:DE,255,10,NA,1,-90,0,1544786201794,127,0
C5:E5:57:A4:88:CB,255,10,NA,1,-87,0,1544786201795,127,0
D7:CC:F4:C7:A0:7F,255,10,NA,1,-84,0,1544786201797,127,0
EE:67:62:DF:C7:8C,255,10,NA,1,-94,0,1544786201801,127,0
CD:EA:83:5B:D5:C1,255,10,NA,1,-89,0,1544786201804,127,0
E8:60:35:C8:0E:40,255,10,NA,1,-91,0,1544786201807,127,0
68:16:DD:A0:68:AE,255,10,NA,1,-87,0,1544786201812,127,2
17:B5:97:3E:1D:28,255,10,NA,1,-74,0,1544786201814,127,0
CE:4D:A4:3A:1C:E5,255,10,NA,1,-87,0,1544786201817,127,0
E1:7F:D8:0D:58:E6,255,10,NA,1,-85,0,1544786201818,127,0
CE:82:88:50:8C:57,255,10,NA,1,-96,0,1544786201820,127,0
CF:96:80:00:46:A7,255,10,NA,1,-86,0,1544786201822,127,0
06:B9:23:18:43:A6,255,10,NA,1,-80,0,1544786201840,127,0
05:23:C2:0E:30:F9,255,10,NA,1,-74,0,1544786201845,127,0
37:65:C1:E9:E6:4E,255,10,NA,1,-61,0,1544786201854,127,0
CE:47:4A:85:09:51,255,10,NA,1,-77,0,1544786201856,127,0
C6:E6:58:A5:89:CC,255,10,NA,1,-88,0,1544786201858,127,0
ED:BF:FB:2D:A4:ED,255,10,NA,1,-86,0,1544786201866,127,0
E3:71:19:23:AA:80,255,10,NA,1,-88,0,1544786201873,127,0
D7:CC:F4:C7:A0:7F,255,10,NA,1,-80,0,1544786201878,127,0
EE:67:62:DF:C7:8C,255,10,NA,1,-90,0,1544786201881,127,0
C3:C4:B0:97:BE:84,255,10,NA,1,-93,0,1544786201889,127,0
CF:80:50:DA:B9:4B,255,10,NA,1,-90,0,1544786201894,127,0
CD:EA:83:5B:D5:C1,255,10,NA,1,-80,0,1544786201897,127,0
17:B5:97:3E:1D:28,255,10,NA,1,-70,0,1544786201903,127,0
EC:E5:0D:CA:94:E2,255,10,NA,1,-87,0,1544786201916,127,2
C2:2F:B1:67:E8:B8,255,10,NA,1,-91,0,1544786201919,127,0
35:3A:F6:58:95:74,255,10,NA,1,-87,0,1544786201922,127,0
C7:97:DE:46:41:55,255,10,NA,1,-92,0,1544786201926,127,0
F0:EB:A1:DA:08:8E,255,10,NA,1,-97,0,1544786201929,127,0
C0:CC:34:EC:D6:CE,255,10,NA,1,-87,0,1544786201933,127,0
CE:76:A2:01:AA:EC,255,10,NOTCH 28.,1,-82,0,1544786201938,127,2
E1:7F:D8:0D:58:E6,255,10,NA,1,-77,0,1544786201941,127,0
F4:C3:B2:24:DA:77,255,10,NA,1,-83,0,1544786201944,127,0
CF:96:80:00:46:A7,255,10,NA,1,-83,0,1544786201947,127,0
C8:28:32:2E:06:2B,255,10,ISIMIBOX,1,-75,0,1544786201952,127,3
35:AF:9E:37:AD:59,255,10,NA,1,-90,0,1544786201955,127,0
CD:4C:A3:39:1B:E4,255,10,NA,1,-86,0,1544786201957,127,0
F8:EC:C7:AA:08:12,255,10,NA,1,-85,0,1544786201959,127,0
16:33:2C:E0:45:21,255,10,NA,1,-87,0,1544786201962,127,0
1A:0D:CE:BD:0B:74,255,10,NA,1,-75,0,1544786201965,127,0
37:65:C1:E9:E6:4E,255,10,NA,1,-62,0,1544786201968,127,0
D7:FC:7B:7C:67:2E,255,10,NA,1,-94,0,1544786201973,127,0
EE:97:58:42:6F:25,255,10,NA,1,-86,0,1544786201976,127,0
05:23:C2:0E:30:F9,255,10,NA,1,-77,0,1544786201978,127,0
2A:A0:DA:AA:F3:B4,255,10,NA,1,-79,0,1544786201980,127,0
CE:47:4A:85:09:51,255,10,NA,1,-77,0,1544786201983,127,0
C6:E6:58:A5:89:CC,255,10,NA,1,-88,0,1544786201986,127,0
6B:4A:BA:3D:69:05,255,10,NA,1,-81,0,1544786201989,127,0
E9:61:36:C9:0F:41,255,10,NA,1,-88,0,1544786201992,127,0
ED:BF:FB:2D:A4:ED,255,10,NA,1,-84,0,1544786201994,127,0
EE:67:62:DF:C7:8C,255,10,NA,1,-87,0,1544786201997,127,0
68:16:DD:A0:68:AE,255,10,NA,1,-89,0,1544786202005,127,2
D7:CC:F4:C7:A0:7F,255,10,NA,1,-84,0,1544786202008,127,0
2F:50:29:73:04:6A,255,10,NA,1,-84,0,1544786202010,127,0
F8:00:2F:91:50:5B,255,10,NA,1,-95,0,1544786202013,127,0
CD:EA:83:5B:D5:C1,255,10,NA,1,-83,0,1544786202017,127,0
17:B5:97:3E:1D:28,255,10,NA,1,-72,0,1544786202020,127,0
EC:DC:D3:18:77:9B,255,10,NA,1,-97,0,1544786202027,127,2
EC:10:63:63:0D:9E,255,10,NA,1,-96,0,1544786202036,127,2
CE:95:7F:FF:45:A6,255,10,NA,1,-96,0,1544786202038,127,0
CD:46:49:84:08:50,255,10,NA,1,-86,0,1544786202041,127,0
CE:4D:A4:3A:1C:E5,255,10,NA,1,-89,0,1544786202043,127,0
1F:B0:09:08:F2:F9,255,10,NA,1,-71,0,1544786202046,127,0
