timeMillis,timeNanos,x,y,z
1544786189344,63688219826339,25.75,-9.125,-38.8125
1544786189364,63688239826339,25.625,-9.0625,-39.4375
1544786189385,63688259826339,25.1875,-9.0,-39.625
1544786189404,63688279826339,25.0,-8.6875,-39.5625
1544786189424,63688299826339,25.0625,-8.625,-39.25
1544786189445,63688319826339,24.875,-8.4375,-39.0
1544786189464,63688339826339,24.75,-8.3125,-38.9375
1544786189484,63688359826339,24.75,-8.375,-38.875
1544786189503,63688379826339,24.375,-8.3125,-38.8125
1544786189524,63688399826339,24.125,-8.3125,-38.625
1544786189544,63688419826339,24.0,-8.1875,-38.3125
1544786189564,63688439826339,24.0,-8.0,-38.0625
1544786189584,63688459826339,23.875,-8.0,-37.8125
1544786189604,63688479826339,23.6875,-8.0625,-37.875
1544786189625,63688499826339,23.5625,-8.0625,-37.9375
1544786189644,63688519826339,23.625,-8.0,-37.875
1544786189664,63688539826339,23.5625,-7.9375,-37.6875
1544786189684,63688559826339,23.8125,-7.9375,-37.875
1544786189704,63688579826339,23.6875,-7.875,-38.0
1544786189724,63688599826339,23.75,-7.9375,-38.0625
1544786189744,63688619826339,23.5625,-8.25,-38.25
1544786189764,63688639826339,23.3125,-8.1875,-38.5
1544786189784,63688659826339,23.125,-8.0,-38.75
1544786189804,63688679826339,23.0,-8.125,-38.9375
1544786189824,63688699826339,22.9375,-8.3125,-39.0625
1544786189844,63688719826339,22.875,-8.375,-39.1875
1544786189865,63688739826339,22.75,-8.5,-39.125
1544786189885,63688759826339,22.75,-8.75,-39.25
1544786189904,63688779826339,22.5625,-8.8125,-39.25
1544786189924,63688799826339,22.8125,-8.625,-39.1875
1544786189944,63688819826339,22.9375,-8.9375,-39.0625
1544786189964,63688839826339,22.9375,-9.1875,-38.875
1544786189984,63688859826339,23.0,-9.25,-38.625
1544786190004,63688879826339,22.9375,-9.1875,-38.75
1544786190024,63688899826339,22.875,-9.25,-38.8125
1544786190044,63688919826339,22.9375,-9.0625,-38.75
1544786190064,63688939826339,23.0,-8.8125,-38.5625
1544786190084,63688959826339,23.0,-8.625,-38.5625
1544786190104,63688979826339,22.625,-8.375,-38.8125
1544786190124,63688999826339,22.125,-7.875,-39.1875
1544786190144,63689019826339,21.8125,-7.6875,-39.4375
1544786190164,63689039826339,21.8125,-7.75,-39.4375
1544786190184,63689059826339,21.8125,-8.0,-39.1875
1544786190204,63689079826339,21.8125,-8.125,-39.0625
1544786190224,63689099826339,22.0,-8.4375,-38.875
1544786190245,63689119826339,22.125,-8.8125,-38.9375
1544786190264,63689139826339,22.1875,-9.1875,-38.6875
1544786190284,63689159826339,22.5625,-9.5625,-38.3125
1544786190305,63689179826339,23.125,-9.6875,-37.9375
1544786190325,63689199826339,23.0625,-9.5625,-37.875
1544786190346,63689219826339,22.9375,-9.4375,-38.25
1544786190364,63689239826339,22.625,-9.375,-38.0625
1544786190385,63689259826339,22.75,-9.5,-37.875
1544786190405,63689279826339,22.9375,-9.75,-37.625
1544786190425,63689299826339,23.3125,-10.0625,-37.0625
1544786190445,63689319826339,23.8125,-10.3125,-36.75
1544786190465,63689339826339,23.875,-10.1875,-36.6875
1544786190484,63689359826339,23.875,-10.25,-36.5625
1544786190512,63689379826339,24.0,-10.25,-36.4375
1544786190524,63689399826339,23.75,-10.3125,-36.3125
1544786190544,63689419826339,23.625,-10.4375,-36.5625
1544786190564,63689439826339,23.5625,-10.5625,-36.625
1544786190584,63689459826339,23.625,-10.3125,-36.5625
1544786190604,63689479826339,23.625,-10.0,-36.75
1544786190624,63689499826339,23.5,-9.6875,-36.8125
1544786190644,63689519826339,23.6875,-9.5,-36.75
1544786190664,63689539826339,23.5625,-9.125,-36.625
1544786190685,63689559826339,23.375,-8.875,-36.75
1544786190705,63689579826339,23.375,-8.5625,-36.6875
1544786190725,63689599826339,23.5625,-8.0625,-36.375
1544786190745,63689619826339,23.4375,-7.75,-36.3125
1544786190765,63689639826339,23.1875,-7.5,-36.375
1544786190785,63689659826339,23.125,-7.0,-36.5
1544786190805,63689679826339,23.25,-6.75,-36.5625
1544786190825,63689699826339,23.0,-6.5,-36.75
1544786190845,63689719826339,23.125,-6.0625,-37.0
1544786190864,63689739826339,23.25,-5.8125,-36.9375
1544786190885,63689759826339,23.1875,-5.5,-37.125
1544786190905,63689779826339,23.0,-5.3125,-37.375
1544786190924,63689799826339,23.125,-4.875,-37.3125
1544786190944,63689819826339,23.125,-4.625,-37.1875
1544786190964,63689839826339,23.0,-4.5,-37.125
1544786190984,63689859826339,22.875,-4.3125,-37.1875
1544786191005,63689879826339,23.0625,-4.3125,-37.125
