timeMillis,timeNanos,value
1544786189405,63688279826339,1026.94
1544786189485,63688359826339,1026.9429
1544786189566,63688439826339,1026.9341
1544786189646,63688519826339,1026.9238
1544786189725,63688599826339,1026.9214
1544786189806,63688679826339,1026.9272
1544786189886,63688759826339,1026.9287
1544786189965,63688839826339,1026.9243
1544786190047,63688919826339,1026.9214
1544786190126,63688999826339,1026.9175
1544786190206,63689079826339,1026.939
1544786190286,63689159826339,1026.9307
1544786190365,63689239826339,1026.9336
1544786190448,63689319826339,1026.939
1544786190525,63689399826339,1026.9277
1544786190605,63689479826339,1026.9194
1544786190688,63689559826339,1026.9199
1544786190769,63689639826339,1026.916
1544786190849,63689719826339,1026.9263
1544786190925,63689799826339,1026.9287
1544786191008,63689879826339,1026.9194
1544786191089,63689959826339,1026.9312
1544786191168,63690039826339,1026.9248
1544786191248,63690119826339,1026.9062
1544786191326,63690199826339,1026.8945
1544786191408,63690279826339,1026.9126
1544786191486,63690359826339,1026.918
1544786191566,63690439826339,1026.9106
1544786191648,63690519826339,1026.9214
1544786191728,63690599826339,1026.9307
1544786191808,63690679826339,1026.9141
1544786191889,63690759826339,1026.9043
1544786191968,63690839826339,1026.9062
1544786192048,63690919826339,1026.9062
1544786192127,63690999826339,1026.9087
1544786192208,63691079826339,1026.9023
1544786192286,63691159826339,1026.9204
1544786192365,63691239826339,1026.9243
1544786192446,63691319826339,1026.9155
1544786192525,63691399826339,1026.9326
1544786192605,63691479826339,1026.935
1544786192686,63691559826339,1026.9321
1544786192766,63691639826339,1026.937
1544786192849,63691719826339,1026.9136
1544786192926,63691799826339,1026.9199
1544786193008,63691879826339,1026.9121
1544786193089,63691959826339,1026.9155
1544786193167,63692039826339,1026.9272
1544786193248,63692119826339,1026.9414
1544786193325,63692199826339,1026.9482
1544786193405,63692279826339,1026.9492
1544786193486,63692359826339,1026.9292
1544786193565,63692439826339,1026.9102
1544786193645,63692519826339,1026.9009
1544786193726,63692599826339,1026.9077
1544786193805,63692679826339,1026.9326
1544786193885,63692759826339,1026.9468
1544786193966,63692839826339,1026.9551
1544786194046,63692919826339,1026.9512
1544786194125,63692999826339,1026.9243
1544786194206,63693079826339,1026.9077
1544786194287,63693159826339,1026.9077
1544786194365,63693239826339,1026.9263
1544786194446,63693319826339,1026.9453
1544786194527,63693399826339,1026.9565
1544786194605,63693479826339,1026.9434
1544786194716,63693559826339,1026.9233
1544786194766,63693639826339,1026.9111
1544786194845,63693719826339,1026.9053
1544786194926,63693799826339,1026.9146
1544786195005,63693879826339,1026.9355
1544786195090,63693959826339,1026.9658
1544786195166,63694039826339,1026.977
1544786195246,63694119826339,1026.9473
1544786195326,63694199826339,1026.917
1544786195405,63694279826339,1026.9175
1544786195492,63694359826339,1026.9272
1544786195565,63694439826339,1026.9438
1544786195646,63694519826339,1026.9658
1544786195725,63694599826339,1026.9683
1544786195805,63694679826339,1026.9438
1544786195886,63694759826339,1026.9136
1544786195965,63694839826339,1026.9136
1544786196047,63694919826339,1026.9175
1544786196125,63694999826339,1026.9434
1544786196205,63695079826339,1026.9604
1544786196285,63695159826339,1026.9424
1544786196366,63695239826339,1026.9219
1544786196445,63695319826339,1026.8994
1544786196526,63695399826339,1026.9268
1544786196610,63695479826339,1026.9077
1544786196686,63695559826339,1026.9302
1544786196765,63695639826339,1026.958
1544786196845,63695719826339,1026.9565
1544786196925,63695799826339,1026.9263
1544786197006,63695879826339,1026.9048
1544786197085,63695959826339,1026.9121
1544786197166,63696039826339,1026.9155
1544786197245,63696119826339,1026.9287
1544786197326,63696199826339,1026.9565
1544786197405,63696279826339,1026.9565
1544786197487,63696359826339,1026.9268
1544786197566,63696439826339,1026.8965
1544786197645,63696519826339,1026.9077
1544786197725,63696599826339,1026.9243
1544786197806,63696679826339,1026.9546
1544786197886,63696759826339,1026.9521
1544786197967,63696839826339,1026.9453
1544786198045,63696919826339,1026.9365
1544786198125,63696999826339,1026.9072
1544786198205,63697079826339,1026.9126
1544786198285,63697159826339,1026.9058
1544786198365,63697239826339,1026.9355
1544786198496,63697319826339,1026.9585
1544786198525,63697399826339,1026.9551
1544786198605,63697479826339,1026.9248
1544786198686,63697559826339,1026.9126
1544786198765,63697639826339,1026.915
1544786198845,63697719826339,1026.9009
1544786198925,63697799826339,1026.9312
1544786199006,63697879826339,1026.9365
1544786199085,63697959826339,1026.9424
1544786199165,63698039826339,1026.915
1544786199245,63698119826339,1026.9097
1544786199333,63698199826339,1026.918
1544786199406,63698279826339,1026.9243
1544786199485,63698359826339,1026.9253
1544786199565,63698439826339,1026.9507
1544786199648,63698519826339,1026.9741
1544786199726,63698599826339,1026.9585
1544786199805,63698679826339,1026.9287
1544786199885,63698759826339,1026.9019
1544786199965,63698839826339,1026.9004
1544786200045,63698919826339,1026.9194
1544786200125,63698999826339,1026.9492
1544786200206,63699079826339,1026.9448
1544786200377,63699159826339,1026.9404
1544786200377,63699239826339,1026.9102
1544786200446,63699319826339,1026.9043
1544786200525,63699399826339,1026.9019
1544786200605,63699479826339,1026.9307
1544786200685,63699559826339,1026.9531
1544786200765,63699639826339,1026.9536
1544786200846,63699719826339,1026.9331
1544786200926,63699799826339,1026.9028
1544786201005,63699879826339,1026.9077
1544786201085,63699959826339,1026.9019
1544786201165,63700039826339,1026.9287
1544786201245,63700119826339,1026.9585
1544786201326,63700199826339,1026.958
1544786201405,63700279826339,1026.9277
1544786201485,63700359826339,1026.898
1544786201565,63700439826339,1026.9067
1544786201646,63700519826339,1026.8989
1544786201728,63700599826339,1026.9199
1544786201807,63700679826339,1026.9404
1544786201885,63700759826339,1026.9424
1544786201968,63700839826339,1026.9165
1544786202046,63700919826339,1026.9019
1544786202126,63700999826339,1026.9185
1544786202238,63701079826339,1026.9019
1544786202286,63701159826339,1026.9258
1544786202365,63701239826339,1026.956
1544786202445,63701319826339,1026.9517
1544786202527,63701399826339,1026.9321
1544786202608,63701479826339,1026.917
1544786202687,63701559826339,1026.9272
1544786202765,63701639826339,1026.9165
1544786202847,63701719826339,1026.9219
1544786202927,63701799826339,1026.9517
1544786203005,63701879826339,1026.9683
1544786203088,63701959826339,1026.9385
1544786203169,63702039826339,1026.9082
1544786203245,63702119826339,1026.9199
1544786203325,63702199826339,1026.9092
1544786203407,63702279826339,1026.9238
1544786203491,63702359826339,1026.9536
1544786203567,63702439826339,1026.9727
1544786203645,63702519826339,1026.9463
1544786203727,63702599826339,1026.9165
1544786203807,63702679826339,1026.9131
1544786203886,63702759826339,1026.9009
1544786203966,63702839826339,1026.9141
1544786204152,63702919826339,1026.9443
1544786204152,63702999826339,1026.9614
1544786204207,63703079826339,1026.9453
1544786204287,63703159826339,1026.915
1544786204378,63703239841964,1026.917
1544786204445,63703319826339,1026.9253
1544786204526,63703399826339,1026.9277
1544786204605,63703479826339,1026.957
1544786204685,63703559826339,1026.9595
1544786204765,63703639826339,1026.9585
1544786204846,63703719826339,1026.9341
1544786204925,63703799826339,1026.9165
1544786205005,63703879826339,1026.9126
1544786205085,63703959826339,1026.918
1544786205165,63704039826339,1026.9482
1544786205245,63704119826339,1026.9746
1544786205325,63704199826339,1026.956
1544786205405,63704279826339,1026.9258
1544786205490,63704359826339,1026.9165
1544786205565,63704439826339,1026.917
1544786205645,63704519826339,1026.9243
1544786205725,63704599826339,1026.9546
1544786205960,63704679826339,1026.9785
1544786205960,63704759826339,1026.9678
1544786205973,63704839826339,1026.9375
1544786206127,63704919826339,1026.9263
1544786206127,63704999826339,1026.9346
1544786206207,63705079826339,1026.9331
1544786206347,63705159826339,1026.9614
1544786206455,63705239826339,1026.9521
1544786206455,63705319826339,1026.9429
1544786206539,63705399826339,1026.9126
1544786206623,63705479826339,1026.9209
1544786206685,63705559826339,1026.9194
1544786206765,63705639826339,1026.9404
1544786206845,63705719826339,1026.9639
1544786206925,63705799826339,1026.9722
1544786207005,63705879826339,1026.9497
1544786207085,63705959826339,1026.9194
1544786207165,63706039826339,1026.9233
1544786207245,63706119826339,1026.9214
1544786207325,63706199826339,1026.9238
1544786207406,63706279826339,1026.9507
1544786207485,63706359826339,1026.9707
1544786207565,63706439826339,1026.9404
1544786207645,63706519826339,1026.9136
1544786207725,63706599826339,1026.9214
1544786207805,63706679826339,1026.9092
1544786207885,63706759826339,1026.9346
1544786207965,63706839826339,1026.9644
1544786208045,63706919826339,1026.9492
1544786208125,63706999826339,1026.9336
1544786208206,63707079826339,1026.9097
1544786208286,63707159826339,1026.9141
1544786208365,63707239826339,1026.9126
1544786208446,63707319826339,1026.9272
1544786208525,63707399826339,1026.957
1544786208606,63707479826339,1026.9756
1544786208686,63707559826339,1026.9458
1544786208766,63707639826339,1026.9155
1544786208845,63707719826339,1026.9067
1544786208925,63707799826339,1026.9229
1544786209005,63707879826339,1026.9146
