bssid,frequency,legit,rss,ssid,timestamp,wifiNo
56:13:79:77:bf:42,2437,true,-75,DIRECT-42-HP visoft,63689933790,1
90:9f:33:10:83:bc,5805,true,-84,iptime_dblab_5G,63691685413,2
18:31:bf:46:ff:dc,5785,true,-83,KECI_5G,63691685404,2
2c:56:dc:84:dd:8c,5785,true,-70,ISILAB_5,63691685399,2
9c:d6:43:c8:11:82,5765,true,-93,JoyK,63691685395,2
6c:70:9f:e0:92:7f,5745,true,-75,HCIL,63691685390,2
6e:7f:92:e0:9f:70,5745,true,-74,HCIL guest,63691685385,2
00:24:6c:7d:f6:00,2472,true,-85,Welcome_KAIST,63691685381,2
aa:40:a0:56:08:f5,2472,true,-85,,63691685376,2
00:24:6c:7d:f3:e1,2472,true,-85,eduroam,63691685372,2
00:24:6c:7d:f3:e0,2472,true,-84,Welcome_KAIST,63691685369,2
00:24:6c:7d:f5:01,2472,true,-76,eduroam,63691685365,2
00:24:6c:7d:f6:81,2472,true,-81,eduroam,63691685361,2
00:24:6c:7d:f5:00,2472,true,-76,Welcome_KAIST,63691685358,2
00:24:6c:7d:f5:80,2452,true,-60,Welcome_KAIST,63691685354,2
f8:32:e4:50:8c:38,2452,true,-80,ASUS_00_2G,63691685351,2
00:26:66:18:15:7c,2452,true,-82,ISILab-8F,63691685347,2
10:da:43:95:44:de,5260,true,-91,JKR-R7000-5G,63691685342,2
a0:40:a0:56:08:f7,5240,true,-86,NMSL_N1_721,63691685337,2
00:24:6c:7d:f5:91,5240,true,-48,eduroam,63691685333,2
00:24:6c:7d:f5:90,5240,true,-48,Welcome_KAIST,63691685329,2
00:24:6c:7d:f5:11,5180,true,-78,eduroam,63691685322,2
00:24:6c:7d:f5:10,5180,true,-76,Welcome_KAIST,63691685319,2
00:24:6c:7d:f6:71,5180,true,-71,eduroam,63691685315,2
00:24:6c:7d:f6:70,5180,true,-72,Welcome_KAIST,63691685311,2
88:36:6c:41:85:5e,5745,true,-79,iptime5G,63691685304,2
00:24:6c:7d:f3:11,5745,true,-95,eduroam,63691685300,2
00:24:6c:7d:f3:10,5745,true,-93,Welcome_KAIST,63691685295,2
24:a0:74:79:6f:6b,5745,true,-85,dleehub,63691685287,2
56:13:79:77:bf:42,2437,true,-75,DIRECT-42-HP visoft,63691685279,2
64:e5:99:da:03:6c,5240,true,-87,WCSL 5GHz,63691685274,2
00:24:6c:7d:f6:91,5220,true,-83,eduroam,63691685268,2
00:24:6c:7d:f6:90,5220,true,-84,Welcome_KAIST,63691685262,2
00:24:6c:7d:f4:91,5200,true,-71,eduroam,63691685258,2
00:24:6c:7d:f4:90,5200,true,-71,Welcome_KAIST,63691685241,2
60:38:e0:bb:ee:02,5805,true,-78,Lapras_5GHz,63693497407,3
18:31:bf:46:ff:dc,5785,true,-78,KECI_5G,63693497401,3
2c:56:dc:84:dd:8c,5785,true,-59,ISILAB_5,63693497396,3
6c:70:9f:e0:92:7f,5745,true,-74,HCIL,63693497391,3
6e:7f:92:e0:9f:70,5745,true,-74,HCIL guest,63693497387,3
88:36:6c:41:85:5e,5745,true,-84,iptime5G,63693497383,3
56:13:79:77:bf:42,2437,true,-67,DIRECT-42-HP visoft,63693497378,3
64:e5:99:da:03:6c,5240,true,-84,WCSL 5GHz,63693497375,3
a0:40:a0:56:08:f7,5240,true,-86,NMSL_N1_721,63693497370,3
00:24:6c:7d:f5:91,5240,true,-62,eduroam,63693497366,3
00:24:6c:7d:f5:90,5240,true,-48,Welcome_KAIST,63693497362,3
00:24:6c:7d:f6:91,5220,true,-79,eduroam,63693497359,3
00:24:6c:7d:f6:90,5220,true,-81,Welcome_KAIST,63693497354,3
00:24:6c:7d:f5:11,5180,true,-84,eduroam,63693497349,3
00:24:6c:7d:f5:10,5180,true,-83,Welcome_KAIST,63693497346,3
00:24:6c:7d:f6:71,5180,true,-73,eduroam,63693497341,3
00:24:6c:7d:f6:70,5180,true,-74,Welcome_KAIST,63693497337,3
90:9f:33:10:83:bc,5805,true,-84,iptime_dblab_5G,63693497332,3
9c:d6:43:c8:11:82,5765,true,-93,JoyK,63693497327,3
00:24:6c:7d:f6:00,2472,true,-85,Welcome_KAIST,63693497322,3
aa:40:a0:56:08:f5,2472,true,-85,,63693497316,3
00:24:6c:7d:f3:e1,2472,true,-85,eduroam,63693497311,3
00:24:6c:7d:f3:e0,2472,true,-84,Welcome_KAIST,63693497306,3
00:24:6c:7d:f5:01,2472,true,-76,eduroam,63693497303,3
00:24:6c:7d:f6:81,2472,true,-81,eduroam,63693497300,3
00:24:6c:7d:f5:00,2472,true,-76,Welcome_KAIST,63693497296,3
00:24:6c:7d:f5:80,2452,true,-60,Welcome_KAIST,63693497291,3
f8:32:e4:50:8c:38,2452,true,-80,ASUS_00_2G,63693497287,3
00:26:66:18:15:7c,2452,true,-82,ISILab-8F,63693497282,3
10:da:43:95:44:de,5260,true,-91,JKR-R7000-5G,63693497277,3
00:24:6c:7d:f3:11,5745,true,-95,eduroam,63693497273,3
00:24:6c:7d:f3:10,5745,true,-93,Welcome_KAIST,63693497266,3
24:a0:74:79:6f:6b,5745,true,-85,dleehub,63693497251,3
00:24:6c:7d:f4:91,5200,false,-71,eduroam,63691685258,3
00:24:6c:7d:f4:90,5200,false,-71,Welcome_KAIST,63691685241,3
90:9f:33:10:83:bc,5805,true,-77,iptime_dblab_5G,63695305610,4
60:38:e0:bb:ee:02,5805,true,-77,Lapras_5GHz,63695305604,4
62:45:b4:ee:da:63,5785,true,-77,,63695305600,4
2c:56:dc:84:dd:8c,5785,true,-62,ISILAB_5,63695305595,4
18:31:bf:46:ff:dc,5785,true,-70,KECI_5G,63695305589,4
a0:40:a0:56:08:f8,5765,true,-78,,63695305584,4
6c:70:9f:e0:92:7f,5745,true,-70,HCIL,63695305579,4
6e:7f:92:e0:9f:70,5745,true,-69,HCIL guest,63695305574,4
00:24:6c:7d:f6:01,2472,true,-91,eduroam,63695305569,4
aa:40:a0:56:08:f5,2472,true,-81,,63695305564,4
00:24:6c:7d:f6:00,2472,true,-86,Welcome_KAIST,63695305561,4
00:24:6c:7a:88:e0,2472,true,-95,Welcome_KAIST,63695305552,4
a6:40:a0:56:08:f5,2472,true,-83,NMSL_N1_721,63695305547,4
00:24:6c:7d:f5:00,2472,true,-85,Welcome_KAIST,63695305543,4
00:24:6c:7e:08:61,2472,true,-92,eduroam,63695305538,4
00:24:6c:7a:88:e1,2472,true,-93,eduroam,63695305534,4
8a:36:6c:c9:4e:70,2472,true,-94,MLILAB824_2,63695305529,4
00:24:6c:7d:f6:81,2472,true,-70,eduroam,63695305526,4
00:24:6c:7d:f6:80,2472,true,-69,Welcome_KAIST,63695305521,4
00:24:6c:7e:08:60,2472,true,-92,Welcome_KAIST,63695305515,4
30:b5:c2:bd:d2:8d,2462,true,-96,CYBSER_SEC_TESTBED_2.4G,63695305512,4
18:31:bf:46:ff:d8,2457,true,-78,KECI,63695305508,4
78:54:2e:4c:f1:50,2457,true,-103,iDBLab-2.4GHz,63695305502,4
90:9f:33:10:83:be,2452,true,-77,iptime_dblab,63695305497,4
00:24:6c:7d:f5:81,2452,true,-64,eduroam,63695305492,4
00:24:6c:7d:f5:80,2452,true,-65,Welcome_KAIST,63695305484,4
96:53:30:29:0e:90,2437,true,-68,DIRECT-90-HP M477 LaserJet,63695305479,4
56:13:79:77:bf:42,2437,true,-81,DIRECT-42-HP visoft,63695305475,4
00:24:6c:7d:f2:e1,2432,true,-80,eduroam,63695305471,4
00:24:6c:7d:f2:e0,2432,true,-84,Welcome_KAIST,63695305466,4
10:da:43:95:44:e1,2437,true,-86,JKR-R7000,63695305462,4
00:24:6c:7d:f6:11,5240,true,-84,eduroam,63695305459,4
00:24:6c:7d:f4:81,2432,true,-79,eduroam,63695305455,4
64:e5:99:da:03:6c,5240,true,-79,WCSL 5GHz,63695305451,4
00:24:6c:7d:f5:91,5240,true,-66,eduroam,63695305446,4
00:24:6c:7d:f5:90,5240,true,-48,Welcome_KAIST,63695305442,4
2c:56:dc:84:dd:88,2417,true,-63,ISILAB_2,63695305438,4
00:24:6c:7a:8b:31,5200,true,-95,eduroam,63695305433,4
00:24:6c:7a:8b:30,5200,true,-93,Welcome_KAIST,63695305428,4
64:e5:99:e3:3a:54,2412,true,-83,HCIL-IPTIME,63695305423,4
00:24:6c:7d:f5:11,5180,true,-86,eduroam,63695305419,4
00:24:6c:7d:f5:10,5180,true,-88,Welcome_KAIST,63695305415,4
00:24:6c:7d:f6:f1,5180,true,-77,eduroam,63695305411,4
00:24:6c:7d:f6:70,5180,true,-82,Welcome_KAIST,63695305408,4
