timeMillis,timeNanos,x,y,z
1544786572339,254724786750989,-0.7721875,3.0497725,9.710815
1544786572360,254724806750989,-0.87510943,2.8653612,9.921437
1544786572381,254724826766614,-1.2093304,2.7989464,9.233411
1544786572400,254724846749427,-1.5152233,2.8704276,8.30742
1544786572420,254724866749427,-1.3397762,2.597776,10.092049
1544786572439,254724886749427,-1.038279,2.3599358,10.115598
1544786572460,254724906749427,-1.0704763,2.3167636,9.205763
1544786572480,254724926749427,-1.0678523,2.5132031,10.824004
1544786572500,254724946749427,-0.885845,2.6652253,9.745195
1544786572520,254724966749427,-1.0208589,2.6838236,9.601678
1544786572540,254724986749427,-1.1765107,2.6859686,9.343506
1544786572560,254725006749427,-0.9030833,2.8294675,9.157275
1544786572580,254725026749427,-1.0252738,2.6405363,9.309212
1544786572600,254725046749427,-1.0303782,2.5832288,9.902342
1544786572620,254725066749427,-0.71097255,2.7518668,10.0320215
1544786572640,254725086749427,-0.59197116,2.8909123,9.897438
1544786572660,254725106750989,-0.57330596,2.9699306,9.643826
1544786572680,254725126749427,-0.5788318,2.5410907,9.287463
1544786572699,254725146749427,-0.8449233,2.1684477,8.886262
1544786572720,254725166749427,-0.9851182,2.4621682,8.541257
1544786572741,254725186749427,-0.9547885,2.6597953,8.449865
1544786572761,254725206749427,-1.0045495,2.5639603,8.889049
1544786572780,254725226749427,-0.82199645,2.4969704,9.473502
1544786572801,254725246749427,-0.7153396,2.4122252,9.57513
1544786572820,254725266749427,-0.60922855,2.3559902,10.011603
1544786572840,254725286749427,-0.6605124,2.2304575,8.887487
1544786572860,254725306808802,-0.35624766,2.3514411,9.0814085
1544786572881,254725326749427,-0.19826864,2.5633953,10.341074
1544786572901,254725346749427,-0.13060848,2.626851,8.959112
1544786572921,254725366749427,-0.24643038,2.519313,9.4241905
1544786572940,254725386749427,-0.5787169,2.2875257,11.4052105
1544786572960,254725406749427,-0.4786775,2.307819,9.978229
1544786572980,254725426750989,-0.34149936,2.4864933,9.888436
1544786573000,254725446749427,-0.2652584,2.463231,9.616704
1544786573020,254725466749427,-0.160536,2.6373186,9.40181
1544786573040,254725486749427,-0.30508834,2.843124,9.723705
1544786573060,254725506749427,0.20558532,2.7705605,9.846834
1544786573080,254725526749427,1.0632937,2.4886098,8.824309
1544786573101,254725546749427,1.3763212,2.895174,9.042258
1544786573120,254725566749427,0.6454768,3.4092953,11.316156
1544786573140,254725586749427,0.24756046,3.0534499,14.538416
1544786573160,254725606749427,0.57255894,1.9272654,15.927475
1544786573180,254725626749427,0.34773386,0.85747856,14.39756
1544786573201,254725646749427,-0.63020176,0.414647,11.414519
1544786573220,254725666749427,-1.108525,0.08193915,8.883044
1544786573241,254725686749427,-0.86310977,0.0047309427,7.2507634
1544786573260,254725706749427,-0.1530278,0.65624106,6.617535
1544786573281,254725726749427,0.63750887,1.7642106,7.017702
1544786573300,254725746749427,1.3973231,2.379808,8.233774
1544786573321,254725766749427,1.5794548,2.2156231,9.642024
1544786573340,254725786749427,1.2187923,1.4998908,10.499446
1544786573361,254725806749427,0.33255464,0.3723271,10.993724
1544786573380,254725826749427,-0.7411108,-0.52315223,11.129685
1544786573401,254725846749427,-1.2249789,-0.68842876,10.579201
1544786573421,254725866749427,-0.97499555,-0.11157937,9.849248
1544786573441,254725886749427,-0.5635951,0.78329664,9.474057
1544786573461,254725906749427,-0.21947168,1.2625201,9.189549
1544786573480,254725926749427,-0.0074603325,1.5100325,8.826655
1544786573530,254725946749427,-0.14483963,1.7395216,8.494235
1544786573530,254725966750989,-0.39700654,1.93689,8.359068
1544786573540,254725986749427,-0.33831987,2.0638595,8.212092
1544786573560,254726006749427,-0.17947894,2.216638,8.053961
1544786573580,254726026749427,-0.19962855,2.315394,7.7344112
1544786573600,254726046749427,-0.35459086,2.599222,7.6990438
1544786573620,254726066749427,-0.5047648,2.5632324,7.9887424
1544786573640,254726086749427,-0.72166026,2.3712845,8.809523
1544786573661,254726106749427,-0.76816523,2.289891,9.9278345
1544786573681,254726126749427,-0.91288996,2.134967,10.215896
1544786573700,254726146749427,-1.1304367,2.0938156,10.025451
1544786573720,254726166749427,-1.2795668,2.339652,9.756698
1544786573740,254726186749427,-1.2144444,2.5765631,9.810394
1544786573760,254726206749427,-0.9311242,2.720493,9.880067
1544786573780,254726226749427,-0.9253302,2.8934503,9.516598
1544786573800,254726246749427,-1.2649046,3.0175369,8.819196
1544786573821,254726266749427,-1.3723468,2.8638961,8.049929
1544786573840,254726286749427,-1.008773,2.8652751,8.58622
1544786573861,254726306749427,-0.99196565,2.7407959,10.437024
1544786573881,254726326749427,-1.1539669,2.2146559,11.850743
1544786573900,254726346749427,-1.4311676,1.0898311,13.12689
1544786573920,254726366749427,-1.5301534,-0.101427965,13.542783
1544786573940,254726386749427,-1.8391683,-0.46525085,12.4333
1544786573960,254726406749427,-2.226148,-0.1982399,10.349424
1544786573980,254726426749427,-2.0445716,0.10151415,8.403935
1544786574001,254726446749427,-1.6328934,0.7413598,7.414891
1544786574020,254726466749427,-1.1957217,1.3730747,7.099651
1544786574040,254726486749427,-0.79278725,1.8773701,7.6229467
1544786574060,254726506749427,-0.35121983,2.0932121,8.922347
1544786574116,254726526750989,-0.26128402,1.8934784,10.562882
1544786574116,254726546750989,-1.0177082,1.3753252,11.837278
1544786574125,254726566750989,-1.6635584,0.6697253,12.046684
1544786574141,254726586750989,-2.0788374,0.52454084,10.442733
1544786574160,254726606750989,-1.9144515,0.8903749,8.408188
1544786574180,254726626750989,-1.432269,1.1320744,7.3509555
1544786574200,254726646749427,-0.75878954,1.1234169,7.581182
