adress,advertisingSid,bond,name,primaryPhy,rssi,secondaryPhy,time,txPower,type
E0:FE:13:46:36:D6,255,10,AirCube 000006A6,1,-94,0,1544786572381,127,2
15:12:16:8D:20:A8,255,10,NA,1,-93,0,1544786574405,127,0
22:49:9B:9D:12:A2,255,10,NA,1,-87,0,1544786576418,127,0
D8:E0:E1:1B:9B:65,255,10,NA,1,-91,0,1544786576422,127,0
E4:7D:BD:2C:B8:69,255,10,NA,1,-83,0,1544786576426,127,0
3E:00:BB:3D:53:31,255,10,NA,1,-87,0,1544786584637,127,0
D8:E0:E1:1B:9B:65,255,10,NA,1,-87,0,1544786584641,127,0
15:12:16:8D:20:A8,255,10,NA,1,-77,0,1544786584645,127,0
C0:48:E6:AA:DA:A5,255,10,NA,1,-87,0,1544786584657,127,0
17:B5:97:3E:1D:28,255,10,NA,1,-93,0,1544786584678,127,0
5A:F9:85:82:FC:4C,255,10,NA,1,-87,0,1544786584720,127,2
07:F9:BE:1F:FA:16,255,10,NA,1,-86,0,1544786584726,127,0
3E:00:BB:3D:53:31,255,10,NA,1,-91,0,1544786584745,127,0
22:49:9B:9D:12:A2,255,10,NA,1,-86,0,1544786584747,127,0
15:12:16:8D:20:A8,255,10,NA,1,-87,0,1544786584761,127,0
0E:D5:10:71:AD:FD,255,10,NA,1,-88,0,1544786584775,127,0
E4:7D:BD:2C:B8:69,255,10,NA,1,-90,0,1544786584813,127,0
07:F9:BE:1F:FA:16,255,10,NA,1,-86,0,1544786584816,127,0
3E:00:BB:3D:53:31,255,10,NA,1,-88,0,1544786584846,127,0
22:49:9B:9D:12:A2,255,10,NA,1,-89,0,1544786584853,127,0
15:12:16:8D:20:A8,255,10,NA,1,-81,0,1544786584859,127,0
12:CC:0B:CA:C5:B7,255,10,NA,1,-96,0,1544786584863,127,0
0E:D5:10:71:AD:FD,255,10,NA,1,-95,0,1544786584885,127,0
07:F9:BE:1F:FA:16,255,10,NA,1,-90,0,1544786584918,127,0
E4:7D:BD:2C:B8:69,255,10,NA,1,-89,0,1544786584966,127,0
22:49:9B:9D:12:A2,255,10,NA,1,-85,0,1544786584970,127,0
15:12:16:8D:20:A8,255,10,NA,1,-85,0,1544786584973,127,0
5A:F9:85:82:FC:4C,255,10,NA,1,-90,0,1544786585041,127,2
3E:00:BB:3D:53:31,255,10,NA,1,-93,0,1544786585062,127,0
22:49:9B:9D:12:A2,255,10,NA,1,-93,0,1544786585064,127,0
15:12:16:8D:20:A8,255,10,NA,1,-80,0,1544786585075,127,0
5A:E5:C3:42:20:EE,255,10,NA,1,-90,0,1544786585094,127,2
E4:7D:BD:2C:B8:69,255,10,NA,1,-98,0,1544786585096,127,0
3E:00:BB:3D:53:31,255,10,NA,1,-87,0,1544786585158,127,0
15:12:16:8D:20:A8,255,10,NA,1,-85,0,1544786585180,127,0
12:CC:0B:CA:C5:B7,255,10,NA,1,-97,0,1544786585200,127,0
62:E8:F5:31:79:CD,255,10,NA,1,-82,0,1544786585329,127,2
07:F9:BE:1F:FA:16,255,10,NA,1,-84,0,1544786585330,127,0
D8:E0:E1:1B:9B:65,255,10,NA,1,-92,0,1544786585332,127,0
3E:00:BB:3D:53:31,255,10,NA,1,-99,0,1544786585333,127,0
C0:48:E6:AA:DA:A5,255,10,NA,1,-82,0,1544786585335,127,0
0E:D5:10:71:AD:FD,255,10,NA,1,-89,0,1544786585336,127,0
49:43:11:25:C3:29,255,10,NA,1,-86,0,1544786585341,127,2
2A:34:70:8A:BB:8D,255,10,NA,1,-94,0,1544786585342,127,0
21:92:C5:30:8E:2A,255,10,NA,1,-89,0,1544786585342,127,0
07:F9:BE:1F:FA:16,255,10,NA,1,-88,0,1544786585349,127,0
3E:00:BB:3D:53:31,255,10,NA,1,-110,0,1544786585371,127,0
22:49:9B:9D:12:A2,255,10,NA,1,-88,0,1544786585379,127,0
15:12:16:8D:20:A8,255,10,NA,1,-82,0,1544786585381,127,0
E4:7D:BD:2C:B8:69,255,10,NA,1,-94,0,1544786585413,127,0
D8:E0:E1:1B:9B:65,255,10,NA,1,-97,0,1544786585416,127,0
17:B5:97:3E:1D:28,255,10,NA,1,-95,0,1544786585432,127,0
21:92:C5:30:8E:2A,255,10,NA,1,-86,0,1544786585435,127,0
C0:48:E6:AA:DA:A5,255,10,NA,1,-82,0,1544786585469,127,0
3E:00:BB:3D:53:31,255,10,NA,1,-87,0,1544786585481,127,0
5B:15:EA:F1:D5:A4,255,10,NA,1,-92,0,1544786585493,127,2
22:49:9B:9D:12:A2,255,10,NA,1,-83,0,1544786585494,127,0
0E:D5:10:71:AD:FD,255,10,NA,1,-94,0,1544786585527,127,0
5A:F9:85:82:FC:4C,255,10,NA,1,-85,0,1544786585529,127,2
3E:00:BB:3D:53:31,255,10,NA,1,-82,0,1544786585583,127,0
22:49:9B:9D:12:A2,255,10,NA,1,-89,0,1544786585586,127,0
15:12:16:8D:20:A8,255,10,NA,1,-79,0,1544786585588,127,0
12:CC:0B:CA:C5:B7,255,10,NA,1,-92,0,1544786585619,127,0
0E:D5:10:71:AD:FD,255,10,NA,1,-91,0,1544786585622,127,0
07:F9:BE:1F:FA:16,255,10,NA,1,-86,0,1544786585655,127,0
3E:00:BB:3D:53:31,255,10,NA,1,-83,0,1544786585692,127,0
15:12:16:8D:20:A8,255,10,NA,1,-80,0,1544786585695,127,0
E4:7D:BD:2C:B8:69,255,10,NA,1,-95,0,1544786585723,127,0
0F:9F:C0:4B:E7:6C,255,10,NA,1,-98,0,1544786585737,127,0
36:FF:0C:3B:7B:1D,255,10,NA,1,-96,0,1544786585764,127,0
15:12:16:8D:20:A8,255,10,NA,1,-82,0,1544786585794,127,0
21:92:C5:30:8E:2A,255,10,NA,1,-87,0,1544786585849,127,0
07:F9:BE:1F:FA:16,255,10,NA,1,-91,0,1544786585853,127,0
E4:7D:BD:2C:B8:69,255,10,NA,1,-92,0,1544786585856,127,0
36:FF:0C:3B:7B:1D,255,10,NA,1,-92,0,1544786585868,127,0
D8:E0:E1:1B:9B:65,255,10,NA,1,-91,0,1544786585879,127,0
12:CC:0B:CA:C5:B7,255,10,NA,1,-90,0,1544786586001,127,0
15:12:16:8D:20:A8,255,10,NA,1,-80,0,1544786586004,127,0
0E:D5:10:71:AD:FD,255,10,NA,1,-91,0,1544786586051,127,0
07:F9:BE:1F:FA:16,255,10,NA,1,-87,0,1544786586054,127,0
17:B5:97:3E:1D:28,255,10,NA,1,-85,0,1544786586058,127,0
C0:48:E6:AA:DA:A5,255,10,NA,1,-78,0,1544786586062,127,0
36:FF:0C:3B:7B:1D,255,10,NA,1,-92,0,1544786586073,127,0
3E:00:BB:3D:53:31,255,10,NA,1,-92,0,1544786586103,127,0
15:12:16:8D:20:A8,255,10,NA,1,-80,0,1544786586109,127,0
4D:0B:AB:63:E8:C6,255,10,NA,1,-81,0,1544786586153,127,2
17:B5:97:3E:1D:28,255,10,NA,1,-81,0,1544786586172,127,0
D8:E0:E1:1B:9B:65,255,10,NA,1,-85,0,1544786586263,127,0
21:92:C5:30:8E:2A,255,10,NA,1,-87,0,1544786586275,127,0
E4:7D:BD:2C:B8:69,255,10,NA,1,-85,0,1544786586303,127,0
07:F9:BE:1F:FA:16,255,10,NA,1,-93,0,1544786586399,127,0
3E:00:BB:3D:53:31,255,10,NA,1,-88,0,1544786586422,127,0
15:12:16:8D:20:A8,255,10,NA,1,-79,0,1544786586425,127,0
E4:7D:BD:2C:B8:69,255,10,NA,1,-89,0,1544786586462,127,0
17:B5:97:3E:1D:28,255,10,NA,1,-85,0,1544786586469,127,0
07:F9:BE:1F:FA:16,255,10,NA,1,-82,0,1544786586472,127,0
36:FF:0C:3B:7B:1D,255,10,NA,1,-91,0,1544786586491,127,0
D8:E0:E1:1B:9B:65,255,10,NA,1,-95,0,1544786586535,127,0
36:FF:0C:3B:7B:1D,255,10,NA,1,-90,0,1544786586598,127,0
15:12:16:8D:20:A8,255,10,NA,1,-80,0,1544786586629,127,0
D8:E0:E1:1B:9B:65,255,10,NA,1,-91,0,1544786586675,127,0
07:F9:BE:1F:FA:16,255,10,NA,1,-92,0,1544786586679,127,0
C0:48:E6:AA:DA:A5,255,10,NA,1,-82,0,1544786586683,127,0
