timeMillis,timeNanos,x,y,z
1544786637922,64136792941860,-1.8348013,4.677983,9.516358
1544786637942,64136812940298,-1.71738,4.6352987,6.9551754
1544786637962,64136832940298,-1.7690374,4.627302,6.7907414
1544786637982,64136852940298,-1.8266513,4.686755,11.023642
1544786638002,64136872940298,-1.9252733,4.628088,7.8941903
1544786638022,64136892940298,-1.9638104,4.6859508,6.153309
1544786638042,64136912940298,-2.0288658,4.650909,10.385425
1544786638062,64136932940298,-1.884773,4.507784,8.058136
1544786638082,64136952940298,-1.8471171,4.3016043,8.341169
1544786638102,64136972940298,-1.75721,4.2614493,8.427264
1544786638122,64136992940298,-1.6675807,4.1289444,8.028036
1544786638142,64137012940298,-1.5111147,3.9267206,7.8227286
1544786638162,64137032940298,-1.1942278,3.83531,8.272427
1544786638183,64137052940298,-1.122306,3.7248127,8.754197
1544786638202,64137072940298,-1.6736618,3.5625145,8.542703
1544786638223,64137092940298,-1.90159,3.6044898,9.313358
1544786638243,64137112940298,-2.0290668,3.3051188,10.259212
1544786638262,64137132941860,-1.8147187,3.4167845,11.770413
1544786638282,64137152941860,-0.9794488,3.4564035,11.6859455
1544786638302,64137172940298,-0.39783973,3.4707403,10.391324
1544786638322,64137192940298,-0.5790329,3.38634,9.495614
1544786638342,64137212940298,-0.75201875,3.3664582,8.913853
1544786638362,64137232940298,-0.25938782,3.3643513,9.063787
1544786638383,64137252940298,0.32744062,3.2812152,9.373587
1544786638403,64137272940298,0.59036225,3.1964605,9.543001
1544786638422,64137292940298,0.35041538,3.2864823,10.719607
1544786638444,64137312940298,0.63273007,3.5988874,8.4819
1544786638463,64137332940298,0.85930777,3.858802,8.27167
1544786638483,64137352940298,0.9799468,3.9981828,10.762118
1544786638502,64137372940298,1.2256206,4.0431457,6.4168725
1544786638522,64137392940298,1.3408774,4.108747,7.087335
1544786638542,64137412940298,1.5416648,4.2004833,10.863356
1544786638562,64137432940298,1.2613037,4.037304,8.876139
1544786638582,64137452940298,1.0399455,3.8110807,8.1982155
1544786638603,64137472940298,1.0922252,3.5993087,7.8695784
1544786638623,64137492940298,1.5780567,3.4458117,8.179781
1544786638643,64137512940298,2.082036,3.345801,9.048139
1544786638663,64137532940298,2.173638,3.3600705,9.539573
1544786638684,64137552940298,1.7656854,3.425796,9.301244
1544786638705,64137572940298,1.6202712,3.636304,9.056154
1544786638723,64137592940298,1.6499306,3.742281,9.004851
1544786638744,64137612940298,1.7685871,3.7668743,9.243247
1544786638764,64137632940298,1.8132439,3.7206182,9.818593
1544786638784,64137652940298,1.7934486,3.713742,9.927337
1544786638802,64137672940298,1.3305632,3.6305673,9.418942
1544786638824,64137692940298,1.1097509,3.4694662,8.998827
1544786638844,64137712940298,1.6705303,3.2610655,9.492052
1544786638863,64137732940298,1.9882216,2.9076142,9.925718
1544786638883,64137752940298,1.8004205,2.655572,10.399914
1544786638904,64137772940298,1.2668966,2.6205878,10.481509
1544786638923,64137792940298,0.8357775,2.6873958,10.180787
1544786638944,64137812940298,0.5460983,2.8228786,10.222361
1544786638963,64137832940298,0.46104664,2.9214242,10.085814
1544786638983,64137852940298,0.30775067,2.8175635,9.921744
1544786639002,64137872940298,0.077466786,2.3593326,9.66521
1544786639022,64137892940298,-0.06801448,1.7198604,9.9398155
1544786639042,64137912940298,0.24532905,1.2411158,10.566857
1544786639062,64137932940298,0.6169379,1.1964017,10.759102
1544786639105,64137952940298,0.5500439,1.3858693,9.486134
1544786639105,64137972941860,0.3288388,1.6012133,8.5267
1544786639122,64137992941860,-0.006253655,1.5752698,8.60026
1544786639142,64138012941860,0.05770984,1.45578,9.232052
1544786639162,64138032940298,0.3692338,1.3329958,9.838091
1544786639182,64138052940298,0.40617153,1.3765702,10.328108
1544786639203,64138072940298,0.18812679,1.4225293,10.212362
1544786639224,64138092940298,-0.27649197,1.6296852,9.720449
1544786639244,64138112940298,-0.308536,1.886382,9.165713
1544786639262,64138132940298,0.1811453,2.0533729,8.920163
1544786639282,64138152940298,0.7077643,2.3183725,8.883092
1544786639302,64138172940298,0.6569307,2.5556762,8.526308
1544786639323,64138192940298,0.06630981,2.9586012,8.455947
1544786639342,64138212940298,-0.2139746,3.2695506,8.730399
1544786639362,64138232940298,-0.3322003,3.3971999,8.673742
1544786639382,64138252940298,-0.24956201,3.4410903,8.664626
1544786639402,64138272941860,-0.25051013,3.4724543,8.635014
1544786639422,64138292941860,-0.3987591,3.5222538,8.815192
1544786639442,64138312940298,-0.44253466,3.4374223,9.135325
1544786639462,64138332940298,-0.19733967,3.3687186,9.761294
