timeMillis,timeNanos,x,y,z
1544786637922,64136793792860,0.022619467,-0.07120943,0.07860963
1544786637942,64136813791298,-0.032218777,-0.059882246,0.075625114
1544786637962,64136833791298,-0.1308997,-0.100234255,0.060946897
1544786637982,64136853791298,-0.13695599,-0.1150172,0.062290803
1544786638002,64136873791298,-0.05508259,-0.095853485,0.061086524
1544786638022,64136893791298,-0.013386675,-0.1409877,0.06721263
1544786638042,64136913791298,-0.10107201,-0.14187782,0.091821775
1544786638062,64136933791298,-0.22308798,-0.24125686,0.10159562
1544786638082,64136953791298,-0.31969196,-0.32217032,0.11559316
1544786638103,64136973791298,-0.40160027,-0.36217326,0.1267109
1544786638122,64136993791298,-0.53822464,-0.46867326,0.17011724
1544786638143,64137013791298,-0.7418522,-0.6286501,0.20935224
1544786638163,64137033791298,-0.89791954,-0.75564027,0.21163863
1544786638183,64137053791298,-0.91692615,-0.79792964,0.21085322
1544786638202,64137073791298,-0.96214765,-0.7187266,0.25752333
1544786638224,64137093791298,-0.98815304,-0.7075041,0.37824777
1544786638243,64137113791298,-0.9149714,-0.560495,0.5416804
1544786638263,64137133792860,-0.6350555,-0.32601005,0.7124434
1544786638283,64137153792860,-0.16746435,-0.2891487,0.7315373
1544786638303,64137173791298,0.03986332,-0.3140022,0.6305351
1544786638322,64137193791298,0.033073988,-0.35601225,0.5632352
1544786638342,64137213791298,-0.08798204,-0.3300592,0.61531585
1544786638363,64137233791298,-0.24479988,-0.23445007,0.66291094
1544786638383,64137253791298,-0.26363197,-0.21614157,0.5753827
1544786638404,64137273791298,-0.22961551,-0.19099139,0.4349884
1544786638422,64137293791298,-0.19802506,-0.267175,0.32424727
1544786638445,64137313791298,-0.14953981,-0.31202996,0.26200882
1544786638464,64137333791298,-0.12950343,-0.31700414,0.23132594
1544786638483,64137353791298,-0.23061036,-0.3813719,0.21361084
1544786638503,64137373791298,-0.34622097,-0.40945423,0.24080308
1544786638522,64137393791298,-0.40062287,-0.37170276,0.2802126
1544786638543,64137413791298,-0.25994933,-0.22895229,0.2768441
1544786638563,64137433791298,-0.11222467,-0.11499974,0.28579766
1544786638583,64137453791298,-0.108856186,-0.0058817593,0.35737363
1544786638604,64137473791298,-0.27440065,-0.02745403,0.4158945
1544786638624,64137493791298,-0.45875978,-0.10662217,0.41147882
1544786638645,64137513791298,-0.4743805,-0.134146,0.29883528
1544786638664,64137533791298,-0.30894074,-0.12025318,0.14053391
1544786638685,64137553791298,-0.13966125,-0.100042276,0.052813664
1544786638705,64137573791298,-0.10547025,-0.12185889,0.051888637
1544786638724,64137593791298,-0.11252138,-0.14402457,0.08079129
1544786638745,64137613791298,-0.13103932,-0.110357165,0.07300712
1544786638765,64137633791298,-0.0485027,-0.033580136,0.05681047
1544786638785,64137653791298,0.11456341,0.046041787,5.2359875E-4
1544786638802,64137673791298,0.19497073,0.10930997,0.045605455
1544786638825,64137693791298,0.09505063,0.08274606,0.18566813
1544786638845,64137713791298,0.0077318083,0.109606676,0.25206044
1544786638864,64137733791298,0.012217305,0.20835741,0.1669931
1544786638883,64137753791298,0.047804568,0.3397458,0.021816615
1544786638905,64137773791298,0.109117985,0.3387684,-0.06349508
1544786638923,64137793791298,0.060440753,0.34110716,-0.08206538
1544786638945,64137813791298,-0.036704276,0.3135135,-0.05757841
1544786638963,64137833791298,-0.1261524,0.15962781,-0.03122394
1544786638984,64137853791298,-0.19907226,0.034557518,0.0047647487
1544786639003,64137873791298,-0.29548424,0.049200833,0.11248647
1544786639023,64137893791298,-0.3649309,0.15285593,0.22519983
1544786639042,64137913791298,-0.2894454,0.25679028,0.3138451
1544786639062,64137933791298,0.038257618,0.24823818,0.2532822
1544786639105,64137953791298,0.27056095,0.19394098,0.17788395
1544786639105,64137973792860,0.22085397,0.20863666,0.19237019
1544786639123,64137993792860,0.04230678,0.27495918,0.33231068
1544786639143,64138013792860,-0.064734265,0.35871753,0.4623028
1544786639162,64138033791298,-0.088558,0.4349535,0.48282787
1544786639182,64138053791298,-0.012007865,0.4121595,0.40735984
1544786639204,64138073791298,0.10236356,0.309028,0.30220374
1544786639225,64138093791298,0.16697565,0.16739453,0.25012314
1544786639245,64138113791298,0.18439403,0.07496189,0.27581438
1544786639263,64138133791298,0.17699383,0.13507102,0.276146
1544786639283,64138153791298,0.2498788,0.24132667,0.17191494
1544786639302,64138173791298,0.3351032,0.37533304,0.029548423
1544786639323,64138193791298,0.35328954,0.45062655,-0.05693264
1544786639343,64138213791298,0.3737099,0.4636816,-0.07787659
1544786639362,64138233791298,0.39913934,0.42259657,-0.06866125
1544786639382,64138253791298,0.3654894,0.3562915,-0.079796456
1544786639402,64138273792860,0.2966187,0.255778,-0.10643018
1544786639422,64138293792860,0.20027652,0.11526154,-0.13191198
1544786639442,64138313791298,0.11252138,0.023596851,-0.11407472
1544786639462,64138333791298,0.12529719,0.034801867,-0.14142403
1544786639482,64138353791298,0.24694663,0.084089965,-0.19600047
1544786639505,64138373791298,0.29537952,0.056496307,-0.25694737
1544786639522,64138393791298,0.23265238,-0.021537364,-0.3253643
1544786639543,64138413791298,0.23598596,-0.07393215,-0.42174137
1544786639565,64138433791298,0.34107223,-0.10882128,-0.5013633
1544786639584,64138453791298,0.3843564,-0.15437438,-0.53754395
1544786639605,64138473791298,0.23778366,-0.18495254,-0.49504519
1544786639625,64138493791298,-0.2411696,0.05555383,-0.22396065
1544786639648,64138513791298,-0.5538802,0.3683343,-0.031887166
1544786639682,64138533792860,-0.20916025,0.50579643,-0.104824476
1544786639682,64138553792860,0.52686256,0.2711369,-0.42570326
1544786639702,64138573791298,0.8537453,-0.014678219,-0.6419321
1544786639724,64138593791298,0.6177593,-0.1492431,-0.5910034
1544786639746,64138613791298,0.17034413,-0.21416935,-0.40151298
1544786639764,64138633791298,-0.049864057,-0.1940806,-0.26443484
1544786639784,64138653791298,0.06658431,-0.17975146,-0.29555404
1544786639803,64138673791298,0.20539035,-0.20635028,-0.3830474
1544786639825,64138693791298,0.22519983,-0.2509609,-0.3965039
1544786639845,64138713791298,0.21881193,-0.2448697,-0.27249825
1544786639864,64138733791298,0.20198695,-0.20546016,-0.1213702
1544786639882,64138753791298,0.26843163,-0.1396787,-0.110235
1544786639903,64138773791298,0.40194932,-0.122225404,-0.1931905
1544786639924,64138793791298,0.43902013,-0.10602875,-0.2753955
1544786639945,64138813791298,0.31002283,-0.024137903,-0.3008773
1544786639962,64138833791298,0.06419321,0.03202679,-0.26869345
1544786639982,64138853791298,-0.12067206,0.010786135,-0.16339773
1544786640002,64138873791298,-0.14702654,-0.043598324,-0.044593163
1544786640023,64138893791298,-0.098995075,-0.13514084,0.0072431164
1544786640045,64138913791298,-0.05035275,-0.18095574,-0.013892821
1544786640064,64138933791298,-0.03267256,-0.182544,-0.06262241
1544786640085,64138953792860,0.046513025,-0.14460053,-0.096028015
