timeMillis,timeNanos,x,y,z
1544786637941,64136817400298,-37.4375,-9.5,-21.5
1544786637962,64136837400298,-37.375,-9.375,-21.3125
1544786637981,64136857400298,-37.25,-9.1875,-21.625
1544786638001,64136877400298,-37.125,-9.375,-21.625
1544786638021,64136897400298,-36.8125,-9.375,-21.5
1544786638041,64136917400298,-36.8125,-9.25,-21.375
1544786638061,64136937400298,-37.0,-9.0625,-21.125
1544786638081,64136957400298,-37.1875,-8.9375,-20.8125
1544786638102,64136977400298,-37.5,-8.8125,-20.5625
1544786638122,64136997400298,-37.5,-8.5,-20.1875
1544786638142,64137017400298,-37.6875,-8.3125,-19.875
1544786638162,64137037400298,-37.9375,-7.8125,-19.3125
1544786638182,64137057400298,-38.1875,-7.1875,-18.75
1544786638202,64137077400298,-38.625,-6.6875,-18.25
1544786638223,64137097400298,-38.9375,-6.125,-17.8125
1544786638242,64137117400298,-39.0625,-5.4375,-17.4375
1544786638262,64137137401860,-39.1875,-4.625,-17.5
1544786638282,64137157401860,-39.25,-4.0625,-17.5625
1544786638302,64137177400298,-39.5625,-3.5,-17.1875
1544786638322,64137197400298,-39.875,-2.875,-17.0
1544786638342,64137217400298,-40.0,-2.625,-16.6875
1544786638362,64137237400298,-40.125,-2.125,-16.6875
1544786638382,64137257400298,-40.375,-1.6875,-16.8125
1544786638402,64137277400298,-40.5625,-1.3125,-16.8125
1544786638422,64137297400298,-40.875,-1.125,-16.9375
1544786638443,64137317400298,-41.0,-0.8125,-16.8125
1544786638462,64137337400298,-40.9375,-0.5625,-16.625
1544786638482,64137357400298,-40.875,-0.375,-16.75
1544786638502,64137377400298,-40.9375,-0.125,-16.8125
1544786638522,64137397400298,-41.1875,0.3125,-17.0
1544786638542,64137417400298,-41.25,0.5,-16.875
1544786638562,64137437400298,-41.0,0.9375,-16.75
1544786638582,64137457400298,-41.0,1.125,-16.8125
1544786638602,64137477400298,-40.875,1.625,-16.6875
1544786638622,64137497400298,-40.875,2.125,-16.75
1544786638642,64137517400298,-41.0,2.375,-16.5625
1544786638662,64137537400298,-41.0625,2.5,-16.625
1544786638682,64137557400298,-41.0,2.4375,-16.5625
1544786638703,64137577400298,-40.9375,2.4375,-16.3125
1544786638722,64137597400298,-41.0625,2.5625,-16.0
1544786638742,64137617400298,-41.4375,2.5,-16.125
1544786638763,64137637400298,-41.4375,2.8125,-16.1875
1544786638783,64137657400298,-41.25,3.0625,-16.375
1544786638802,64137677400298,-41.375,2.875,-16.4375
1544786638822,64137697400298,-41.4375,3.125,-16.8125
1544786638843,64137717400298,-41.5,3.375,-16.6875
1544786638862,64137737400298,-41.5625,3.5,-17.0
