adress,bond,name,rssi,time,type
00:01:95:0E:29:2D,10,NA,-90,1544786657941,1
00:01:95:0E:29:2D,10,NA,-92,1544786659420,1
00:1A:7D:DA:71:13,10,DESKTOP-0483D2U,-80,1544786659457,1
64:A2:F9:AA:42:DB,10,OnePlus 6,-95,1544786659672,1
00:1D:DF:5D:0E:B8,10,SoundSticks W,-91,1544786660836,1
4D:0B:AB:63:E8:C6,10,NA,-87,1544786661407,2
59:FC:5D:FA:D3:5A,10,Apple Pencil,-91,1544786662929,2
64:A2:F9:AA:42:DB,10,OnePlus 6,-86,1544786664786,1
00:1A:7D:DA:71:11,10,NA,-89,1544786666334,1
00:1A:7D:DA:71:11,10,DESKTOP-M10P3OL,-92,1544786666715,1
5D:3C:5E:4A:36:8F,10,NA,-96,1544786668432,2
5D:3C:5E:4A:36:8F,10,NA,-94,1544786668455,2
5D:3C:5E:4A:36:8F,10,NA,-95,1544786668519,2
4D:F1:28:70:17:AA,10,NA,-84,1544786670221,2
4D:F1:28:70:17:AA,10,NA,-83,1544786670484,2
4D:0B:AB:63:E8:C6,10,NA,-96,1544786671216,2
0C:A6:94:1D:DC:4F,10,HK Nova,-75,1544786707485,1
5D:3C:5E:4A:36:8F,10,NA,-92,1544786710948,2
5D:3C:5E:4A:36:8F,10,NA,-92,1544786711078,2
EC:08:9C:E1:18:36,10,NA,-90,1544786711101,2
5D:3C:5E:4A:36:8F,10,NA,-88,1544786711124,2
54:C5:6D:0D:84:6B,10,NA,-90,1544786711143,2
70:30:38:E7:21:9A,10,NA,-86,1544786711154,2
5D:3C:5E:4A:36:8F,10,NA,-90,1544786711174,2
EC:91:28:A9:C9:09,10,NA,-84,1544786711264,2
5D:3C:5E:4A:36:8F,10,NA,-92,1544786711280,2
5D:3C:5E:4A:36:8F,10,NA,-93,1544786711384,2
EC:BB:E9:A7:38:CD,10,NA,-91,1544786711586,2
04:52:C7:CF:A4:0D,10,LE-Bose Revolve+ SoundLink,-90,1544786711588,3
EC:63:E8:D7:3B:3E,10,NA,-85,1544786711655,2
5D:3C:5E:4A:36:8F,10,NA,-84,1544786712628,2
EC:08:9C:E1:18:36,10,NA,-93,1544786718148,2
01:65:E5:16:F8:E3,10,NA,-98,1544786718232,2
EC:91:28:A9:C9:09,10,NA,-90,1544786718312,2
5B:15:EA:F1:D5:A4,10,NA,-86,1544786718478,2
EC:63:E8:D7:3B:3E,10,NA,-90,1544786718705,2
EC:2A:B9:6B:46:0B,10,NA,-92,1544786718864,2
EC:96:D6:EC:F2:13,10,NA,-94,1544786718883,2
F0:18:98:0B:E3:39,10,NA,-95,1544786719130,2
EC:BB:E9:A7:38:CD,10,NA,-88,1544786719498,2
EC:B3:56:F2:BB:14,10,NA,-89,1544786719637,2
