timeMillis,timeNanos,x,y,z
1544786656019,254808472630989,-36.3125,-0.125,-13.9375
1544786656040,254808492648177,-36.3125,0.125,-13.4375
1544786656059,254808512629427,-36.3125,0.3125,-12.9375
1544786656079,254808532629427,-36.1875,0.1875,-12.75
1544786656099,254808552630989,-36.25,0.4375,-12.6875
1544786656120,254808572630989,-36.375,0.4375,-12.75
1544786656140,254808592629427,-36.5625,0.5625,-12.6875
1544786656159,254808612629427,-36.625,0.6875,-12.6875
1544786656179,254808632629427,-36.5625,1.0,-12.5
1544786656200,254808652629427,-36.5,1.125,-12.0
1544786656220,254808672629427,-36.5,1.3125,-11.75
1544786656240,254808692629427,-36.5,1.5625,-11.625
1544786656259,254808712629427,-36.6875,1.625,-11.5625
1544786656280,254808732629427,-36.625,1.6875,-11.1875
1544786656299,254808752629427,-36.375,1.875,-11.125
1544786656319,254808772629427,-36.25,2.0625,-11.0
1544786656340,254808792630989,-36.25,2.0625,-10.4375
1544786656360,254808812629427,-36.5,2.0,-10.25
1544786656380,254808832629427,-36.5625,2.0625,-10.375
1544786656400,254808852629427,-36.75,2.1875,-10.3125
1544786656420,254808872629427,-37.0,2.0,-10.125
1544786656440,254808892629427,-37.0,2.0625,-9.875
1544786656460,254808912629427,-37.0625,2.25,-10.0
1544786656480,254808932629427,-37.3125,2.5,-9.9375
1544786656500,254808952629427,-37.375,2.8125,-10.0
1544786656520,254808972629427,-37.25,3.0,-10.4375
1544786656539,254808992629427,-37.0,3.1875,-10.5
1544786656559,254809012629427,-37.25,3.4375,-10.4375
1544786656579,254809032629427,-37.0,3.5,-10.4375
1544786656600,254809052629427,-36.75,3.8125,-10.5625
1544786656620,254809072629427,-36.875,4.0,-10.8125
1544786656640,254809092629427,-36.8125,4.0625,-11.125
1544786656660,254809112629427,-36.75,3.875,-11.25
1544786656680,254809132629427,-36.6875,4.0625,-11.1875
1544786656700,254809152629427,-36.5625,4.25,-11.1875
1544786656720,254809172629427,-36.6875,4.5625,-11.3125
1544786656740,254809192629427,-36.375,4.6875,-11.0625
1544786656760,254809212629427,-36.5625,4.875,-11.0625
1544786656780,254809232629427,-36.75,5.0625,-11.0625
1544786656800,254809252629427,-36.6875,5.25,-10.875
1544786656821,254809272629427,-36.4375,5.4375,-10.5625
1544786656841,254809292629427,-36.4375,5.75,-10.3125
1544786656861,254809312629427,-36.4375,5.75,-10.1875
1544786656880,254809332629427,-36.625,5.625,-9.875
1544786656901,254809352629427,-36.6875,5.8125,-9.625
1544786656920,254809372629427,-36.75,6.0,-9.5625
1544786656940,254809392629427,-36.875,6.1875,-9.3125
1544786656960,254809412629427,-36.75,6.125,-9.125
1544786656980,254809432629427,-36.75,6.1875,-9.125
1544786657001,254809452629427,-36.9375,6.0,-9.1875
1544786657020,254809472629427,-37.0,6.1875,-9.125
1544786657040,254809492629427,-37.0,6.3125,-9.0625
1544786657061,254809512629427,-37.0,6.625,-8.75
1544786657080,254809532629427,-36.9375,6.5625,-8.875
1544786657101,254809552629427,-37.125,6.6875,-8.8125
1544786657121,254809572629427,-37.0,6.6875,-8.8125
1544786657140,254809592646614,-37.0,6.875,-8.875
1544786657160,254809612629427,-37.0625,6.9375,-9.0625
1544786657192,254809632630989,-37.25,7.0,-8.9375
1544786657201,254809652630989,-37.4375,6.9375,-8.8125
1544786657219,254809672630989,-37.4375,6.875,-8.9375
1544786657240,254809692630989,-37.4375,6.5,-9.0625
1544786657259,254809712629427,-37.5,6.6875,-8.8125
1544786657280,254809732629427,-37.375,6.875,-8.6875
1544786657300,254809752629427,-37.375,6.8125,-8.5
1544786657319,254809772629427,-37.5625,6.75,-8.375
1544786657339,254809792629427,-37.5625,6.625,-8.1875
1544786657360,254809812629427,-37.4375,6.6875,-8.0
1544786657380,254809832629427,-37.375,6.75,-8.125
1544786657400,254809852629427,-37.5625,6.6875,-8.0
1544786657419,254809872629427,-37.625,7.0625,-7.875
1544786657440,254809892629427,-37.75,6.8125,-8.0
1544786657460,254809912629427,-37.75,6.5625,-8.1875
1544786657480,254809932629427,-37.8125,6.625,-8.1875
1544786657501,254809952629427,-37.5625,6.8125,-8.375
1544786657521,254809972629427,-37.375,6.8125,-8.5
1544786657540,254809992629427,-37.6875,6.5625,-8.6875
1544786657560,254810012629427,-37.8125,6.4375,-8.5625
1544786657580,254810032629427,-37.75,6.25,-8.25
1544786657600,254810052629427,-37.8125,5.875,-7.9375
1544786657620,254810072630989,-37.875,5.5625,-7.5625
1544786657640,254810092629427,-38.0625,5.1875,-7.4375
1544786657660,254810112629427,-38.125,4.875,-7.625
1544786657680,254810132629427,-38.25,4.6875,-8.0
1544786657701,254810152629427,-38.1875,4.875,-8.625
1544786657721,254810172629427,-37.8125,5.25,-9.1875
1544786657753,254810192630989,-37.75,5.5625,-9.8125
1544786657761,254810212630989,-37.75,5.5625,-10.3125
1544786657780,254810232629427,-37.9375,5.125,-10.3125
1544786657800,254810252629427,-38.1875,4.6875,-10.25
1544786657819,254810272629427,-38.5,3.9375,-10.25
1544786657840,254810292629427,-38.6875,3.375,-10.5625
1544786657860,254810312629427,-38.5625,2.875,-10.9375
1544786657880,254810332629427,-38.75,2.5,-11.1875
1544786657900,254810352629427,-38.75,2.4375,-11.8125
1544786657921,254810372629427,-38.6875,2.625,-12.25
1544786657941,254810392629427,-38.625,2.75,-12.375
1544786657960,254810412630989,-38.5,3.0625,-12.8125
1544786657980,254810432629427,-38.5,2.75,-13.1875
1544786658000,254810452629427,-38.4375,2.625,-13.3125
1544786658020,254810472629427,-38.5625,2.125,-13.25
1544786658039,254810492646614,-38.625,2.125,-13.875
1544786658060,254810512629427,-38.5625,2.1875,-14.6875
1544786658080,254810532629427,-38.4375,2.4375,-15.3125
1544786658101,254810552629427,-38.4375,2.5,-15.9375
1544786658121,254810572629427,-38.375,2.75,-16.5625
1544786658140,254810592629427,-38.375,2.8125,-17.0625
1544786658160,254810612629427,-38.25,3.0625,-17.3125
1544786658189,254810632630989,-38.4375,2.9375,-17.6875
1544786658201,254810652629427,-38.3125,3.3125,-18.3125
1544786658220,254810672629427,-38.25,3.375,-18.8125
1544786658240,254810692629427,-38.125,3.375,-19.625
1544786658260,254810712629427,-38.0625,3.4375,-20.125
1544786658280,254810732629427,-38.125,3.5,-20.25
1544786658300,254810752629427,-38.625,3.3125,-20.125
1544786658321,254810772629427,-38.9375,3.0625,-19.9375
1544786658340,254810792629427,-39.25,3.0625,-20.25
1544786658360,254810812629427,-39.0,3.6875,-21.0
1544786658380,254810832629427,-38.5625,3.9375,-22.125
1544786658400,254810852629427,-38.25,4.5,-23.125
1544786658421,254810872629427,-37.875,4.875,-23.9375
1544786658440,254810892629427,-37.75,5.0625,-24.25
1544786658460,254810912629427,-37.9375,4.625,-24.5
1544786658480,254810932629427,-38.1875,4.375,-24.5
1544786658501,254810952629427,-38.5625,4.125,-24.4375
1544786658521,254810972629427,-38.75,4.0,-24.3125
1544786658540,254810992629427,-38.6875,4.0,-24.5
1544786658560,254811012629427,-38.5625,4.5,-25.0
1544786658580,254811032629427,-38.125,5.0625,-25.75
1544786658601,254811052629427,-37.625,5.625,-26.375
1544786658621,254811072629427,-37.5625,5.9375,-27.125
1544786658640,254811092629427,-37.1875,6.25,-27.5
1544786658660,254811112629427,-37.0625,6.125,-27.8125
1544786658680,254811132629427,-37.125,6.0625,-27.9375
1544786658699,254811152629427,-37.125,6.0625,-28.25
1544786658720,254811172629427,-37.4375,6.1875,-28.625
1544786658740,254811192629427,-37.375,6.25,-28.875
1544786658760,254811212629427,-37.5,6.1875,-29.25
1544786658780,254811232629427,-37.625,6.3125,-29.3125
1544786658800,254811252630989,-38.0,6.4375,-29.5
1544786658821,254811272629427,-38.5625,6.25,-29.5
1544786658841,254811292629427,-38.8125,6.375,-29.6875
1544786658859,254811312629427,-38.8125,6.3125,-30.1875
1544786658881,254811332629427,-38.75,6.125,-30.5625
1544786658900,254811352629427,-39.0625,5.6875,-30.875
1544786658920,254811372629427,-39.625,5.4375,-31.0
1544786658940,254811392629427,-40.0625,5.0,-31.0625
1544786658960,254811412629427,-40.5,4.625,-31.4375
1544786658980,254811432629427,-40.125,4.125,-31.625
1544786659000,254811452629427,-39.4375,3.9375,-32.625
1544786659020,254811472629427,-39.0,3.5,-33.75
1544786659040,254811492629427,-38.625,3.25,-34.625
1544786659060,254811512629427,-38.5625,2.625,-35.3125
1544786659080,254811532629427,-38.625,1.9375,-35.375
1544786659100,254811552629427,-38.875,0.75,-35.25
1544786659120,254811572629427,-38.875,-0.0625,-35.25
1544786659140,254811592629427,-38.5625,-0.6875,-35.5625
1544786659160,254811612629427,-38.3125,-0.75,-36.4375
1544786659187,254811632630989,-38.0,-0.6875,-37.3125
1544786659200,254811652629427,-37.5,-0.6875,-38.125
1544786659220,254811672629427,-36.9375,-0.5,-38.8125
1544786659240,254811692646614,-36.6875,-0.375,-39.125
1544786659259,254811712629427,-36.5,-0.75,-39.625
1544786659280,254811732629427,-36.5625,-1.4375,-39.875
1544786659300,254811752629427,-36.6875,-1.9375,-40.125
1544786659321,254811772629427,-36.8125,-2.1875,-40.375
1544786659340,254811792629427,-36.8125,-2.5,-40.75
1544786659360,254811812629427,-36.625,-2.8125,-41.0
1544786659380,254811832629427,-36.4375,-2.6875,-41.375
1544786659400,254811852629427,-36.25,-2.6875,-41.6875
1544786659420,254811872629427,-36.125,-2.75,-41.875
1544786659440,254811892629427,-36.0625,-2.75,-42.0
1544786659471,254811912629427,-35.75,-2.75,-42.25
1544786659480,254811932629427,-35.5,-3.0,-42.5
1544786659545,254811952629427,-35.125,-3.375,-42.75
1544786659545,254811972630989,-35.375,-3.25,-42.8125
1544786659545,254811992630989,-36.125,-2.8125,-42.5
1544786659560,254812012629427,-36.75,-2.25,-41.9375
1544786659579,254812032629427,-37.1875,-1.5625,-42.0
1544786659599,254812052629427,-36.6875,-0.8125,-42.625
1544786659620,254812072629427,-35.75,0.0625,-43.5625
1544786659640,254812092629427,-34.6875,0.875,-44.5
1544786659660,254812112629427,-33.8125,1.75,-45.25
