bssid,frequency,legit,rss,ssid,timestamp,wifiNo
00:24:6c:7d:f3:00,2412,true,-56,Welcome_KAIST,64196001303,1
6c:70:9f:e3:3a:a6,2412,true,-69,Air WiFi,64196001295,1
00:24:6c:7d:f7:f1,5805,true,-67,eduroam,64197782961,2
6c:f3:7f:fa:ab:31,5805,true,-73,eduroam,64197782957,2
6c:f3:7f:fa:ab:30,5805,true,-74,Welcome_KAIST,64197782951,2
00:24:6c:7d:f7:f0,5805,true,-67,Welcome_KAIST,64197782945,2
90:9f:33:f9:11:de,5785,true,-77,wit_5G,64197782941,2
6c:70:9f:e3:3a:a7,5785,true,-64,Air WiFi,64197782935,2
70:8b:cd:2f:82:64,5745,true,-66,LIT_5G,64197782930,2
00:24:6c:7d:f3:11,5745,true,-51,eduroam,64197782927,2
00:24:6c:7d:f3:10,5745,true,-45,Welcome_KAIST,64197782921,2
64:e5:99:da:03:6c,5240,true,-82,WCSL 5GHz,64197782914,2
00:24:6c:7d:f5:91,5240,true,-86,eduroam,64197782910,2
00:24:6c:7d:f5:90,5240,true,-88,Welcome_KAIST,64197782905,2
00:24:6c:7d:f3:01,2412,true,-64,eduroam,64197782899,2
00:24:6c:7d:f7:20,2412,true,-50,Welcome_KAIST,64197782895,2
00:24:6c:7a:8b:31,5200,true,-83,eduroam,64197782888,2
00:24:6c:7d:f3:f1,5200,true,-76,eduroam,64197782885,2
00:24:6c:7d:f7:31,5200,true,-59,eduroam,64197782882,2
00:24:6c:7d:f7:30,5200,true,-58,Welcome_KAIST,64197782878,2
00:24:6c:7d:fe:11,5220,true,-72,eduroam,64197782874,2
00:24:6c:7d:fe:10,5220,true,-73,Welcome_KAIST,64197782870,2
00:24:6c:7d:f6:b1,5220,true,-81,eduroam,64197782865,2
00:24:6c:7d:f6:b0,5220,true,-81,Welcome_KAIST,64197782859,2
00:24:6c:7a:8b:30,5200,true,-85,Welcome_KAIST,64197782852,2
00:24:6c:7d:f3:00,2412,true,-56,Welcome_KAIST,64197782848,2
6c:70:9f:e3:3a:a6,2412,true,-69,Air WiFi,64197782842,2
00:24:6c:7d:f2:b1,5180,true,-92,eduroam,64197782835,2
00:24:6c:7d:f5:11,5180,true,-87,eduroam,64197782829,2
00:24:6c:7d:f5:10,5180,true,-88,Welcome_KAIST,64197782815,2
00:24:6c:7d:f7:f1,5805,true,-66,eduroam,64199560538,3
00:24:6c:7d:f7:f0,5805,true,-65,Welcome_KAIST,64199560534,3
6c:f3:7f:fa:ab:31,5805,true,-80,eduroam,64199560529,3
6c:f3:7f:fa:ab:30,5805,true,-79,Welcome_KAIST,64199560524,3
