timeMillis,timeNanos,x,y,z
1544786757263,254909708230989,-0.27242845,-0.04300491,-0.13823007
1544786757281,254909728229427,-0.37697366,0.0032637657,-0.06866125
1544786757301,254909748229427,-0.5446649,-0.16854644,0.09136798
1544786757321,254909768229427,-0.73080426,-0.42868778,0.19992746
1544786757340,254909788229427,-0.84526294,-0.73143256,0.17092009
1544786757360,254909808229427,-0.67650706,-0.6565056,0.015865043
1544786757379,254909828229427,-0.25157174,-0.33478907,-0.114633225
1544786757400,254909848229427,0.09136798,0.12411036,-0.11533136
1544786757419,254909868229427,0.17947221,0.16088445,-0.05497787
1544786757440,254909888229427,0.08300786,0.121038586,-0.055274576
1544786757460,254909908229427,-0.08360127,0.088558,-0.071174525
1544786757480,254909928229427,-0.22352432,0.101229094,-0.007993608
1544786757500,254909948229427,-0.18750072,0.056950092,0.062168628
1544786757521,254909968229427,-0.0061959187,0.250734,0.0551175
1544786757540,254909988229427,0.13205162,0.16964601,0.08981464
1544786757561,254910008229427,0.15844099,0.013561208,0.15584044
1544786757581,254910028229427,0.080389865,-0.10389945,0.15063937
1544786757600,254910048229427,-0.03143338,-0.11201523,0.0665145
1544786757620,254910068229427,-0.09477138,-0.0072954763,-0.022724187
1544786757639,254910088229427,-0.09494591,0.14699163,-0.076096356
1544786757661,254910108229427,-0.08592256,0.14365806,-0.094125606
1544786757681,254910128229427,-0.079325214,0.0718203,-0.07740535
1544786757701,254910148229427,-0.0832173,0.014678219,-0.031660274
1544786757721,254910168229427,-0.043039817,0.047472954,0.047088984
1544786757741,254910188229427,0.043441243,0.106744334,0.06853908
1544786757762,254910208229427,0.13980088,0.13887584,0.075206235
1544786757782,254910228229427,0.15653858,0.08065166,0.09403834
1544786757801,254910248229427,0.09538224,0.027593656,0.09943141
1544786757820,254910268229427,0.03572689,1.7453292E-5,0.0916996
1544786757841,254910288229427,0.042202063,0.006073746,0.03396411
1544786757861,254910308229427,0.115854956,0.09758136,-0.047734756
1544786757881,254910328229427,0.1189791,0.04860742,-0.11679743
1544786757901,254910348229427,0.048153635,-0.06557202,-0.14201744
1544786757920,254910368229427,-0.04181809,-0.0474555,-0.17299703
1544786757941,254910388229427,-0.109117985,0.14727089,-0.1823869
1544786757960,254910408229427,-0.13234831,0.27701867,-0.16978563
1544786757981,254910428229427,-0.11054915,0.27652997,-0.13315117
1544786758000,254910448229427,-0.066881016,0.12290609,-0.04181809
1544786758021,254910468229427,-0.019896753,-0.08906415,0.025324726
1544786758041,254910488229427,-0.01595231,-0.20984094,0.044279
1544786758060,254910508229427,-0.085241884,-0.17331119,0.012653637
1544786758080,254910528229427,-0.1717404,-0.15999433,0.031311207
1544786758101,254910548229427,-0.20179497,-0.119083814,0.07531096
1544786758121,254910568229427,-0.17777924,-0.011484266,0.09484119
1544786758140,254910588229427,-0.13576916,0.088139124,0.13763666
1544786758160,254910608229427,-0.07777187,0.16844173,0.2049191
1544786758181,254910628229427,-0.013735741,0.112905346,0.27070057
1544786758201,254910648229427,0.023666665,-0.02776819,0.28342402
1544786758223,254910668229427,0.0058119465,-0.19003145,0.2104169
1544786758240,254910688229427,-0.016423548,-0.26546457,0.10707595
1544786758261,254910708229427,-0.057002455,-0.2916794,0.028885199
1544786758282,254910728229427,-0.099728115,-0.3087662,-0.013596115
1544786758301,254910748229427,-0.088610366,-0.30389673,-0.04045673
1544786758321,254910768229427,-0.014852752,-0.21432643,-0.047350783
1544786758341,254910788229427,0.109292515,-0.13267992,-0.037768926
1544786758360,254910808229427,0.20320868,-0.098995075,-0.061627574
1544786758380,254910828229427,0.1897173,-0.09848893,-0.09550442
1544786758401,254910848229427,0.09534734,-0.13657202,-0.08995427
1544786758444,254910868229427,0.0012217305,-0.2233847,-0.07319911
1544786758444,254910888230989,0.006928957,-0.20874138,-0.109536864
1544786758459,254910908229427,0.06981317,-0.19071212,-0.20184733
1544786758481,254910928229427,0.08513716,-0.28822368,-0.29429743
1544786758500,254910948229427,-0.009215338,-0.54668945,-0.3593633
1544786758521,254910968229427,-0.20003219,-0.86107564,-0.4462807
1544786758541,254910988229427,-0.3884405,-1.0700963,-0.5196718
1544786758561,254911008229427,-0.4916418,-1.0462725,-0.5544911
1544786758580,254911028229427,-0.4689176,-0.83906704,-0.56101865
1544786758600,254911048229427,-0.3248756,-0.35952038,-0.5096885
1544786758623,254911068229427,-0.0927817,0.17128661,-0.28796187
1544786758640,254911088246614,0.19514526,0.51572734,0.051504668
1544786758661,254911108229427,0.46359435,0.54075533,0.37058577
1544786758681,254911128229427,0.7271216,0.5191307,0.5732534
1544786758701,254911148229427,0.8569741,0.37782887,0.4996703
1544786758721,254911168229427,0.769952,0.14275047,0.19638444
1544786758741,254911188229427,0.5227436,-0.31763247,-0.099152155
1544786758762,254911208229427,0.19078194,-0.8083318,-0.37309903
1544786758781,254911228229427,-0.12273155,-0.8247728,-0.6229778
1544786758801,254911248229427,-0.32063442,-0.5202303,-0.66406286
1544786758820,254911268229427,-0.43348742,-0.061505403,-0.55682987
1544786758841,254911288229427,-0.47530553,0.29483846,-0.32737142
1544786758860,254911308229427,-0.44655994,0.43224823,-0.08522443
1544786758880,254911328229427,-0.36454692,0.41894883,0.07093018
1544786758900,254911348229427,-0.26790804,0.3721391,0.120392814
1544786758920,254911368229427,-0.19922933,0.19435987,0.06489134
1544786758940,254911388230989,-0.19629718,0.06091199,-0.054192472
1544786758961,254911408229427,-0.22987731,0.026633725,-0.1511106
1544786758981,254911428229427,-0.2964616,0.05438446,-0.23064525
1544786759010,254911448229427,-0.39255947,0.18519689,-0.25862288
1544786759020,254911468229427,-0.5317669,0.3629063,-0.2681524
1544786759040,254911488229427,-0.73008865,0.45537385,-0.25389305
1544786759061,254911508230989,-1.0023775,0.5473876,-0.20970131
1544786759080,254911528229427,-1.2582603,0.4410447,-0.11037462
1544786759100,254911548229427,-1.3536075,0.22097613,-0.050265484
1544786759120,254911568229427,-1.2510345,0.15830137,-0.06356489
1544786759140,254911588229427,-1.1312177,0.12791517,-0.12021828
1544786759160,254911608229427,-0.9013753,-0.14617133,-0.062011547
1544786759181,254911628229427,-0.40709805,-0.17544049,0.12241739
1544786759201,254911648229427,0.13185963,0.23120376,0.23232077
1544786759220,254911668229427,0.45734608,0.26529005,0.23413591
1544786759240,254911688229427,0.5585228,-0.17163567,0.030962141
1544786759260,254911708229427,0.5107706,-1.0051003,-0.46699774
1544786759281,254911728229427,0.5180661,-1.3209873,-0.8479682
1544786759302,254911748229427,0.6171484,-0.67692596,-0.7588517
1544786759320,254911768229427,0.7061253,0.4632453,-0.14730579
1544786759340,254911788229427,0.6579019,1.399789,0.5083795
1544786759360,254911808229427,0.486144,1.6813105,0.80670863
1544786759380,254911828229427,0.25403267,1.3180028,0.7866897
1544786759400,254911848229427,0.06562438,0.48706904,0.5249427
1544786759445,254911868229427,-0.03668682,-0.4121246,0.13372713
1544786759445,254911888230989,-0.06117379,-1.1049854,-0.21039943
1544786759460,254911908230989,-0.017104227,-1.464628,-0.478674
1544786759480,254911928230989,0.05742133,-1.3000433,-0.64512604
1544786759500,254911948229427,0.083025314,-0.6124186,-0.5486093
1544786759520,254911968229427,0.0016929694,0.13430308,-0.2035054
1544786759540,254911988229427,-0.1674818,0.47122145,0.14514159
1544786759560,254912008229427,-0.32564354,0.40657446,0.38308233
1544786759580,254912028229427,-0.40716785,0.27986354,0.5165651
1544786759601,254912048229427,-0.3965388,0.12709488,0.548365
1544786759620,254912068229427,-0.23811527,0.067631505,0.48766243
1544786759640,254912088229427,-0.017680185,0.17442821,0.37739253
1544786759660,254912108229427,0.16467181,0.051138148,0.2569299
1544786759681,254912128229427,0.2822721,-0.13800319,0.16924457
1544786759700,254912148229427,0.30429816,-0.23975588,0.15502015
1544786759720,254912168229427,0.22553144,-0.24790657,0.1669582
1544786759740,254912188229427,0.11843804,-0.3231477,0.12934636
1544786759760,254912208229427,0.009738937,-0.26028094,-0.01595231
1544786759782,254912228229427,-0.11231194,-0.25165904,-0.22839378
1544786759801,254912248229427,-0.21230185,-0.32862803,-0.38863248
1544786759820,254912268229427,-0.21160372,-0.37110937,-0.407674
1544786759841,254912288229427,-0.15934856,-0.3115762,-0.33356732
1544786759861,254912308229427,-0.14248867,-0.33808774,-0.2321637
1544786759883,254912328229427,-0.23364723,-0.5392893,-0.29234266
1544786759900,254912348229427,-0.35899678,-0.8378802,-0.55360097
1544786759920,254912368229427,-0.3740066,-0.7702836,-0.73794264
1544786759940,254912388229427,-0.23040092,-0.26487118,-0.6339908
1544786759960,254912408229427,0.0498117,0.29670596,-0.26234043
1544786759980,254912428229427,0.34358552,0.75588465,0.055693455
1544786760000,254912448229427,0.5595176,0.9175894,0.14594443
1544786760020,254912468230989,0.6865776,0.74377203,0.12117821
1544786760040,254912488246614,0.73234016,0.20769417,0.019477874
1544786760060,254912508230989,0.7102443,-0.38152897,-0.14552556
1544786760080,254912528230989,0.70771354,-0.6177942,-0.35979962
1544786760100,254912548229427,0.71738267,-0.38039452,-0.58657026
1544786760121,254912568229427,0.6345668,0.088540554,-0.74492395
1544786760140,254912588229427,0.41545817,0.49382347,-0.7415904
1544786760160,254912608229427,0.10826277,0.6981666,-0.58559287
1544786760182,254912628229427,-0.18301523,0.6245486,-0.41392228
1544786760201,254912648229427,-0.37227872,0.41994366,-0.2915049
1544786760220,254912668229427,-0.4331558,0.2358987,-0.22595033
1544786760240,254912688229427,-0.3706032,0.076515235,-0.21769492
1544786760260,254912708229427,-0.21198769,0.009162978,-0.26672122
1544786760280,254912728229427,-0.041469023,0.0076096356,-0.373675
