bssid,frequency,legit,rss,ssid,timestamp,wifiNo
02:15:99:ea:c4:04,2462,true,-82,DIRECT-wdC410 Series,254911418518,1
00:24:6c:7d:f3:00,2412,true,-47,Welcome_KAIST,254911418476,1
00:24:6c:7d:f7:f1,5805,true,-71,eduroam,254913185610,2
00:24:6c:7d:f7:f0,5805,true,-71,Welcome_KAIST,254913185605,2
6c:f3:7f:fa:ab:31,5805,true,-77,eduroam,254913185601,2
6c:f3:7f:fa:ab:30,5805,true,-76,Welcome_KAIST,254913185588,2
90:9f:33:f9:11:de,5785,true,-82,wit_5G,254913185584,2
6c:70:9f:e3:3a:a7,5785,true,-64,Air WiFi,254913185579,2
00:08:9f:dd:2d:08,5765,true,-93,,254913185573,2
88:36:6c:be:8e:74,5745,true,-91,moonlab_5G,254913185568,2
70:8b:cd:2f:82:64,5745,true,-68,LIT_5G,254913185563,2
00:24:6c:7d:f3:11,5745,true,-49,eduroam,254913185559,2
00:24:6c:7d:f3:10,5745,true,-42,Welcome_KAIST,254913185553,2
02:15:99:ea:c4:04,2462,true,-75,DIRECT-wdC410 Series,254913185548,2
b2:52:16:12:63:77,2462,true,-78,HP-Setup>77-M477 LaserJet,254913185541,2
f0:99:bf:09:32:40,2462,true,-80,Broccoli,254913185536,2
5e:ea:1d:bf:d1:00,2452,true,-73,DIRECT-00-HP M477 LaserJet,254913185532,2
00:24:6c:7d:f6:b0,5220,true,-79,Welcome_KAIST,254913185527,2
00:24:6c:7d:f6:91,5220,true,-91,eduroam,254913185522,2
00:24:6c:7d:f6:90,5220,true,-91,Welcome_KAIST,254913185516,2
00:24:6c:7d:f6:b1,5220,true,-79,eduroam,254913185511,2
00:24:6c:7d:fe:11,5220,true,-67,eduroam,254913185506,2
00:24:6c:7d:fe:10,5220,true,-66,Welcome_KAIST,254913185501,2
00:24:6c:7d:f3:f1,5200,true,-77,eduroam,254913185497,2
00:24:6c:7a:8b:31,5200,true,-85,eduroam,254913185493,2
00:24:6c:7d:f7:31,5200,true,-58,eduroam,254913185489,2
00:24:6c:7d:f7:30,5200,true,-59,Welcome_KAIST,254913185484,2
00:24:6c:7d:f7:20,2412,true,-51,Welcome_KAIST,254913185478,2
00:24:6c:7d:fd:b1,5180,true,-87,eduroam,254913185473,2
00:24:6c:7d:fd:b0,5180,true,-86,Welcome_KAIST,254913185468,2
1a:4f:32:93:be:f1,2412,true,-74,DIRECT-f1-HP M402 LaserJet,254913185464,2
00:24:6c:7d:f2:b1,5180,true,-86,eduroam,254913185460,2
00:24:6c:7d:f2:b0,5180,true,-83,Welcome_KAIST,254913185452,2
64:e5:99:da:03:6c,5240,true,-84,WCSL 5GHz,254913185447,2
00:24:6c:7d:f3:00,2412,true,-47,Welcome_KAIST,254913185441,2
00:24:6c:7d:f5:11,5180,true,-85,eduroam,254913185436,2
00:24:6c:7d:f5:10,5180,true,-84,Welcome_KAIST,254913185421,2
00:24:6c:7d:f7:f1,5805,true,-64,eduroam,254914996416,3
00:24:6c:7d:f7:f0,5805,true,-64,Welcome_KAIST,254914996411,3
6c:f3:7f:fa:ab:31,5805,true,-84,eduroam,254914996408,3
6c:f3:7f:fa:ab:30,5805,true,-83,Welcome_KAIST,254914996402,3
6c:70:9f:e3:3a:a7,5785,true,-63,Air WiFi,254914996399,3
f0:99:bf:09:32:41,5745,true,-86,Broccoli 5GHz,254914996393,3
00:24:6c:7d:f3:11,5745,true,-44,eduroam,254914996389,3
00:24:6c:7d:f3:10,5745,true,-42,Welcome_KAIST,254914996385,3
70:8b:cd:2f:82:64,5745,true,-84,LIT_5G,254914996380,3
00:24:6c:7d:f3:e1,2472,true,-71,eduroam,254914996376,3
96:53:30:7c:92:23,2437,true,-69,DIRECT-23-HP M402 LaserJet,254914996373,3
00:24:6c:7d:f5:91,5240,true,-85,eduroam,254914996363,3
00:24:6c:7d:f5:90,5240,true,-88,Welcome_KAIST,254914996359,3
