timeMillis,timeNanos,x,y,z
1544787446135,255598567381718,-2.2483375,3.2139475,10.289608
1544787446140,255598587381718,-1.5032809,3.8454804,10.668218
1544787446160,255598607383280,-1.43315,2.870983,8.988839
1544787446180,255598627383280,-2.1897848,2.451088,7.99898
1544787446200,255598647381718,-2.341539,2.6479583,10.477869
1544787446220,255598667381718,-1.8575461,3.00977,10.461033
1544787446241,255598687383280,-1.0275052,2.4886672,9.037183
1544787446260,255598707383280,-0.47400406,1.5423064,10.591326
1544787446280,255598727383280,-1.0220368,1.8091834,8.23795
1544787446300,255598747381718,-1.4169364,2.1921215,7.080468
1544787446320,255598767381718,-1.1501458,2.2753248,8.735331
1544787446341,255598787381718,-0.55248594,2.9884331,12.7140255
1544787446361,255598807381718,-0.59135824,2.1923802,13.864822
1544787446381,255598827381718,-0.20586304,0.7341197,10.67316
1544787446401,255598847398905,1.5329117,0.89154327,8.792725
1544787446424,255598867381718,4.371448,0.9803011,9.670114
1544787446440,255598887381718,4.460197,-0.3801705,11.781282
1544787446461,255598907381718,3.4666126,0.04088339,12.975481
1544787446480,255598927381718,2.7621331,0.49312893,13.649124
1544787446501,255598947381718,1.5983307,0.49164453,12.508957
1544787446520,255598967381718,0.16971059,0.835155,9.785083
1544787446540,255598987381718,-0.632347,0.19521362,8.45588
1544787446561,255599007381718,-1.3699335,-0.0046160207,8.67493
1544787446581,255599027381718,-0.4841746,5.2147245,-6.984078
1544787446603,255599047381718,-6.9709196,2.744464,5.300753
1544787446621,255599067381718,-2.489261,0.61134505,8.850588
1544787446641,255599087381718,-0.8410351,0.16278656,15.824294
1544787446661,255599107381718,-2.2894793,-1.354649,13.603012
1544787446681,255599127381718,-0.08337568,1.5288798,14.214203
1544787446701,255599147381718,-0.32469204,2.1308587,9.049757
1544787446721,255599167381718,-1.3985012,2.5572658,6.966629
1544787446741,255599187381718,-0.40991604,2.684609,9.458524
1544787446761,255599207381718,-0.5590174,2.2349203,9.71456
1544787446780,255599227383280,-0.46059653,2.873425,8.52625
1544787446802,255599247383280,1.6155498,3.8990054,6.9533362
1544787446822,255599267381718,2.2017176,4.7244015,7.3781824
1544787446842,255599287381718,1.010899,4.123754,7.404241
1544787446862,255599307381718,0.14065455,3.225181,8.272532
1544787446880,255599327381718,1.1890755,3.7893605,8.813756
1544787446901,255599347381718,0.63998926,4.4778085,9.030709
1544787446921,255599367381718,1.3203257,3.8031032,9.676827
1544787446940,255599387381718,0.19193836,4.5752044,8.481556
1544787446961,255599407381718,-0.49288952,4.742004,8.779068
1544787446981,255599427381718,-0.70689285,4.895759,8.039222
1544787447002,255599447381718,0.035529952,5.329081,7.790091
1544787447022,255599467381718,0.27870423,4.7410655,8.815153
1544787447042,255599487381718,0.077878594,4.294853,9.465841
1544787447061,255599507381718,0.9228019,4.3702517,9.470111
1544787447082,255599527381718,1.6331712,4.605812,8.356424
1544787447102,255599547381718,1.1920826,4.593238,8.26308
1544787447122,255599567381718,0.56183296,4.1726336,8.183314
1544787447142,255599587381718,-0.14666879,3.9423213,7.8496966
1544787447162,255599607381718,-0.07104076,3.817363,8.349567
1544787447183,255599627381718,0.45170927,4.0293264,9.042584
1544787447202,255599647381718,0.99466634,4.384262,8.856593
1544787447222,255599667381718,0.9229456,4.250091,8.629813
1544787447242,255599687381718,0.1978281,4.00911,8.952571
1544787447262,255599707381718,-0.30709946,3.8781185,9.145468
1544787447282,255599727381718,0.2686486,4.028675,9.462604
1544787447322,255599747383280,0.96582097,4.1236105,10.119112
1544787447322,255599767383280,0.55683386,3.944773,10.141742
1544787447344,255599787381718,-0.121749945,3.7298598,9.507806
1544787447362,255599807381718,-0.072735846,3.5542307,9.948435
1544787447382,255599827381718,1.2342206,3.9327445,10.605796
1544787447402,255599847381718,1.7814201,4.195886,11.726206
1544787447422,255599867381718,1.4107977,4.3233824,12.164144
1544787447442,255599887381718,0.7485137,4.4361587,10.241121
1544787447462,255599907381718,-0.2159953,3.8138006,8.78786
1544787447482,255599927381718,-0.58585155,3.3187659,8.263242
1544787447501,255599947381718,-0.05883032,2.6217082,9.303054
1544787447521,255599967381718,0.8839967,1.7244095,11.442589
1544787447541,255599987381718,0.7034835,0.8574881,12.691338
1544787447562,255600007381718,0.13697706,0.7320128,11.408486
1544787447581,255600027381718,-0.2908668,0.96329266,9.113279
1544787447602,255600047383280,-0.21560265,1.8453454,7.1108556
1544787447621,255600067381718,0.03313575,2.894408,6.260378
1544787447640,255600087383280,0.24547271,3.108392,6.9174523
1544787447660,255600107383280,0.67301965,3.329482,7.7072225
1544787447680,255600127381718,1.1778898,3.3432248,8.403064
1544787447702,255600147381718,1.754222,3.5414743,8.781109
1544787447722,255600167381718,1.3030012,3.1306868,9.684622
1544787447741,255600187381718,0.5669853,2.7074304,10.498986
1544787447762,255600207381718,0.48244122,2.9044921,10.355306
1544787447782,255600227381718,0.4681622,3.3828537,8.740761
1544787447802,255600247381718,0.17099388,3.7761157,7.2818494
1544787447823,255600267381718,-0.3760812,3.8168075,7.124196
1544787447841,255600287381718,0.013637373,3.9073372,7.682438
1544787447861,255600307381718,0.4671662,3.9973783,8.153482
1544787447905,255600327381718,0.5336963,3.7792952,8.528348
1544787447905,255600347383280,0.54798484,3.7216716,8.795693
1544787447921,255600367381718,0.3078273,3.5187774,8.856976
1544787447940,255600387381718,0.2656989,3.575204,8.606026
1544787447960,255600407383280,0.39014953,3.6180027,9.001796
1544787447982,255600427381718,0.3658053,3.7809808,9.388125
1544787448002,255600447381718,0.5161037,3.8130152,9.379668
1544787448022,255600467381718,0.39913258,3.6182039,9.931216
1544787448041,255600487381718,0.069163695,3.5560024,11.443977
1544787448060,255600507381718,-0.16749835,3.808878,12.282696
1544787448082,255600527381718,-0.35873762,4.318747,10.963567
1544787448103,255600547381718,0.04606444,4.563272,9.09674
1544787448122,255600567381718,0.52736604,3.8072596,9.891242
1544787448142,255600587381718,0.25717556,2.1372464,13.078307
1544787448162,255600607381718,-0.030626629,0.7975948,14.727549
1544787448182,255600627381718,0.5149353,0.9268912,12.303103
1544787448203,255600647381718,0.42366835,1.3121758,9.890801
1544787448222,255600667381718,0.4156813,1.9601138,7.945283
1544787448241,255600687381718,-0.33634704,2.3234577,6.2920003
1544787448261,255600707381718,-1.7219481,2.0678816,6.7064753
1544787448282,255600727381718,-2.0689352,2.002041,7.48188
1544787448310,255600747381718,-1.4732097,2.3483384,8.519019
1544787448321,255600767381718,-0.50067544,3.060144,8.285728
1544787448342,255600787381718,-0.13749422,3.4164302,7.8501563
1544787448362,255600807381718,-0.17247829,3.0017447,8.127587
1544787448382,255600827381718,0.08228392,2.5250878,9.707032
1544787448402,255600847381718,-0.3473891,2.062643,11.562893
1544787448422,255600867381718,-0.4961552,1.8848879,11.36519
1544787448442,255600887381718,-0.2430881,2.3632975,9.808661
1544787448462,255600907381718,-0.19292477,2.544462,8.678196
1544787448482,255600927381718,-0.3872286,2.6599581,8.102707
1544787448502,255600947398905,-0.25895685,2.726057,8.134213
1544787448522,255600967381718,0.16699079,3.0729291,8.245851
1544787448542,255600987381718,0.47441587,3.3909464,8.099853
1544787448563,255601007381718,0.53483593,3.5866387,7.9293084
1544787448582,255601027381718,0.29896876,3.576286,8.062839
1544787448603,255601047381718,0.26687688,3.5488772,9.203073
1544787448623,255601067381718,0.6265817,3.7040598,10.162592
1544787448643,255601087381718,0.913953,3.8151891,10.265255
1544787448662,255601107381718,1.2537955,3.8287594,10.200104
1544787448682,255601127381718,0.630537,3.7035043,10.518389
1544787448703,255601147381718,-0.035070267,3.6786814,10.407604
1544787448723,255601167381718,0.12293747,3.6323009,9.072512
1544787448742,255601187381718,1.900029,3.692855,8.892783
1544787448763,255601207381718,3.0912592,2.9552686,11.677193
1544787448782,255601227381718,2.3840792,1.4844912,14.110544
1544787448802,255601247381718,1.3125494,0.4296443,14.33034
1544787448822,255601267381718,0.5165059,0.3719536,12.191266
1544787448843,255601287381718,0.050613422,1.0572412,9.242317
1544787448863,255601307381718,0.08541554,2.4643424,6.3983703
1544787448882,255601327381718,0.19073169,3.6913993,4.9292874
1544787448903,255601347381718,0.7163739,4.1703453,5.617113
1544787448922,255601367381718,0.9174294,3.6430843,7.5329247
1544787448942,255601387381718,1.2761574,3.100951,9.049096
1544787448961,255601407381718,1.5989245,3.048652,10.131763
1544787448981,255601427381718,0.90619576,2.6347425,10.233249
1544787449001,255601447381718,-0.51130575,2.022181,10.342358
1544787449021,255601467381718,-1.0446285,2.060201,10.240298
1544787449041,255601487381718,-1.0506235,2.113965,10.387282
1544787449061,255601507381718,-0.6619297,2.5189204,9.622
1544787449081,255601527381718,-0.36358348,3.0372458,8.85414
1544787449101,255601547381718,-0.26852408,3.3507905,8.41016
1544787449121,255601567381718,-0.31695402,3.2084124,8.285814
1544787449140,255601587381718,0.09436028,3.424082,8.335758
1544787449161,255601607381718,0.6901909,3.5829995,8.619624
1544787449181,255601627381718,0.32554442,3.4810257,8.743845
1544787449202,255601647381718,-0.44986093,3.0642428,8.119159
1544787449222,255601667381718,-0.34803075,3.4377098,7.095772
1544787449243,255601687381718,0.26937643,3.9760604,7.9907246
1544787449262,255601707381718,1.2787527,4.1496973,9.335357
1544787449280,255601727381718,2.139698,4.257724,11.2867365
1544787449306,255601747381718,3.1450999,5.086606,12.918816
1544787449321,255601767381718,2.9200642,6.3592296,11.161021
1544787449341,255601787383280,0.58675176,6.337251,9.173001
1544787449361,255601807381718,-0.87872946,5.112789,9.465735
1544787449381,255601827383280,-0.9272839,3.5318785,12.199138
1544787449402,255601847381718,-1.2938937,2.0216832,13.839769
1544787449422,255601867381718,0.14186123,2.1191845,11.150142
1544787449442,255601887381718,0.94889873,2.7370417,7.264429
1544787449462,255601907381718,-0.6791967,1.745737,6.155531
1544787449482,255601927381718,-2.4757195,0.89472276,5.999343
1544787449502,255601947381718,-3.0730345,0.56072205,6.297191
1544787449522,255601967381718,-2.2293465,0.6421536,7.4373
1544787449542,255601987381718,-0.8799841,1.1049719,8.582476
1544787449562,255602007381718,0.11091858,1.8766519,8.259153
1544787449582,255602027381718,0.28319573,2.3064685,7.602232
1544787449601,255602047381718,-0.3977918,2.1362984,8.6743555
1544787449621,255602067381718,0.6540672,2.7213838,10.80327
1544787449643,255602087381718,1.8972805,3.3346539,11.9446335
1544787449661,255602107381718,1.8963515,3.610983,11.339198
1544787449737,255602127381718,0.9593662,3.4347696,10.086839
1544787449737,255602147383280,0.35331714,3.2466333,9.191263
1544787449737,255602167383280,-0.11165599,2.9598079,8.547808
1544787449743,255602187383280,-0.38860768,2.7112994,8.124944
1544787449760,255602207381718,-0.2674419,2.9187043,7.7717986
1544787449781,255602227381718,0.22313002,3.2907825,7.4721503
1544787449801,255602247381718,0.54314864,3.5283637,7.490011
1544787449821,255602267381718,0.93144983,3.6960728,8.167943
1544787449842,255602287381718,1.813397,4.038281,9.079388
1544787449864,255602307381718,2.4636145,4.3942027,9.996386
1544787449883,255602327381718,2.595755,4.796716,9.9197235
1544787449902,255602347398905,1.2133143,4.4711523,9.626655
1544787449922,255602367381718,-0.01805228,3.9114554,9.727823
1544787449942,255602387381718,-0.82592297,3.3416638,11.269604
1544787449964,255602407381718,-0.14805743,3.6417053,12.747285
