adress,advertisingSid,bond,name,primaryPhy,rssi,secondaryPhy,time,txPower,type
0A:38:E2:23:B9:E9,255,10,NA,1,-98,0,1544787446170,127,0
C8:28:32:2E:06:2B,255,10,ISIMIBOX,1,-82,0,1544787448179,127,3
62:A4:07:44:ED:CD,255,10,NA,1,-85,0,1544787450200,127,0
6E:84:18:8B:65:5D,255,10,NA,1,-71,0,1544787450204,127,2
00:80:7B:F2:67:E1,255,10,NA,1,-89,0,1544787456174,127,0
28:C1:82:D5:EA:3C,255,10,NA,1,-84,0,1544787458189,127,0
C0:01:CA:1F:4B:58,255,10,NA,1,-98,0,1544787458193,127,0
22:35:C4:B6:81:72,255,10,NA,1,-82,0,1544787458654,127,0
01:65:E5:16:F8:E3,255,10,NA,1,-77,0,1544787458669,127,2
FB:82:C6:98:FD:89,255,10,NA,1,-90,0,1544787458672,127,0
28:C1:82:D5:EA:3C,255,10,NA,1,-91,0,1544787458692,127,0
22:35:C4:B6:81:72,255,10,NA,1,-86,0,1544787458767,127,0
00:80:7B:F2:67:E1,255,10,NA,1,-89,0,1544787458775,127,0
40:16:3B:51:C8:CF,255,10,NA,1,-83,0,1544787458800,127,0
F2:4A:DA:F2:96:9A,255,10,NA,1,-89,0,1544787458802,127,0
28:C1:82:D5:EA:3C,255,10,NA,1,-81,0,1544787458810,127,0
C0:01:CA:1F:4B:58,255,10,NA,1,-91,0,1544787458812,127,0
D0:03:4B:27:B7:33,255,10,NA,1,-85,0,1544787458839,127,3
01:65:E5:16:F8:E3,255,10,NA,1,-83,0,1544787458858,127,2
C0:48:E6:AA:DA:A5,255,10,NA,1,-89,0,1544787458861,127,0
22:35:C4:B6:81:72,255,10,NA,1,-81,0,1544787458872,127,0
FB:82:C6:98:FD:89,255,10,NA,1,-87,0,1544787458889,127,0
12:B0:5C:BC:58:B6,255,10,NA,1,-86,0,1544787458894,127,0
28:C1:82:D5:EA:3C,255,10,NA,1,-80,0,1544787458913,127,0
62:D2:44:AC:6E:CA,255,10,NA,1,-86,0,1544787458944,127,2
40:16:3B:51:C8:CF,255,10,NA,1,-85,0,1544787458946,127,0
D4:6F:6D:FC:59:95,255,10,NA,1,-95,0,1544787458952,127,0
22:35:C4:B6:81:72,255,10,NA,1,-88,0,1544787458964,127,0
00:80:7B:F2:67:E1,255,10,NA,1,-84,0,1544787458985,127,0
77:03:6D:A6:17:BD,255,10,NA,1,-83,0,1544787459012,127,2
28:C1:82:D5:EA:3C,255,10,NA,1,-81,0,1544787459014,127,0
F2:4A:DA:F2:96:9A,255,10,NA,1,-89,0,1544787459018,127,0
D0:03:4B:27:B7:33,255,10,NA,1,-73,0,1544787459055,127,3
57:47:04:AD:A5:FB,255,10,NA,1,-83,0,1544787459064,127,2
78:4F:43:9A:52:DD,255,10,NA,1,-83,0,1544787459100,127,3
5A:E5:C3:42:20:EE,255,10,NA,1,-94,0,1544787459110,127,2
22:35:C4:B6:81:72,255,10,NA,1,-87,0,1544787459112,127,0
00:80:7B:F2:67:E1,255,10,NA,1,-91,0,1544787459114,127,0
FB:82:C6:98:FD:89,255,10,NA,1,-85,0,1544787459116,127,0
40:16:3B:51:C8:CF,255,10,NA,1,-80,0,1544787459119,127,0
12:B0:5C:BC:58:B6,255,10,NA,1,-88,0,1544787459122,127,0
28:C1:82:D5:EA:3C,255,10,NA,1,-82,0,1544787459124,127,0
62:D2:44:AC:6E:CA,255,10,NA,1,-95,0,1544787459171,127,2
4F:A3:D5:96:BE:D8,255,10,NA,1,-85,0,1544787459173,127,0
C0:48:E6:AA:DA:A5,255,10,NA,1,-87,0,1544787459175,127,0
22:35:C4:B6:81:72,255,10,NA,1,-82,0,1544787459192,127,0
66:F7:83:15:6B:6E,255,10,NA,1,-84,0,1544787459203,127,2
23:54:34:36:A9:48,255,10,NA,1,-95,0,1544787459208,127,0
D0:03:4B:27:B7:33,255,10,NA,1,-83,0,1544787459218,127,3
28:C1:82:D5:EA:3C,255,10,NA,1,-81,0,1544787459221,127,0
CD:96:D0:2D:C3:7C,255,10,NA,1,-91,0,1544787459239,127,0
CD:4D:12:A9:0A:A2,255,10,NA,1,-88,0,1544787459251,127,0
40:16:3B:51:C8:CF,255,10,NA,1,-80,0,1544787459254,127,0
EF:C3:BC:04:55:5C,255,10,NA,1,-92,0,1544787459257,127,0
22:35:C4:B6:81:72,255,10,NA,1,-87,0,1544787459277,127,0
D4:6F:6D:FC:59:95,255,10,NA,1,-95,0,1544787459367,127,0
22:35:C4:B6:81:72,255,10,NA,1,-83,0,1544787459398,127,0
40:16:3B:51:C8:CF,255,10,NA,1,-77,0,1544787459402,127,0
23:54:34:36:A9:48,255,10,NA,1,-90,0,1544787459403,127,0
12:B0:5C:BC:58:B6,255,10,NA,1,-85,0,1544787459423,127,0
57:47:04:AD:A5:FB,255,10,NA,1,-76,0,1544787459439,127,2
28:C1:82:D5:EA:3C,255,10,NA,1,-81,0,1544787459442,127,0
F2:4A:DA:F2:96:9A,255,10,NA,1,-90,0,1544787459457,127,0
CD:96:D0:2D:C3:7C,255,10,NA,1,-93,0,1544787459461,127,0
EF:C3:BC:04:55:5C,255,10,NA,1,-84,0,1544787459502,127,0
C0:48:E6:AA:DA:A5,255,10,NA,1,-89,0,1544787459503,127,0
22:35:C4:B6:81:72,255,10,NA,1,-83,0,1544787459510,127,0
FB:82:C6:98:FD:89,255,10,NA,1,-87,0,1544787459512,127,0
0A:38:E2:23:B9:E9,255,10,NA,1,-92,0,1544787459514,127,0
12:B0:5C:BC:58:B6,255,10,NA,1,-88,0,1544787459517,127,0
77:03:6D:A6:17:BD,255,10,NA,1,-84,0,1544787459537,127,2
28:C1:82:D5:EA:3C,255,10,NA,1,-79,0,1544787459551,127,0
40:16:3B:51:C8:CF,255,10,NA,1,-81,0,1544787459553,127,0
D0:03:4B:27:B7:33,255,10,NA,1,-73,0,1544787459568,127,3
01:65:E5:16:F8:E3,255,10,NA,1,-72,0,1544787459570,127,2
D4:6F:6D:FC:59:95,255,10,NA,1,-89,0,1544787459573,127,0
22:35:C4:B6:81:72,255,10,NA,1,-87,0,1544787459603,127,0
0A:38:E2:23:B9:E9,255,10,NA,1,-90,0,1544787459609,127,0
