timeMillis,timeNanos,x,y,z
1544787534220,255686673263280,40.0625,-11.25,-24.0
1544787534240,255686693263280,39.9375,-10.625,-25.0625
1544787534260,255686713261718,40.0,-10.1875,-25.625
1544787534280,255686733261718,39.875,-10.0,-25.9375
1544787534300,255686753261718,39.75,-9.5625,-26.125
1544787534320,255686773263280,39.6875,-9.375,-26.3125
1544787534340,255686793263280,39.75,-9.25,-26.5
1544787534360,255686813261718,39.875,-9.125,-26.125
1544787534380,255686833261718,39.9375,-8.625,-26.1875
1544787534400,255686853261718,39.75,-8.0625,-26.25
1544787534420,255686873261718,39.4375,-7.4375,-26.5625
1544787534440,255686893261718,38.8125,-6.75,-27.125
1544787534460,255686913261718,38.125,-5.875,-28.125
1544787534480,255686933261718,37.25,-5.25,-29.125
1544787534500,255686953261718,36.3125,-4.0625,-30.0625
1544787534520,255686973261718,35.25,-3.0625,-30.875
1544787534540,255686993261718,34.25,-1.875,-31.8125
1544787534560,255687013261718,33.8125,-1.125,-32.0
1544787534580,255687033261718,33.1875,-0.375,-32.5
1544787534600,255687053278905,32.125,0.625,-33.25
1544787534620,255687073261718,31.25,1.5625,-33.6875
1544787534640,255687093261718,30.9375,2.1875,-33.375
1544787534660,255687113261718,30.9375,3.25,-33.0625
1544787534681,255687133261718,30.9375,4.1875,-32.5625
1544787534700,255687153261718,30.8125,5.3125,-31.9375
1544787534720,255687173261718,31.0625,6.25,-31.375
1544787534740,255687193261718,31.125,7.25,-30.6875
1544787534760,255687213261718,31.4375,8.375,-30.0625
1544787534780,255687233261718,31.4375,9.1875,-29.6875
1544787534800,255687253261718,31.5,10.0,-29.3125
1544787534820,255687273261718,32.0,10.3125,-29.0625
1544787534841,255687293261718,32.5,10.25,-28.6875
1544787534860,255687313261718,32.875,9.5,-28.6875
1544787534881,255687333261718,33.1875,8.625,-29.125
1544787534900,255687353261718,33.0,7.4375,-29.3125
1544787534921,255687373261718,33.3125,6.25,-29.5
1544787534940,255687393263280,33.1875,5.0625,-29.75
1544787534960,255687413263280,33.1875,4.3125,-30.0
1544787534980,255687433261718,33.3125,3.375,-30.1875
1544787535000,255687453261718,33.1875,2.9375,-30.1875
1544787535020,255687473261718,33.0625,2.1875,-30.1875
1544787535040,255687493261718,33.1875,1.6875,-30.1875
1544787535060,255687513261718,33.125,0.9375,-30.1875
1544787535080,255687533261718,33.4375,0.5,-30.1875
1544787535100,255687553261718,33.625,-0.0625,-30.0625
1544787535120,255687573261718,33.8125,-0.6875,-30.1875
1544787535140,255687593261718,33.6875,-1.375,-30.125
1544787535161,255687613261718,33.75,-1.5,-30.3125
1544787535180,255687633261718,33.75,-1.625,-30.375
1544787535200,255687653261718,33.75,-1.0625,-30.25
1544787535220,255687673261718,33.8125,-0.625,-30.25
1544787535240,255687693261718,34.0,-0.1875,-30.125
1544787535260,255687713261718,33.8125,-0.625,-30.1875
1544787535280,255687733261718,33.9375,-1.0,-30.375
1544787535300,255687753261718,33.9375,-1.125,-30.125
1544787535320,255687773261718,34.0625,-1.3125,-30.375
1544787535341,255687793261718,33.75,-1.25,-30.4375
1544787535360,255687813261718,33.5,-0.75,-30.75
1544787535381,255687833263280,33.5,-0.1875,-30.6875
1544787535400,255687853263280,33.5625,0.6875,-30.6875
1544787535420,255687873261718,33.6875,1.4375,-30.3125
1544787535440,255687893261718,34.125,2.25,-29.8125
1544787535460,255687913261718,34.375,2.75,-29.3125
1544787535480,255687933261718,34.6875,2.8125,-29.0625
1544787535500,255687953261718,34.75,2.9375,-28.9375
1544787535521,255687973261718,34.8125,2.875,-29.0
1544787535541,255687993261718,35.0,3.125,-29.0
1544787535560,255688013261718,35.0,3.4375,-29.5
1544787535580,255688033261718,34.9375,3.75,-29.4375
1544787535600,255688053261718,35.0,4.125,-29.625
1544787535621,255688073261718,35.0,4.5,-29.75
1544787535641,255688093261718,35.1875,4.5625,-29.8125
1544787535660,255688113261718,34.875,4.625,-29.875
1544787535680,255688133261718,34.5,4.75,-30.3125
1544787535700,255688153261718,33.875,4.8125,-30.9375
1544787535721,255688173261718,33.5,4.5,-31.25
1544787535741,255688193261718,33.5625,3.9375,-31.375
1544787535761,255688213261718,33.5,3.625,-31.8125
1544787535780,255688233261718,32.8125,3.75,-32.8125
1544787535800,255688253261718,32.0,4.3125,-33.5625
1544787535820,255688273261718,31.25,4.9375,-33.875
1544787535840,255688293261718,31.3125,5.4375,-34.0
1544787535860,255688313261718,31.75,5.125,-33.75
1544787535880,255688333261718,32.5,4.625,-33.0
1544787535900,255688353261718,33.125,3.4375,-32.625
1544787535921,255688373261718,33.25,2.5,-32.4375
1544787535940,255688393261718,33.0625,1.1875,-32.8125
1544787535964,255688413263280,32.875,0.25,-32.9375
1544787535980,255688433261718,32.6875,-0.375,-33.25
1544787536000,255688453261718,32.4375,-1.125,-34.0
