timeMillis,timeNanos,value
1544787534242,255686693263280,1026.7412
1544787534321,255686773263280,1026.7109
1544787534401,255686853261718,1026.7305
1544787534481,255686933261718,1026.7002
1544787534561,255687013261718,1026.7217
1544787534641,255687093261718,1026.7515
1544787534721,255687173261718,1026.7817
1544787534801,255687253261718,1026.8115
1544787534881,255687333261718,1026.8052
1544787534961,255687413263280,1026.7749
1544787535041,255687493261718,1026.7603
1544787535122,255687573261718,1026.7603
1544787535201,255687653261718,1026.73
1544787535282,255687733261718,1026.7002
1544787535361,255687813261718,1026.6699
1544787535441,255687893261718,1026.6865
1544787535521,255687973261718,1026.6738
1544787535601,255688053261718,1026.6909
1544787535682,255688133261718,1026.7207
1544787535761,255688213261718,1026.751
1544787535841,255688293261718,1026.7808
1544787535922,255688373261718,1026.7808
1544787536001,255688453261718,1026.751
1544787536081,255688533261718,1026.7549
1544787536161,255688613261718,1026.7485
1544787536242,255688693261718,1026.7554
1544787536322,255688773261718,1026.7852
1544787536401,255688853263280,1026.8154
1544787536481,255688933261718,1026.8154
1544787536561,255689013261718,1026.7852
1544787536643,255689093261718,1026.77
1544787536722,255689173261718,1026.77
1544787536803,255689253261718,1026.7402
1544787536881,255689333261718,1026.7632
1544787536961,255689413261718,1026.7935
1544787537043,255689493261718,1026.814
1544787537122,255689573261718,1026.7842
1544787537201,255689653261718,1026.7539
1544787537282,255689733261718,1026.7544
1544787537362,255689813261718,1026.7451
1544787537442,255689893261718,1026.7524
1544787537521,255689973261718,1026.7627
1544787537601,255690053261718,1026.7925
1544787537681,255690133261718,1026.8062
1544787537777,255690213263280,1026.8062
1544787537841,255690293261718,1026.7759
1544787537922,255690373261718,1026.7461
1544787538001,255690453261718,1026.7529
1544787538082,255690533261718,1026.7646
1544787538161,255690613261718,1026.7944
1544787538243,255690693261718,1026.8247
1544787538321,255690773261718,1026.8071
1544787538401,255690853261718,1026.7769
1544787538482,255690933261718,1026.7769
1544787538561,255691013261718,1026.7471
1544787538642,255691093261718,1026.7178
1544787538725,255691173261718,1026.7476
1544787538801,255691253261718,1026.7778
1544787538881,255691333261718,1026.8003
1544787538961,255691413261718,1026.7705
1544787539041,255691493263280,1026.7402
1544787539122,255691573261718,1026.7275
1544787539202,255691653261718,1026.7422
1544787539282,255691733261718,1026.7725
1544787539362,255691813261718,1026.8003
1544787539441,255691893261718,1026.7925
1544787539521,255691973261718,1026.7622
1544787539602,255692053261718,1026.748
1544787539681,255692133261718,1026.7739
1544787539762,255692213261718,1026.7441
1544787539844,255692293261718,1026.749
1544787539922,255692373261718,1026.7793
1544787540001,255692453261718,1026.7842
1544787540081,255692533261718,1026.7539
