bssid,frequency,legit,rss,ssid,timestamp,wifiNo
24:a0:74:79:6f:6a,2462,true,-80,dleehub,255688358003,1
00:24:6c:7d:f6:61,2412,true,-67,eduroam,255688357966,1
00:24:6c:7d:f8:60,2412,true,-79,Welcome_KAIST,255688357960,1
00:24:6c:7d:f5:90,5240,true,-45,Welcome_KAIST,255690151380,2
f8:32:e4:50:8c:3c,5805,true,-79,ASUS_00_5G,255690151376,2
2c:56:dc:84:dd:8c,5785,true,-67,ISILAB_5,255690151372,2
88:36:6c:41:85:5e,5745,true,-77,iptime5G,255690151367,2
6c:70:9f:e0:92:7f,5745,true,-75,HCIL,255690151363,2
6e:7f:92:e0:9f:70,5745,true,-74,HCIL guest,255690151358,2
10:da:43:95:44:de,5260,true,-88,JKR-R7000-5G,255690151341,2
a0:40:a0:56:08:f7,5240,true,-85,NMSL_N1_721,255690151337,2
64:e5:99:da:03:6c,5240,true,-88,WCSL 5GHz,255690151333,2
00:24:6c:7d:f6:91,5220,true,-78,eduroam,255690151329,2
00:24:6c:7d:f5:11,5220,true,-77,eduroam,255690151325,2
00:24:6c:7d:f5:10,5220,true,-76,Welcome_KAIST,255690151321,2
00:24:6c:7d:f3:f1,5200,true,-85,eduroam,255690151315,2
00:24:6c:7d:f4:91,5200,true,-71,eduroam,255690151312,2
00:24:6c:7d:f4:90,5200,true,-70,Welcome_KAIST,255690151298,2
00:24:6c:78:f5:b1,5180,true,-93,eduroam,255690151293,2
00:24:6c:78:f5:b0,5180,true,-93,Welcome_KAIST,255690151288,2
00:24:6c:7d:f6:f1,5180,true,-80,eduroam,255690151279,2
00:24:6c:7d:f6:71,5180,true,-72,eduroam,255690151275,2
00:24:6c:7d:f6:70,5180,true,-73,Welcome_KAIST,255690151269,2
90:9f:33:10:83:bc,5805,true,-87,iptime_dblab_5G,255690151263,2
a0:40:a0:56:08:f8,5765,true,-80,,255690151258,2
9c:d6:43:c8:11:82,5765,true,-93,JoyK,255690151252,2
24:a0:74:79:6f:6b,5745,true,-92,dleehub,255690151246,2
18:31:bf:46:ff:dc,5745,true,-75,KECI_5G,255690151223,2
24:a0:74:79:6f:6a,2462,true,-80,dleehub,255690151217,2
00:24:6c:7d:f6:90,5220,true,-80,Welcome_KAIST,255690151212,2
00:24:6c:7d:f3:f0,5200,true,-86,Welcome_KAIST,255690151206,2
00:24:6c:7d:f6:61,2412,true,-67,eduroam,255690151202,2
00:24:6c:7d:f8:60,2412,true,-79,Welcome_KAIST,255690151196,2
00:24:6c:7d:f6:f0,5180,true,-80,Welcome_KAIST,255690151177,2
