adress,bond,name,rssi,time,type
C8:28:32:2E:06:2B,10,ISIMIBOX,-95,1544787629714,3
22:22:8E:C5:74:E7,10,NU200_D8E294,-89,1544787629966,1
5A:0F:38:6B:0B:18,10,NA,-79,1544787630685,2
64:03:3D:78:53:24,10,NA,-81,1544787630707,2
D0:03:4B:27:B7:33,10,NA,-95,1544787630728,3
5A:0F:38:6B:0B:18,10,NA,-74,1544787630954,2
64:03:3D:78:53:24,10,NA,-75,1544787630974,2
EF:29:62:C3:7F:8A,10,NOTCH 28,-83,1544787631043,2
5A:0F:38:6B:0B:18,10,NA,-80,1544787631227,2
59:73:08:B4:73:18,10,NA,-90,1544787631295,2
59:49:54:51:E2:B9,10,NA,-85,1544787631329,2
78:4F:43:95:4E:31,10,NA,-84,1544787631372,2
5A:0F:38:6B:0B:18,10,NA,-77,1544787631495,2
C2:5E:77:40:F0:08,10,NOTCH 28,-98,1544787631922,2
64:03:3D:78:53:24,10,NA,-77,1544787632074,2
7D:5F:64:77:E6:5A,10,NA,-85,1544787632203,2
4B:6C:DD:B0:03:3C,10,NA,-79,1544787632211,2
6B:96:82:95:EF:FE,10,NA,-85,1544787632265,2
F0:18:98:0B:E3:39,10,NA,-82,1544787632275,2
64:03:3D:78:53:24,10,NA,-80,1544787632343,2
6E:84:18:8B:65:5D,10,NA,-73,1544787632352,2
59:49:54:51:E2:B9,10,NA,-83,1544787632421,2
F0:18:98:0B:E3:39,10,NA,-85,1544787632457,2
4B:6C:DD:B0:03:3C,10,NA,-77,1544787632482,2
C8:28:32:2E:06:2B,10,ISIMIBOX,-78,1544787635238,3
C8:28:32:2E:06:2B,10,ISIMIBOX,-90,1544787635288,3
C8:28:32:2E:06:2B,10,ISIMIBOX,-75,1544787635549,3
C8:28:32:2E:06:2B,10,ISIMIBOX,-75,1544787635659,3
C8:28:32:2E:06:2B,10,ISIMIBOX,-74,1544787635902,3
E6:65:F9:3D:CC:98,10,NA,-85,1544787637765,2
45:53:43:05:03:E1,10,NA,-81,1544787637798,2
66:1C:F8:E1:0D:D1,10,NA,-90,1544787637819,2
59:73:08:B4:73:18,10,NA,-78,1544787637876,2
EC:4F:7D:A8:4A:F7,10,NA,-95,1544787637903,2
78:4F:43:95:4E:31,10,NA,-85,1544787637977,2
F5:FD:2C:8E:4D:58,10,NA,-81,1544787638025,2
F0:18:98:0B:E3:39,10,NA,-81,1544787638137,2
E6:65:F9:3D:CC:98,10,NA,-89,1544787638176,2
F5:FD:2C:8E:4D:58,10,NA,-85,1544787638352,2
59:73:08:B4:73:18,10,NA,-77,1544787638358,2
EC:D7:CB:94:8F:D1,10,NA,-87,1544787638368,2
45:53:43:05:03:E1,10,NA,-81,1544787638377,2
F1:7C:11:7B:4E:22,10,NA,-82,1544787638654,2
64:03:3D:78:53:24,10,NA,-81,1544787638673,2
64:03:3D:78:53:24,10,NA,-70,1544787638965,2
59:73:08:B4:73:18,10,NA,-69,1544787639162,2
F0:18:98:0B:E3:39,10,NA,-82,1544787639229,2
64:03:3D:78:53:24,10,NA,-69,1544787639502,2
7D:5F:64:77:E6:5A,10,NA,-79,1544787639547,2
EC:DE:FA:26:99:AE,10,NA,-92,1544787639590,2
CB:7F:85:4D:89:54,10,NA,-87,1544787639743,2
EC:51:52:EF:F0:8C,10,NA,-94,1544787639778,2
4B:6C:DD:B0:03:3C,10,NA,-78,1544787639837,2
6E:84:18:8B:65:5D,10,NA,-70,1544787639862,2
78:4F:43:95:4E:31,10,NA,-79,1544787639876,2
CE:76:A2:01:AA:EC,10,NOTCH 28.,-90,1544787640006,2
59:49:54:51:E2:B9,10,NA,-74,1544787640029,2
EC:DD:31:55:1D:FC,10,NA,-101,1544787640458,2
EC:93:C0:A2:8B:0C,10,NA,-95,1544787640666,2
22:22:8E:C5:74:E7,10,NU200_D8E294,-84,1544787658203,1
C8:28:32:2E:06:2B,10,ISIMIBOX,-85,1544787658733,3
C8:28:32:2E:06:2B,10,ISIMIBOX,-87,1544787662833,3
EC:CA:DF:40:4B:95,10,NA,-95,1544787664208,2
68:16:DD:A0:68:AE,10,NA,-79,1544787664739,2
6B:96:82:95:EF:FE,10,NA,-71,1544787665141,2
C8:28:32:2E:06:2B,10,ISIMIBOX,-94,1544787669523,3
F2:E2:FA:1F:50:1B,10,LHB-B774C903,-86,1544787670615,2
EC:2A:B9:6B:46:0B,10,NA,-84,1544787670911,2
EC:08:9C:E1:18:36,10,NA,-92,1544787671133,2
01:65:E5:16:F8:E3,10,NA,-96,1544787671953,2
F2:E2:FA:1F:50:1B,10,LHB-B774C903,-91,1544787672106,2
EC:B3:56:F2:BB:14,10,NA,-97,1544787672379,2
EC:5B:15:94:80:94,10,NA,-94,1544787672658,2
5D:3C:5E:4A:36:8F,10,NA,-78,1544787672855,2
EC:91:28:A9:C9:09,10,NA,-92,1544787673248,2
4A:6E:25:FC:A0:84,10,NA,-80,1544787673412,2
48:37:2F:D6:AE:9D,10,NA,-84,1544787680581,2
4C:70:4C:7D:74:A2,10,NA,-80,1544787680607,2
5D:3C:5E:4A:36:8F,10,NA,-88,1544787680621,2
6B:96:82:95:EF:FE,10,NA,-92,1544787680628,2
70:3B:F6:B1:26:EF,10,NA,-85,1544787680659,2
70:30:38:E7:21:9A,10,NA,-77,1544787680665,2
F0:18:98:0B:E3:39,10,NA,-90,1544787680673,2
5D:3C:5E:4A:36:8F,10,NA,-78,1544787680687,2
F0:18:98:0B:E3:39,10,NA,-94,1544787680699,2
5D:3C:5E:4A:36:8F,10,NA,-79,1544787680716,2
6B:96:82:95:EF:FE,10,NA,-87,1544787680732,2
4A:6E:25:FC:A0:84,10,NA,-89,1544787680743,2
01:65:E5:16:F8:E3,10,NA,-97,1544787680750,2
5D:3C:5E:4A:36:8F,10,NA,-79,1544787680759,2
EC:96:D6:EC:F2:13,10,NA,-97,1544787680773,2
5D:3C:5E:4A:36:8F,10,NA,-76,1544787680783,2
4C:70:4C:7D:74:A2,10,NA,-73,1544787680867,2
5D:3C:5E:4A:36:8F,10,NA,-77,1544787680882,2
53:00:01:D6:94:26,10,NA,-68,1544787680887,2
47:81:2D:12:99:AA,10,NA,-94,1544787680912,2
5D:3C:5E:4A:36:8F,10,NA,-85,1544787680921,2
70:3B:F6:B1:26:EF,10,NA,-83,1544787680928,2
5D:3C:5E:4A:36:8F,10,NA,-82,1544787680957,2
EC:2A:B9:6B:46:0B,10,NA,-80,1544787680991,2
5D:3C:5E:4A:36:8F,10,NA,-82,1544787681013,2
70:30:38:E7:21:9A,10,NA,-74,1544787681019,2
77:3D:45:1C:25:CB,10,NA,-84,1544787681029,2
78:CB:CD:DD:1D:00,10,NA,-72,1544787681042,2
5D:3C:5E:4A:36:8F,10,NA,-83,1544787681084,2
5D:3C:5E:4A:36:8F,10,NA,-87,1544787681177,2
70:30:38:E7:21:9A,10,NA,-64,1544787681213,2
5D:3C:5E:4A:36:8F,10,NA,-82,1544787681237,2
5D:3C:5E:4A:36:8F,10,NA,-81,1544787681300,2
78:CB:CD:DD:1D:00,10,NA,-77,1544787681311,2
4C:70:4C:7D:74:A2,10,NA,-75,1544787681416,2
EC:B3:56:F2:BB:14,10,NA,-86,1544787681443,2
5D:3C:5E:4A:36:8F,10,NA,-73,1544787681682,2
5D:3C:5E:4A:36:8F,10,NA,-73,1544787681690,2
5D:3C:5E:4A:36:8F,10,NA,-75,1544787681871,2
5D:3C:5E:4A:36:8F,10,NA,-78,1544787681934,2
5D:3C:5E:4A:36:8F,10,NA,-75,1544787681974,2
5D:3C:5E:4A:36:8F,10,NA,-82,1544787682060,2
5D:3C:5E:4A:36:8F,10,NA,-80,1544787682086,2
5C:C0:D7:F0:F7:F4,10,NA,-79,1544787682221,2
53:00:01:D6:94:26,10,NA,-82,1544787687943,2
6A:E5:CF:E3:2A:C8,10,NA,-88,1544787688358,2
EC:BB:E9:A7:38:CD,10,NA,-96,1544787688381,2
EC:96:D6:EC:F2:13,10,NA,-94,1544787688832,2
EC:2A:B9:6B:46:0B,10,NA,-94,1544787689055,2
5D:3C:5E:4A:36:8F,10,NA,-87,1544787689070,2
5D:3C:5E:4A:36:8F,10,NA,-88,1544787689457,2
