timeMillis,timeNanos,x,y,z
1544787625444,255777888863280,-0.551175,-0.4280071,-0.14929546
1544787625460,255777908878905,-0.47240826,-0.48448595,-0.3000221
1544787625480,255777928861718,-0.4242721,-0.48179814,-0.31333897
1544787625500,255777948861718,-0.35705945,-0.3023783,-0.17118189
1544787625521,255777968861718,-0.25654593,-0.14505431,-0.06997025
1544787625540,255777988863280,-0.1389282,-0.107390106,-0.05482079
1544787625561,255778008863280,-0.1465902,-0.16365953,-0.083199844
1544787625580,255778028861718,-0.23968607,-0.27689648,-0.1263793
1544787625600,255778048861718,-0.32648128,-0.40463713,-0.18800686
1544787625620,255778068861718,-0.4344299,-0.4475897,-0.24658011
1544787625640,255778088861718,-0.6327866,-0.387498,-0.22825415
1544787625660,255778108861718,-0.8528377,-0.34662238,-0.17852972
1544787625680,255778128861718,-1.027964,-0.40966368,-0.22853342
1544787625700,255778148861718,-1.1963359,-0.40622538,-0.4535587
1544787625720,255778168861718,-1.3380392,-0.6568372,-0.6517059
1544787625740,255778188861718,-1.3637654,-0.8663291,-0.63667864
1544787625764,255778208861718,-1.3800668,-0.47350782,-0.5550147
1544787625783,255778228861718,-1.4714522,0.14692181,-0.43715262
1544787625803,255778248861718,-1.4820638,-0.0707382,-0.15634659
1544787625820,255778268861718,-1.4808944,-0.7567049,0.036861353
1544787625841,255778288861718,-1.628305,-0.430468,0.14652039
1544787625861,255778308861718,-1.8537492,0.22595033,0.18542378
1544787625881,255778328861718,-1.9611218,0.45930085,0.20577432
1544787625901,255778348861718,-1.8398389,0.010524335,0.1921084
1544787625921,255778368861718,-1.5052418,0.040805798,0.13981833
1544787625941,255778388861718,-1.0026219,0.0043982295,0.12608258
1544787625962,255778408861718,-0.3671649,-0.3712141,0.024504423
1544787625981,255778428861718,0.12381366,-0.4357389,-0.114214346
1544787626001,255778448861718,0.41290998,0.15655604,-0.11826351
1544787626021,255778468861718,0.7192502,0.40242055,-0.027628561
1544787626041,255778488861718,0.8107752,0.09327039,0.13582152
1544787626061,255778508861718,0.8419992,-0.3211406,0.2642603
1544787626081,255778528861718,0.82571524,-0.36685076,0.13533282
1544787626101,255778548861718,0.74419093,-0.15564846,-0.0063355453
1544787626121,255778568861718,0.62618923,0.04569272,0.003281219
1544787626141,255778588861718,0.49787262,0.07754498,0.09431759
1544787626161,255778608861718,0.4121246,6.1086525E-4,0.26057765
1544787626181,255778628861718,0.40231586,-0.1571669,0.44621086
1544787626201,255778648861718,0.45181337,-0.23307127,0.5350481
1544787626221,255778668861718,0.56426495,-0.37028906,0.5057092
1544787626241,255778688861718,0.72665036,-0.636923,0.4005007
1544787626260,255778708861718,0.90128803,-0.60913736,0.34468508
1544787626281,255778728861718,0.9573131,-0.22389084,0.35636133
1544787626301,255778748861718,0.8133409,0.16798794,0.44633305
1544787626321,255778768861718,0.4996005,0.36714745,0.5884552
1544787626341,255778788861718,0.060458206,0.056740653,0.5452583
1544787626361,255778808861718,-0.28501227,-0.52019536,0.17748253
1544787626381,255778828861718,-0.28501227,-0.64475954,-0.22769566
1544787626401,255778848861718,-0.009791297,-0.31969196,-0.37646753
1544787626421,255778868861718,0.22979005,0.19743164,-0.32883748
1544787626441,255778888861718,0.2311165,0.25621432,-0.18814649
1544787626462,255778908861718,0.15495034,0.011885692,-0.057107173
1544787626481,255778928861718,0.10428342,-0.20896827,-0.045588
1544787626500,255778948861718,0.043179445,-0.29705504,-0.10423106
1544787626522,255778968861718,0.03960152,-0.34229398,-0.15746361
1544787626541,255778988861718,0.12985249,-0.2829528,-0.16336282
1544787626561,255779008861718,0.14135422,-0.13697344,-0.1378112
1544787626581,255779028861718,-0.08229227,-0.078661986,-0.13273229
1544787626601,255779048861718,-0.46483353,-0.25609216,-0.14142403
1544787626626,255779068861718,-0.6751283,-0.55415946,-0.065641835
1544787626642,255779088861718,-0.70359457,-0.6271841,0.07970919
1544787626662,255779108861718,-0.7323576,-0.2511005,0.20781635
1544787626681,255779128861718,-0.79719657,0.31731832,0.38276815
1544787626700,255779148861718,-0.8254709,0.7343298,0.53642696
1544787626721,255779168861718,-0.709232,0.71111697,0.575086
1544787626741,255779188861718,-0.41102505,0.4566654,0.55311227
1544787626761,255779208861718,-0.0043982295,0.15723671,0.4744503
1544787626781,255779228861718,0.3502527,0.15587536,0.39955822
1544787626801,255779248861718,0.56524235,0.50530773,0.47856927
1544787626820,255779268861718,0.6306747,0.8857371,0.6649006
1544787626842,255779288861718,0.74092716,0.9360201,0.73118824
1544787626862,255779308861718,0.969862,0.9118996,0.6695083
1544787626881,255779328861718,1.2257098,0.8340579,0.5424658
1544787626901,255779348861718,1.2840213,0.55452603,0.36760125
1544787626921,255779368861718,1.0224837,-0.15631169,0.21465804
1544787626940,255779388861718,0.7343822,-0.6893352,0.12362167
1544787626961,255779408861718,0.7071027,-0.45193556,0.024068091
1544787626982,255779428861718,0.71370006,-0.0068940506,-0.07670722
1544787627001,255779448878905,0.30044097,0.33124605,-0.20690878
1544787627021,255779468861718,-0.41610396,-0.14552556,-0.38699186
1544787627042,255779488861718,-0.84548986,-0.7858345,-0.62662554
1544787627062,255779508861718,-0.5917539,-0.6255958,-0.85453063
1544787627083,255779528861718,0.07230899,0.08094837,-0.9589537
1544787627101,255779548861718,0.65320694,0.7070503,-0.83042765
1544787627121,255779568861718,0.94982564,0.9727418,-0.55115753
1544787627142,255779588861718,1.0051177,0.8030958,-0.2385516
1544787627164,255779608861718,0.9019163,0.47095963,-0.010053096
1544787627181,255779628861718,0.6891258,0.06501351,-0.010105456
1544787627206,255779648863280,0.42884484,-0.16926204,-0.2752559
1544787627220,255779668861718,0.14219198,-0.12643164,-0.7095636
1544787627241,255779688863280,-0.21855013,-0.11039207,-1.0667453
1544787627261,255779708863280,-0.54262286,-0.056967545,-1.1470653
1544787627282,255779728861718,-0.63763857,0.18236946,-0.94731236
1544787627301,255779748861718,-0.477365,0.4813967,-0.6058736
1544787627321,255779768861718,-0.16540486,0.75188786,-0.23726006
1544787627341,255779788861718,0.0890467,0.8671843,0.0339292
1544787627361,255779808861718,0.21296507,0.7754498,0.14571753
1544787627381,255779828861718,0.22429226,0.5327094,0.10512118
1544787627401,255779848861718,0.23917992,0.17685421,-0.10855948
1544787627421,255779868861718,0.20535544,-0.060580377,-0.3431492
1544787627441,255779888861718,0.073426,-0.10770427,-0.47139597
1544787627461,255779908861718,0.03371976,-0.07641052,-0.4664916
1544787627481,255779928861718,0.14444345,-0.13589133,-0.3606723
1544787627501,255779948861718,0.3448596,-0.15037757,-0.2743134
1544787627521,255779968861718,0.5141391,-0.28356364,-0.3185924
1544787627541,255779988861718,0.52297044,-0.63910466,-0.5002463
1544787627561,255780008861718,0.5612281,-0.87528265,-0.64659214
1544787627581,255780028861718,0.72333425,-0.8289965,-0.62374574
1544787627601,255780048861718,0.9231396,-0.5201081,-0.35971236
1544787627621,255780068863280,0.92752033,-0.27658233,-0.111910515
1544787627642,255780088861718,0.53059757,-0.5896246,-0.2971423
1544787627661,255780108861718,-0.076183625,-1.1315318,-0.8335867
1544787627681,255780128861718,-0.31766737,-1.2567767,-1.1950793
1544787627701,255780148861718,-0.17378244,-1.0710737,-1.2935683
1544787627721,255780168861718,0.21888174,-0.5209633,-1.1064515
1544787627740,255780188861718,0.656558,0.16477653,-0.7312755
1544787627761,255780208861718,0.90221304,0.4227013,-0.38653806
1544787627781,255780228861718,0.8288394,0.106901415,-0.2502453
1544787627801,255780248861718,0.50555205,-0.37215656,-0.31428143
1544787627821,255780268861718,0.076846845,-0.7189535,-0.5114687
1544787627841,255780288861718,-0.31546825,-0.8629606,-0.7332826
1544787627861,255780308861718,-0.5897991,-0.75342375,-0.9089849
1544787627882,255780328861718,-0.80131555,-0.6085963,-1.1128569
1544787627902,255780348861718,-1.016183,-0.45115015,-1.3839239
1544787627922,255780368861718,-1.162302,-0.2583611,-1.610904
1544787627941,255780388861718,-1.1475539,-0.07677703,-1.6362636
1544787627962,255780408861718,-0.9580636,-0.02656391,-1.422199
1544787627982,255780428861718,-0.64205426,-0.04527384,-1.0883524
1544787628001,255780448861718,-0.307719,-0.13377948,-0.84309876
1544787628021,255780468861718,-0.03621558,-0.1886701,-0.81663954
1544787628041,255780488861718,0.15498523,-0.17153096,-0.91207415
1544787628061,255780508861718,0.21512929,-0.19504054,-0.999009
1544787628081,255780528861718,0.111352004,-0.3252421,-1.0783342
1544787628101,255780548861718,-0.064158306,-0.56967545,-1.1927929
1544787628121,255780568861718,-0.0591143,-0.73036796,-1.3055761
1544787628141,255780588861718,0.06801548,-0.86002845,-1.3680065
1544787628161,255780608863280,0.17065829,-1.0359576,-1.4109067
1544787628181,255780628861718,0.23609069,-0.87414813,-1.3718114
1544787628201,255780648861718,0.34890878,-0.31764993,-1.0865722
1544787628221,255780668861718,0.45383796,0.10464994,-0.6926339
1544787628241,255780688861718,0.29667106,0.15819664,-0.56506777
1544787628262,255780708861718,-0.37978363,-0.32550392,-0.9996897
1544787628282,255780728861718,-1.1908381,-0.48755774,-1.7057976
