timeMillis,timeNanos,x,y,z
1545116385126,46787695946124,-0.29218557,-0.30557224,0.1595231
1545116385145,46787715946124,-0.27017698,-0.12925908,0.03239331
1545116385165,46787735946124,-0.3740415,0.102119215,-0.015236724
1545116385186,46787755944561,-0.48272318,0.21825342,0.017139133
1545116385205,46787775944561,-0.500735,0.16929694,0.09892526
1545116385226,46787795944561,-0.44872415,-0.014748032,0.1335526
1545116385246,46787815944561,-0.33190927,-0.11484266,0.16058774
1545116385266,46787835944561,-0.22130775,0.074141584,0.16901769
1545116385286,46787855944561,-0.22675318,0.37601373,0.16966346
1545116385307,46787875944561,-0.2632131,0.5936912,0.18069394
1545116385326,46787895944561,-0.17289232,0.659717,0.25609216
1545116385346,46787915944561,-0.047525316,0.5133886,0.37512362
1545116385365,46787935944561,-0.0064228117,0.38207003,0.39707986
1545116385386,46787955944561,-0.0689056,0.42880994,0.293704
1545116385406,46787975944561,-0.17585938,0.2517463,0.27982864
1545116385426,46787995944561,0.0371057,0.08489282,0.35562828
1545116385445,46788015944561,0.2674019,0.003944444,0.45554838
1545116385466,46788035944561,0.2657613,0.021275563,0.5640206
1545116385486,46788055944561,0.1860521,0.23518312,0.6206391
1545116385507,46788075944561,0.012112585,0.30211648,0.564422
1545116385526,46788095944561,-0.18528415,0.34117696,0.26394615
1545116385546,46788115944561,-0.4196993,0.26755896,-0.23633504
1545116385565,46788135944561,-0.4996703,0.103759825,-0.6510776
1545116385586,46788155944561,-0.4479213,-0.07557276,-0.66001374
1545116385607,46788175944561,-0.37081265,-0.15289085,-0.52707195
1545116385628,46788195944561,-0.38926077,-0.22275637,-0.5284857
1545116385646,46788215944561,-0.33662164,-0.1990199,-0.5269847
1545116385666,46788235944561,-0.22717206,-0.10503391,-0.34756488
1545116385686,46788255944561,-0.23151793,-0.02549926,-0.05178392
1545116385706,46788275944561,-0.22710223,0.056967545,0.19566886
1545116385726,46788295944561,-0.1984963,-0.010122909,0.20570451
1545116385746,46788315944561,-0.19362682,-0.055065136,0.110339716
1545116385766,46788335944561,-0.2160194,-0.03132866,0.055361845
1545116385786,46788355944561,-0.25802946,-0.02713987,0.1128879
1545116385806,46788375944561,-0.23886576,-0.114039816,0.39016834
1545116385826,46788395944561,-0.12519246,-0.13964379,0.6699621
1545116385846,46788415944561,-0.093636915,-0.048258353,0.669421
1545116385866,46788435944561,-0.14646803,0.1020145,0.42956042
1545116385886,46788455944561,-0.16109389,0.10697123,0.043772858
1545116385905,46788475944561,-0.042010076,0.036337756,-0.28867745
1545116385925,46788495944561,0.13821262,0.08503244,-0.3193778
1545116385947,46788515944561,0.32983232,0.16507325,-0.13435544
1545116385966,46788535944561,0.4297175,0.24420647,0.013002703
1545116385985,46788555944561,0.24991369,0.40269983,-0.16060519
1545116386005,46788575944561,-0.01685988,0.7630754,-0.48417178
1545116386025,46788595946124,0.43381903,1.1090171,-0.73136276
1545116386045,46788615944561,0.32410765,0.3920533,-0.6385287
1545116386066,46788635944561,-0.24244368,0.056164697,-0.5539326
1545116386085,46788655944561,-0.5241573,-0.13601351,-0.42517966
1545116386105,46788675944561,-0.14409438,-0.3491531,-0.36093408
1545116386127,46788695944561,0.36128315,-0.085311696,-0.3127979
1545116386147,46788715944561,0.6911853,0.7085513,-0.21766001
1545116386167,46788735944561,1.0164274,0.87358963,-0.20292944
1545116386186,46788755944561,1.2440357,0.7544884,-0.39816195
1545116386206,46788775944561,1.0490999,0.5889439,-0.57505107
1545116386226,46788795944561,0.45717153,0.09351474,-0.6496813
1545116386246,46788815961749,-0.26981044,0.01823869,-0.61941737
1545116386266,46788835944561,-0.544438,0.13913764,-0.8500626
1545116386310,46788855944561,-0.50626767,0.34140384,-1.0862405
1545116386310,46788875946124,-0.43772858,0.25438175,-1.1906636
1545116386325,46788895944561,-0.2239781,0.18598229,-0.91219634
1545116386345,46788915944561,0.14648548,0.22120303,-0.3592062
1545116386365,46788935944561,0.37627554,0.41193262,-0.08363618
1545116386385,46788955944561,0.20999801,0.31360075,-0.1311964
1545116386405,46788975944561,-0.1690875,0.22314034,-0.14405948
1545116386426,46788995944561,-0.5158844,0.066723935,-0.030351276
1545116386447,46789015944561,-0.5476494,-0.15995942,0.28057912
1545116386466,46789035944561,-0.4399975,-0.2988178,0.7834957
1545116386485,46789055944561,-0.512865,-0.5291315,0.8817054
1545116386505,46789075944561,-0.59576815,-0.4689176,0.64008206
1545116386525,46789095944561,-0.3172136,-0.5373345,0.73939127
1545116386546,46789115944561,0.332014,-0.12077679,0.7887143
1545116386565,46789135944561,0.8300437,0.031939525,0.70640457
1545116386585,46789155944561,0.9779952,0.04633849,0.73125803
1545116386605,46789175944561,0.9772971,0.095696405,0.842453
1545116386627,46789195944561,0.9535781,0.13713051,1.1327885
1545116386646,46789215944561,0.8926137,0.1126261,1.6075704
1545116386666,46789235944561,0.7233866,0.10915289,2.1225648
1545116386686,46789255944561,0.2987131,-0.029216811,2.1763732
1545116386706,46789275944561,-0.2832844,-0.05576327,1.9398112
1545116386727,46789295944561,-0.739304,-0.08498008,1.5355581
1545116386748,46789315944561,-1.2529719,-0.06096435,0.8976228
1545116386765,46789335944561,-1.4621147,-0.18591247,0.6205518
1545116386785,46789355944561,-1.5190822,-0.47794095,0.7315722
1545116386805,46789375944561,-1.282468,-0.3498338,1.0158863
1545116386826,46789395944561,-0.85016733,0.08313003,1.555996
1545116386858,46789415944561,-0.41701153,0.22727677,1.8174638
1545116386865,46789435946124,-0.05448918,0.028483773,1.6801063
